  QueueTimes | ServiceTimes | SojournTimes

     107.948 |        0.517 |      108.465
     107.311 |        0.262 |      107.574
     107.307 |        0.459 |      107.767
     105.151 |        0.736 |      105.888
     104.978 |        0.382 |      105.359
     105.241 |        0.290 |      105.531
     104.902 |        0.205 |      105.107
     104.220 |        0.354 |      104.574
     104.113 |        0.778 |      104.891
     104.768 |        0.781 |      105.549
     105.548 |        0.504 |      106.053
     105.018 |        0.473 |      105.491
     104.902 |        0.404 |      105.306
     104.432 |        0.481 |      104.913
     103.907 |        0.545 |      104.453
     103.912 |        0.495 |      104.407
     103.931 |        0.372 |      104.303
     103.624 |        0.694 |      104.318
     103.334 |        0.570 |      103.904
     103.688 |        0.330 |      104.018
     103.944 |        0.331 |      104.276
     103.323 |        1.159 |      104.482
     103.942 |        1.073 |      105.014
     105.021 |        1.024 |      106.045
     105.908 |        0.302 |      106.210
     106.248 |        0.781 |      107.029
     104.807 |        0.228 |      105.035
     103.715 |        0.262 |      103.977
     103.501 |        0.325 |      103.825
     102.545 |        0.213 |      102.758
     102.241 |        0.799 |      103.040
     103.035 |        0.636 |      103.671
     102.851 |        0.311 |      103.163
     102.994 |        0.658 |      103.651
     102.767 |        0.358 |      103.125
     102.787 |        0.682 |      103.469
     103.379 |        0.283 |      103.662
     102.385 |        1.402 |      103.787
     103.208 |        0.693 |      103.901
     103.046 |        0.853 |      103.899
     103.153 |        1.797 |      104.950
     104.018 |        0.325 |      104.343
     103.376 |        0.881 |      104.257
     103.463 |        0.310 |      103.774
     103.436 |        0.309 |      103.745
     103.452 |        0.508 |      103.960
     103.696 |        0.375 |      104.071
     103.429 |        0.750 |      104.179
     103.594 |        0.107 |      103.701
     103.617 |        0.501 |      104.118
     103.677 |        0.569 |      104.246
     103.818 |        1.728 |      105.547
     105.361 |        0.291 |      105.652
     104.576 |        0.282 |      104.858
     104.149 |        0.466 |      104.615
     103.607 |        1.603 |      105.209
     105.277 |        1.081 |      106.358
     105.880 |        1.028 |      106.908
     105.412 |        1.413 |      106.825
     106.857 |        1.590 |      108.447
     108.381 |        0.321 |      108.702
     108.615 |        0.448 |      109.063
     107.738 |        0.235 |      107.973
     106.759 |        0.338 |      107.097
     107.309 |        0.911 |      108.220
     107.263 |        0.534 |      107.797
     107.519 |        0.446 |      107.965
     107.679 |        0.402 |      108.082
     106.802 |        1.513 |      108.315
     107.298 |        0.310 |      107.608
     107.514 |        0.309 |      107.823
     107.691 |        0.586 |      108.278
     108.114 |        0.302 |      108.416
     106.718 |        0.962 |      107.681
     106.954 |        0.313 |      107.268
     105.659 |        0.450 |      106.109
     105.757 |        0.341 |      106.098
     104.856 |        0.315 |      105.171
     104.380 |        0.367 |      104.748
     104.729 |        1.147 |      105.876
     105.179 |        0.596 |      105.776
     105.481 |        0.585 |      106.066
     105.852 |        0.280 |      106.132
     106.016 |        0.936 |      106.952
     105.996 |        0.422 |      106.418
     106.377 |        0.641 |      107.018
     107.009 |        0.553 |      107.562
     107.227 |        1.629 |      108.856
     108.710 |        1.852 |      110.562
     110.248 |        0.315 |      110.563
     110.290 |        0.287 |      110.577
     107.685 |        0.270 |      107.955
     107.021 |        0.258 |      107.279
     105.261 |        0.636 |      105.897
     104.718 |        0.282 |      105.000
     104.206 |        1.088 |      105.294
     105.150 |        0.297 |      105.447
     105.390 |        0.525 |      105.915
     105.866 |        0.436 |      106.302
     105.702 |        0.241 |      105.943
     103.595 |        0.575 |      104.171
     102.242 |        1.310 |      103.552
     102.003 |        0.699 |      102.703
     102.676 |        0.283 |      102.959
     102.655 |        0.407 |      103.063
     101.886 |        0.340 |      102.226
     101.507 |        0.743 |      102.250
     102.107 |        0.465 |      102.572
     100.859 |        0.284 |      101.143
     100.901 |        0.507 |      101.409
     101.089 |        0.310 |      101.399
     100.501 |        0.334 |      100.835
     100.811 |        0.369 |      101.180
     100.978 |        0.433 |      101.411
     100.757 |        0.790 |      101.546
     101.254 |        0.451 |      101.705
     101.623 |        0.502 |      102.125
     101.671 |        1.033 |      102.704
