  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       7.000 |        0.382 |        2.930 |        3.312
      10.000 |        0.390 |        0.877 |        1.267
       8.000 |        0.387 |        4.334 |        4.720
       7.000 |        0.383 |        4.107 |        4.491
       9.000 |        0.387 |        0.922 |        1.308
       7.000 |        0.392 |        1.097 |        1.489
       7.000 |        0.385 |        1.467 |        1.852
       6.000 |        0.369 |        2.287 |        2.656
       9.000 |        0.391 |        0.806 |        1.197
      10.000 |        0.369 |        2.670 |        3.039
       6.000 |        0.393 |        2.184 |        2.577
      10.000 |        0.381 |        1.321 |        1.703
       8.000 |        0.375 |        2.752 |        3.127
      11.000 |        0.373 |        6.144 |        6.517
      11.000 |        0.382 |        0.932 |        1.313
       8.000 |        0.385 |        3.050 |        3.435
      10.000 |        0.393 |        1.102 |        1.495
       5.000 |        0.396 |        1.259 |        1.655
       6.000 |        0.386 |        6.305 |        6.691
       8.000 |        0.382 |        2.039 |        2.421
      11.000 |        0.387 |        6.431 |        6.818
       9.000 |        0.393 |        3.171 |        3.565
      13.000 |        0.349 |        0.780 |        1.128
       6.000 |        0.379 |        3.937 |        4.317
       4.000 |        0.383 |        1.832 |        2.214
       9.000 |        0.399 |        1.654 |        2.053
       7.000 |        0.386 |        0.885 |        1.272
      10.000 |        0.351 |        3.074 |        3.425
       5.000 |        0.384 |        0.731 |        1.115
       6.000 |        0.385 |        2.898 |        3.283
       9.000 |        0.393 |        4.486 |        4.879
      10.000 |        0.370 |        2.091 |        2.461
      10.000 |        0.386 |        1.266 |        1.652
      10.000 |        0.379 |        3.214 |        3.592
       7.000 |        0.390 |        1.119 |        1.509
       8.000 |        0.392 |        2.948 |        3.341
      12.000 |        0.348 |        4.616 |        4.964
       9.000 |        0.417 |        0.793 |        1.210
      11.000 |        0.373 |        1.633 |        2.006
      12.000 |        0.383 |        0.843 |        1.226
       7.000 |        0.376 |        2.233 |        2.609
       7.000 |        0.391 |        1.217 |        1.609
       9.000 |        0.407 |        0.944 |        1.351
      11.000 |        0.395 |        5.384 |        5.778
      11.000 |        0.400 |        2.706 |        3.105
       8.000 |        0.266 |        1.054 |        1.320
       5.000 |        0.383 |        1.351 |        1.733
      13.000 |        0.389 |        3.743 |        4.132
       9.000 |        0.366 |        0.692 |        1.058
       7.000 |        0.391 |        1.026 |        1.417
       8.000 |        0.389 |        0.700 |        1.089
      11.000 |        0.379 |        1.581 |        1.959
       9.000 |        0.400 |        1.718 |        2.118
       9.000 |        0.378 |        1.248 |        1.625
      10.000 |        0.352 |        1.056 |        1.409
       8.000 |        0.431 |        3.546 |        3.977
       7.000 |        0.423 |        6.359 |        6.782
      10.000 |        0.389 |        3.680 |        4.070
       5.000 |        0.381 |        1.263 |        1.644
      10.000 |        0.383 |        1.420 |        1.803
       5.000 |        0.398 |        1.967 |        2.365
       9.000 |        0.385 |        4.614 |        4.998
      17.000 |        0.397 |        3.131 |        3.528
      10.000 |        0.380 |        0.936 |        1.316
       5.000 |        0.389 |        4.938 |        5.326
      14.000 |        0.372 |        0.735 |        1.107
       5.000 |        0.392 |        4.020 |        4.412
       6.000 |        0.384 |        2.288 |        2.672
       9.000 |        0.381 |        1.420 |        1.801
       6.000 |        0.375 |        0.914 |        1.289
       6.000 |        0.380 |        2.334 |        2.714
       7.000 |        0.382 |        0.892 |        1.275
       5.000 |        0.361 |        0.803 |        1.164
      12.000 |        0.377 |        1.542 |        1.919
      11.000 |        0.395 |        2.601 |        2.996
       6.000 |        0.388 |        1.697 |        2.085
      11.000 |        0.377 |        3.578 |        3.955
      12.000 |        0.390 |        3.497 |        3.887
       8.000 |        0.329 |        0.732 |        1.061
       6.000 |        0.381 |        0.934 |        1.316
       8.000 |        0.397 |        1.965 |        2.362
      10.000 |        0.367 |        0.764 |        1.131
      10.000 |        0.406 |        1.585 |        1.991
      10.000 |        0.385 |        1.287 |        1.672
      11.000 |        0.382 |        1.336 |        1.717
       7.000 |        0.381 |        4.695 |        5.076
       6.000 |        0.397 |        2.989 |        3.386
      10.000 |        0.394 |        0.815 |        1.209
       8.000 |        0.372 |        2.668 |        3.040
      10.000 |        0.387 |        3.152 |        3.539
       5.000 |        0.388 |        1.162 |        1.550
      14.000 |        0.379 |        1.399 |        1.778
      10.000 |        0.378 |        0.810 |        1.189
       5.000 |        0.376 |        1.337 |        1.713
       4.000 |        0.382 |        3.755 |        4.137
       8.000 |        0.385 |        1.562 |        1.948
       8.000 |        0.387 |        0.496 |        0.883
      11.000 |        0.380 |        0.878 |        1.259
      12.000 |        0.394 |        1.189 |        1.583
       7.000 |        0.412 |        0.783 |        1.195
