p95, p99, cpufreq, cpunumber, qps, energyconsumption
5606.51801435,5873.1458254300005,1.0GHz,1,500,1849953821
68065.78712585,70868.12335485,1.0GHz,1,1000,3692457283
131173.73450195,136578.43432176,1.0GHz,1,1500,5555111206
192816.09401194993,201028.0291464,1.0GHz,1,2000,7384134478
255353.43439189997,265882.72573237005,1.0GHz,1,2500,9218412436
317377.73118774995,330823.05626310006,1.0GHz,1,3000,-251086082255
382820.22878325,399009.30649580003,1.0GHz,1,3500,12995696711
443568.6666857,462159.57741822005,1.0GHz,1,4000,14777019361
506526.83805649995,527726.93445782,1.0GHz,1,4500,16641836181
570679.5762348499,594819.45381262,1.0GHz,1,5000,18536952972
627862.1285558001,654235.86993632,1.0GHz,1,5500,20216083378
694598.6370632,723881.03974332,1.0GHz,1,6000,22186244167
7.047913549999999,9.813776309999987,1.0GHz,2,500,1549849426
6410.845337749999,6640.1001646800005,1.0GHz,2,1000,1941722141
39488.317699600004,41073.2699739,1.0GHz,2,1500,2952633005
70848.49108699999,73885.04017401,1.0GHz,2,2000,3932752506
103096.55289620001,107308.29697523001,1.0GHz,2,2500,4921642125
134659.30119129998,140409.57946129,1.0GHz,2,3000,5895166183
166506.64757174999,173485.73712038004,1.0GHz,2,3500,6869166558
198387.70202634996,206664.05697146998,1.0GHz,2,4000,7824315236
233094.85128209996,242884.88297565002,1.0GHz,2,4500,8898579332
260837.40731804998,271888.2441480601,1.0GHz,2,5000,9728325254
295349.81384819996,307755.94771256996,1.0GHz,2,5500,10801022887
327349.87097695,341152.25777191,1.0GHz,2,6000,11790200225
5.75014835,6.67440875,1.0GHz,3,500,1560142735
8.049508599999996,11.472500450000013,1.0GHz,3,1000,1728748382
6519.6773241500005,6730.85951581,1.0GHz,3,1500,1990569489
27357.18118175,28544.674464189997,1.0GHz,3,2000,2645627993
48688.6394189,50642.249094850005,1.0GHz,3,2500,3308699354
70122.27784035,73103.28726318,1.0GHz,3,3000,3983511592
90814.69227399997,94675.48160706,1.0GHz,3,3500,4634204751
112119.87041825,116845.05800271001,1.0GHz,3,4000,5305827176
132935.30576035,138518.02580318,1.0GHz,3,4500,5955740796
154560.56807325,161124.66041532002,1.0GHz,3,5000,6635836650
175123.3249118,182470.65196555,1.0GHz,3,5500,7281959751
197124.81134144997,205425.09896862,1.0GHz,3,6000,7963711485
5.618229199999999,6.46586178,1.0GHz,4,500,1534015299
5.829130349999997,6.818375460000002,1.0GHz,4,1000,1733758501
9.0204394,12.659557459999965,1.0GHz,4,1500,1846538241
6425.224960799999,6723.16169396,1.0GHz,4,2000,2098959593
22201.96036055,23069.30454445,1.0GHz,4,2500,2618084484
38100.722767349995,39726.88295185001,1.0GHz,4,3000,3144261848
54086.53169484998,56394.931426819996,1.0GHz,4,3500,3673170040
69535.41659394998,72474.52077404002,1.0GHz,4,4000,-257962990065
85953.8722071,89562.97409839,1.0GHz,4,4500,4722794916
101156.34683245,105462.71542217,1.0GHz,4,5000,5228448590
117800.77462074999,122740.53088290001,1.0GHz,4,5500,5770685544
133039.3500582,138639.09999146,1.0GHz,4,6000,6278178569
5.621975849999999,6.479892279999996,1.0GHz,5,500,1604737652
5.6419957499999995,6.5359666800000005,1.0GHz,5,1000,1747937542
5.975745850000001,7.173833909999997,1.0GHz,5,1500,1853645829
10.696881599999998,14.828059299999996,1.0GHz,5,2000,1915540995
6517.8697769,6738.14149803,1.0GHz,5,2500,2158249113
19278.07839905,20102.57994871,1.0GHz,5,3000,2589674828
32012.52044965,33385.52534708,1.0GHz,5,3500,3021459306
44996.24678134999,46906.44004982,1.0GHz,5,4000,3465718423
57684.0322536,60109.11748435,1.0GHz,5,4500,3888824762
70196.67232430002,73195.96953352001,1.0GHz,5,5000,4316273741
82877.69098239999,86354.58277605,1.0GHz,5,5500,4740629404
96322.70912490001,100368.39645286,1.0GHz,5,6000,5196950686
5.630214950000001,6.487647839999999,1.0GHz,6,500,1596786561
5.61912655,6.4948207,1.0GHz,6,1000,1766955621
5.7034654000000025,6.637895009999991,1.0GHz,6,1500,1873044399
6.224254299999998,7.769524229999997,1.0GHz,6,2000,1944134000
14.234049399999982,18.99344145,1.0GHz,6,2500,1999559579
8442.4019056,8813.63842527,1.0GHz,6,3000,2306462357
17817.91978315,18594.40109805,1.0GHz,6,3500,2646002626
28326.4864747,29542.07445932,1.0GHz,6,4000,3009053393
39236.77157385,40887.77093695,1.0GHz,6,4500,3395249609
50176.2926823,52319.99238842999,1.0GHz,6,5000,3787459359
60483.695074799994,63003.30541036,1.0GHz,6,5500,4145445747
70808.21794485,73780.79234047001,1.0GHz,6,6000,4500152542
5.6443093,6.50970629,1.0GHz,7,500,1583518101
5.640444899999999,6.5195123100000005,1.0GHz,7,1000,1772973732
5.6870973000000005,6.583443889999999,1.0GHz,7,1500,1894029209
5.798764399999999,6.76489002,1.0GHz,7,2000,1973551405
6.661747349999997,8.870537100000009,1.0GHz,7,2500,2041076562
30.091423849999984,42.46881555000004,1.0GHz,7,3000,2090939350
7747.8254292,8105.365273190001,1.0GHz,7,3500,2381042306
16862.064438949998,17599.71304929,1.0GHz,7,4000,2713389721
