  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       8.000 |      178.403 |        0.809 |      179.212
       4.000 |      178.556 |        1.154 |      179.710
       9.000 |      178.509 |        0.940 |      179.449
      10.000 |      177.320 |        0.431 |      177.751
       6.000 |      177.820 |        0.911 |      178.730
       9.000 |      177.866 |        0.930 |      178.796
      10.000 |      177.787 |        1.420 |      179.207
       6.000 |      176.568 |        0.707 |      177.275
       8.000 |      180.948 |        1.417 |      182.366
       7.000 |      182.040 |        0.943 |      182.983
      11.000 |      181.213 |        1.048 |      182.261
       7.000 |      184.537 |        0.733 |      185.270
       8.000 |      185.482 |        1.082 |      186.565
       4.000 |      184.794 |        0.767 |      185.562
       8.000 |      185.118 |        1.268 |      186.386
       8.000 |      186.222 |        1.933 |      188.155
      10.000 |      185.063 |        1.256 |      186.319
      10.000 |      186.498 |        0.945 |      187.444
       5.000 |      186.520 |        1.505 |      188.026
       6.000 |      186.882 |        0.896 |      187.778
      10.000 |      187.326 |        0.677 |      188.003
       6.000 |      185.880 |        1.424 |      187.304
      10.000 |      186.670 |        0.795 |      187.465
      10.000 |      185.899 |        2.152 |      188.051
       6.000 |      186.472 |        0.619 |      187.091
      12.000 |      186.203 |        2.161 |      188.364
      10.000 |      186.227 |        0.845 |      187.072
       6.000 |      186.641 |        0.572 |      187.213
      13.000 |      187.563 |        0.800 |      188.363
      12.000 |      188.931 |        1.726 |      190.657
       6.000 |      195.949 |        0.634 |      196.582
       9.000 |      195.262 |        1.272 |      196.534
       7.000 |      195.314 |        0.835 |      196.149
      12.000 |      196.313 |        1.025 |      197.338
      11.000 |      196.032 |        0.496 |      196.528
       4.000 |      196.694 |        1.072 |      197.766
       6.000 |      195.606 |        1.354 |      196.960
       7.000 |      194.560 |        0.618 |      195.178
       9.000 |      194.831 |        1.638 |      196.470
      10.000 |      193.708 |        0.821 |      194.529
       5.000 |      194.635 |        0.809 |      195.444
      12.000 |      198.869 |        0.947 |      199.816
       4.000 |      208.124 |        1.860 |      209.984
      14.000 |      206.846 |        0.666 |      207.512
      10.000 |      207.543 |        0.774 |      208.317
       6.000 |      207.793 |        3.458 |      211.250
       6.000 |      207.277 |        1.346 |      208.623
       8.000 |      207.742 |        2.234 |      209.976
       7.000 |      210.211 |        0.716 |      210.927
       6.000 |      213.068 |        1.486 |      214.554
      12.000 |      212.760 |        1.042 |      213.802
      14.000 |      212.474 |        1.030 |      213.503
      10.000 |      211.448 |        0.661 |      212.108
       7.000 |      211.159 |        0.410 |      211.569
       6.000 |      211.446 |        1.431 |      212.877
       8.000 |      211.168 |        0.916 |      212.084
       7.000 |      210.315 |        0.732 |      211.047
       8.000 |      210.835 |        2.101 |      212.936
       7.000 |      213.531 |        1.154 |      214.685
       8.000 |      213.754 |        3.225 |      216.978
       9.000 |      209.798 |        0.817 |      210.615
       8.000 |      211.448 |        3.252 |      214.700
      12.000 |      210.152 |        1.116 |      211.268
       9.000 |      211.233 |        1.917 |      213.149
      12.000 |      210.484 |        0.903 |      211.387
      10.000 |      209.858 |        0.721 |      210.578
      10.000 |      210.736 |        1.776 |      212.513
       6.000 |      210.241 |        0.840 |      211.082
      10.000 |      210.185 |        1.196 |      211.381
       8.000 |      211.202 |        3.017 |      214.219
       7.000 |      211.121 |        4.153 |      215.274
      10.000 |      210.924 |        0.649 |      211.573
       4.000 |      210.088 |        0.621 |      210.709
       5.000 |      209.536 |        3.219 |      212.755
      10.000 |      209.428 |        0.781 |      210.209
      15.000 |      209.409 |        1.138 |      210.546
       7.000 |      209.566 |        2.174 |      211.740
      12.000 |      209.099 |        1.096 |      210.195
       7.000 |      208.973 |        1.065 |      210.038
       4.000 |      208.945 |        0.831 |      209.775
      11.000 |      208.970 |        1.248 |      210.218
       9.000 |      209.544 |        0.605 |      210.149
       8.000 |      208.673 |        2.167 |      210.840
       8.000 |      208.703 |        2.088 |      210.792
      10.000 |      209.532 |        0.849 |      210.380
       7.000 |      209.424 |        1.456 |      210.879
       8.000 |      210.028 |        0.488 |      210.516
       7.000 |      210.153 |        1.192 |      211.346
       9.000 |      210.139 |        0.938 |      211.077
       9.000 |      209.531 |        0.595 |      210.126
       5.000 |      209.044 |        0.726 |      209.770
      12.000 |      209.313 |        2.658 |      211.970
      11.000 |      209.640 |        2.609 |      212.249
       9.000 |      208.356 |        0.488 |      208.844
       8.000 |      208.717 |        1.232 |      209.950
       9.000 |      208.368 |        1.073 |      209.441
      11.000 |      207.448 |        2.026 |      209.475
       8.000 |      208.462 |        1.023 |      209.485
       7.000 |      208.604 |        0.883 |      209.487
       9.000 |      207.005 |        1.122 |      208.127
      12.000 |      209.522 |        0.539 |      210.060
       7.000 |      207.267 |        1.823 |      209.090
      10.000 |      208.719 |        0.608 |      209.327
       9.000 |      211.787 |        0.964 |      212.752
       8.000 |      212.638 |        1.441 |      214.079
      12.000 |      214.426 |        0.652 |      215.078
       9.000 |      214.436 |        1.151 |      215.587
       6.000 |      213.640 |        0.904 |      214.543
       5.000 |      213.362 |        0.613 |      213.975
       5.000 |      214.093 |        0.653 |      214.746
       6.000 |      213.714 |        0.644 |      214.358
      12.000 |      216.243 |        1.329 |      217.572
       9.000 |      217.028 |        0.608 |      217.636
       7.000 |      216.981 |        0.892 |      217.873
       7.000 |      216.491 |        1.303 |      217.794
      12.000 |      221.318 |        0.929 |      222.248
      14.000 |      223.284 |        1.159 |      224.443
      12.000 |      222.095 |        1.609 |      223.704
      13.000 |      221.219 |        1.582 |      222.802
      11.000 |      221.972 |        2.101 |      224.073
       6.000 |      221.160 |        0.775 |      221.935
      11.000 |      220.608 |        1.423 |      222.031
      10.000 |      220.714 |        0.724 |      221.438
      12.000 |      219.269 |        0.530 |      219.799
       7.000 |      218.879 |        0.579 |      219.458
      10.000 |      219.860 |        2.162 |      222.022
       8.000 |      222.908 |        1.319 |      224.227
      16.000 |      221.780 |        0.910 |      222.690
       7.000 |      218.323 |        0.553 |      218.877
       8.000 |      218.662 |        1.957 |      220.620
      11.000 |      217.137 |        0.873 |      218.010
       6.000 |      218.862 |        0.580 |      219.442
       7.000 |      219.477 |        0.563 |      220.040
       8.000 |      219.909 |        3.187 |      223.095
       9.000 |      217.763 |        0.660 |      218.423
       8.000 |      217.217 |        0.852 |      218.070
       5.000 |      220.289 |        3.923 |      224.213
      10.000 |      217.023 |        2.484 |      219.508
       5.000 |      216.951 |        2.845 |      219.795
      14.000 |      218.597 |        3.894 |      222.491
       6.000 |      217.394 |        1.545 |      218.939
       6.000 |      217.058 |        2.058 |      219.116
      10.000 |      217.366 |        2.063 |      219.429
       8.000 |      216.570 |        1.659 |      218.229
       8.000 |      217.840 |        4.419 |      222.259
       6.000 |      217.551 |        3.556 |      221.107
       8.000 |      217.380 |        2.481 |      219.861
       6.000 |      216.902 |        1.596 |      218.498
       8.000 |      215.856 |        0.973 |      216.829
      10.000 |      216.698 |        1.454 |      218.152
       9.000 |      215.976 |        1.012 |      216.988
       7.000 |      215.865 |        0.803 |      216.667
      11.000 |      217.277 |        2.577 |      219.854
       6.000 |      216.122 |        0.616 |      216.738
       7.000 |      217.126 |        2.540 |      219.666
       8.000 |      216.298 |        1.157 |      217.455
      12.000 |      215.892 |        1.812 |      217.704
       6.000 |      216.994 |        2.934 |      219.928
      13.000 |      216.137 |        1.152 |      217.290
      13.000 |      215.946 |        2.943 |      218.889
       9.000 |      214.622 |        0.940 |      215.562
       9.000 |      214.507 |        1.251 |      215.759
       7.000 |      216.854 |        2.535 |      219.389
       8.000 |      215.484 |        1.035 |      216.518
       5.000 |      216.975 |        1.885 |      218.859
      10.000 |      213.942 |        0.619 |      214.561
       5.000 |      215.489 |        1.496 |      216.985
       5.000 |      214.601 |        1.336 |      215.938
       7.000 |      214.288 |        1.314 |      215.602
      10.000 |      214.350 |        1.804 |      216.154
       4.000 |      213.904 |        1.074 |      214.978
      12.000 |      213.174 |        1.594 |      214.768
       6.000 |      213.341 |        2.565 |      215.906
       6.000 |      213.163 |        2.088 |      215.251
       4.000 |      213.451 |        1.791 |      215.242
       3.000 |      216.723 |        4.479 |      221.202
      10.000 |      213.370 |        1.783 |      215.152
       7.000 |      213.252 |        2.572 |      215.823
       9.000 |      214.169 |        0.840 |      215.009
       4.000 |      213.593 |        2.015 |      215.608
      13.000 |      213.761 |        2.646 |      216.407
      12.000 |      214.136 |        1.669 |      215.805
      10.000 |      214.276 |        1.671 |      215.947
       8.000 |      214.087 |        2.996 |      217.083
       5.000 |      214.725 |        1.197 |      215.922
      12.000 |      214.607 |        1.644 |      216.250
       7.000 |      214.652 |        1.979 |      216.631
      10.000 |      214.114 |        1.521 |      215.636
      13.000 |      212.505 |        0.944 |      213.449
       9.000 |      212.936 |        1.273 |      214.209
      17.000 |      212.517 |        1.087 |      213.604
      11.000 |      212.189 |        1.233 |      213.422
       9.000 |      213.315 |        2.367 |      215.682
       5.000 |      212.319 |        1.226 |      213.545
       6.000 |      212.219 |        1.232 |      213.451
      13.000 |      212.249 |        1.714 |      213.963
       9.000 |      213.506 |        2.852 |      216.357
      10.000 |      212.137 |        1.396 |      213.533
       9.000 |      213.161 |        3.012 |      216.173
      11.000 |      212.433 |        0.769 |      213.202
       4.000 |      213.030 |        1.353 |      214.383
      16.000 |      212.787 |        1.076 |      213.862
      12.000 |      212.778 |        2.302 |      215.080
       8.000 |      212.405 |        2.703 |      215.108
      11.000 |      213.596 |        1.857 |      215.452
      10.000 |      213.494 |        0.835 |      214.329
      10.000 |      213.325 |        1.567 |      214.892
       8.000 |      212.980 |        1.847 |      214.827
       8.000 |      213.564 |        1.267 |      214.831
      13.000 |      213.935 |        1.203 |      215.138
       7.000 |      213.870 |        2.323 |      216.194
       8.000 |      213.780 |        2.860 |      216.640
      11.000 |      213.468 |        2.311 |      215.779
       6.000 |      214.270 |        0.941 |      215.210
      12.000 |      214.331 |        1.283 |      215.614
       3.000 |      214.503 |        1.675 |      216.178
       8.000 |      214.811 |        1.421 |      216.232
       7.000 |      215.158 |        0.991 |      216.149
      12.000 |      214.371 |        1.649 |      216.021
       7.000 |      214.973 |        0.826 |      215.799
      16.000 |      215.139 |        0.920 |      216.059
       9.000 |      214.925 |        0.564 |      215.489
      10.000 |      216.067 |        1.609 |      217.676
      12.000 |      215.673 |        1.059 |      216.732
       7.000 |      215.720 |        0.669 |      216.389
      12.000 |      214.290 |        0.624 |      214.915
      14.000 |      215.841 |        1.785 |      217.626
       6.000 |      215.670 |        2.476 |      218.146
      12.000 |      213.625 |        2.909 |      216.534
       9.000 |      216.477 |        1.004 |      217.481
       9.000 |      214.733 |        1.245 |      215.978
       7.000 |      213.867 |        0.815 |      214.683
       7.000 |      214.617 |        3.342 |      217.958
       7.000 |      215.651 |        2.192 |      217.842
       5.000 |      219.757 |        1.484 |      221.241
      12.000 |      218.903 |        0.852 |      219.755
       8.000 |      219.500 |        0.665 |      220.165
       5.000 |      219.198 |        1.672 |      220.869
      10.000 |      218.941 |        1.231 |      220.172
       7.000 |      219.145 |        1.237 |      220.382
       6.000 |      218.780 |        2.140 |      220.920
       7.000 |      219.337 |        1.988 |      221.325
      11.000 |      220.011 |        0.472 |      220.483
       5.000 |      220.194 |        1.645 |      221.838
       9.000 |      219.672 |        1.008 |      220.681
       4.000 |      218.185 |        3.215 |      221.400
      10.000 |      219.838 |        1.080 |      220.918
      10.000 |      219.645 |        0.576 |      220.220
       6.000 |      218.432 |        2.457 |      220.889
       6.000 |      219.337 |        1.382 |      220.719
       7.000 |      219.761 |        0.932 |      220.694
       7.000 |      220.639 |        0.596 |      221.234
       9.000 |      222.000 |        0.822 |      222.822
       9.000 |      221.876 |        0.541 |      222.417
       8.000 |      223.493 |        0.584 |      224.077
       7.000 |      220.253 |        0.682 |      220.935
      11.000 |      222.273 |        2.039 |      224.311
      10.000 |      222.354 |        1.369 |      223.723
      10.000 |      220.159 |        1.383 |      221.542
      11.000 |      220.715 |        1.007 |      221.722
       5.000 |      220.608 |        0.726 |      221.335
       9.000 |      219.063 |        2.457 |      221.520
      12.000 |      222.191 |        2.907 |      225.098
      10.000 |      219.556 |        1.649 |      221.206
       9.000 |      219.110 |        1.257 |      220.366
       6.000 |      218.744 |        0.922 |      219.666
       5.000 |      218.714 |        0.890 |      219.604
      16.000 |      219.090 |        0.990 |      220.080
       9.000 |      219.691 |        2.002 |      221.693
      13.000 |      220.577 |        1.925 |      222.503
      10.000 |      220.829 |        2.627 |      223.455
      11.000 |      220.019 |        0.637 |      220.656
       9.000 |      221.070 |        3.779 |      224.849
       5.000 |      220.901 |        0.481 |      221.382
       8.000 |      220.194 |        0.890 |      221.083
      11.000 |      220.928 |        3.026 |      223.954
      10.000 |      220.534 |        0.812 |      221.346
       8.000 |      220.025 |        0.700 |      220.725
       7.000 |      220.042 |        1.046 |      221.087
       7.000 |      219.242 |        0.682 |      219.924
       7.000 |      218.873 |        1.619 |      220.492
       5.000 |      220.167 |        0.802 |      220.969
      10.000 |      218.142 |        3.108 |      221.250
       7.000 |      218.848 |        0.889 |      219.737
       7.000 |      219.772 |        0.671 |      220.443
       6.000 |      220.842 |        2.680 |      223.522
      13.000 |      226.146 |        1.263 |      227.409
      10.000 |      226.451 |        0.622 |      227.073
       5.000 |      226.528 |        0.948 |      227.476
      12.000 |      226.725 |        1.032 |      227.758
      15.000 |      226.295 |        0.708 |      227.002
      13.000 |      226.097 |        1.612 |      227.710
      11.000 |      225.156 |        2.901 |      228.057
       4.000 |      225.632 |        1.366 |      226.998
       7.000 |      226.246 |        0.818 |      227.063
       6.000 |      225.621 |        0.627 |      226.248
       7.000 |      225.377 |        0.593 |      225.971
      12.000 |      226.650 |        1.906 |      228.556
      15.000 |      226.776 |        1.273 |      228.049
       8.000 |      228.668 |        0.976 |      229.644
       7.000 |      229.874 |        0.767 |      230.641
       6.000 |      232.172 |        0.525 |      232.698
       8.000 |      232.703 |        1.581 |      234.284
      12.000 |      236.574 |        1.198 |      237.773
       8.000 |      235.767 |        0.837 |      236.604
      13.000 |      235.781 |        1.386 |      237.167
       6.000 |      235.951 |        0.635 |      236.585
      19.000 |      234.708 |        0.683 |      235.391
       9.000 |      234.167 |        0.799 |      234.966
       9.000 |      234.273 |        2.322 |      236.595
      15.000 |      233.412 |        1.033 |      234.444
       8.000 |      233.344 |        1.018 |      234.362
       6.000 |      233.333 |        3.311 |      236.643
       7.000 |      233.034 |        2.088 |      235.122
      12.000 |      232.849 |        1.342 |      234.191
       8.000 |      232.604 |        1.665 |      234.269
      13.000 |      236.878 |        1.231 |      238.109
       6.000 |      232.200 |        1.179 |      233.379
       6.000 |      237.097 |        0.531 |      237.627
       7.000 |      232.937 |        1.446 |      234.383
      10.000 |      231.968 |        0.991 |      232.959
       3.000 |      232.215 |        0.984 |      233.199
      11.000 |      233.155 |        1.486 |      234.640
       9.000 |      232.417 |        0.926 |      233.342
       8.000 |      232.788 |        0.965 |      233.753
       8.000 |      233.095 |        1.965 |      235.061
       9.000 |      232.685 |        1.201 |      233.886
      10.000 |      232.957 |        0.720 |      233.676
       6.000 |      230.706 |        0.681 |      231.387
       8.000 |      232.441 |        1.165 |      233.606
      12.000 |      230.991 |        0.609 |      231.601
       6.000 |      232.539 |        1.320 |      233.859
       6.000 |      231.102 |        0.825 |      231.927
       8.000 |      230.780 |        1.397 |      232.177
      10.000 |      230.690 |        1.092 |      231.782
       9.000 |      231.259 |        0.574 |      231.833
      12.000 |      230.811 |        1.176 |      231.987
       9.000 |      231.030 |        0.932 |      231.962
       8.000 |      228.958 |        0.867 |      229.825
       9.000 |      230.639 |        1.534 |      232.173
       5.000 |      228.197 |        1.022 |      229.219
       9.000 |      229.519 |        1.499 |      231.019
       4.000 |      226.866 |        0.784 |      227.650
       7.000 |      230.203 |        2.031 |      232.234
       6.000 |      227.033 |        1.124 |      228.157
      11.000 |      226.448 |        1.585 |      228.033
       5.000 |      225.757 |        2.575 |      228.332
       6.000 |      225.873 |        0.997 |      226.870
       6.000 |      225.985 |        3.132 |      229.116
       8.000 |      227.648 |        0.642 |      228.290
      11.000 |      224.773 |        0.545 |      225.318
      10.000 |      225.503 |        0.976 |      226.479
       5.000 |      225.740 |        1.911 |      227.650
      10.000 |      225.433 |        0.892 |      226.325
       9.000 |      225.070 |        1.855 |      226.925
       9.000 |      225.001 |        0.830 |      225.831
       6.000 |      224.276 |        0.842 |      225.118
      11.000 |      224.407 |        0.448 |      224.855
       5.000 |      224.521 |        1.993 |      226.513
       7.000 |      223.646 |        2.542 |      226.188
       7.000 |      223.238 |        2.859 |      226.097
      12.000 |      225.015 |        0.891 |      225.906
      12.000 |      224.390 |        1.236 |      225.627
      15.000 |      223.939 |        0.868 |      224.807
      14.000 |      225.095 |        0.654 |      225.749
      12.000 |      224.314 |        1.905 |      226.219
      12.000 |      224.595 |        0.654 |      225.249
      11.000 |      224.180 |        1.460 |      225.639
       7.000 |      223.908 |        1.893 |      225.801
       7.000 |      223.859 |        3.159 |      227.019
      10.000 |      224.617 |        1.223 |      225.840
      11.000 |      224.483 |        0.925 |      225.408
       7.000 |      226.013 |        1.744 |      227.757
       7.000 |      225.102 |        0.756 |      225.858
       4.000 |      224.900 |        1.647 |      226.546
      14.000 |      224.823 |        1.078 |      225.901
       7.000 |      224.559 |        1.901 |      226.460
       8.000 |      225.413 |        0.887 |      226.300
       9.000 |      225.271 |        1.109 |      226.380
       6.000 |      226.097 |        0.552 |      226.650
       7.000 |      225.608 |        1.071 |      226.679
       8.000 |      223.574 |        2.078 |      225.652
       7.000 |      224.731 |        0.741 |      225.472
      10.000 |      223.800 |        1.939 |      225.739
       8.000 |      224.604 |        0.849 |      225.453
      10.000 |      224.017 |        0.635 |      224.652
       9.000 |      224.116 |        0.521 |      224.637
       5.000 |      225.115 |        1.552 |      226.667
       7.000 |      224.760 |        1.376 |      226.136
      11.000 |      224.181 |        1.241 |      225.421
       7.000 |      222.459 |        0.556 |      223.015
       7.000 |      222.772 |        0.759 |      223.530
      12.000 |      224.232 |        1.073 |      225.305
       9.000 |      224.812 |        1.727 |      226.539
       9.000 |      223.500 |        1.400 |      224.900
       9.000 |      223.494 |        0.873 |      224.367
      10.000 |      223.402 |        0.878 |      224.280
      10.000 |      223.806 |        1.215 |      225.021
       9.000 |      223.462 |        1.194 |      224.657
      13.000 |      223.561 |        0.772 |      224.333
      12.000 |      224.159 |        0.773 |      224.932
      15.000 |      224.347 |        0.719 |      225.066
       5.000 |      223.488 |        1.270 |      224.758
      12.000 |      222.273 |        2.495 |      224.767
      12.000 |      222.850 |        2.700 |      225.549
       6.000 |      224.311 |        0.759 |      225.070
       7.000 |      224.417 |        0.791 |      225.208
       8.000 |      222.716 |        3.388 |      226.105
       7.000 |      225.959 |        0.655 |      226.614
       5.000 |      226.603 |        0.679 |      227.281
      11.000 |      227.717 |        0.475 |      228.192
       7.000 |      227.229 |        0.884 |      228.113
       4.000 |      229.829 |        1.283 |      231.112
       7.000 |      228.427 |        1.644 |      230.070
      11.000 |      228.155 |        1.738 |      229.893
      12.000 |      227.959 |        1.717 |      229.677
       8.000 |      227.682 |        1.617 |      229.298
      10.000 |      228.130 |        0.329 |      228.459
       8.000 |      227.754 |        0.622 |      228.376
       9.000 |      229.331 |        2.482 |      231.812
      17.000 |      227.495 |        2.510 |      230.005
      11.000 |      229.081 |        0.473 |      229.554
       7.000 |      230.319 |        0.897 |      231.216
       7.000 |      229.378 |        0.639 |      230.017
      12.000 |      229.073 |        1.536 |      230.610
       8.000 |      229.841 |        2.047 |      231.888
       5.000 |      231.333 |        1.909 |      233.242
      16.000 |      231.712 |        0.625 |      232.337
       6.000 |      232.395 |        1.004 |      233.399
       7.000 |      231.095 |        1.845 |      232.941
       6.000 |      232.760 |        0.481 |      233.241
       6.000 |      232.739 |        1.734 |      234.473
      12.000 |      233.218 |        1.550 |      234.768
      11.000 |      233.523 |        0.708 |      234.231
       7.000 |      233.791 |        0.763 |      234.554
       5.000 |      233.075 |        2.750 |      235.825
      11.000 |      233.564 |        0.756 |      234.319
      12.000 |      235.034 |        0.614 |      235.647
       8.000 |      233.668 |        0.627 |      234.295
       4.000 |      235.603 |        1.322 |      236.925
       9.000 |      234.414 |        0.765 |      235.180
      11.000 |      233.612 |        0.599 |      234.211
       6.000 |      234.877 |        1.846 |      236.722
       6.000 |      234.249 |        1.434 |      235.683
       6.000 |      233.093 |        1.860 |      234.953
      12.000 |      232.748 |        2.334 |      235.081
       4.000 |      233.751 |        1.006 |      234.757
       8.000 |      233.128 |        2.083 |      235.211
      15.000 |      233.448 |        0.622 |      234.070
      12.000 |      232.817 |        0.868 |      233.685
      10.000 |      232.836 |        0.625 |      233.461
      11.000 |      233.730 |        0.593 |      234.323
       6.000 |      233.301 |        0.845 |      234.146
      10.000 |      233.526 |        0.490 |      234.016
       9.000 |      233.443 |        1.226 |      234.669
       7.000 |      233.112 |        1.381 |      234.493
      10.000 |      233.272 |        1.182 |      234.454
       7.000 |      232.845 |        0.480 |      233.324
       8.000 |      232.471 |        0.672 |      233.143
       7.000 |      232.194 |        0.612 |      232.806
      13.000 |      232.998 |        1.978 |      234.975
       9.000 |      232.302 |        1.095 |      233.397
      14.000 |      233.489 |        2.077 |      235.566
       8.000 |      233.162 |        2.103 |      235.265
      14.000 |      232.905 |        1.032 |      233.936
      11.000 |      231.639 |        1.177 |      232.816
      12.000 |      232.795 |        1.706 |      234.501
       8.000 |      231.987 |        0.982 |      232.969
       8.000 |      233.497 |        2.899 |      236.396
       6.000 |      231.754 |        1.490 |      233.243
       8.000 |      231.875 |        1.086 |      232.961
       4.000 |      232.161 |        0.936 |      233.097
       8.000 |      231.725 |        0.940 |      232.665
       8.000 |      232.228 |        2.292 |      234.520
       9.000 |      231.573 |        0.551 |      232.124
      15.000 |      231.739 |        1.241 |      232.979
       8.000 |      231.249 |        0.485 |      231.734
      13.000 |      231.448 |        1.159 |      232.607
       9.000 |      231.277 |        0.930 |      232.207
      11.000 |      231.523 |        0.572 |      232.095
      10.000 |      231.530 |        2.024 |      233.554
       9.000 |      230.346 |        0.782 |      231.128
      11.000 |      231.793 |        3.389 |      235.182
      13.000 |      231.177 |        2.003 |      233.180
       6.000 |      230.899 |        1.622 |      232.520
      12.000 |      230.933 |        1.287 |      232.221
       9.000 |      232.358 |        2.876 |      235.233
      11.000 |      231.084 |        1.434 |      232.518
       9.000 |      231.445 |        1.093 |      232.538
      10.000 |      230.315 |        0.877 |      231.191
       6.000 |      230.580 |        0.891 |      231.471
       9.000 |      230.645 |        0.859 |      231.505
       9.000 |      230.067 |        0.890 |      230.958
      12.000 |      230.596 |        2.337 |      232.933
       7.000 |      231.509 |        3.070 |      234.579
       9.000 |      230.820 |        0.609 |      231.429
       9.000 |      230.727 |        0.455 |      231.182
       5.000 |      230.374 |        1.936 |      232.310
       9.000 |      230.803 |        3.120 |      233.923
      11.000 |      230.955 |        0.587 |      231.542
       7.000 |      230.989 |        0.922 |      231.911
       6.000 |      229.652 |        2.680 |      232.332
       8.000 |      230.515 |        0.734 |      231.249
      17.000 |      230.412 |        0.535 |      230.947
       8.000 |      230.688 |        0.987 |      231.675
       7.000 |      230.497 |        1.569 |      232.066
