Linux 5.0.0-31-generic (yong) 	11/21/19 	_x86_64_	(48 CPU)

17:00:42        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:00:44          0     12.94      0.00      9.45      0.00      0.00     77.61
17:00:46          0     17.33      0.00      4.95      0.00      0.00     77.72
17:00:48          0     15.84      0.00      7.43      0.00      0.00     76.73
17:00:50          0     16.42      0.00      5.97      0.00      0.00     77.61
17:00:52          0     17.82      0.00      4.95      0.00      0.00     77.23
17:00:54          0     16.92      0.00      4.98      0.00      0.00     78.11
17:00:56          0     18.14      0.00      5.88      0.00      0.00     75.98
17:00:58          0     15.61      0.00      8.29      0.00      0.00     76.10
17:01:00          0     15.84      0.00      7.92      0.00      0.00     76.24
17:01:02          0     16.67      0.00      6.86      0.00      0.00     76.47
17:01:04          0     16.99      0.00      7.77      0.00      0.00     75.24
17:01:06          0     14.50      0.00      7.50      0.00      0.00     78.00
17:01:08          0     15.76      0.00      7.39      0.00      0.00     76.85
17:01:10          0     15.66      0.00      5.56      0.00      0.00     78.79
17:01:12          0     18.05      0.00      6.83      0.00      0.00     75.12
17:01:14          0     17.48      0.00      6.31      0.00      0.00     76.21
17:01:16          0     16.42      0.00      5.97      0.00      0.00     77.61
17:01:18          0     17.16      0.00      7.35      0.00      0.00     75.49
17:01:20          0     17.16      0.00      5.88      0.00      0.00     76.96
17:01:22          0     16.08      0.00      6.03      0.00      0.00     77.89
17:01:24          0     14.50      0.00      7.50      0.00      0.00     78.00
17:01:26          0     17.73      0.00      5.91      0.00      0.00     76.35
17:01:28          0     15.76      0.00      7.88      0.00      0.00     76.35
17:01:30          0     16.08      0.00      5.03      0.00      0.00     78.89
17:01:32          0     18.63      0.00      5.88      0.00      0.00     75.49
17:01:34          0     16.75      0.00      4.06      0.00      0.00     79.19
17:01:36          0     16.50      0.00      6.80      0.00      0.00     76.70
17:01:38          0     13.71      0.00      5.58      0.00      0.00     80.71
17:01:40          0     15.08      0.00      6.03      0.00      0.00     78.89
17:01:42          0     16.42      0.00      6.97      0.00      0.00     76.62
Average:          0     16.34      0.00      6.50      0.00      0.00     77.16
