Linux 5.0.0-31-generic (yong) 	11/21/19 	_x86_64_	(48 CPU)

18:32:04        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:06          0     44.62      0.00     12.82      0.00      0.00     42.56
18:32:06          2     46.56      0.00     10.58      0.00      0.00     42.86
18:32:06          4     47.98      0.00     11.11      0.00      0.00     40.91
18:32:06          6     48.22      0.00     10.66      0.00      0.00     41.12
18:32:06          8     44.04      0.00     12.44      0.00      0.00     43.52
18:32:06         10     47.76      0.00     11.94      0.00      0.00     40.30
18:32:06         12     46.50      0.00     13.00      0.00      0.00     40.50
18:32:06         14     43.68      0.00     12.11      0.00      0.00     44.21
18:32:06         16     47.21      0.00     11.17      0.00      0.00     41.62
18:32:06         18     48.47      0.00     10.20      0.00      0.00     41.33
18:32:06         20     47.00      0.00     12.00      0.00      0.00     41.00
18:32:06         22      0.00      0.00      0.00      0.00      0.00    100.00

18:32:06        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:08          0     49.25      0.00     10.45      0.00      0.00     40.30
18:32:08          2     47.74      0.00     11.56      0.00      0.00     40.70
18:32:08          4     47.72      0.00     11.17      0.00      0.00     41.12
18:32:08          6     46.07      0.00      9.95      0.00      0.00     43.98
18:32:08          8     46.39      0.00     11.86      0.00      0.00     41.75
18:32:08         10     47.40      0.00      9.38      0.00      0.00     43.23
18:32:08         12     44.90      0.00     13.78      0.00      0.00     41.33
18:32:08         14     49.50      0.00     12.00      0.00      0.00     38.50
18:32:08         16     47.15      0.00     10.36      0.00      0.00     42.49
18:32:08         18     46.70      0.00     11.68      0.00      0.00     41.62
18:32:08         20     47.92      0.00      9.90      0.00      0.00     42.19
18:32:08         22      0.00      0.00      0.00      0.00      0.00    100.00

18:32:08        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:10          0     46.39      0.00     11.86      0.00      0.00     41.75
18:32:10          2     49.75      0.00     10.55      0.00      0.00     39.70
18:32:10          4     48.73      0.00     10.15      0.00      0.00     41.12
18:32:10          6     48.72      0.00     11.28      0.00      0.00     40.00
18:32:10          8     45.83      0.00     11.46      0.00      0.00     42.71
18:32:10         10     47.96      0.00     10.20      0.00      0.00     41.84
18:32:10         12     48.21      0.00     10.26      0.00      0.00     41.54
18:32:10         14     47.26      0.00     12.44      0.00      0.00     40.30
18:32:10         16     45.08      0.00     12.44      0.00      0.00     42.49
18:32:10         18     49.75      0.00     10.84      0.00      0.00     39.41
18:32:10         20     47.18      0.00     11.28      0.00      0.00     41.54
18:32:10         22      0.00      0.00      0.00      0.00      0.00    100.00

18:32:10        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:12          0     45.92      0.00     12.76      0.00      0.00     41.33
18:32:12          2     48.19      0.00     10.36      0.00      0.00     41.45
18:32:12          4     47.72      0.00     11.68      0.00      0.00     40.61
18:32:12          6     48.26      0.00     10.45      0.00      0.00     41.29
18:32:12          8     46.11      0.00     11.92      0.00      0.00     41.97
18:32:12         10     49.75      0.00     10.05      0.00      0.00     40.20
18:32:12         12     45.69      0.00     12.18      0.00      0.00     42.13
18:32:12         14     46.63      0.00     11.40      0.00      0.00     41.97
18:32:12         16     47.26      0.00     12.44      0.00      0.00     40.30
18:32:12         18     48.24      0.00     10.55      0.00      0.00     41.21
18:32:12         20     48.29      0.00     11.71      0.00      0.00     40.00
