timestamp,kw_lengh,took_ms
1523550993,4,4837
1523550994,2,1213
1523550998,4,3487
1523551000,4,2350
1523551001,2,1051
1523551002,1,263
1523551003,3,1704
1523551004,2,1019
1523551005,1,504
1523551006,1,782
1523551006,3,911
1523551007,3,981
1523551010,7,2778
1523551011,1,431
1523551012,2,880
1523551014,5,2180
1523551014,1,152
1523551015,5,1222
1523551016,2,504
1523551017,3,1082
1523551017,2,720
1523551018,3,568
1523551019,2,767
1523551020,5,1579
1523551021,3,887
1523551022,3,834
1523551023,3,775
1523551024,2,712
1523551025,5,1295
1523551025,3,368
1523551026,2,1125
1523551027,3,529
1523551028,3,776
1523551028,1,354
1523551029,2,575
1523551029,2,345
1523551030,4,924
1523551031,4,920
1523551032,3,596
1523551034,15,2090
1523551034,2,475
1523551035,4,567
1523551035,2,611
1523551036,3,789
1523551037,3,496
1523551038,3,1124
1523551040,14,1929
1523551040,3,505
1523551041,4,706
1523551042,5,984
1523551043,6,1072
1523551045,12,1525
1523551045,3,665
1523551046,2,595
1523551047,6,799
1523551048,7,1516
1523551048,3,302
1523551049,3,368
1523551050,3,799
1523551051,5,871
1523551051,3,420
1523551052,7,1295
1523551052,2,109
1523551053,2,386
1523551053,3,575
1523551054,5,856
1523551055,1,378
1523551055,5,417
1523551055,1,309
1523551056,1,326
1523551056,3,303
1523551056,2,239
1523551056,1,117
1523551057,3,600
1523551058,2,570
1523551058,4,668
1523551060,13,1327
1523551060,3,420
1523551060,2,254
1523551061,2,353
1523551061,3,614
1523551062,3,622
1523551062,3,427
1523551063,2,346
1523551063,4,746
1523551064,2,870
1523551065,6,899
1523551065,3,292
1523551066,3,309
1523551066,4,448
1523551067,4,593
1523551067,1,45
1523551067,1,31
1523551068,7,924
1523551068,1,164
1523551068,3,344
1523551069,3,620
1523551069,1,182
1523551069,1,271
1523551069,1,20
1523551070,2,289
1523551070,2,218
1523551070,6,363
1523551071,4,495
1523551071,2,442
1523551072,2,444
1523551073,4,728
1523551073,3,165
1523551073,1,21
1523551074,11,979
1523551074,5,680
1523551075,2,214
1523551076,14,1014
1523551076,3,352
