timestamp,kw_lengh,took_ms
1529602509,11,8688
1529602523,14,13340
1529602538,14,13056
1529602547,17,8403
1529602556,11,7886
1529602560,7,3453
1529602566,15,5031
1529602575,17,7975
1529602580,15,3548
1529602585,11,4411
1529602588,7,2107
1529602596,17,6238
1529602599,7,2491
1529602604,16,3901
1529602609,17,4292
1529602614,11,3255
1529602619,14,3769
1529602622,11,2100
1529602626,14,3194
1529602632,14,5245
1529602636,13,2576
1529602642,17,5335
1529602646,13,3010
1529602651,15,3392
1529602654,17,2695
1529602658,14,2433
1529602661,7,2223
1529602665,17,3394
1529602669,14,2405
1529602671,7,1548
1529602675,16,3031
1529602678,12,1824
1529602681,7,1284
1529602684,12,2161
1529602686,14,1555
1529602690,15,2174
1529602691,7,914
1529602694,16,1943
1529602697,15,2031
1529602701,15,1954
1529602703,14,1732
1529602707,11,2552
1529602710,13,1855
1529602712,11,1238
1529602714,15,1264
1529602717,15,1683
1529602719,7,996
1529602721,7,1447
1529602724,11,1179
1529602725,7,474
1529602727,7,1018
1529602729,14,839
1529602732,16,2250
1529602735,11,1252
1529602737,14,1062
1529602739,14,1843
1529602742,16,1358
1529602744,7,1494
1529602747,11,1689
1529602749,11,1076
1529602751,14,1098
1529602753,13,886
1529602756,12,1611
1529602759,14,2115
1529602762,13,1934
1529602765,16,1878
1529602767,13,1151
1529602769,7,863
1529602772,14,2127
1529602776,17,2649
1529602778,11,1343
1529602782,14,2822
1529602784,7,1411
1529602786,7,1112
1529602790,14,2119
1529602792,13,1767
1529602794,16,986
1529602797,17,1413
1529602799,13,1158
1529602801,16,1198
1529602803,16,649
1529602805,7,770
1529602807,17,1579
1529602809,7,1045
1529602811,11,813
1529602813,7,602
1529602815,17,1487
1529602818,16,1458
1529602820,11,1264
1529602823,17,1506
1529602824,7,941
1529602826,11,638
1529602828,12,891
1529602830,13,1106
1529602832,15,1134
1529602834,7,669
1529602836,13,1040
1529602838,16,1009
1529602840,13,618
1529602842,12,1237
1529602844,16,771
1529602845,7,666
1529602847,13,973
1529602850,13,1556
1529602852,15,897
1529602854,15,873
1529602856,15,1432
1529602858,13,860
1529602860,14,818
1529602862,7,900
1529602864,13,693
1529602866,11,1185
1529602867,15,708
1529602869,13,995
1529602872,17,1114
1529602873,11,738
1529602875,7,540
1529602877,13,838
1529602879,14,1190
1529602881,11,621
1529602882,14,847
1529602884,11,889
1529602887,12,1141
1529602889,16,1250
1529602891,12,890
1529602892,7,506
1529602894,12,729
1529602896,17,1041
1529602898,17,648
1529602899,7,768
1529602901,11,509
1529602904,11,1625
1529602906,17,864
1529602907,12,790
1529602909,11,364
1529602910,12,647
1529602912,17,967
1529602915,16,1078
1529602916,17,849
1529602918,14,787
1529602920,15,1149
1529602922,16,846
1529602924,13,684
1529602926,14,602
1529602927,7,769
1529602929,15,732
1529602931,15,789
1529602932,14,569
1529602934,7,460
1529602936,16,940
1529602938,13,931
1529602939,7,299
1529602941,13,576
1529602942,16,640
1529602944,17,788
1529602946,16,1144
1529602948,11,867
1529602950,11,686
1529602952,7,514
1529602953,13,272
1529602955,17,994
1529602957,14,741
1529602958,12,551
1529602960,12,767
1529602961,12,430
1529602964,11,1098
1529602965,14,741
1529602967,7,651
1529602969,15,834
1529602971,12,623
1529602972,17,627
1529602974,7,366
1529602975,16,845
1529602977,14,971
1529602980,14,1075
1529602981,12,597
1529602983,14,997
1529602985,12,570
1529602986,12,396
1529602988,14,953
1529602990,7,503
1529602991,11,549
1529602993,14,788
1529602995,14,628
1529602997,16,899
1529602998,13,438
1529603000,15,696
1529603001,7,469
1529603003,16,630
1529603004,13,592
1529603006,12,563
1529603008,17,712
1529603010,15,866
1529603011,7,554
1529603013,14,584
1529603014,7,642
1529603016,13,452
1529603018,13,587
1529603019,13,621
1529603021,7,431
1529603023,12,1065
1529603024,7,275
1529603025,7,289
1529603027,15,574
1529603028,11,346
1529603030,13,471
1529603031,17,661
1529603033,7,612
1529603035,11,721
1529603037,11,717
1529603038,11,321
1529603039,15,513
1529603041,15,437
1529603042,11,628
1529603044,12,498
1529603045,13,484
1529603047,17,667
1529603049,14,488
1529603050,15,608
1529603052,7,217
1529603053,16,503
1529603055,15,826
1529603056,7,333
1529603058,11,290
1529603060,16,1022
1529603061,14,388
1529603063,12,561
1529603064,15,374
1529603065,11,487
1529603067,14,764
1529603069,14,591
1529603070,7,377
1529603072,12,908
1529603074,15,685
1529603076,12,1543
1529603078,12,989
1529603080,16,1000
1529603082,12,292
1529603083,15,563
1529603085,12,610
1529603087,16,571
1529603088,11,406
1529603090,7,782
1529603091,17,310
1529603093,12,549
1529603094,17,833
1529603096,13,622
1529603097,13,319
1529603099,14,811
1529603101,15,428
1529603102,11,609
1529603104,12,474
1529603105,11,533
1529603108,16,1528
1529603110,17,884
1529603112,13,1390
1529603114,14,718
1529603115,7,306
1529603117,16,833
1529603119,15,591
1529603120,13,361
1529603122,16,624
1529603123,17,433
1529603125,11,438
1529603126,7,366
1529603128,7,373
1529603129,11,694
1529603131,11,426
1529603132,7,608
1529603135,12,1282
1529603136,15,694
1529603138,15,892
1529603140,17,735
1529603142,14,622
1529603143,11,790
1529603145,14,978
1529603147,13,617
1529603149,12,952
1529603151,14,1014
1529603153,15,560
1529603154,12,470
1529603156,7,638
1529603158,17,910
1529603160,13,959
1529603161,17,771
1529603163,16,644
1529603164,7,251
1529603166,14,989
1529603169,11,1277
1529603171,11,848
1529603172,13,516
1529603174,16,849
1529603175,7,290
1529603177,17,681
1529603179,15,627
1529603180,7,318
1529603181,15,479
1529603183,16,419
1529603185,14,674
1529603186,7,322
1529603187,13,446
1529603189,17,576
1529603191,13,628
1529603192,7,519
1529603195,16,1791
1529603196,12,508
1529603198,11,825
1529603200,17,1160
1529603202,14,833
1529603205,16,1224
1529603206,11,798
1529603208,7,541
1529603210,15,1202
1529603212,17,1280
1529603215,14,1521
1529603217,14,666
1529603218,16,681
1529603220,14,809
1529603222,7,513
1529603223,14,769
1529603225,7,552
1529603226,13,409
1529603228,15,485
1529603229,12,333
1529603232,17,1242
1529603233,12,601
1529603235,14,651
1529603237,11,851
1529603238,7,216
1529603240,13,824
1529603241,11,319
1529603243,16,1160
1529603245,16,690
1529603247,14,618
1529603248,16,549
1529603250,16,790
1529603252,15,671
1529603253,13,626
1529603255,16,826
1529603257,15,499
1529603259,7,679
1529603260,12,456
1529603262,14,1008
1529603264,12,930
1529603266,15,778
