timestamp,kw_lengh,took_ms
1529765888,2,540
1529765890,1,356
1529765891,2,667
1529765893,3,955
1529765895,1,482
1529765896,1,288
1529765897,2,122
1529765899,2,464
1529765900,3,308
1529765902,2,405
1529765903,3,682
1529765905,2,281
1529765906,3,609
1529765907,2,63
1529765908,1,177
1529765910,1,260
1529765911,1,24
1529765912,2,646
1529765914,2,231
1529765915,3,373
1529765917,1,466
1529765918,1,415
1529765920,3,536
1529765921,3,572
1529765923,3,397
1529765925,2,806
1529765926,2,344
1529765928,1,608
1529765929,2,188
1529765930,2,664
1529765932,3,619
1529765934,3,580
1529765935,2,308
1529765936,1,351
1529765938,1,281
1529765939,1,33
1529765940,3,654
1529765942,2,474
1529765943,3,118
1529765945,4,808
1529765946,1,22
1529765947,1,78
1529765948,1,234
1529765950,1,346
1529765952,3,717
1529765953,2,232
1529765955,3,773
1529765956,1,662
1529765957,2,61
1529765959,1,612
1529765960,1,429
1529765962,2,473
1529765963,3,478
1529765965,1,362
1529765966,3,569
1529765968,1,154
1529765969,3,290
1529765970,2,406
1529765972,1,623
1529765973,1,433
1529765975,1,213
1529765976,2,195
1529765978,3,584
1529765979,1,201
1529765980,1,662
1529765982,2,371
1529765983,2,435
1529765985,2,397
1529765987,3,757
1529765988,1,621
1529765990,1,616
1529765991,2,105
1529765992,1,21
1529765994,2,760
1529765995,1,222
1529765996,2,185
1529765997,2,121
1529765999,3,132
1529766000,1,38
1529766001,3,694
1529766003,2,374
1529766004,3,637
1529766006,2,245
1529766007,3,248
1529766008,3,223
1529766009,2,244
1529766011,3,237
1529766012,3,583
1529766014,3,568
1529766015,1,124
1529766016,3,234
1529766018,3,642
1529766019,3,424
1529766021,4,699
1529766022,3,82
1529766024,1,424
1529766026,3,939
1529766027,2,481
1529766028,2,280
1529766030,2,507
1529766031,2,468
1529766033,1,33
1529766034,3,327
1529766035,2,181
1529766036,1,231
1529766038,2,504
1529766039,3,67
1529766040,1,184
1529766042,3,382
1529766043,2,214
1529766044,3,617
1529766046,1,224
1529766047,3,187
1529766048,4,322
1529766050,1,295
1529766051,1,236
1529766053,3,1089
1529766055,3,824
1529766057,2,857
1529766058,3,681
1529766060,3,566
1529766062,1,575
1529766063,3,541
1529766065,3,458
1529766066,3,393
1529766068,2,340
1529766069,1,32
1529766070,1,378
1529766072,2,738
