timestamp,kw_lengh,took_ms
1537067008,6,95
1537067009,2,72
1537067011,1,138
1537067012,4,219
1537067013,2,42
1537067014,1,42
1537067016,17,1183
1537067018,4,674
1537067019,1,188
1537067021,13,548
1537067022,2,91
1537067023,1,23
1537067025,5,433
1537067026,15,841
1537067028,1,87
1537067029,3,56
1537067030,3,222
1537067031,5,83
1537067032,2,169
1537067034,2,267
1537067035,1,27
1537067036,2,197
1537067037,5,360
1537067038,2,56
1537067039,2,50
1537067041,4,241
1537067042,3,495
1537067043,3,135
1537067045,4,251
1537067046,2,177
1537067047,2,48
1537067048,2,419
1537067050,3,152
1537067051,4,206
1537067053,17,1010
1537067054,2,53
1537067055,1,25
1537067056,4,136
1537067057,2,67
1537067058,1,27
1537067059,1,23
1537067060,1,22
1537067062,3,191
1537067063,4,270
1537067064,4,144
1537067065,2,138
1537067067,2,331
1537067068,3,145
1537067070,14,1046
1537067071,1,51
1537067072,1,263
1537067073,2,65
1537067075,1,281
1537067076,1,105
1537067077,4,361
1537067078,1,36
1537067080,2,400
1537067081,3,162
1537067082,3,370
1537067084,4,215
1537067085,1,35
1537067086,1,24
1537067087,5,467
1537067088,1,19
1537067089,1,22
1537067091,1,290
1537067092,3,509
1537067093,3,35
1537067094,1,24
1537067096,2,272
1537067097,4,221
1537067098,3,148
1537067099,3,258
1537067101,4,132
1537067102,11,424
1537067103,1,21
1537067104,1,30
1537067105,2,48
1537067106,2,133
1537067108,2,48
1537067109,5,205
1537067110,1,133
1537067111,3,270
1537067112,1,27
1537067113,1,86
1537067115,4,369
1537067116,2,372
1537067118,17,677
1537067120,3,548
1537067121,3,80
1537067122,1,106
1537067123,3,300
1537067124,1,22
1537067125,1,23
1537067126,2,122
1537067128,4,347
1537067129,4,346
1537067130,1,110
1537067131,3,73
1537067133,1,86
1537067134,1,28
1537067135,1,237
1537067136,3,102
1537067138,2,453
1537067139,2,66
1537067140,4,119
1537067141,3,62
1537067143,16,481
1537067144,1,237
1537067145,3,106
1537067146,3,157
1537067147,3,242
1537067149,3,128
1537067150,4,149
1537067151,14,478
1537067153,3,276
1537067154,2,116
1537067155,5,404
1537067157,4,172
1537067158,4,668
1537067160,2,359
1537067161,6,173
1537067163,5,580
1537067164,7,117
1537067165,3,390
1537067167,2,391
1537067168,1,101
1537067169,4,373
1537067171,1,623
1537067172,5,346
1537067173,2,55
1537067175,4,299
1537067176,1,27
1537067177,12,294
1537067178,4,85
1537067179,3,351
1537067181,3,76
1537067182,3,528
1537067184,5,550
1537067185,4,305
1537067186,4,43
1537067188,5,514
1537067189,3,197
1537067190,1,105
1537067191,1,29
1537067192,1,262
1537067194,4,277
1537067195,3,589
1537067197,4,277
1537067198,3,144
1537067199,3,157
1537067200,1,21
1537067201,3,82
1537067202,3,51
1537067203,1,20
1537067204,3,80
1537067206,7,542
1537067207,2,245
1537067208,1,23
1537067210,7,363
1537067211,2,264
1537067212,1,27
1537067213,3,41
1537067214,4,159
1537067215,3,50
1537067217,2,42
1537067218,4,438
1537067219,3,218
1537067221,4,546
1537067222,5,422
1537067224,4,536
1537067225,3,546
1537067227,1,30
1537067228,4,296
1537067229,3,131
1537067231,7,523
1537067233,16,1460
1537067234,2,86
1537067236,3,368
1537067237,3,377
1537067238,4,241
1537067240,3,102
1537067241,4,295
1537067242,3,69
1537067243,2,38
1537067244,2,136
1537067245,1,50
1537067247,3,335
1537067248,2,37
1537067249,5,203
1537067250,2,121
1537067252,3,404
1537067253,2,43
1537067254,1,14
1537067255,3,59
1537067256,2,53
1537067257,4,367
1537067259,5,820
1537067260,1,105
1537067261,1,65
1537067262,2,104
1537067264,11,604
1537067265,2,163
1537067266,2,115
1537067268,1,24
1537067269,7,604
1537067270,2,95
1537067272,3,509
1537067273,4,144
1537067274,4,76
1537067275,1,24
1537067277,3,311
1537067278,6,295
1537067279,3,85
1537067280,1,28
1537067282,4,498
1537067283,2,73
1537067284,1,107
1537067285,4,165
1537067286,2,118
1537067288,5,535
1537067289,1,27
1537067290,6,363
1537067292,3,686
1537067293,1,56
1537067294,2,127
1537067295,4,73
1537067297,2,52
1537067298,15,702
1537067300,2,224
1537067301,3,281
1537067302,5,293
1537067303,2,54
1537067305,2,256
1537067306,2,69
1537067307,3,349
1537067308,2,38
1537067309,3,174
1537067311,2,192
1537067312,15,865
1537067314,1,37
1537067315,4,293
1537067316,4,248
1537067317,7,249
1537067319,1,137
