timestamp,kw_lengh,took_ms
1537146880,2,377
1537146881,3,62
1537146882,6,341
1537146884,4,337
1537146885,3,587
1537146887,4,391
1537146888,6,322
1537146890,1,329
1537146891,1,24
1537146892,2,323
1537146893,2,47
1537146894,2,62
1537146895,1,21
1537146896,2,53
1537146898,6,734
1537146899,2,131
1537146901,4,684
1537146902,3,51
1537146904,17,815
1537146905,1,48
1537146906,2,49
1537146908,2,393
1537146909,4,69
1537146910,4,321
1537146911,2,75
1537146912,4,82
1537146913,1,19
1537146915,4,179
1537146916,2,112
1537146917,4,154
1537146918,2,66
1537146919,1,261
1537146921,3,158
1537146922,1,82
1537146923,2,480
1537146925,3,297
1537146926,2,62
1537146927,3,444
1537146928,5,232
1537146930,14,655
1537146931,1,26
1537146932,1,24
1537146933,1,14
1537146934,2,74
1537146936,6,553
1537146937,3,78
1537146938,2,56
1537146940,1,287
1537146941,3,40
1537146942,3,214
1537146943,2,128
1537146944,6,312
1537146946,4,441
1537146947,4,453
1537146949,2,55
1537146950,1,34
1537146951,1,38
1537146952,1,41
1537146953,3,353
1537146954,4,89
1537146956,2,336
1537146957,6,657
1537146959,7,213
1537146960,2,397
1537146962,5,480
1537146963,1,20
1537146964,5,515
1537146965,3,270
1537146967,3,85
1537146968,2,68
1537146969,6,565
1537146970,2,117
1537146972,1,325
1537146974,16,638
1537146975,1,28
1537146976,5,457
1537146977,2,99
1537146978,3,48
1537146979,3,69
1537146981,5,297
1537146983,6,711
1537146984,2,98
1537146985,1,40
1537146986,4,696
1537146988,4,429
1537146989,4,172
1537146991,7,829
1537146992,6,279
1537146994,3,383
1537146995,1,43
1537146996,4,79
1537146997,3,412
1537146999,3,349
1537147000,1,53
1537147001,1,40
1537147002,1,297
1537147004,3,215
1537147005,4,79
1537147006,1,27
1537147008,3,741
1537147009,1,32
1537147010,3,219
1537147011,4,164
1537147012,4,91
1537147014,2,376
1537147015,5,401
1537147016,3,355
1537147018,3,235
1537147019,1,51
1537147020,3,370
1537147021,1,32
1537147022,1,32
1537147023,1,50
1537147025,1,523
1537147026,1,31
1537147027,3,71
1537147028,2,56
1537147030,7,382
1537147031,3,58
1537147032,1,52
1537147033,2,49
1537147035,6,590
1537147036,6,124
1537147037,1,28
1537147039,4,740
1537147040,1,19
1537147041,4,448
1537147042,4,67
1537147043,2,61
1537147044,1,20
1537147045,1,39
1537147047,2,61
1537147048,2,218
1537147049,1,368
1537147051,3,442
1537147052,2,48
1537147053,1,19
1537147054,1,26
1537147055,1,253
1537147057,13,491
1537147058,3,81
1537147059,4,112
1537147060,1,48
1537147062,3,379
1537147063,2,155
1537147064,1,47
1537147065,1,25
1537147066,2,260
1537147068,2,345
1537147069,2,81
1537147070,5,97
1537147071,1,25
1537147072,3,92
1537147073,1,24
1537147074,1,23
1537147076,2,232
1537147077,5,493
1537147079,3,483
1537147080,1,21
1537147081,4,89
1537147083,3,861
1537147084,4,570
1537147086,2,114
1537147087,4,119
1537147088,4,111
1537147089,4,84
1537147090,1,30
1537147091,3,198
1537147093,4,541
1537147094,2,370
1537147096,5,630
1537147098,13,981
1537147100,3,769
1537147101,6,446
1537147102,1,58
1537147103,1,67
1537147105,16,926
1537147107,6,644
1537147108,3,291
1537147110,16,853
1537147111,1,18
1537147113,4,290
1537147114,1,28
1537147115,3,291
1537147117,5,231
1537147118,1,35
1537147119,2,50
1537147120,3,463
1537147121,1,27
1537147122,1,34
1537147124,3,175
1537147125,1,62
1537147126,4,183
1537147127,11,346
1537147128,2,97
1537147130,3,64
1537147131,4,58
1537147132,5,371
1537147133,5,105
1537147134,2,197
1537147136,5,175
1537147137,2,83
1537147138,4,77
1537147139,3,66
1537147140,3,415
1537147142,3,134
1537147143,1,23
1537147144,2,51
1537147145,2,400
1537147147,5,280
1537147148,1,354
1537147149,5,84
1537147151,1,317
1537147152,7,429
1537147154,7,484
1537147155,6,244
1537147157,7,599
1537147158,3,488
1537147159,1,23
1537147160,1,22
1537147161,2,207
1537147163,4,371
1537147164,1,29
1537147165,3,394
1537147167,3,51
1537147168,2,299
1537147169,2,312
1537147171,4,661
1537147172,3,115
1537147174,3,630
1537147175,1,17
1537147176,4,406
1537147177,1,26
1537147179,15,776
1537147181,15,1040
1537147183,3,270
1537147184,2,173
1537147185,3,314
1537147186,2,128
1537147188,3,141
1537147189,1,28
1537147190,13,402
1537147191,1,32
1537147192,1,27
1537147193,2,139
1537147195,3,85
1537147196,2,59
1537147197,3,52
1537147198,3,181
1537147199,2,29
1537147201,13,1173
1537147203,4,353
1537147204,7,256
1537147205,1,28
1537147206,3,96
1537147207,3,83
1537147208,1,31
1537147209,1,29
1537147211,2,54
1537147212,3,75
1537147213,1,27
1537147214,1,33
1537147215,3,368
1537147217,3,583
1537147218,4,566
1537147219,2,39
1537147220,1,34
1537147222,2,67
1537147223,4,74
1537147224,3,135
1537147225,1,23
1537147226,2,67
1537147227,4,286
1537147228,1,27
1537147230,3,462
1537147231,4,189
1537147232,1,23
1537147233,3,65
1537147235,3,567
1537147236,2,45
1537147238,11,484
1537147239,3,64
1537147240,2,42
1537147241,1,21
1537147242,1,22
1537147243,1,21
1537147244,1,24
1537147245,1,36
1537147246,2,212
1537147247,1,26
1537147249,2,62
1537147250,3,129
1537147251,1,36
1537147253,4,770
1537147254,1,30
1537147255,2,60
1537147256,4,389
1537147257,2,51
1537147259,5,620
1537147261,6,669
1537147262,1,354
1537147264,4,641
1537147265,3,398
1537147267,2,307
1537147268,6,255
1537147269,2,439
1537147271,3,409
1537147272,1,24
1537147273,3,520
1537147275,3,212
1537147276,1,22
1537147277,3,621
1537147278,3,49
1537147280,1,27
1537147281,3,63
1537147282,1,28
1537147283,3,481
1537147284,1,23
1537147286,3,219
1537147287,3,372
1537147288,11,433
1537147289,1,32
1537147291,2,62
1537147292,3,68
1537147293,2,370
1537147294,5,157
1537147296,2,309
1537147297,1,32
1537147298,4,76
1537147299,4,386
1537147300,2,44
1537147302,4,346
1537147303,3,57
1537147304,1,33
1537147305,2,84
1537147306,3,292
1537147308,3,391
1537147309,3,302
1537147310,1,24
1537147312,2,273
1537147313,3,438
1537147314,4,79
1537147315,1,47
1537147316,3,116
1537147317,1,27
1537147319,3,89
1537147320,2,388
1537147321,2,38
1537147323,3,692
1537147324,3,552
1537147325,4,53
1537147327,1,280
1537147328,3,597
1537147330,3,511
1537147331,4,427
1537147333,2,472
1537147334,1,24
1537147335,2,271
1537147336,1,48
1537147337,1,64
1537147339,4,148
1537147340,2,58
1537147342,17,1092
1537147343,4,290
1537147344,1,24
1537147345,1,23
1537147347,4,337
1537147348,2,227
1537147349,2,216
1537147350,1,26
1537147351,4,55
1537147353,1,53
1537147354,6,610
1537147355,2,85
1537147357,2,313
1537147358,1,32
1537147359,4,184
1537147360,2,22
1537147361,3,66
1537147363,2,414
1537147364,5,538
1537147365,3,120
1537147366,1,26
1537147368,4,668
1537147369,1,28
1537147370,1,34
1537147371,2,47
1537147373,4,96
1537147374,1,38
1537147375,1,31
1537147376,2,326
1537147377,3,78
1537147378,1,278
1537147380,16,1040
1537147382,2,69
1537147383,3,65
1537147384,2,90
1537147385,6,564
1537147387,7,305
1537147388,4,358
1537147390,13,857
1537147391,3,52
1537147392,4,119
1537147394,1,377
1537147395,3,141
1537147396,2,58
1537147398,6,655
1537147399,1,37
1537147400,1,260
1537147401,2,350
1537147403,3,59
1537147404,3,137
1537147406,14,993
1537147407,2,60
1537147408,1,149
1537147409,2,56
1537147411,3,493
1537147412,1,24
1537147413,3,150
1537147414,1,27
1537147415,3,159
1537147416,5,170
1537147417,3,164
1537147419,4,142
1537147420,4,389
1537147421,1,19
1537147423,11,687
1537147424,1,21
1537147426,6,640
1537147427,4,94
1537147428,1,43
1537147429,3,386
1537147431,1,253
1537147432,4,735
1537147434,4,723
1537147435,5,65
1537147436,1,34
1537147438,5,583
1537147439,1,36
1537147440,2,42
1537147441,3,307
1537147443,3,589
1537147444,2,45
1537147445,1,36
1537147447,2,574
1537147448,2,441
1537147449,3,148
1537147451,6,627
1537147452,3,326
1537147454,2,88
1537147455,1,33
1537147456,1,34
1537147457,16,550
1537147458,1,47
1537147459,1,25
1537147461,2,86
1537147463,16,1262
1537147464,1,42
1537147466,7,631
1537147467,1,26
1537147468,3,401
1537147469,2,65
1537147471,6,436
1537147472,2,342
1537147473,1,27
1537147475,3,339
1537147476,4,81
1537147477,2,85
1537147478,2,46
1537147479,7,197
1537147480,5,269
1537147482,6,254
1537147483,3,60
1537147484,1,59
1537147485,1,31
1537147487,2,504
1537147488,4,201
1537147489,3,464
1537147491,4,353
1537147492,1,28
1537147493,5,576
1537147495,3,203
1537147496,1,33
1537147497,4,369
1537147499,4,454
1537147500,3,44
1537147501,6,569
1537147503,3,367
1537147504,1,33
1537147505,2,90
1537147508,11,1411
1537147509,2,77
1537147510,3,774
1537147512,6,356
1537147513,2,135
1537147514,2,472
1537147516,7,369
1537147517,2,58
1537147518,2,68
1537147519,7,151
1537147521,4,93
1537147522,3,67
1537147523,2,49
1537147524,2,179
1537147525,3,73
1537147527,4,491
1537147528,3,140
1537147529,3,46
1537147530,2,413
1537147531,1,22
1537147533,6,418
1537147534,3,65
1537147535,1,369
1537147537,2,352
1537147538,4,83
1537147539,5,274
1537147540,1,27
1537147541,3,79
1537147542,2,154
1537147544,4,543
1537147545,3,171
1537147546,3,62
1537147547,3,73
1537147549,1,24
1537147550,5,261
1537147551,3,273
1537147552,3,73
1537147554,2,423
1537147555,4,304
1537147556,6,165
1537147557,3,146
1537147559,1,330
1537147560,2,30
1537147561,4,55
1537147562,2,39
1537147564,16,688
1537147565,4,451
1537147566,1,35
1537147567,1,29
1537147569,3,89
1537147570,3,61
1537147571,7,823
1537147573,1,30
1537147575,16,945
1537147576,4,78
1537147577,2,59
1537147578,2,47
1537147579,1,25
1537147580,3,64
1537147581,2,54
1537147582,2,39
1537147583,1,33
1537147584,2,73
1537147585,1,20
1537147587,1,319
1537147588,4,474
1537147590,3,109
1537147591,2,40
1537147592,4,519
1537147594,15,647
1537147595,2,37
1537147596,1,24
1537147597,4,365
1537147598,1,24
1537147600,6,484
1537147601,1,26
1537147602,2,116
1537147603,3,58
1537147605,3,363
1537147606,4,559
1537147607,1,26
1537147608,2,137
1537147610,1,316
1537147611,3,455
1537147613,4,400
1537147614,4,481
1537147616,5,203
1537147617,3,165
1537147618,2,96
1537147619,4,577
1537147621,4,166
1537147622,1,18
1537147624,4,863
1537147625,2,101
1537147626,7,617
1537147628,3,173
1537147629,1,24
1537147630,2,39
1537147631,4,182
1537147632,3,268
1537147633,2,47
1537147635,2,134
1537147636,1,28
1537147637,3,68
1537147638,2,401
1537147640,4,342
1537147641,3,156
1537147642,1,32
1537147643,4,54
1537147644,3,81
1537147645,2,48
1537147646,2,48
1537147648,11,597
1537147649,3,269
1537147651,4,591
1537147652,2,412
1537147653,5,130
1537147654,3,77
1537147656,2,101
1537147657,2,43
1537147658,1,23
1537147659,2,60
1537147660,3,66
1537147662,4,652
1537147663,4,411
1537147664,1,42
1537147665,4,73
1537147667,7,403
1537147668,4,568
1537147670,1,290
1537147671,2,301
1537147672,1,36
1537147673,2,64
1537147674,2,335
1537147676,2,40
1537147677,2,69
1537147678,3,303
1537147679,4,450
1537147681,1,335
1537147682,4,513
1537147684,7,299
1537147685,1,35
1537147686,3,60
1537147687,4,166
1537147688,4,195
1537147689,3,88
1537147691,1,33
1537147692,2,529
1537147694,7,967
1537147696,5,293
1537147697,2,152
1537147698,3,64
1537147699,3,94
1537147700,3,96
1537147702,3,380
1537147703,2,113
1537147704,3,521
1537147706,4,494
1537147707,3,120
1537147708,4,109
1537147709,2,59
1537147711,2,410
1537147712,4,155
1537147713,6,147
1537147714,1,303
1537147716,1,44
1537147717,5,511
1537147719,6,410
1537147720,3,263
1537147722,4,553
1537147724,12,1161
1537147725,1,40
1537147726,4,267
1537147728,6,410
1537147729,2,283
1537147730,3,80
1537147731,2,114
1537147732,3,74
1537147734,4,113
1537147735,1,33
1537147736,2,45
1537147737,3,72
1537147738,1,70
1537147740,3,762
1537147741,3,445
1537147742,3,43
1537147743,3,60
1537147744,1,35
1537147746,5,139
1537147747,2,145
1537147748,2,35
1537147749,1,256
1537147750,1,47
1537147752,7,634
1537147753,2,86
1537147754,3,50
1537147755,3,45
1537147757,6,1175
1537147759,2,46
1537147760,6,280
1537147762,14,744
1537147763,4,700
