timestamp,kw_lengh,took_ms
1536596434,2,1378
1536596436,3,442
1536596437,1,369
1536596439,2,339
1536596440,4,554
1536596442,2,229
1536596443,1,73
1536596444,2,186
1536596446,13,1056
1536596447,4,77
1536596448,2,90
1536596450,7,240
1536596451,3,281
1536596452,1,30
1536596453,3,77
1536596454,5,138
1536596455,1,67
1536596457,3,278
1536596458,1,56
1536596459,4,86
1536596460,3,93
1536596462,3,738
1536596463,4,92
1536596464,1,31
1536596465,3,93
1536596466,4,345
1536596467,1,33
1536596469,1,133
1536596470,1,34
1536596472,15,742
1536596473,3,409
1536596475,15,1281
1536596478,16,1148
1536596479,3,145
1536596480,4,303
1536596481,5,98
1536596482,4,57
1536596484,5,367
1536596485,3,96
1536596486,1,21
1536596487,3,82
1536596489,17,1206
1536596491,3,311
1536596492,4,260
1536596494,1,390
1536596495,2,44
1536596496,2,61
1536596497,2,57
1536596498,2,63
1536596499,1,267
1536596501,2,964
1536596502,3,52
1536596503,3,54
1536596505,1,326
1536596506,11,570
1536596508,2,261
1536596509,3,86
1536596510,3,71
1536596511,1,20
1536596512,1,40
1536596513,4,81
1536596515,4,328
1536596516,2,58
1536596517,2,54
1536596518,1,31
1536596519,2,43
1536596520,1,16
1536596521,3,86
1536596522,1,17
1536596523,2,44
1536596524,3,99
1536596525,1,23
1536596527,17,633
1536596528,5,107
1536596529,2,40
1536596530,3,141
1536596531,1,15
1536596533,5,410
1536596534,3,70
1536596536,6,459
1536596537,3,210
1536596538,1,239
1536596539,3,105
1536596541,3,335
1536596542,2,43
1536596543,3,172
1536596544,1,288
1536596546,4,732
1536596548,11,672
1536596549,7,521
1536596551,6,118
1536596552,2,49
1536596553,1,10
1536596554,3,61
1536596555,3,57
1536596557,17,965
1536596558,1,21
1536596559,2,53
1536596560,1,277
1536596562,2,473
1536596563,2,61
1536596564,2,190
1536596565,2,63
1536596566,1,28
1536596567,1,36
1536596569,6,277
1536596570,1,25
1536596571,5,455
1536596572,2,68
1536596573,5,74
1536596574,4,95
1536596576,2,126
1536596577,3,208
1536596578,2,48
1536596579,4,100
1536596580,2,133
1536596581,4,192
1536596583,1,28
1536596584,4,73
1536596585,3,83
1536596586,4,376
1536596587,1,17
1536596589,7,338
1536596590,2,36
1536596591,3,36
1536596592,3,48
1536596593,3,42
1536596594,2,235
1536596595,2,318
1536596597,2,207
1536596598,3,51
1536596600,12,843
1536596601,3,395
1536596603,5,519
1536596604,2,52
1536596605,6,596
1536596607,2,193
1536596608,1,34
1536596609,1,27
1536596610,1,46
1536596611,1,11
1536596612,3,110
1536596613,4,317
1536596614,4,107
1536596616,4,58
1536596617,4,303
1536596618,2,296
1536596619,3,56
1536596621,5,302
1536596622,2,63
1536596623,7,515
1536596624,1,25
1536596626,5,370
1536596627,1,27
1536596628,3,300
1536596630,2,352
1536596631,2,47
1536596632,2,29
1536596633,3,278
1536596635,4,516
1536596636,6,338
1536596638,14,637
1536596639,2,53
1536596640,3,74
1536596641,4,292
1536596642,3,76
1536596643,1,56
1536596645,2,49
1536596646,7,221
1536596647,1,32
1536596648,2,189
1536596649,3,52
1536596650,3,52
1536596652,3,264
1536596653,1,31
1536596654,2,289
1536596655,1,35
1536596656,3,52
1536596657,2,35
