timestamp,kw_lengh,took_ms
1536612352,7,482
1536612353,6,315
1536612355,14,824
1536612357,6,405
1536612358,7,575
1536612359,7,228
1536612361,13,968
1536612363,7,110
1536612364,7,496
1536612366,5,366
1536612367,14,482
1536612368,6,295
1536612370,6,462
1536612371,6,202
1536612373,13,412
1536612375,15,1467
1536612376,7,144
1536612378,6,530
1536612380,16,710
1536612381,11,322
1536612382,6,146
1536612384,6,171
1536612385,6,228
1536612386,11,409
1536612388,7,290
1536612389,6,464
1536612391,6,294
1536612392,6,195
1536612393,6,239
1536612395,15,718
1536612396,6,84
1536612398,6,416
1536612399,5,316
1536612401,7,333
1536612403,17,889
1536612404,5,76
1536612405,6,274
1536612407,15,1259
1536612409,6,310
1536612411,14,702
1536612412,7,555
1536612414,12,640
1536612416,15,718
1536612418,16,883
1536612419,16,444
1536612421,6,236
1536612422,6,329
1536612424,7,639
1536612425,7,172
1536612426,7,304
1536612428,14,420
1536612430,15,847
1536612431,7,698
1536612433,15,613
1536612434,6,96
1536612436,12,632
1536612438,7,412
1536612439,11,586
1536612441,6,270
1536612442,6,351
1536612443,15,325
1536612445,14,570
1536612446,7,170
1536612448,5,240
1536612449,7,313
1536612450,5,83
1536612451,6,189
1536612453,17,784
1536612455,6,527
1536612456,6,588
1536612458,6,301
1536612459,11,254
1536612460,6,357
1536612462,6,402
1536612463,6,466
1536612465,7,370
1536612467,17,1352
1536612469,15,487
1536612470,7,398
1536612472,13,651
1536612473,6,449
1536612475,6,102
1536612477,16,1767
1536612479,16,888
1536612481,7,337
1536612482,7,403
1536612484,13,787
1536612486,6,456
1536612487,12,438
1536612488,5,244
1536612490,7,685
1536612492,7,420
1536612493,13,536
1536612494,7,204
1536612496,7,139
1536612498,11,954
1536612499,6,221
1536612500,11,451
1536612503,14,1106
1536612504,7,429
1536612505,6,226
1536612507,7,118
1536612508,6,309
1536612509,6,333
1536612511,14,259
1536612512,13,570
1536612514,7,307
1536612516,12,584
1536612517,6,186
1536612518,7,168
1536612519,6,90
1536612521,16,874
1536612522,11,173
1536612524,14,950
1536612526,16,758
1536612528,7,501
1536612529,13,568
1536612531,17,889
1536612533,7,176
1536612534,6,224
1536612536,5,640
1536612537,12,328
1536612538,6,149
1536612539,5,87
1536612541,7,406
1536612542,12,198
1536612544,6,700
1536612545,5,407
1536612547,7,531
1536612548,11,290
1536612550,7,488
1536612551,7,643
1536612553,6,250
1536612554,7,418
1536612556,11,601
1536612557,7,154
1536612559,11,361
1536612560,6,511
1536612562,11,380
1536612563,6,415
1536612564,6,276
1536612566,7,119
1536612567,6,616
1536612569,6,641
1536612570,6,408
1536612572,13,667
1536612574,12,899
1536612575,7,212
1536612577,14,906
1536612579,7,774
1536612581,7,446
1536612582,7,471
1536612584,6,656
1536612586,7,471
1536612587,7,462
1536612589,14,573
1536612591,15,671
1536612592,7,214
1536612593,6,397
1536612595,13,808
1536612597,6,320
1536612598,16,783
1536612600,16,549
1536612601,6,322
1536612604,17,1171
1536612605,6,302
1536612606,11,407
1536612608,14,318
1536612609,5,245
1536612611,6,485
1536612612,6,331
1536612614,12,707
1536612615,6,90
1536612616,5,70
1536612617,7,169
1536612619,6,237
1536612620,12,365
1536612622,16,748
1536612623,6,144
1536612625,11,452
1536612626,6,393
1536612627,6,293
1536612629,12,496
1536612630,7,336
1536612632,6,523
1536612633,5,130
1536612635,15,956
1536612636,5,214
1536612638,5,68
1536612639,6,89
1536612640,6,581
1536612642,6,210
1536612643,15,589
1536612645,13,518
1536612646,6,401
1536612648,7,184
1536612649,7,169
1536612650,6,456
1536612652,16,903
1536612653,5,95
1536612655,5,357
1536612656,7,553
1536612658,6,417
1536612659,6,91
1536612660,6,449
1536612662,11,880
1536612664,12,833
1536612666,6,281
1536612667,6,419
1536612668,6,116
1536612670,6,358
1536612671,7,476
1536612673,7,422
1536612674,13,583
1536612676,6,239
1536612677,6,148
1536612678,5,284
1536612680,15,1004
1536612682,11,567
1536612684,7,544
1536612685,7,597
1536612688,12,1001
1536612689,7,144
1536612691,17,690
1536612692,15,465
1536612694,7,543
1536612695,7,90
1536612697,13,655
1536612698,7,524
1536612701,17,1330
1536612702,7,307
1536612703,5,132
1536612705,11,285
1536612706,7,427
1536612707,5,194
1536612709,6,361
1536612710,14,342
1536612712,12,779
1536612714,14,596
1536612716,11,787
1536612717,12,698
1536612719,5,195
1536612720,6,197
1536612721,5,151
1536612722,5,247
1536612723,6,146
1536612725,7,211
1536612727,11,805
1536612728,6,531
1536612729,6,117
1536612731,7,606
1536612732,7,166
1536612734,6,485
1536612735,6,151
1536612736,6,210
1536612737,7,112
1536612740,16,1011
1536612741,5,104
1536612742,7,349
1536612743,11,303
1536612745,15,447
1536612747,15,467
1536612749,15,599
1536612751,11,928
1536612752,6,391
1536612754,6,423
1536612756,14,943
1536612757,7,403
1536612759,13,1137
1536612761,6,378
1536612762,6,137
1536612763,5,370
1536612765,6,289
1536612766,7,503
1536612768,14,1156
1536612770,7,349
1536612771,7,386
1536612773,15,704
1536612774,6,149
1536612776,7,429
1536612778,11,1000
1536612779,11,400
1536612781,7,693
1536612783,7,487
1536612784,6,536
1536612786,7,568
1536612787,5,227
1536612789,13,511
1536612790,7,514
1536612792,7,252
1536612793,5,105
1536612794,12,442
1536612795,6,250
1536612797,6,319
1536612799,17,1238
1536612801,7,716
1536612803,6,577
1536612805,12,937
1536612806,7,265
1536612807,5,83
1536612808,16,293
1536612810,7,377
1536612812,17,1476
1536612814,12,392
1536612815,7,155
1536612817,17,706
1536612818,6,117
1536612819,13,487
1536612821,6,523
1536612823,14,542
1536612825,17,885
1536612826,7,612
1536612828,7,113
1536612829,6,482
1536612831,6,511
1536612832,16,535
1536612834,7,662
1536612836,15,1129
1536612838,6,428
1536612839,7,517
1536612841,12,574
1536612842,13,475
1536612844,6,622
1536612846,12,1038
1536612848,14,535
1536612850,16,688
1536612851,5,183
1536612853,7,756
1536612854,6,89
1536612855,5,168
1536612857,14,620
1536612858,7,416
1536612860,14,510
1536612861,6,116
1536612863,14,1180
1536612864,5,96
1536612866,6,267
1536612867,15,346
1536612869,6,405
1536612870,14,658
1536612872,16,967
1536612874,17,796
1536612876,6,155
1536612877,6,384
1536612879,6,877
1536612880,5,171
1536612882,7,875
1536612884,6,463
