timestamp,kw_lengh,took_ms
1536600459,1,31
1536600460,1,21
1536600461,1,31
1536600462,1,37
1536600468,2,5435
1536600469,1,57
1536600470,2,51
1536600471,2,82
1536600472,1,38
1536600474,2,344
1536600475,2,55
1536600476,2,25
1536600477,1,30
1536600478,2,45
1536600479,2,72
1536600481,2,463
1536600482,1,17
1536600483,2,40
1536600484,1,21
1536600485,1,27
1536600486,2,61
1536600487,1,21
1536600488,2,57
1536600489,1,30
1536600490,1,31
1536600491,1,23
1536600492,2,35
1536600494,2,463
1536600495,1,69
1536600496,2,271
1536600498,2,180
1536600499,2,31
1536600500,2,110
1536600501,2,184
1536600502,2,59
1536600503,2,76
1536600504,1,38
1536600506,1,153
1536600507,2,40
1536600508,2,338
1536600509,2,304
1536600511,1,235
1536600512,2,77
1536600513,2,356
1536600514,1,39
1536600515,2,67
1536600517,2,335
1536600518,1,53
1536600519,1,23
1536600520,2,229
1536600521,1,260
1536600523,2,209
1536600524,1,19
1536600525,1,69
1536600526,2,46
1536600527,1,39
1536600528,1,30
1536600529,1,26
1536600530,2,52
1536600531,1,20
1536600532,1,16
1536600533,2,50
1536600534,2,32
1536600535,2,52
1536600537,1,21
1536600538,2,68
1536600539,2,45
1536600540,2,46
1536600541,1,21
1536600542,1,29
1536600543,2,50
1536600544,2,233
1536600545,2,44
1536600547,1,207
1536600548,2,79
1536600549,2,49
1536600550,2,69
1536600551,2,478
1536600552,1,17
1536600553,1,34
1536600554,1,31
1536600556,1,204
1536600557,1,72
1536600558,1,25
1536600559,1,343
1536600560,2,39
1536600561,2,40
1536600563,2,446
1536600564,1,20
1536600565,2,38
1536600566,1,24
1536600567,1,45
1536600568,2,22
1536600569,2,44
1536600570,2,42
1536600571,2,40
1536600573,1,286
1536600574,1,21
1536600575,2,111
1536600576,1,26
1536600577,2,36
1536600578,1,24
1536600579,1,213
1536600580,2,80
1536600581,1,18
1536600582,1,28
1536600584,2,46
1536600585,1,29
1536600586,1,38
1536600587,1,311
1536600588,2,50
1536600589,1,122
1536600590,1,19
1536600591,2,61
1536600592,1,48
1536600594,1,22
1536600595,1,18
1536600596,2,89
1536600597,1,30
1536600598,1,16
1536600599,1,211
1536600600,1,22
