timestamp,kw_lengh,took_ms
1537052672,3,58
1537052673,3,322
1537052674,2,84
1537052676,1,26
1537052677,5,269
1537052678,3,525
1537052680,4,520
1537052681,3,63
1537052682,2,92
1537052683,1,188
1537052685,3,389
1537052686,4,82
1537052687,2,73
1537052688,4,174
1537052690,3,424
1537052691,3,95
1537052692,4,454
1537052694,1,340
1537052695,3,67
1537052696,1,174
1537052697,3,60
1537052698,4,162
1537052700,7,386
1537052701,2,145
1537052703,15,1394
1537052704,1,23
1537052706,5,364
1537052707,16,581
1537052708,2,36
1537052710,3,94
1537052711,1,326
1537052712,2,49
1537052714,5,998
1537052715,1,23
1537052716,1,84
1537052718,6,229
1537052719,1,19
1537052720,3,179
1537052721,1,319
1537052722,4,71
1537052723,2,42
1537052724,2,110
1537052726,2,504
1537052727,2,338
1537052729,1,92
1537052730,3,100
1537052731,2,38
1537052732,4,154
1537052733,2,254
1537052734,3,108
1537052736,1,306
1537052737,3,485
1537052739,3,500
1537052740,2,212
1537052741,3,109
1537052742,3,271
1537052744,1,28
1537052745,1,205
1537052746,3,206
1537052747,1,363
1537052749,3,150
1537052750,4,798
1537052752,2,844
1537052753,2,90
1537052755,3,203
1537052756,1,28
1537052757,3,536
1537052759,2,518
1537052760,4,378
1537052761,1,27
1537052763,6,397
1537052764,2,94
1537052765,3,222
1537052766,1,22
1537052768,2,481
1537052769,2,148
1537052770,2,138
1537052771,5,328
1537052773,3,79
1537052774,2,298
1537052775,3,226
1537052777,3,704
1537052778,1,184
1537052779,1,196
1537052780,3,54
1537052782,2,97
1537052783,4,581
1537052784,1,30
1537052786,2,588
1537052787,1,28
1537052788,2,65
1537052790,6,612
1537052791,3,285
1537052792,3,202
1537052794,2,422
1537052795,3,525
1537052797,5,498
1537052798,1,22
1537052799,1,27
1537052801,2,656
1537052802,6,784
1537052804,5,376
1537052805,1,26
1537052806,3,196
1537052808,16,928
1537052810,4,461
1537052811,3,445
1537052812,6,189
1537052814,2,144
1537052815,6,728
1537052817,2,104
1537052818,1,22
1537052819,4,101
1537052820,6,118
1537052822,15,785
1537052823,4,231
1537052824,2,171
1537052826,3,447
1537052827,7,611
1537052829,3,176
1537052830,7,753
1537052832,2,75
1537052833,3,100
1537052834,2,658
1537052836,2,507
1537052837,4,139
1537052839,7,527
1537052840,3,83
1537052841,11,781
1537052843,3,117
1537052844,4,272
1537052846,14,1384
1537052848,7,942
1537052850,2,453
1537052851,4,124
1537052852,2,309
1537052854,2,656
1537052855,3,174
1537052857,3,892
1537052858,3,225
1537052860,3,411
1537052861,3,426
1537052863,2,266
1537052864,4,637
1537052865,2,49
1537052867,3,118
1537052868,3,41
1537052869,6,234
1537052871,3,468
1537052872,1,41
1537052873,4,575
1537052874,1,27
1537052875,3,122
1537052877,2,70
1537052878,3,378
1537052879,3,153
1537052880,2,59
1537052881,2,79
1537052883,3,425
1537052884,3,243
1537052885,1,58
1537052886,2,53
1537052888,14,703
1537052889,3,190
1537052890,4,95
1537052892,5,227
1537052893,2,477
1537052895,3,371
1537052896,2,69
1537052897,1,10
1537052898,3,367
1537052899,2,146
1537052900,1,112
1537052902,1,176
1537052903,3,261
1537052904,2,134
1537052906,12,609
1537052907,4,470
1537052908,1,27
1537052910,3,89
1537052912,17,1095
1537052913,4,209
1537052914,3,69
1537052915,4,313
1537052916,2,52
1537052918,2,511
1537052919,3,255
1537052921,1,151
1537052922,1,31
1537052923,2,39
1537052924,1,32
1537052925,1,84
1537052926,3,561
1537052928,2,139
1537052929,7,473
1537052930,4,240
1537052932,3,282
1537052933,5,228
1537052935,6,544
1537052936,2,152
1537052937,7,223
1537052939,4,591
1537052940,5,396
1537052941,1,29
1537052943,2,526
1537052945,7,695
1537052946,13,276
1537052947,2,70
1537052948,4,510
1537052950,3,274
1537052951,6,307
1537052953,16,837
1537052954,3,135
1537052955,5,282
1537052957,2,152
1537052958,3,245
1537052959,1,84
1537052960,1,17
1537052961,1,26
1537052962,6,290
1537052964,1,271
1537052965,3,155
1537052967,3,700
1537052968,5,183
1537052969,1,30
1537052970,3,163
1537052971,2,107
1537052973,3,174
1537052974,4,451
1537052975,4,315
1537052976,1,55
1537052978,6,532
1537052979,2,357
1537052981,3,229
1537052982,15,306
1537052983,3,169
1537052985,2,45
1537052986,1,50
1537052987,6,141
1537052988,1,36
1537052989,1,141
1537052990,3,37
1537052992,5,327
1537052993,1,24
1537052994,3,481
1537052995,3,198
1537052997,6,634
1537052999,4,705
1537053000,3,114
1537053001,3,447
1537053003,6,838
1537053005,1,162
1537053006,1,219
1537053007,1,185
1537053008,2,404
1537053010,4,177
1537053012,5,818
1537053013,4,168
1537053014,1,45
1537053015,4,207
1537053017,16,1006
1537053018,3,316
1537053020,5,64
1537053021,3,510
1537053023,4,387
1537053024,2,149
1537053025,3,34
1537053026,3,71
1537053027,1,136
1537053028,2,178
1537053029,1,18
1537053031,2,261
1537053033,7,965
1537053034,2,348
1537053036,5,926
1537053037,3,59
1537053038,4,143
1537053039,1,27
1537053041,12,1045
1537053043,2,35
1537053044,3,164
1537053045,2,123
1537053046,4,148
1537053048,6,670
1537053049,7,465
1537053051,4,273
1537053052,2,93
1537053053,3,59
1537053054,2,237
1537053055,4,313
1537053057,7,230
1537053058,2,44
1537053059,2,92
1537053060,1,106
1537053061,1,41
1537053062,3,260
1537053064,2,98
1537053065,1,146
1537053066,3,292
1537053067,1,20
1537053068,1,176
1537053069,1,32
1537053071,1,224
1537053072,1,19
1537053073,4,96
1537053074,1,42
1537053075,2,39
1537053076,5,381
1537053078,2,412
1537053079,3,528
1537053081,3,434
1537053083,16,967
1537053084,4,320
1537053085,2,160
1537053087,4,336
1537053088,3,54
1537053089,1,181
1537053090,6,345
1537053092,1,256
1537053093,1,17
1537053094,4,233
1537053096,7,713
1537053097,3,570
1537053098,1,23
1537053100,1,32
1537053101,1,37
1537053102,4,95
1537053103,1,23
1537053104,5,279
1537053106,7,368
1537053107,3,251
1537053108,6,530
1537053110,3,147
1537053111,6,854
1537053113,4,151
1537053114,3,172
1537053115,3,171
1537053116,1,308
1537053117,3,122
1537053119,2,80
1537053120,3,390
1537053121,2,454
1537053123,2,570
1537053124,1,84
1537053125,2,222
1537053127,2,257
1537053128,3,43
1537053129,1,236
1537053130,3,321
1537053131,1,35
1537053133,4,957
1537053135,1,21
1537053136,3,242
1537053137,4,361
1537053139,4,572
1537053140,7,501
1537053142,3,777
1537053143,4,142
1537053144,1,24
1537053146,3,327
1537053147,1,29
1537053148,3,218
1537053149,1,138
1537053151,2,509
1537053152,3,287
1537053153,1,29
1537053155,11,578
1537053156,1,33
1537053157,1,126
1537053158,5,82
1537053159,4,397
1537053161,4,98
1537053162,2,163
1537053163,2,53
1537053164,6,127
1537053165,3,111
1537053166,4,234
1537053168,1,122
1537053169,2,57
1537053170,1,208
1537053171,4,454
1537053173,12,839
1537053175,3,440
1537053176,5,445
1537053177,2,231
1537053179,5,345
1537053180,3,655
1537053182,3,165
1537053183,1,534
1537053185,3,752
1537053186,4,279
1537053188,3,181
1537053189,2,176
1537053190,2,41
1537053191,2,33
1537053192,2,264
1537053193,3,115
1537053194,2,51
1537053195,1,23
1537053196,2,48
1537053198,2,155
1537053199,1,36
1537053200,2,54
1537053201,3,98
1537053203,4,559
1537053204,4,424
1537053205,4,511
1537053207,1,33
1537053208,2,283
1537053209,3,173
1537053210,5,370
1537053212,6,607
1537053214,3,489
1537053215,3,53
1537053216,2,469
1537053218,1,547
1537053219,4,500
1537053220,3,44
1537053223,12,1229
1537053224,1,162
1537053225,4,382
1537053227,7,274
1537053228,1,40
1537053229,3,482
1537053230,2,50
1537053231,1,39
1537053233,1,159
1537053234,2,371
1537053235,3,162
1537053236,3,110
1537053237,1,40
1537053238,2,121
1537053240,4,682
1537053241,1,147
1537053243,17,953
1537053244,1,23
1537053246,3,211
1537053247,3,238
1537053248,2,395
1537053249,1,33
1537053250,2,58
1537053252,3,383
1537053253,3,66
