mslong,sys_current,a57_current,a53_current,gpu_current,sys_voltage,a57_voltage,a53_voltage,gpu_voltage,sys_power,a57_power,a53_power,gpu_power,sys_energy,a57_energy,a53_energy,gpu_energy
1520958809917,0.910644,0.624672,0.070959,0.094488,0.906905,1.007398,0.813810,0.908755,0.825868,0.629293,0.057747,0.085867,14710145.307626,2531527.535084,943052.503308,1576080.350389
1520958810017,0.839685,0.102362,0.051248,0.091864,0.905672,1.008015,0.807028,0.908138,0.760479,0.103183,0.041359,0.083425,14710145.383810,2531527.546061,943052.507483,1576080.358773
1520958810117,0.835742,0.102362,0.051248,0.091864,0.905672,1.008015,0.807028,0.908138,0.756909,0.103183,0.041359,0.083425,14710145.459726,2531527.556814,943052.511631,1576080.367146
1520958810217,0.833114,0.102362,0.051248,0.091864,0.906289,1.007398,0.807028,0.908138,0.755042,0.103120,0.041359,0.083425,14710145.535779,2531527.567685,943052.515778,1576080.375535
1520958810317,0.840999,0.144357,0.052562,0.094488,0.907522,1.009864,0.810111,0.909988,0.759806,0.145781,0.041548,0.085983,14710145.611264,2531527.578097,943052.519913,1576080.383904
1520958810417,0.850197,0.102362,0.051248,0.094488,0.906289,1.008015,0.807645,0.908138,0.770524,0.103183,0.041390,0.085808,14710145.687915,2531527.588879,943052.524059,1576080.392289
1520958810517,0.846255,0.102362,0.051248,0.091864,0.906289,1.007398,0.807028,0.908138,0.766951,0.103120,0.041359,0.083425,14710145.763556,2531527.599399,943052.528194,1576080.400657
1520958810617,0.831800,0.102362,0.051248,0.091864,0.906289,1.008015,0.807028,0.908755,0.753851,0.103183,0.041359,0.083481,14710145.839664,2531527.609871,943052.532336,1576080.409031
1520958810718,0.848883,0.102362,0.051248,0.091864,0.906289,1.007398,0.807028,0.908138,0.769333,0.103120,0.041359,0.083425,14710145.916023,2531527.620664,943052.536474,1576080.417404
1520958810818,0.834428,0.139108,0.051248,0.094488,0.907522,1.009864,0.810111,0.909988,0.757262,0.140480,0.041517,0.085983,14710145.991814,2531527.631093,943052.540621,1576080.425778
1520958810918,0.844941,0.102362,0.051248,0.091864,0.905672,1.008015,0.807028,0.908138,0.765760,0.103183,0.041359,0.083425,14710146.067947,2531527.641677,943052.544758,1576080.434139
1520958811018,0.835742,0.102362,0.051248,0.091864,0.906289,1.008015,0.806412,0.908138,0.757424,0.103183,0.041327,0.083425,14710146.143865,2531527.652099,943052.548914,1576080.442510
