timestamp,kw_lengh,took_ms
1520967680,7,404
1520967680,16,509
1520967681,16,524
1520967681,15,517
1520967682,14,596
1520967682,16,295
1520967683,15,463
1520967683,17,542
1520967684,16,238
1520967684,15,428
1520967684,13,347
1520967685,11,255
1520967685,11,223
1520967685,17,367
1520967686,13,262
1520967686,11,288
1520967686,16,397
1520967687,15,283
1520967687,16,474
1520967687,15,275
1520967688,11,548
1520967688,15,365
1520967689,15,447
1520967689,12,363
1520967689,7,205
1520967690,17,447
1520967690,13,510
1520967691,11,500
1520967691,16,395
1520967692,17,212
1520967692,11,255
1520967692,15,384
1520967693,16,655
1520967693,14,499
1520967694,13,154
1520967694,14,250
1520967694,11,212
1520967694,7,91
1520967694,12,330
1520967695,15,768
1520967696,16,637
1520967696,14,468
1520967697,13,159
1520967697,16,450
1520967697,16,359
1520967698,17,379
1520967698,14,422
1520967699,7,293
1520967699,7,146
1520967699,14,365
1520967699,12,392
1520967700,17,200
1520967700,17,463
1520967700,12,142
1520967701,14,303
1520967701,12,363
1520967701,11,263
1520967702,16,450
1520967702,12,460
1520967702,14,233
1520967703,16,401
1520967703,13,468
1520967704,16,641
1520967705,17,534
1520967705,17,518
1520967706,15,446
1520967706,7,326
1520967706,15,474
1520967707,12,255
1520967707,16,680
1520967708,12,411
1520967708,13,192
1520967708,16,428
1520967709,7,345
1520967709,7,117
1520967709,15,374
1520967710,15,341
1520967710,13,258
1520967710,11,252
1520967711,15,598
1520967712,13,747
1520967712,17,617
1520967713,16,389
1520967713,14,370
1520967713,13,271
1520967714,14,521
1520967714,15,225
1520967714,13,370
1520967715,14,444
1520967715,13,400
1520967716,14,332
1520967716,15,288
1520967716,13,371
1520967716,7,72
1520967717,15,301
1520967717,15,292
1520967717,15,360
1520967718,11,218
1520967718,12,297
1520967718,16,442
1520967719,11,369
1520967719,17,411
1520967720,13,531
1520967720,17,600
1520967721,12,216
1520967721,15,681
1520967722,17,420
1520967722,13,300
1520967723,17,512
1520967723,7,103
1520967723,15,348
1520967724,12,526
1520967724,11,222
1520967724,13,290
1520967725,14,523
1520967725,17,411
1520967725,15,210
1520967726,11,177
1520967726,12,346
1520967726,16,290
1520967726,14,239
1520967727,15,615
1520967728,17,514
1520967728,12,437
1520967728,13,139
1520967728,14,270
1520967729,14,327
1520967729,7,224
1520967730,12,519
1520967730,13,361
1520967730,17,236
1520967731,11,402
1520967731,17,518
1520967732,15,426
1520967732,15,304
1520967732,13,405
1520967733,11,262
1520967733,15,460
1520967733,11,160
1520967733,7,109
1520967734,7,213
1520967734,7,209
1520967734,15,383
1520967734,12,144
1520967735,12,240
1520967735,13,425
1520967736,12,383
1520967736,11,326
1520967736,14,528
1520967737,7,172
1520967737,16,387
1520967737,16,356
1520967738,7,350
1520967738,11,376
1520967738,7,91
1520967739,7,440
1520967739,16,542
1520967740,15,404
1520967740,15,365
1520967741,14,411
1520967741,12,156
1520967741,11,384
1520967741,13,304
1520967742,11,227
1520967742,14,355
1520967743,15,697
1520967743,7,110
1520967743,7,103
1520967743,12,296
1520967744,17,406
1520967744,7,239
1520967744,16,487
1520967745,12,240
1520967745,11,305
1520967745,14,212
1520967746,14,278
1520967746,17,250
1520967746,13,262
1520967746,11,172
1520967747,17,536
1520967747,14,402
1520967747,13,219
1520967748,17,553
1520967748,15,331
1520967749,13,430
1520967749,15,600
1520967750,14,163
1520967750,16,487
1520967750,11,182
1520967751,11,191
1520967751,17,595
1520967752,12,389
1520967752,17,572
1520967753,14,351
1520967753,11,256
1520967753,17,333
1520967753,12,292
1520967754,12,194
1520967754,13,328
