mslong,sys_current,a57_current,a53_current,gpu_current,sys_voltage,a57_voltage,a53_voltage,gpu_voltage,sys_power,a57_power,a53_power,gpu_power,sys_energy,a57_energy,a53_energy,gpu_energy
1521500650379,0.898817,0.154856,0.143233,0.094488,0.905672,1.006782,0.808878,0.909371,0.812844,0.147978,0.113819,0.085925,15123105.049828,2591570.850546,965653.754261,1621274.925097
1521500650479,0.839685,0.104987,0.052562,0.094488,0.905055,1.007398,0.806412,0.908138,0.759961,0.105764,0.042387,0.085808,15123105.126230,2591570.861108,965653.758554,1621274.933701
1521500650579,0.831800,0.104987,0.051248,0.094488,0.905055,1.007398,0.806412,0.908138,0.752825,0.105764,0.041327,0.085808,15123105.201856,2591570.871647,965653.762742,1621274.942297
1521500650679,0.851511,0.104987,0.052562,0.094488,0.905672,1.007398,0.806412,0.908138,0.771190,0.105764,0.042387,0.085808,15123105.278276,2591570.882206,965653.766910,1621274.950891
1521500650780,0.850197,0.112861,0.051248,0.094488,0.906289,1.007398,0.807645,0.908138,0.770524,0.113696,0.041390,0.085808,15123105.354675,2591570.892746,965653.771087,1621274.959487
1521500650880,0.833114,0.104987,0.052562,0.094488,0.905672,1.007398,0.806412,0.908138,0.754528,0.105764,0.042387,0.085808,15123105.430648,2591570.903186,965653.775266,1621274.968082
1521500650980,0.835742,0.104987,0.051248,0.094488,0.905672,1.007398,0.806412,0.908138,0.756909,0.105764,0.041327,0.085808,15123105.506708,2591570.913862,965653.779457,1621274.976680
1521500651080,0.835742,0.104987,0.051248,0.094488,0.905672,1.006782,0.806412,0.907522,0.756909,0.105699,0.041327,0.085750,15123105.583237,2591570.924579,965653.783640,1621274.985270
1521500651180,0.838371,0.102362,0.051248,0.094488,0.905672,1.007398,0.806412,0.908138,0.759289,0.105764,0.041327,0.085808,15123105.659629,2591570.935253,965653.787811,1621274.993867
1521500651280,0.838371,0.118110,0.051248,0.094488,0.905672,1.008015,0.807645,0.908138,0.758099,0.119057,0.041422,0.085808,15123105.735733,2591570.945809,965653.791983,1621275.002464
