timestamp,kw_lengh,took_ms
1521500656,16,3235
1521500659,14,2232
1521500660,7,1193
1521500662,14,1898
1521500663,7,1302
1521500667,17,3388
1521500669,13,1982
1521500670,7,1440
1521500671,7,1235
1521500672,7,891
1521500673,7,1118
1521500674,7,926
1521500676,11,1874
1521500678,12,1757
1521500680,12,1766
1521500683,17,3093
1521500685,14,2373
1521500687,16,1990
1521500689,11,1794
1521500690,7,891
1521500692,16,2359
1521500694,13,2114
1521500696,7,1571
1521500699,16,2954
1521500701,16,1878
1521500703,14,1714
1521500704,12,1528
1521500707,15,2834
1521500709,17,1793
1521500710,11,984
1521500712,15,1768
1521500713,13,1794
1521500715,17,1526
1521500717,14,2087
1521500718,13,1043
1521500719,11,1269
1521500721,14,1635
1521500723,11,1787
1521500724,12,961
1521500725,12,1180
1521500725,7,273
1521500726,14,806
1521500728,17,1420
1521500729,17,1564
1521500731,17,1265
1521500732,12,1063
1521500732,7,677
1521500734,14,1717
1521500735,12,1037
1521500737,17,1572
1521500738,14,1365
1521500740,13,1555
1521500741,13,1415
1521500742,7,1251
1521500743,11,620
1521500744,12,836
1521500745,15,920
1521500745,7,666
1521500746,17,974
1521500748,14,1147
1521500748,16,590
1521500750,16,1470
1521500751,12,1292
1521500752,7,484
1521500753,13,1356
1521500755,15,1860
1521500756,15,1205
1521500757,7,773
1521500758,16,1053
1521500759,14,1206
1521500760,11,1198
1521500761,14,1069
1521500762,13,883
1521500763,12,719
1521500764,15,1248
1521500765,12,677
1521500766,12,1054
1521500767,16,1162
1521500768,7,995
1521500769,11,1240
1521500770,11,529
1521500771,12,1332
1521500772,14,1054
1521500773,7,591
1521500774,15,1225
1521500775,11,924
1521500777,14,1257
1521500777,7,533
1521500779,16,1490
1521500780,11,913
1521500781,11,1050
1521500781,15,809
1521500782,7,775
1521500783,17,932
1521500784,14,904
1521500785,17,1302
1521500787,15,1706
1521500788,12,601
1521500788,7,524
1521500789,13,1162
1521500791,15,1047
1521500792,12,1181
1521500793,15,1509
1521500794,14,726
1521500795,11,688
1521500795,12,733
1521500797,16,1376
1521500798,16,1383
1521500800,14,1280
1521500801,16,1087
1521500801,14,807
1521500803,17,1558
1521500804,7,685
1521500804,7,429
1521500805,11,1257
1521500806,17,894
1521500808,16,1467
1521500809,14,1279
1521500810,7,544
1521500810,7,297
1521500811,13,691
1521500812,11,990
1521500813,11,1453
1521500814,13,670
1521500814,7,622
1521500815,7,585
1521500816,17,918
1521500817,7,503
1521500818,7,923
1521500818,16,497
1521500818,7,436
1521500819,15,639
1521500820,13,1074
1521500821,13,1106
1521500822,17,828
1521500823,15,766
1521500823,7,432
1521500825,15,1221
1521500825,15,717
1521500826,15,420
1521500827,15,565
1521500827,12,447
1521500828,14,527
1521500828,15,584
1521500829,15,708
1521500829,7,544
1521500830,7,220
1521500831,16,925
1521500832,11,1309
1521500832,7,475
1521500834,17,1084
1521500835,16,1101
1521500835,14,685
1521500836,12,299
1521500837,17,1109
1521500838,14,917
