timestamp,kw_lengh,took_ms
1520960392,3,3075
1520960393,3,1857
1520960394,1,473
1520960395,3,1091
1520960396,2,593
1520960397,2,1371
1520960397,1,391
1520960398,1,173
1520960398,2,530
1520960398,1,150
1520960399,3,554
1520960400,2,1127
1520960401,3,1344
1520960402,3,371
1520960402,1,137
1520960402,1,158
1520960403,3,1000
1520960404,3,404
1520960404,3,478
1520960405,2,448
1520960405,1,72
1520960406,2,962
1520960406,3,171
1520960407,3,933
1520960407,1,177
1520960407,1,301
1520960407,1,65
1520960408,2,550
1520960408,3,213
1520960408,1,77
1520960408,1,30
1520960408,1,122
1520960409,2,1025
1520960410,2,140
1520960410,1,313
1520960411,3,1014
1520960411,1,86
1520960412,2,581
1520960412,1,74
1520960413,3,933
1520960413,3,383
1520960413,1,97
1520960414,3,992
1520960414,3,201
1520960414,1,53
1520960415,3,763
1520960416,2,311
1520960416,1,125
1520960416,1,767
1520960417,2,85
1520960417,2,138
1520960417,3,251
1520960417,3,453
1520960418,1,125
1520960418,2,104
1520960418,2,119
1520960418,2,564
1520960418,1,38
1520960419,2,359
1520960419,3,369
1520960419,1,116
1520960420,2,391
1520960420,1,63
1520960420,2,313
1520960420,2,136
1520960421,3,255
1520960421,1,30
1520960421,1,506
1520960421,1,58
1520960422,3,456
1520960422,3,536
1520960422,2,143
1520960423,3,292
1520960423,2,398
1520960424,2,587
1520960424,2,223
1520960424,3,197
1520960424,1,193
1520960425,2,262
1520960425,2,137
1520960425,1,47
1520960425,1,116
1520960425,2,201
1520960426,3,451
1520960426,3,222
1520960427,1,1255
1520960427,3,256
1520960428,2,368
1520960428,1,15
1520960428,1,27
1520960428,2,127
1520960428,3,321
1520960429,2,232
1520960429,3,339
1520960429,1,75
1520960429,1,97
1520960431,2,1638
1520960432,3,1069
1520960432,1,54
1520960432,1,62
1520960432,1,90
1520960432,1,80
1520960432,2,176
1520960432,2,124
1520960433,1,68
1520960433,3,304
1520960433,1,120
1520960433,2,206
1520960433,2,119
1520960434,3,429
1520960434,3,645
1520960435,3,282
1520960435,2,68
1520960435,3,121
1520960435,1,60
1520960435,1,36
1520960435,2,85
1520960435,1,36
1520960435,2,184
1520960436,3,536
1520960437,3,737
1520960438,3,1040
1520960438,2,191
1520960439,3,634
1520960439,2,745
1520960440,3,857
1520960440,2,193
1520960441,2,523
1520960441,1,50
1520960442,3,1031
1520960442,1,57
1520960442,3,147
1520960443,2,325
1520960443,3,130
1520960443,2,135
1520960443,1,224
1520960443,1,40
1520960444,3,629
1520960444,1,40
1520960444,3,166
1520960444,2,202
1520960445,2,787
1520960445,1,86
1520960446,1,517
1520960446,1,50
1520960446,3,321
1520960447,2,810
1520960448,3,775
1520960448,1,31
1520960448,2,105
1520960449,3,758
1520960449,1,46
1520960449,3,177
1520960449,1,50
1520960449,1,53
1520960449,1,56
1520960449,1,101
1520960450,2,453
1520960450,1,755
1520960451,1,676
1520960452,1,638
1520960452,2,256
1520960452,1,52
1520960452,1,57
1520960453,3,1032
1520960453,2,127
1520960453,1,36
1520960454,3,143
1520960454,1,579
1520960454,2,247
1520960455,1,113
1520960455,2,279
1520960455,2,176
1520960456,2,826
