mslong,sys_current,a57_current,a53_current,gpu_current,sys_voltage,a57_voltage,a53_voltage,gpu_voltage,sys_power,a57_power,a53_power,gpu_power,sys_energy,a57_energy,a53_energy,gpu_energy
1520969161371,0.908016,0.614173,0.135348,0.094488,0.906289,1.007398,0.813194,0.909371,0.826497,0.618717,0.113270,0.085925,14718225.079164,2536621.469439,943614.635224,1577037.439455
1520969161471,0.869908,0.118110,0.132720,0.091864,0.905672,1.008015,0.806412,0.908138,0.787851,0.119057,0.107027,0.083425,14718225.156641,2536621.481283,943614.645718,1577037.447916
1520969161571,0.837057,0.102362,0.127464,0.091864,0.905672,1.007398,0.806412,0.908755,0.758099,0.103120,0.102788,0.083481,14718225.233588,2536621.492497,943614.655929,1577037.456374
1520969161671,0.844941,0.107612,0.136662,0.094488,0.905672,1.007398,0.807645,0.909371,0.765239,0.108408,0.110375,0.085925,14718225.310706,2536621.503785,943614.666174,1577037.464838
1520969161771,0.854139,0.112861,0.134034,0.091864,0.906289,1.008015,0.808261,0.908755,0.775288,0.113765,0.109313,0.083481,14718225.387504,2536621.514973,943614.676317,1577037.473279
1520969161871,0.840999,0.104987,0.120894,0.091864,0.905672,1.008015,0.806412,0.908138,0.761669,0.105828,0.097490,0.083425,14718225.464340,2536621.526062,943614.686552,1577037.481731
1520969161971,0.854139,0.115486,0.120894,0.091864,0.906289,1.008015,0.807028,0.908755,0.773570,0.116411,0.097639,0.083481,14718225.541236,2536621.537195,943614.696920,1577037.490171
1520969162072,0.838371,0.102362,0.120894,0.091864,0.905672,1.008015,0.807028,0.908138,0.759289,0.103183,0.097565,0.083425,14718225.618182,2536621.548411,943614.707119,1577037.498606
1520969162172,0.851511,0.107612,0.140604,0.091864,0.906289,1.007398,0.808261,0.909371,0.768142,0.108408,0.113645,0.083538,14718225.695136,2536621.559677,943614.717300,1577037.507019
1520969162272,0.862024,0.115486,0.147175,0.094488,0.905672,1.007398,0.807028,0.908755,0.780711,0.116340,0.118774,0.085867,14718225.772320,2536621.571080,943614.727757,1577037.515462
1520969162372,0.851511,0.110236,0.135348,0.091864,0.906289,1.008015,0.806412,0.908755,0.771190,0.111120,0.109146,0.083481,14718225.849344,2536621.582352,943614.738451,1577037.523911
1520969162472,0.851511,0.110236,0.135348,0.094488,0.906289,1.008015,0.808261,0.908755,0.771715,0.111120,0.109397,0.085867,14718225.926348,2536621.593540,943614.748967,1577037.532359
