timestamp,kw_lengh,took_ms
1520969728,7,543
1520969728,13,543
1520969729,7,588
1520969730,16,1155
1520969730,13,468
1520969732,12,1353
1520969734,14,2566
1520969735,14,963
1520969737,15,1742
1520969738,13,1294
1520969740,14,1715
1520969742,15,1398
1520969742,12,790
1520969743,13,1007
1520969745,16,1344
1520969746,16,1463
1520969747,7,1030
1520969748,11,837
1520969749,17,1254
1520969750,13,506
1520969751,14,1262
1520969753,11,1349
1520969755,11,2212
1520969757,15,2208
1520969758,7,956
1520969760,15,1442
1520969761,12,1054
1520969761,16,767
1520969763,11,1125
1520969763,11,894
1520969766,14,2195
1520969767,16,1111
1520969768,12,1223
1520969769,12,570
1520969770,13,1055
1520969770,11,411
1520969771,17,926
1520969772,11,520
1520969773,13,1319
1520969774,7,1298
1520969776,16,1567
1520969778,17,2081
1520969779,14,1061
1520969780,11,1333
1520969782,14,1530
1520969783,13,973
1520969784,14,1226
1520969786,12,1453
1520969787,14,800
1520969788,11,1529
1520969790,16,1438
1520969791,15,1013
1520969791,16,559
1520969793,16,1770
1520969795,17,2052
1520969796,16,1041
1520969797,17,682
1520969798,15,1390
1520969799,15,1000
1520969801,14,1397
1520969802,16,1503
1520969805,17,2340
1520969805,7,202
1520969806,16,1231
1520969807,12,994
1520969808,12,431
1520969809,7,966
1520969810,15,879
1520969811,17,1167
1520969812,15,1667
1520969814,11,1406
1520969815,14,1015
1520969816,14,1309
1520969817,17,650
1520969818,15,1388
1520969820,7,1263
1520969821,14,1585
1520969822,7,727
1520969823,12,580
1520969823,7,611
1520969825,17,1599
1520969826,12,1216
1520969827,7,1068
1520969828,14,968
1520969830,11,1380
1520969831,14,1038
1520969831,7,750
1520969832,16,674
1520969833,15,1013
1520969834,12,473
1520969835,14,1010
1520969836,7,1040
1520969837,13,1106
1520969837,7,357
1520969839,13,1627
1520969840,7,1078
1520969842,17,1858
1520969844,16,2022
1520969846,15,1898
1520969847,7,672
1520969848,12,1254
1520969850,16,1746
1520969850,7,229
1520969851,15,1013
1520969851,12,576
1520969853,17,1456
1520969854,16,1334
1520969856,12,1576
1520969857,11,1482
1520969858,7,257
1520969859,16,1397
1520969860,14,974
1520969862,12,1453
1520969863,14,1774
1520969864,7,872
1520969865,7,737
1520969866,13,930
1520969867,13,749
1520969867,11,732
1520969868,11,846
1520969869,12,480
1520969869,11,556
1520969871,16,1332
1520969872,7,1066
1520969872,15,605
1520969874,15,1356
1520969874,12,365
1520969875,15,762
1520969877,16,1975
1520969878,11,955
1520969880,16,2373
1520969881,11,547
1520969882,11,534
