   KeyLength |   QueueTimes | ServiceTimes | SojournTimes

       9.000 |        0.151 |        1.868 |        2.019
      11.000 |        0.142 |        1.750 |        1.892
       8.000 |        0.095 |        5.011 |        5.106
       7.000 |        0.135 |        3.785 |        3.920
      11.000 |        0.146 |        1.287 |        1.433
       9.000 |        0.142 |        0.880 |        1.022
       6.000 |        0.146 |        0.980 |        1.126
      12.000 |        0.148 |        3.145 |        3.293
       9.000 |        0.327 |        1.007 |        1.335
       6.000 |        0.285 |        1.717 |        2.002
       8.000 |        0.445 |        2.519 |        2.964
      12.000 |        0.149 |        0.765 |        0.914
      10.000 |        0.146 |        2.342 |        2.488
       4.000 |        0.144 |        1.025 |        1.168
      10.000 |        0.148 |        3.210 |        3.358
      11.000 |        0.146 |        1.138 |        1.284
       7.000 |        0.149 |        1.007 |        1.156
       9.000 |        0.148 |        1.331 |        1.479
       6.000 |        0.220 |        1.078 |        1.298
      11.000 |        0.141 |        1.576 |        1.717
       8.000 |        0.144 |        2.400 |        2.543
       7.000 |        0.147 |        1.125 |        1.273
       7.000 |        0.149 |        2.213 |        2.362
       6.000 |        0.153 |        3.277 |        3.430
       5.000 |        0.194 |        1.177 |        1.370
      10.000 |        0.151 |        1.485 |        1.636
       7.000 |        0.149 |        1.132 |        1.281
       6.000 |        0.329 |        0.932 |        1.261
       8.000 |        0.145 |        1.539 |        1.684
      12.000 |        0.144 |        2.287 |        2.431
       9.000 |        0.137 |        3.719 |        3.856
      11.000 |        0.142 |        1.767 |        1.909
       8.000 |        0.145 |        1.297 |        1.442
      14.000 |        0.148 |        1.015 |        1.163
      11.000 |        0.214 |        1.101 |        1.315
       7.000 |        0.148 |        0.807 |        0.955
      10.000 |        0.147 |        1.229 |        1.376
      12.000 |        0.147 |        0.775 |        0.923
      12.000 |        0.149 |        2.646 |        2.795
       9.000 |        0.145 |        2.368 |        2.513
      12.000 |        0.151 |        1.624 |        1.775
       7.000 |        0.150 |        1.065 |        1.215
      14.000 |        0.145 |        3.630 |        3.775
      10.000 |        0.147 |        1.140 |        1.287
      10.000 |        0.144 |        1.787 |        1.931
      10.000 |        0.192 |        0.799 |        0.991
       9.000 |        0.145 |        1.727 |        1.872
      10.000 |        0.144 |        1.884 |        2.029
       7.000 |        0.158 |        1.272 |        1.429
       5.000 |        0.306 |        1.417 |        1.723
       4.000 |        0.096 |        1.493 |        1.589
       6.000 |        0.232 |        1.468 |        1.700
      15.000 |        0.144 |        2.692 |        2.836
       9.000 |        0.151 |        1.630 |        1.781
      10.000 |        0.137 |        2.456 |        2.593
       6.000 |        0.202 |        1.970 |        2.171
      10.000 |        0.151 |        6.552 |        6.703
       8.000 |        0.143 |        4.277 |        4.420
      12.000 |        0.150 |        1.016 |        1.165
       7.000 |        0.140 |        1.397 |        1.537
      14.000 |        0.146 |        1.867 |        2.013
       7.000 |        0.146 |        3.851 |        3.997
       8.000 |        0.287 |        0.999 |        1.286
      10.000 |        0.133 |        3.447 |        3.580
      11.000 |        0.143 |        1.067 |        1.210
       8.000 |        0.147 |        1.738 |        1.885
      10.000 |        0.143 |        1.631 |        1.774
      11.000 |        0.141 |        4.222 |        4.363
      10.000 |        0.105 |        1.784 |        1.889
       6.000 |        0.170 |        3.060 |        3.230
       8.000 |        0.145 |        1.503 |        1.648
       5.000 |        0.144 |        1.206 |        1.350
       7.000 |        0.143 |        2.258 |        2.402
      13.000 |        0.147 |        2.657 |        2.804
       6.000 |        0.147 |        2.367 |        2.514
       5.000 |        0.137 |        1.871 |        2.008
       6.000 |        0.145 |        2.878 |        3.023
      10.000 |        0.148 |        0.939 |        1.086
      10.000 |        0.283 |        3.184 |        3.468
      11.000 |        0.314 |        1.775 |        2.089
       9.000 |        0.155 |        1.826 |        1.981
       5.000 |        0.145 |        0.850 |        0.995
       5.000 |        0.146 |        1.492 |        1.638
      11.000 |        0.145 |        3.296 |        3.441
      11.000 |        0.138 |        4.030 |        4.169
       7.000 |        0.147 |        1.088 |        1.235
       7.000 |        0.145 |        1.695 |        1.840
       9.000 |        0.149 |        1.744 |        1.893
       7.000 |        0.146 |        1.217 |        1.363
       7.000 |        0.208 |        0.921 |        1.129
       9.000 |        0.148 |        1.363 |        1.511
       4.000 |        0.160 |        1.193 |        1.353
       6.000 |        0.150 |        0.805 |        0.955
       7.000 |        0.148 |        2.294 |        2.442
      12.000 |        0.148 |        2.699 |        2.847
       8.000 |        0.144 |        0.988 |        1.132
      12.000 |        0.143 |        2.420 |        2.563
       9.000 |        0.147 |        0.963 |        1.110
       9.000 |        0.148 |        1.361 |        1.509
      10.000 |        0.147 |        1.155 |        1.302
       6.000 |        0.149 |        1.458 |        1.606
       8.000 |        0.144 |        1.675 |        1.819
       3.000 |        0.146 |        2.484 |        2.630
       7.000 |        0.169 |        3.221 |        3.391
       3.000 |        0.234 |        2.421 |        2.655
       9.000 |        0.171 |        1.789 |        1.960
       8.000 |        0.149 |        4.979 |        5.128
       8.000 |        0.155 |        2.138 |        2.293
      11.000 |        0.146 |        1.150 |        1.296
       8.000 |        0.143 |        1.150 |        1.293
      11.000 |        0.144 |        2.900 |        3.043
      11.000 |        0.147 |        2.328 |        2.475
       5.000 |        0.146 |        1.144 |        1.290
       9.000 |        0.225 |        2.720 |        2.945
      11.000 |        0.143 |        1.260 |        1.403
       9.000 |        0.233 |        3.208 |        3.441
      12.000 |        0.324 |        1.265 |        1.589
       6.000 |        0.304 |        3.394 |        3.697
       7.000 |        0.111 |        0.900 |        1.011
      14.000 |        0.142 |        3.234 |        3.375
       7.000 |        0.093 |        1.167 |        1.261
      10.000 |        0.099 |        3.126 |        3.225
       5.000 |        0.140 |        1.134 |        1.274
       9.000 |        0.176 |        0.506 |        0.682
       5.000 |        0.116 |        0.486 |        0.602
       7.000 |        0.076 |        3.865 |        3.942
       8.000 |        0.115 |        0.724 |        0.838
       9.000 |        0.142 |        0.925 |        1.067
       5.000 |        0.183 |        2.085 |        2.268
       8.000 |        0.147 |        1.001 |        1.148
       8.000 |        0.150 |        2.046 |        2.196
       4.000 |        0.139 |        2.099 |        2.238
      11.000 |        0.073 |        1.178 |        1.251
       8.000 |        0.094 |        1.265 |        1.358
       6.000 |        0.138 |        2.360 |        2.498
       6.000 |        0.140 |        3.279 |        3.419
       5.000 |        0.093 |        2.804 |        2.897
       7.000 |        0.293 |        1.641 |        1.934
      11.000 |        0.142 |        3.732 |        3.874
       5.000 |        0.146 |        0.901 |        1.047
      12.000 |        0.150 |        3.632 |        3.782
       9.000 |        0.260 |        4.982 |        5.242
      14.000 |        0.146 |        1.112 |        1.258
      13.000 |        0.156 |        3.053 |        3.209
       8.000 |        0.145 |        4.260 |        4.405
       9.000 |        0.152 |        3.541 |        3.693
      10.000 |        0.170 |        1.313 |        1.483
      10.000 |        0.158 |        0.716 |        0.875
       7.000 |        0.147 |        1.187 |        1.335
      10.000 |        0.191 |        1.179 |        1.370
      12.000 |        0.317 |        1.662 |        1.978
       8.000 |        0.146 |        5.000 |        5.146
      11.000 |        0.147 |        3.481 |        3.629
       8.000 |        0.150 |        2.731 |        2.881
       8.000 |        0.145 |        2.110 |        2.255
      11.000 |        0.163 |        0.981 |        1.144
       7.000 |        0.146 |        1.391 |        1.537
      10.000 |        0.322 |        1.691 |        2.013
      12.000 |        0.151 |        1.269 |        1.420
       6.000 |        0.141 |        1.039 |        1.180
       9.000 |        0.145 |        1.423 |        1.569
       5.000 |        0.135 |        0.728 |        0.863
       7.000 |        0.142 |        1.228 |        1.370
       8.000 |        0.143 |        0.639 |        0.782
       4.000 |        0.145 |        3.506 |        3.652
       8.000 |        0.115 |        0.704 |        0.819
       7.000 |        0.137 |        3.518 |        3.655
       8.000 |        0.092 |        2.271 |        2.362
       9.000 |        0.260 |        5.204 |        5.464
      10.000 |        0.135 |        4.196 |        4.331
       6.000 |        0.139 |        0.963 |        1.102
       9.000 |        0.136 |        1.994 |        2.129
       7.000 |        0.173 |        1.338 |        1.511
       9.000 |        0.149 |        2.841 |        2.991
      11.000 |        0.164 |        3.177 |        3.341
      10.000 |        0.160 |        0.990 |        1.149
       8.000 |        0.175 |        1.994 |        2.168
       9.000 |        0.168 |        0.630 |        0.798
       8.000 |        0.156 |        1.319 |        1.475
       7.000 |        0.146 |        1.493 |        1.639
       8.000 |        0.212 |        0.974 |        1.186
       5.000 |        0.146 |        1.016 |        1.161
       6.000 |        0.147 |        1.452 |        1.599
      11.000 |        0.145 |        1.104 |        1.249
      10.000 |        0.146 |        2.103 |        2.249
      11.000 |        0.148 |        0.793 |        0.941
       4.000 |        0.148 |        0.941 |        1.089
       7.000 |        0.175 |        1.887 |        2.063
       9.000 |        0.144 |        2.609 |        2.753
      11.000 |        0.147 |        0.976 |        1.123
      11.000 |        0.143 |        1.087 |        1.230
      10.000 |        0.136 |        2.143 |        2.278
      11.000 |        0.156 |        2.465 |        2.621
       7.000 |        0.146 |        1.165 |        1.312
      11.000 |        0.144 |        2.873 |        3.017
       8.000 |        0.146 |        2.333 |        2.479
       9.000 |        0.170 |        2.231 |        2.401
       3.000 |        0.147 |        1.247 |        1.394
       4.000 |        0.150 |        2.136 |        2.286
       6.000 |        0.149 |        1.813 |        1.962
       7.000 |        0.148 |        1.101 |        1.248
       6.000 |        0.151 |        6.110 |        6.261
      11.000 |        0.231 |        1.555 |        1.786
      10.000 |        0.143 |        0.694 |        0.836
       5.000 |        0.297 |        1.222 |        1.519
       8.000 |        0.106 |        2.665 |        2.771
       4.000 |        0.146 |        1.924 |        2.070
       7.000 |        0.147 |        1.509 |        1.656
      10.000 |        0.144 |        3.728 |        3.873
       7.000 |        0.160 |        1.005 |        1.165
      15.000 |        0.198 |        2.658 |        2.855
       9.000 |        0.144 |        1.362 |        1.506
       5.000 |        0.145 |        1.160 |        1.305
      12.000 |        0.152 |        2.048 |        2.200
      13.000 |        0.098 |        0.963 |        1.061
      10.000 |        0.144 |        3.612 |        3.756
      11.000 |        0.136 |        1.990 |        2.126
       8.000 |        0.140 |        2.399 |        2.539
       5.000 |        0.143 |        0.851 |        0.993
      11.000 |        0.140 |        1.609 |        1.749
      11.000 |        0.143 |        3.214 |        3.357
       7.000 |        0.276 |        0.810 |        1.086
       7.000 |        0.148 |        1.119 |        1.266
       6.000 |        0.155 |        0.824 |        0.979
