  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       9.000 |        0.150 |        1.915 |        2.065
      11.000 |        0.151 |        1.859 |        2.009
       8.000 |        0.138 |        5.942 |        6.080
      11.000 |        0.147 |        1.293 |        1.440
       9.000 |        0.148 |        0.858 |        1.007
       6.000 |        0.147 |        0.966 |        1.113
       7.000 |        0.140 |        6.603 |        6.744
      12.000 |        0.145 |        3.154 |        3.299
       9.000 |        0.283 |        1.024 |        1.306
       6.000 |        0.230 |        1.712 |        1.942
       8.000 |        0.418 |        2.483 |        2.901
      12.000 |        0.151 |        0.872 |        1.023
      10.000 |        0.148 |        3.479 |        3.627
       4.000 |        0.152 |        1.038 |        1.190
      10.000 |        0.153 |        3.174 |        3.327
      11.000 |        0.155 |        1.148 |        1.303
       7.000 |        0.148 |        1.001 |        1.149
       9.000 |        0.147 |        1.326 |        1.473
       6.000 |        0.174 |        1.092 |        1.267
      11.000 |        0.147 |        1.651 |        1.798
       7.000 |        0.147 |        1.141 |        1.289
       8.000 |        0.145 |        3.468 |        3.613
       7.000 |        0.145 |        2.177 |        2.322
       6.000 |        0.150 |        3.327 |        3.478
       5.000 |        0.153 |        1.161 |        1.313
      10.000 |        0.205 |        1.478 |        1.684
       7.000 |        0.148 |        1.045 |        1.193
       6.000 |        0.148 |        0.937 |        1.085
       8.000 |        0.148 |        1.527 |        1.675
      12.000 |        0.148 |        2.345 |        2.493
       9.000 |        0.146 |        4.295 |        4.440
      11.000 |        0.148 |        2.843 |        2.991
       8.000 |        0.148 |        1.298 |        1.446
      14.000 |        0.145 |        1.008 |        1.153
      11.000 |        0.219 |        1.086 |        1.305
       7.000 |        0.144 |        0.895 |        1.038
      10.000 |        0.148 |        1.300 |        1.448
      12.000 |        0.149 |        0.782 |        0.931
      12.000 |        0.146 |        2.622 |        2.768
       9.000 |        0.153 |        3.139 |        3.292
      12.000 |        0.148 |        1.662 |        1.810
       7.000 |        0.149 |        1.058 |        1.207
      10.000 |        0.149 |        1.128 |        1.277
      10.000 |        0.150 |        1.795 |        1.945
      10.000 |        0.145 |        0.826 |        0.972
       9.000 |        0.145 |        1.730 |        1.874
      14.000 |        0.148 |        6.463 |        6.611
       7.000 |        0.150 |        1.173 |        1.323
       5.000 |        0.150 |        1.391 |        1.542
       4.000 |        0.145 |        1.453 |        1.598
       6.000 |        0.245 |        1.438 |        1.683
      10.000 |        0.192 |        3.915 |        4.107
      15.000 |        0.187 |        2.704 |        2.891
       9.000 |        0.155 |        1.954 |        2.109
      10.000 |        0.148 |        6.550 |        6.698
      10.000 |        0.146 |        3.824 |        3.970
       6.000 |        0.147 |        3.502 |        3.649
       8.000 |        0.149 |        5.925 |        6.074
      12.000 |        0.273 |        0.933 |        1.205
       7.000 |        0.151 |        1.413 |        1.564
      14.000 |        0.136 |        2.374 |        2.509
       8.000 |        0.147 |        0.995 |        1.142
      11.000 |        0.147 |        1.066 |        1.213
       7.000 |        0.147 |        5.602 |        5.749
       8.000 |        0.296 |        1.753 |        2.049
      10.000 |        0.146 |        1.643 |        1.789
      10.000 |        0.147 |        6.654 |        6.800
      10.000 |        0.148 |        1.877 |        2.024
      11.000 |        0.146 |        5.953 |        6.099
       6.000 |        0.141 |        3.042 |        3.183
       8.000 |        0.150 |        1.796 |        1.946
       5.000 |        0.151 |        1.729 |        1.880
       6.000 |        0.149 |        2.355 |        2.504
       7.000 |        0.148 |        3.873 |        4.021
      13.000 |        0.149 |        4.447 |        4.596
       5.000 |        0.142 |        1.877 |        2.019
       6.000 |        0.150 |        3.061 |        3.211
      10.000 |        0.147 |        1.365 |        1.512
      10.000 |        0.147 |        4.378 |        4.526
      11.000 |        0.147 |        3.127 |        3.274
       9.000 |        0.149 |        1.925 |        2.073
       5.000 |        0.147 |        0.854 |        1.000
       5.000 |        0.150 |        1.460 |        1.610
      11.000 |        0.148 |        3.587 |        3.735
      11.000 |        0.210 |        4.050 |        4.260
       7.000 |        0.147 |        1.079 |        1.225
       7.000 |        0.150 |        1.602 |        1.752
       9.000 |        0.155 |        2.207 |        2.363
       7.000 |        0.151 |        1.227 |        1.378
       7.000 |        0.220 |        0.924 |        1.144
       9.000 |        0.157 |        1.719 |        1.876
       4.000 |        0.149 |        1.211 |        1.360
       6.000 |        0.151 |        0.804 |        0.955
       7.000 |        0.151 |        2.265 |        2.416
      12.000 |        0.148 |        2.774 |        2.922
       8.000 |        0.147 |        0.980 |        1.127
       9.000 |        0.149 |        0.974 |        1.123
       9.000 |        0.148 |        1.279 |        1.427
      12.000 |        0.212 |        5.033 |        5.245
      10.000 |        0.148 |        1.173 |        1.321
       6.000 |        0.147 |        1.457 |        1.604
       8.000 |        0.150 |        2.370 |        2.521
       3.000 |        0.148 |        2.368 |        2.516
       9.000 |        0.149 |        1.771 |        1.920
       3.000 |        0.150 |        4.886 |        5.036
       7.000 |        0.166 |        5.940 |        6.106
       8.000 |        0.148 |        5.028 |        5.176
       8.000 |        0.149 |        2.109 |        2.257
      11.000 |        0.208 |        1.040 |        1.249
       8.000 |        0.149 |        1.239 |        1.388
      11.000 |        0.148 |        2.307 |        2.455
      11.000 |        0.148 |        4.976 |        5.123
       5.000 |        0.149 |        1.153 |        1.303
       9.000 |        0.146 |        2.766 |        2.912
      12.000 |        0.140 |        1.307 |        1.447
      11.000 |        0.146 |        1.640 |        1.787
       7.000 |        0.131 |        0.855 |        0.986
       9.000 |        0.362 |        3.684 |        4.047
       6.000 |        0.147 |        4.198 |        4.346
      14.000 |        0.150 |        4.413 |        4.564
       7.000 |        0.137 |        1.178 |        1.315
      10.000 |        0.153 |        3.078 |        3.230
       5.000 |        0.139 |        1.131 |        1.270
       9.000 |        0.137 |        1.065 |        1.203
       5.000 |        0.137 |        0.992 |        1.129
       7.000 |        0.146 |        4.053 |        4.199
       9.000 |        0.137 |        0.967 |        1.103
       8.000 |        0.139 |        1.496 |        1.634
       5.000 |        0.139 |        3.073 |        3.212
       8.000 |        0.156 |        0.997 |        1.153
       8.000 |        0.151 |        2.060 |        2.210
      11.000 |        0.148 |        1.181 |        1.328
       8.000 |        0.140 |        1.288 |        1.428
       4.000 |        0.149 |        3.070 |        3.219
       7.000 |        0.095 |        1.620 |        1.715
       5.000 |        0.236 |        2.846 |        3.083
       6.000 |        0.148 |        4.288 |        4.436
       6.000 |        0.146 |        5.914 |        6.060
      11.000 |        0.149 |        4.111 |        4.260
       5.000 |        0.149 |        0.862 |        1.010
       9.000 |        0.147 |        5.008 |        5.155
      12.000 |        0.152 |        5.135 |        5.287
      14.000 |        0.146 |        1.085 |        1.231
      13.000 |        0.156 |        3.730 |        3.885
       8.000 |        0.151 |        5.221 |        5.372
       9.000 |        0.149 |        4.886 |        5.035
      10.000 |        0.146 |        1.287 |        1.433
      10.000 |        0.150 |        0.943 |        1.093
       7.000 |        0.150 |        1.187 |        1.336
      12.000 |        0.145 |        1.595 |        1.739
      10.000 |        0.301 |        1.182 |        1.483
       8.000 |        0.150 |        7.059 |        7.209
      11.000 |        0.148 |        3.514 |        3.663
       8.000 |        0.148 |        2.825 |        2.973
       8.000 |        0.147 |        2.072 |        2.219
      11.000 |        0.148 |        1.056 |        1.203
       7.000 |        0.148 |        1.373 |        1.521
      12.000 |        0.158 |        1.261 |        1.418
       6.000 |        0.147 |        0.964 |        1.111
       9.000 |        0.146 |        1.409 |        1.555
       7.000 |        0.137 |        1.241 |        1.378
      10.000 |        0.147 |        3.248 |        3.394
       5.000 |        0.140 |        1.474 |        1.614
       8.000 |        0.138 |        1.254 |        1.392
       4.000 |        0.150 |        3.522 |        3.672
       7.000 |        0.153 |        3.529 |        3.682
       8.000 |        0.139 |        1.543 |        1.683
       8.000 |        0.138 |        2.853 |        2.990
       9.000 |        0.294 |        5.843 |        6.137
       6.000 |        0.392 |        0.963 |        1.355
       9.000 |        0.144 |        1.894 |        2.038
      10.000 |        0.136 |        5.543 |        5.680
       7.000 |        0.182 |        1.340 |        1.521
       9.000 |        0.146 |        2.906 |        3.052
      10.000 |        0.150 |        1.037 |        1.187
      11.000 |        0.156 |        5.654 |        5.810
       8.000 |        0.149 |        3.496 |        3.645
       9.000 |        0.149 |        0.638 |        0.788
       8.000 |        0.150 |        1.303 |        1.452
       7.000 |        0.148 |        1.883 |        2.031
       8.000 |        0.143 |        1.446 |        1.589
       5.000 |        0.149 |        1.019 |        1.168
       6.000 |        0.148 |        1.358 |        1.506
      11.000 |        0.150 |        1.124 |        1.275
      10.000 |        0.154 |        2.345 |        2.499
      11.000 |        0.148 |        0.893 |        1.041
       4.000 |        0.140 |        0.959 |        1.099
       7.000 |        0.164 |        1.862 |        2.026
      11.000 |        0.151 |        0.971 |        1.123
      11.000 |        0.146 |        1.070 |        1.216
      10.000 |        0.144 |        2.127 |        2.272
       9.000 |        0.139 |        5.335 |        5.474
      11.000 |        0.158 |        2.982 |        3.140
       7.000 |        0.150 |        1.108 |        1.258
       8.000 |        0.147 |        2.371 |        2.518
       9.000 |        0.218 |        2.217 |        2.436
      11.000 |        0.150 |        5.268 |        5.418
       3.000 |        0.148 |        1.289 |        1.437
       4.000 |        0.144 |        2.989 |        3.133
       7.000 |        0.147 |        1.087 |        1.235
       6.000 |        0.149 |        3.731 |        3.880
       6.000 |        0.147 |        6.181 |        6.328
      11.000 |        0.148 |        2.019 |        2.167
      10.000 |        0.143 |        0.698 |        0.841
       5.000 |        0.312 |        1.218 |        1.529
       8.000 |        0.146 |        2.648 |        2.794
       4.000 |        0.146 |        1.901 |        2.047
       7.000 |        0.145 |        1.524 |        1.670
      10.000 |        0.150 |        4.269 |        4.419
       7.000 |        0.252 |        1.025 |        1.277
       9.000 |        0.146 |        1.354 |        1.500
      15.000 |        0.147 |        4.249 |        4.396
       5.000 |        0.146 |        1.107 |        1.253
      12.000 |        0.146 |        2.113 |        2.259
      13.000 |        0.190 |        0.972 |        1.162
      10.000 |        0.151 |        4.141 |        4.292
      11.000 |        0.145 |        2.741 |        2.886
       8.000 |        0.146 |        2.372 |        2.519
       5.000 |        0.148 |        0.766 |        0.914
      11.000 |        0.152 |        1.601 |        1.752
       7.000 |        0.147 |        0.819 |        0.966
      11.000 |        0.147 |        4.890 |        5.037
       7.000 |        0.147 |        1.101 |        1.248
       6.000 |        0.149 |        0.903 |        1.051
       9.000 |        0.146 |        1.453 |        1.599
       6.000 |        0.147 |        4.712 |        4.859
       3.000 |        0.148 |        5.325 |        5.472
       5.000 |        0.148 |        1.644 |        1.792
      13.000 |        0.147 |        1.048 |        1.195
       9.000 |        0.150 |        4.122 |        4.271
       9.000 |        0.147 |        0.997 |        1.144
       6.000 |        0.318 |        1.342 |        1.661
      14.000 |        0.462 |        1.756 |        2.218
      10.000 |        0.146 |        2.384 |        2.530
      10.000 |        0.147 |        3.115 |        3.262
       8.000 |        0.276 |        1.230 |        1.507
      10.000 |        0.148 |        6.480 |        6.628
      12.000 |        0.148 |        3.102 |        3.251
      14.000 |        0.201 |        1.189 |        1.390
      10.000 |        0.148 |        0.963 |        1.111
       7.000 |        0.147 |        1.795 |        1.942
      10.000 |        0.146 |        5.760 |        5.906
      10.000 |        0.146 |        1.526 |        1.672
       8.000 |        0.144 |        3.236 |        3.380
      12.000 |        0.151 |        1.785 |        1.936
       9.000 |        0.146 |        0.973 |        1.120
      11.000 |        0.146 |        3.389 |        3.535
      11.000 |        0.146 |        2.973 |        3.120
      13.000 |        0.145 |        1.014 |        1.159
      14.000 |        0.145 |        0.968 |        1.113
       9.000 |        0.265 |        1.469 |        1.734
       8.000 |        0.144 |        0.806 |        0.950
       9.000 |        0.147 |        4.936 |        5.083
      10.000 |        0.155 |        1.146 |        1.300
       6.000 |        0.150 |        3.028 |        3.177
       6.000 |        0.148 |        4.431 |        4.579
      11.000 |        0.150 |        4.083 |        4.232
       8.000 |        0.145 |        0.895 |        1.040
       8.000 |        0.188 |        1.258 |        1.446
      12.000 |        0.146 |        2.730 |        2.876
      10.000 |        0.145 |        0.753 |        0.898
       6.000 |        0.147 |        1.199 |        1.346
       7.000 |        0.148 |        1.605 |        1.753
       9.000 |        0.163 |        4.011 |        4.174
       7.000 |        0.148 |        6.599 |        6.746
       6.000 |        0.148 |        1.407 |        1.555
      10.000 |        0.147 |        4.498 |        4.644
       6.000 |        0.290 |        0.873 |        1.163
       5.000 |        0.146 |        0.887 |        1.033
       6.000 |        0.165 |        2.531 |        2.697
       7.000 |        0.096 |        0.964 |        1.060
       9.000 |        0.144 |        3.229 |        3.374
      10.000 |        0.160 |        6.726 |        6.886
      10.000 |        0.327 |        0.956 |        1.283
      15.000 |        0.250 |        1.042 |        1.292
       7.000 |        0.149 |        1.280 |        1.429
       6.000 |        0.143 |        1.144 |        1.286
       9.000 |        0.225 |        1.087 |        1.312
       7.000 |        0.142 |        1.618 |        1.760
      11.000 |        0.147 |        6.463 |        6.610
       9.000 |        0.152 |        0.938 |        1.090
      13.000 |        0.145 |        4.998 |        5.143
      12.000 |        0.148 |        1.294 |        1.442
       9.000 |        0.151 |        5.883 |        6.033
       8.000 |        0.092 |        0.921 |        1.013
       9.000 |        0.338 |        1.177 |        1.515
      10.000 |        0.153 |        0.930 |        1.083
       4.000 |        0.146 |        0.939 |        1.085
      10.000 |        0.156 |        2.905 |        3.061
       9.000 |        0.277 |        1.291 |        1.568
       5.000 |        0.415 |        1.381 |        1.796
      10.000 |        0.159 |        3.675 |        3.834
       5.000 |        0.150 |        1.024 |        1.174
      11.000 |        0.146 |        1.579 |        1.725
       8.000 |        0.217 |        0.757 |        0.973
       8.000 |        0.413 |        1.794 |        2.207
       9.000 |        0.145 |        1.523 |        1.668
      13.000 |        0.165 |        1.027 |        1.191
      11.000 |        0.154 |        0.963 |        1.117
       7.000 |        0.137 |        0.633 |        0.770
       9.000 |        0.144 |        4.930 |        5.074
      13.000 |        0.135 |        2.600 |        2.735
       8.000 |        0.148 |        1.036 |        1.185
       9.000 |        0.148 |        2.892 |        3.040
       8.000 |        0.143 |        0.949 |        1.091
       8.000 |        0.150 |        0.998 |        1.148
      12.000 |        0.146 |        3.426 |        3.571
      12.000 |        0.144 |        2.220 |        2.364
      13.000 |        0.151 |        1.499 |        1.650
       8.000 |        0.145 |        1.112 |        1.257
      10.000 |        0.145 |        3.228 |        3.373
       8.000 |        0.147 |        3.330 |        3.477
      10.000 |        0.138 |        1.029 |        1.167
