   KeyLength |   QueueTimes | ServiceTimes | SojournTimes

       8.000 |        0.091 |        3.481 |        3.573
       9.000 |        0.266 |        1.375 |        1.641
      11.000 |        0.138 |        1.560 |        1.698
       7.000 |        0.133 |        3.697 |        3.830
      11.000 |        0.158 |        1.004 |        1.161
       9.000 |        0.147 |        0.794 |        0.941
       6.000 |        0.149 |        0.915 |        1.064
      12.000 |        0.153 |        1.847 |        2.000
       8.000 |        0.143 |        1.707 |        1.850
       9.000 |        0.143 |        0.891 |        1.035
       6.000 |        0.229 |        1.411 |        1.641
      12.000 |        0.146 |        0.749 |        0.895
      10.000 |        0.139 |        2.378 |        2.517
      10.000 |        0.138 |        2.231 |        2.369
       4.000 |        0.157 |        0.885 |        1.041
      11.000 |        0.167 |        0.936 |        1.103
       7.000 |        0.141 |        0.836 |        0.978
       9.000 |        0.148 |        0.867 |        1.015
       6.000 |        0.145 |        1.016 |        1.161
      11.000 |        0.172 |        1.370 |        1.542
       8.000 |        0.144 |        2.149 |        2.293
       7.000 |        0.138 |        0.968 |        1.106
       7.000 |        0.137 |        1.669 |        1.806
       6.000 |        0.146 |        2.053 |        2.199
       5.000 |        0.145 |        0.944 |        1.089
      10.000 |        0.141 |        1.095 |        1.237
       7.000 |        0.140 |        0.972 |        1.112
       6.000 |        0.324 |        0.784 |        1.108
       8.000 |        0.144 |        1.316 |        1.460
       9.000 |        0.147 |        2.595 |        2.742
      12.000 |        0.145 |        2.253 |        2.399
      11.000 |        0.144 |        2.015 |        2.159
       8.000 |        0.142 |        1.129 |        1.271
      14.000 |        0.166 |        0.896 |        1.061
      11.000 |        0.254 |        0.922 |        1.176
       7.000 |        0.151 |        0.809 |        0.960
      10.000 |        0.155 |        1.022 |        1.177
      12.000 |        0.145 |        0.773 |        0.918
      12.000 |        0.146 |        2.029 |        2.174
       9.000 |        0.145 |        1.953 |        2.098
      12.000 |        0.152 |        1.439 |        1.591
       7.000 |        0.151 |        0.982 |        1.132
      10.000 |        0.147 |        0.876 |        1.023
      10.000 |        0.247 |        1.351 |        1.599
      14.000 |        0.272 |        3.852 |        4.124
      10.000 |        0.142 |        0.764 |        0.907
       9.000 |        0.092 |        1.476 |        1.568
       7.000 |        0.138 |        1.012 |        1.150
       5.000 |        0.211 |        1.151 |        1.362
      10.000 |        0.137 |        2.327 |        2.465
       6.000 |        0.135 |        1.026 |        1.161
      15.000 |        0.206 |        1.940 |        2.147
      10.000 |        0.201 |        3.987 |        4.188
       4.000 |        0.151 |        1.402 |        1.554
       9.000 |        0.136 |        1.589 |        1.725
       8.000 |        0.148 |        3.465 |        3.614
      10.000 |        0.243 |        2.383 |        2.626
       6.000 |        0.152 |        2.371 |        2.523
      12.000 |        0.129 |        0.843 |        0.971
       7.000 |        0.134 |        1.197 |        1.331
      14.000 |        0.139 |        1.848 |        1.987
       7.000 |        0.092 |        3.551 |        3.642
       8.000 |        0.091 |        0.840 |        0.930
      11.000 |        0.132 |        0.840 |        0.972
      10.000 |        0.130 |        3.936 |        4.066
       8.000 |        0.148 |        1.657 |        1.805
      10.000 |        0.132 |        1.212 |        1.344
      11.000 |        0.139 |        3.606 |        3.746
      10.000 |        0.146 |        1.408 |        1.553
       6.000 |        0.144 |        1.821 |        1.965
       8.000 |        0.140 |        1.297 |        1.437
       5.000 |        0.110 |        1.491 |        1.601
       7.000 |        0.137 |        2.338 |        2.474
       6.000 |        0.196 |        1.649 |        1.845
      13.000 |        0.220 |        2.816 |        3.036
       5.000 |        0.146 |        1.192 |        1.338
      10.000 |        0.141 |        3.041 |        3.182
       6.000 |        0.237 |        2.982 |        3.220
      10.000 |        0.193 |        1.038 |        1.231
      11.000 |        0.142 |        2.239 |        2.381
       9.000 |        0.145 |        1.404 |        1.549
       5.000 |        0.131 |        0.627 |        0.758
      11.000 |        0.130 |        2.108 |        2.239
       5.000 |        0.245 |        1.094 |        1.339
      11.000 |        0.409 |        2.495 |        2.904
       7.000 |        0.139 |        0.851 |        0.990
       7.000 |        0.156 |        1.025 |        1.181
       9.000 |        0.143 |        1.426 |        1.569
       7.000 |        0.179 |        0.983 |        1.163
       7.000 |        0.145 |        0.852 |        0.996
       9.000 |        0.096 |        1.217 |        1.313
       4.000 |        0.149 |        1.100 |        1.249
       6.000 |        0.142 |        0.709 |        0.851
       7.000 |        0.144 |        1.729 |        1.873
      12.000 |        0.230 |        2.004 |        2.233
       8.000 |        0.139 |        0.843 |        0.982
      12.000 |        0.130 |        2.933 |        3.063
       9.000 |        0.144 |        0.828 |        0.972
       9.000 |        0.145 |        0.870 |        1.015
      10.000 |        0.148 |        1.088 |        1.236
       6.000 |        0.141 |        0.997 |        1.137
       8.000 |        0.157 |        1.618 |        1.776
