   KeyLength |   QueueTimes | ServiceTimes | SojournTimes

       8.000 |        0.140 |        3.896 |        4.035
       9.000 |        0.162 |        1.928 |        2.089
      11.000 |        0.139 |        1.708 |        1.847
       7.000 |        0.136 |        4.084 |        4.219
      11.000 |        0.149 |        1.201 |        1.349
       9.000 |        0.151 |        0.867 |        1.017
       6.000 |        0.149 |        0.982 |        1.131
      12.000 |        0.146 |        2.743 |        2.889
       6.000 |        0.200 |        1.126 |        1.326
       8.000 |        0.360 |        1.904 |        2.264
       9.000 |        0.210 |        1.024 |        1.233
      12.000 |        0.145 |        0.847 |        0.992
      10.000 |        0.144 |        2.635 |        2.780
      10.000 |        0.147 |        2.193 |        2.340
       4.000 |        0.149 |        1.016 |        1.165
      11.000 |        0.165 |        1.097 |        1.262
       7.000 |        0.153 |        0.921 |        1.074
       9.000 |        0.154 |        1.322 |        1.476
       6.000 |        0.189 |        1.089 |        1.279
      11.000 |        0.143 |        1.090 |        1.233
       8.000 |        0.143 |        2.046 |        2.189
       7.000 |        0.144 |        1.133 |        1.277
       7.000 |        0.150 |        2.161 |        2.311
       6.000 |        0.147 |        2.465 |        2.612
       5.000 |        0.145 |        1.153 |        1.298
      10.000 |        0.164 |        1.350 |        1.514
       7.000 |        0.149 |        0.989 |        1.138
       6.000 |        0.148 |        0.932 |        1.079
       8.000 |        0.145 |        1.492 |        1.638
      12.000 |        0.149 |        2.112 |        2.261
       9.000 |        0.149 |        4.252 |        4.401
      11.000 |        0.148 |        2.802 |        2.950
       8.000 |        0.212 |        1.131 |        1.343
      14.000 |        0.148 |        0.996 |        1.144
      11.000 |        0.226 |        1.072 |        1.298
       7.000 |        0.147 |        0.923 |        1.070
      10.000 |        0.145 |        1.002 |        1.147
      12.000 |        0.165 |        0.782 |        0.947
      12.000 |        0.149 |        2.512 |        2.661
       9.000 |        0.146 |        2.331 |        2.478
      12.000 |        0.147 |        1.660 |        1.807
       7.000 |        0.148 |        0.987 |        1.134
      10.000 |        0.141 |        1.108 |        1.249
      10.000 |        0.145 |        1.757 |        1.901
      14.000 |        0.254 |        4.168 |        4.422
      10.000 |        0.382 |        0.718 |        1.101
       9.000 |        0.143 |        1.153 |        1.296
       7.000 |        0.138 |        1.238 |        1.376
       5.000 |        0.224 |        1.401 |        1.625
      10.000 |        0.228 |        2.338 |        2.566
       6.000 |        0.136 |        1.150 |        1.286
      10.000 |        0.238 |        3.904 |        4.142
      15.000 |        0.266 |        2.193 |        2.459
       4.000 |        0.411 |        1.448 |        1.859
       8.000 |        0.145 |        3.402 |        3.548
       9.000 |        0.096 |        1.976 |        2.072
      10.000 |        0.090 |        2.923 |        3.013
       6.000 |        0.136 |        2.719 |        2.855
      12.000 |        0.094 |        0.964 |        1.058
       7.000 |        0.095 |        1.416 |        1.511
      14.000 |        0.144 |        2.340 |        2.484
       7.000 |        0.287 |        3.467 |        3.754
       8.000 |        0.137 |        0.753 |        0.890
      11.000 |        0.151 |        1.082 |        1.233
      10.000 |        0.092 |        4.226 |        4.318
       8.000 |        0.251 |        1.767 |        2.018
      10.000 |        0.095 |        1.277 |        1.372
      10.000 |        0.150 |        1.334 |        1.484
      11.000 |        0.153 |        5.925 |        6.078
       6.000 |        0.146 |        2.740 |        2.886
       8.000 |        0.149 |        1.787 |        1.936
       5.000 |        0.145 |        1.738 |        1.882
       6.000 |        0.143 |        1.936 |        2.078
       7.000 |        0.150 |        3.056 |        3.206
      13.000 |        0.149 |        3.480 |        3.629
       5.000 |        0.154 |        1.869 |        2.023
       6.000 |        0.143 |        2.391 |        2.535
      10.000 |        0.145 |        3.075 |        3.220
      10.000 |        0.147 |        1.377 |        1.524
      11.000 |        0.148 |        2.869 |        3.017
       9.000 |        0.154 |        1.858 |        2.013
      11.000 |        0.096 |        2.071 |        2.168
      11.000 |        0.218 |        2.442 |        2.659
       5.000 |        0.368 |        0.859 |        1.227
       5.000 |        0.164 |        1.469 |        1.633
       7.000 |        0.154 |        1.092 |        1.246
       7.000 |        0.149 |        1.671 |        1.820
       9.000 |        0.146 |        1.723 |        1.869
       7.000 |        0.144 |        1.184 |        1.328
       7.000 |        0.238 |        0.805 |        1.043
       9.000 |        0.174 |        1.441 |        1.615
       4.000 |        0.150 |        1.204 |        1.353
       6.000 |        0.148 |        0.771 |        0.919
       7.000 |        0.142 |        1.363 |        1.505
      12.000 |        0.150 |        2.683 |        2.834
       8.000 |        0.148 |        0.986 |        1.134
      12.000 |        0.148 |        2.931 |        3.079
       9.000 |        0.148 |        0.976 |        1.124
       9.000 |        0.150 |        1.384 |        1.534
      10.000 |        0.157 |        1.187 |        1.344
       6.000 |        0.141 |        1.088 |        1.229
       8.000 |        0.148 |        1.885 |        2.033
       3.000 |        0.146 |        1.539 |        1.685
       3.000 |        0.149 |        2.924 |        3.073
       9.000 |        0.238 |        1.741 |        1.979
       7.000 |        0.249 |        3.705 |        3.954
       8.000 |        0.150 |        1.368 |        1.517
       8.000 |        0.150 |        4.983 |        5.133
      11.000 |        0.146 |        1.125 |        1.271
       8.000 |        0.148 |        1.222 |        1.370
      11.000 |        0.143 |        3.600 |        3.744
      11.000 |        0.155 |        2.325 |        2.480
       9.000 |        0.146 |        2.297 |        2.443
       5.000 |        0.144 |        1.159 |        1.302
       9.000 |        0.228 |        2.774 |        3.002
       6.000 |        0.144 |        2.983 |        3.127
      12.000 |        0.137 |        1.331 |        1.467
      11.000 |        0.147 |        1.662 |        1.809
      14.000 |        0.273 |        2.601 |        2.874
       7.000 |        0.386 |        0.799 |        1.185
      10.000 |        0.135 |        2.134 |        2.269
       7.000 |        0.140 |        1.206 |        1.346
       5.000 |        0.096 |        1.110 |        1.206
       7.000 |        0.142 |        3.341 |        3.483
       9.000 |        0.137 |        1.064 |        1.201
       5.000 |        0.139 |        1.010 |        1.149
       9.000 |        0.141 |        0.978 |        1.119
       8.000 |        0.136 |        1.490 |        1.627
       5.000 |        0.137 |        2.829 |        2.966
       8.000 |        0.094 |        1.006 |        1.101
       8.000 |        0.093 |        1.934 |        2.027
      11.000 |        0.139 |        1.190 |        1.329
       8.000 |        0.136 |        1.278 |        1.414
       4.000 |        0.134 |        2.882 |        3.016
       5.000 |        0.136 |        2.099 |        2.235
       6.000 |        0.140 |        3.241 |        3.381
       7.000 |        0.096 |        1.643 |        1.739
      11.000 |        0.133 |        3.289 |        3.422
       6.000 |        0.230 |        5.788 |        6.018
       9.000 |        0.147 |        3.092 |        3.240
       5.000 |        0.149 |        0.860 |        1.009
      12.000 |        0.147 |        3.647 |        3.794
       8.000 |        0.145 |        3.010 |        3.155
      14.000 |        0.144 |        1.061 |        1.206
      13.000 |        0.153 |        3.002 |        3.154
       9.000 |        0.146 |        3.539 |        3.685
      10.000 |        0.150 |        1.287 |        1.437
      10.000 |        0.143 |        0.766 |        0.909
      12.000 |        0.150 |        1.101 |        1.251
       7.000 |        0.143 |        1.196 |        1.339
      10.000 |        0.317 |        1.093 |        1.409
       8.000 |        0.146 |        4.345 |        4.492
      11.000 |        0.149 |        2.850 |        2.999
       8.000 |        0.178 |        2.018 |        2.196
       8.000 |        0.220 |        1.143 |        1.363
      11.000 |        0.146 |        1.079 |        1.226
       7.000 |        0.142 |        1.256 |        1.398
      10.000 |        0.144 |        2.022 |        2.166
      12.000 |        0.304 |        1.266 |        1.570
       6.000 |        0.167 |        1.052 |        1.219
       9.000 |        0.148 |        1.335 |        1.483
       4.000 |        0.194 |        2.111 |        2.305
       7.000 |        0.136 |        1.290 |        1.425
       5.000 |        0.135 |        1.232 |        1.367
       8.000 |        0.173 |        0.870 |        1.042
       9.000 |        0.182 |        3.404 |        3.586
       7.000 |        0.135 |        2.598 |        2.734
      10.000 |        0.093 |        3.467 |        3.560
       8.000 |        0.094 |        1.489 |        1.583
       8.000 |        0.186 |        2.427 |        2.613
       6.000 |        0.136 |        0.862 |        0.998
       9.000 |        0.139 |        1.510 |        1.649
       7.000 |        0.175 |        1.245 |        1.420
       9.000 |        0.148 |        2.651 |        2.799
      10.000 |        0.143 |        1.004 |        1.147
      11.000 |        0.154 |        4.055 |        4.210
       8.000 |        0.166 |        2.839 |        3.005
       9.000 |        0.148 |        0.642 |        0.790
       8.000 |        0.149 |        0.913 |        1.062
       7.000 |        0.153 |        1.888 |        2.041
       8.000 |        0.185 |        1.437 |        1.622
       5.000 |        0.148 |        1.001 |        1.148
       6.000 |        0.144 |        1.472 |        1.616
