   KeyLength |   QueueTimes | ServiceTimes | SojournTimes

       8.000 |        0.158 |        2.858 |        3.016
       9.000 |        0.127 |        0.989 |        1.116
      11.000 |        0.142 |        1.149 |        1.291
       7.000 |        0.151 |        3.234 |        3.385
      11.000 |        0.143 |        0.836 |        0.979
       9.000 |        0.147 |        0.644 |        0.791
       6.000 |        0.170 |        0.545 |        0.715
      12.000 |        0.162 |        1.699 |        1.861
       6.000 |        0.095 |        0.907 |        1.003
       9.000 |        0.178 |        0.564 |        0.741
       8.000 |        0.154 |        2.434 |        2.588
      12.000 |        0.147 |        0.737 |        0.884
      10.000 |        0.127 |        1.815 |        1.942
      10.000 |        0.127 |        1.643 |        1.769
       4.000 |        0.145 |        0.784 |        0.929
      11.000 |        0.184 |        0.640 |        0.824
       7.000 |        0.127 |        0.556 |        0.684
       9.000 |        0.143 |        0.788 |        0.931
       6.000 |        0.127 |        0.594 |        0.721
      11.000 |        0.134 |        0.849 |        0.982
       8.000 |        0.143 |        1.794 |        1.937
       7.000 |        0.144 |        0.745 |        0.889
       7.000 |        0.149 |        2.099 |        2.248
       6.000 |        0.147 |        1.914 |        2.061
       5.000 |        0.162 |        0.641 |        0.803
      10.000 |        0.154 |        0.777 |        0.930
       7.000 |        0.126 |        0.626 |        0.752
       6.000 |        0.145 |        0.756 |        0.901
       8.000 |        0.151 |        0.790 |        0.941
      12.000 |        0.143 |        1.372 |        1.516
       9.000 |        0.217 |        1.990 |        2.207
      11.000 |        0.095 |        1.443 |        1.538
       8.000 |        0.146 |        0.705 |        0.851
      14.000 |        0.148 |        0.796 |        0.943
      11.000 |        0.147 |        0.981 |        1.128
       7.000 |        0.145 |        0.716 |        0.861
      10.000 |        0.144 |        0.860 |        1.004
      12.000 |        0.160 |        0.675 |        0.834
      12.000 |        0.148 |        1.521 |        1.669
       9.000 |        0.143 |        1.615 |        1.758
      12.000 |        0.151 |        1.019 |        1.170
       7.000 |        0.145 |        0.710 |        0.855
      10.000 |        0.129 |        0.934 |        1.063
      14.000 |        0.231 |        3.374 |        3.605
      10.000 |        0.232 |        0.770 |        1.002
      10.000 |        0.145 |        0.503 |        0.648
       9.000 |        0.156 |        1.652 |        1.809
       7.000 |        0.127 |        0.685 |        0.811
       5.000 |        0.153 |        0.866 |        1.019
      10.000 |        0.145 |        2.229 |        2.374
      15.000 |        0.127 |        1.335 |        1.462
      10.000 |        0.154 |        3.379 |        3.533
       4.000 |        0.242 |        0.822 |        1.064
       6.000 |        0.344 |        0.805 |        1.149
       9.000 |        0.126 |        1.008 |        1.133
       8.000 |        0.130 |        2.930 |        3.060
      10.000 |        0.156 |        1.914 |        2.070
       6.000 |        0.156 |        1.810 |        1.966
      12.000 |        0.150 |        0.768 |        0.918
       7.000 |        0.146 |        0.745 |        0.891
      14.000 |        0.160 |        1.484 |        1.644
       8.000 |        0.145 |        0.762 |        0.907
      10.000 |        0.123 |        3.270 |        3.392
      11.000 |        0.127 |        0.580 |        0.708
       8.000 |        0.164 |        1.092 |        1.256
       7.000 |        0.150 |        5.505 |        5.656
      10.000 |        0.127 |        0.882 |        1.009
      11.000 |        0.134 |        2.595 |        2.729
      10.000 |        0.191 |        0.994 |        1.185
       6.000 |        0.146 |        1.476 |        1.622
       8.000 |        0.146 |        1.016 |        1.162
       5.000 |        0.127 |        0.902 |        1.029
       7.000 |        0.147 |        1.984 |        2.131
      13.000 |        0.149 |        2.373 |        2.521
       6.000 |        0.285 |        1.401 |        1.686
       5.000 |        0.127 |        0.961 |        1.087
      10.000 |        0.135 |        2.142 |        2.277
      10.000 |        0.130 |        0.770 |        0.900
       6.000 |        0.148 |        2.998 |        3.145
      11.000 |        0.146 |        1.803 |        1.949
       9.000 |        0.146 |        1.227 |        1.373
      11.000 |        0.124 |        1.782 |        1.905
      11.000 |        0.127 |        1.618 |        1.745
       5.000 |        0.124 |        0.489 |        0.614
       5.000 |        0.198 |        0.787 |        0.985
       7.000 |        0.166 |        0.703 |        0.869
       7.000 |        0.171 |        1.112 |        1.282
       9.000 |        0.149 |        1.175 |        1.324
       7.000 |        0.160 |        0.847 |        1.007
       7.000 |        0.200 |        0.523 |        0.723
       9.000 |        0.177 |        1.651 |        1.828
       4.000 |        0.152 |        0.694 |        0.847
       6.000 |        0.147 |        0.650 |        0.797
       7.000 |        0.148 |        1.248 |        1.396
      12.000 |        0.146 |        1.600 |        1.746
       8.000 |        0.137 |        0.545 |        0.682
      12.000 |        0.145 |        2.482 |        2.628
       9.000 |        0.147 |        0.765 |        0.911
       9.000 |        0.127 |        0.748 |        0.876
      10.000 |        0.128 |        0.638 |        0.766
       6.000 |        0.124 |        0.778 |        0.901
       3.000 |        0.144 |        1.420 |        1.564
       8.000 |        0.150 |        2.284 |        2.434
       9.000 |        0.144 |        0.841 |        0.986
