  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       9.000 |        0.149 |        1.715 |        1.864
      11.000 |        0.137 |        1.695 |        1.832
       8.000 |        0.139 |        5.132 |        5.271
      11.000 |        0.144 |        1.298 |        1.442
       7.000 |        0.140 |        4.651 |        4.791
       9.000 |        0.149 |        0.865 |        1.013
       6.000 |        0.147 |        0.976 |        1.123
       8.000 |        0.146 |        1.629 |        1.775
       9.000 |        0.153 |        0.929 |        1.081
      12.000 |        0.219 |        3.171 |        3.390
       6.000 |        0.143 |        1.698 |        1.841
      12.000 |        0.150 |        1.301 |        1.451
      10.000 |        0.145 |        2.791 |        2.937
       4.000 |        0.147 |        1.028 |        1.175
      10.000 |        0.100 |        3.221 |        3.321
      11.000 |        0.151 |        1.145 |        1.296
       7.000 |        0.150 |        1.014 |        1.165
       9.000 |        0.148 |        1.327 |        1.475
       6.000 |        0.194 |        1.075 |        1.269
      11.000 |        0.151 |        1.550 |        1.701
       8.000 |        0.159 |        2.580 |        2.739
       7.000 |        0.146 |        1.145 |        1.291
       7.000 |        0.144 |        2.198 |        2.341
       6.000 |        0.149 |        2.766 |        2.915
       5.000 |        0.147 |        1.156 |        1.303
      10.000 |        0.149 |        1.476 |        1.625
       7.000 |        0.147 |        1.126 |        1.273
       6.000 |        0.307 |        0.944 |        1.251
       8.000 |        0.146 |        1.509 |        1.654
      12.000 |        0.167 |        2.323 |        2.491
       9.000 |        0.137 |        3.814 |        3.951
      11.000 |        0.153 |        2.775 |        2.928
       8.000 |        0.163 |        1.113 |        1.276
      14.000 |        0.147 |        1.045 |        1.192
      11.000 |        0.229 |        1.118 |        1.347
       7.000 |        0.136 |        0.654 |        0.790
      10.000 |        0.145 |        1.300 |        1.445
      12.000 |        0.149 |        0.780 |        0.929
      12.000 |        0.147 |        2.715 |        2.862
       9.000 |        0.146 |        2.824 |        2.970
      12.000 |        0.151 |        1.620 |        1.771
       7.000 |        0.149 |        0.797 |        0.946
      10.000 |        0.139 |        1.131 |        1.269
      10.000 |        0.149 |        1.706 |        1.855
      10.000 |        0.143 |        0.816 |        0.959
      14.000 |        0.148 |        4.973 |        5.121
       9.000 |        0.145 |        1.731 |        1.876
       7.000 |        0.103 |        1.259 |        1.363
       5.000 |        0.191 |        1.417 |        1.608
      10.000 |        0.146 |        2.945 |        3.090
       4.000 |        0.093 |        1.463 |        1.556
       6.000 |        0.228 |        1.449 |        1.677
      15.000 |        0.145 |        2.702 |        2.847
      10.000 |        0.150 |        4.877 |        5.027
       9.000 |        0.140 |        1.929 |        2.069
       6.000 |        0.143 |        2.635 |        2.777
      10.000 |        0.151 |        3.763 |        3.914
       8.000 |        0.152 |        5.117 |        5.270
      12.000 |        0.141 |        1.004 |        1.145
       7.000 |        0.146 |        1.408 |        1.555
      14.000 |        0.134 |        2.020 |        2.154
       8.000 |        0.146 |        1.005 |        1.151
       7.000 |        0.172 |        4.880 |        5.052
      11.000 |        0.138 |        0.931 |        1.069
       8.000 |        0.146 |        1.755 |        1.902
      10.000 |        0.139 |        4.999 |        5.138
      10.000 |        0.268 |        1.251 |        1.520
      10.000 |        0.147 |        1.783 |        1.931
      11.000 |        0.242 |        5.271 |        5.513
       6.000 |        0.149 |        3.043 |        3.192
       8.000 |        0.148 |        1.805 |        1.953
       5.000 |        0.150 |        1.632 |        1.782
       6.000 |        0.139 |        1.699 |        1.838
       7.000 |        0.145 |        3.157 |        3.302
      13.000 |        0.149 |        3.667 |        3.816
       5.000 |        0.144 |        1.866 |        2.010
       6.000 |        0.135 |        3.012 |        3.147
      10.000 |        0.158 |        1.284 |        1.442
      10.000 |        0.148 |        3.951 |        4.099
      11.000 |        0.147 |        2.604 |        2.751
       9.000 |        0.107 |        1.912 |        2.019
       5.000 |        0.127 |        0.610 |        0.738
       5.000 |        0.141 |        1.236 |        1.377
      11.000 |        0.134 |        3.022 |        3.155
      11.000 |        0.148 |        4.031 |        4.179
       7.000 |        0.147 |        0.997 |        1.144
       7.000 |        0.145 |        1.678 |        1.822
       9.000 |        0.146 |        2.199 |        2.346
       7.000 |        0.099 |        1.217 |        1.316
       7.000 |        0.271 |        0.835 |        1.106
       9.000 |        0.147 |        1.714 |        1.861
       4.000 |        0.144 |        1.061 |        1.206
       6.000 |        0.146 |        0.806 |        0.951
       7.000 |        0.148 |        2.264 |        2.412
      12.000 |        0.148 |        2.763 |        2.911
       8.000 |        0.148 |        0.868 |        1.016
      12.000 |        0.147 |        3.846 |        3.993
       9.000 |        0.150 |        0.962 |        1.112
       9.000 |        0.148 |        1.356 |        1.504
