  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       9.000 |        0.147 |        1.613 |        1.760
       8.000 |        0.136 |        4.109 |        4.245
      11.000 |        0.201 |        1.524 |        1.725
      11.000 |        0.144 |        0.930 |        1.074
       7.000 |        0.134 |        4.457 |        4.591
       9.000 |        0.144 |        0.644 |        0.788
       6.000 |        0.164 |        0.855 |        1.019
      12.000 |        0.170 |        2.949 |        3.120
       6.000 |        0.274 |        1.326 |        1.600
       9.000 |        0.337 |        1.031 |        1.368
       8.000 |        0.500 |        2.274 |        2.774
      12.000 |        0.161 |        1.470 |        1.631
      10.000 |        0.171 |        3.215 |        3.386
      10.000 |        0.164 |        2.401 |        2.566
       4.000 |        0.159 |        0.866 |        1.025
      11.000 |        0.194 |        1.090 |        1.284
       7.000 |        0.152 |        0.758 |        0.910
       9.000 |        0.166 |        1.235 |        1.401
       6.000 |        0.169 |        1.033 |        1.202
      11.000 |        0.145 |        1.384 |        1.529
       8.000 |        0.163 |        2.415 |        2.578
       7.000 |        0.165 |        1.017 |        1.182
       7.000 |        0.175 |        1.724 |        1.899
       6.000 |        0.172 |        2.722 |        2.893
       5.000 |        0.169 |        1.055 |        1.225
      10.000 |        0.250 |        1.156 |        1.406
       7.000 |        0.090 |        0.985 |        1.076
       6.000 |        0.203 |        0.868 |        1.071
       8.000 |        0.136 |        1.377 |        1.513
      12.000 |        0.141 |        2.124 |        2.265
       9.000 |        0.137 |        3.392 |        3.529
      11.000 |        0.132 |        1.968 |        2.101
       8.000 |        0.135 |        0.915 |        1.050
      14.000 |        0.156 |        0.846 |        1.002
      11.000 |        0.289 |        0.866 |        1.155
       7.000 |        0.147 |        0.749 |        0.896
      10.000 |        0.151 |        1.191 |        1.342
      12.000 |        0.147 |        0.689 |        0.836
      12.000 |        0.144 |        2.319 |        2.463
       9.000 |        0.148 |        2.687 |        2.835
      12.000 |        0.197 |        1.423 |        1.620
       7.000 |        0.150 |        0.855 |        1.006
      10.000 |        0.175 |        0.904 |        1.079
      10.000 |        0.166 |        1.577 |        1.743
      10.000 |        0.155 |        0.728 |        0.884
       9.000 |        0.175 |        1.361 |        1.536
      14.000 |        0.168 |        6.517 |        6.685
       7.000 |        0.137 |        0.911 |        1.048
       5.000 |        0.166 |        1.398 |        1.563
      10.000 |        0.178 |        3.392 |        3.570
       4.000 |        0.177 |        1.447 |        1.624
      15.000 |        0.310 |        2.305 |        2.615
       6.000 |        0.458 |        1.510 |        1.968
       9.000 |        0.140 |        1.816 |        1.956
      10.000 |        0.160 |        6.409 |        6.569
      10.000 |        0.138 |        3.235 |        3.374
       6.000 |        0.156 |        2.954 |        3.110
       8.000 |        0.145 |        5.917 |        6.062
      12.000 |        0.245 |        0.939 |        1.183
       7.000 |        0.148 |        1.419 |        1.567
      14.000 |        0.100 |        2.030 |        2.130
       7.000 |        0.313 |        3.134 |        3.447
       8.000 |        0.133 |        0.712 |        0.844
      11.000 |        0.167 |        0.743 |        0.911
       8.000 |        0.173 |        1.449 |        1.622
      10.000 |        0.084 |        4.546 |        4.630
      10.000 |        0.166 |        1.244 |        1.410
      11.000 |        0.167 |        4.707 |        4.874
      10.000 |        0.371 |        1.257 |        1.628
       6.000 |        0.130 |        1.806 |        1.935
       8.000 |        0.166 |        1.511 |        1.677
       5.000 |        0.314 |        1.090 |        1.404
       7.000 |        0.168 |        2.603 |        2.771
       6.000 |        0.151 |        2.030 |        2.181
       5.000 |        0.129 |        1.077 |        1.206
      13.000 |        0.176 |        4.197 |        4.374
       6.000 |        0.146 |        2.169 |        2.315
      10.000 |        0.154 |        0.940 |        1.094
      10.000 |        0.148 |        3.457 |        3.605
      11.000 |        0.147 |        2.194 |        2.341
       9.000 |        0.161 |        1.402 |        1.563
       5.000 |        0.135 |        0.582 |        0.718
       5.000 |        0.146 |        1.068 |        1.215
      11.000 |        0.139 |        2.849 |        2.988
      11.000 |        0.256 |        3.243 |        3.499
       7.000 |        0.147 |        1.038 |        1.185
       7.000 |        0.169 |        1.456 |        1.625
       9.000 |        0.170 |        1.486 |        1.656
       7.000 |        0.149 |        0.813 |        0.962
       7.000 |        0.167 |        0.831 |        0.998
       9.000 |        0.192 |        1.395 |        1.588
       4.000 |        0.151 |        1.157 |        1.308
       6.000 |        0.181 |        0.582 |        0.764
       7.000 |        0.167 |        1.965 |        2.132
      12.000 |        0.253 |        2.299 |        2.552
       8.000 |        0.164 |        0.817 |        0.981
      12.000 |        0.163 |        4.008 |        4.171
       9.000 |        0.314 |        0.885 |        1.200
       9.000 |        0.165 |        1.265 |        1.430
      10.000 |        0.185 |        1.046 |        1.231
       6.000 |        0.169 |        1.480 |        1.649
       8.000 |        0.158 |        2.045 |        2.203
       3.000 |        0.141 |        1.876 |        2.018
       9.000 |        0.157 |        1.393 |        1.551
       3.000 |        0.169 |        4.126 |        4.294
       7.000 |        0.202 |        5.433 |        5.635
       8.000 |        0.170 |        3.940 |        4.111
       8.000 |        0.173 |        2.008 |        2.180
      11.000 |        0.164 |        1.096 |        1.260
       8.000 |        0.254 |        1.064 |        1.318
      11.000 |        0.153 |        3.477 |        3.630
      11.000 |        0.223 |        1.958 |        2.182
       9.000 |        0.139 |        2.174 |        2.313
       5.000 |        0.161 |        0.924 |        1.085
      12.000 |        0.154 |        1.046 |        1.200
       9.000 |        0.165 |        3.146 |        3.312
       6.000 |        0.162 |        3.311 |        3.473
      11.000 |        0.296 |        1.522 |        1.818
       7.000 |        0.182 |        0.840 |        1.022
      14.000 |        0.155 |        3.700 |        3.855
       7.000 |        0.138 |        0.927 |        1.064
      10.000 |        0.143 |        2.919 |        3.062
       5.000 |        0.136 |        1.002 |        1.137
       9.000 |        0.087 |        0.727 |        0.814
       7.000 |        0.148 |        3.472 |        3.620
       5.000 |        0.303 |        0.654 |        0.958
       9.000 |        0.136 |        0.886 |        1.022
       8.000 |        0.132 |        1.278 |        1.410
       5.000 |        0.179 |        2.400 |        2.579
       8.000 |        0.164 |        0.826 |        0.989
       8.000 |        0.204 |        1.316 |        1.520
       4.000 |        0.159 |        2.089 |        2.248
      11.000 |        0.195 |        0.961 |        1.156
       8.000 |        0.240 |        0.929 |        1.169
       5.000 |        0.147 |        2.194 |        2.341
       6.000 |        0.227 |        3.137 |        3.364
       7.000 |        0.353 |        1.190 |        1.544
       6.000 |        0.143 |        4.473 |        4.615
      11.000 |        0.146 |        3.187 |        3.333
       5.000 |        0.133 |        0.619 |        0.752
       9.000 |        0.183 |        3.585 |        3.768
      12.000 |        0.168 |        4.073 |        4.241
      14.000 |        0.150 |        0.810 |        0.960
      13.000 |        0.156 |        2.398 |        2.554
       8.000 |        0.144 |        4.211 |        4.356
       9.000 |        0.209 |        3.367 |        3.577
      10.000 |        0.176 |        1.127 |        1.303
      10.000 |        0.168 |        0.839 |        1.007
       7.000 |        0.168 |        1.055 |        1.223
      10.000 |        0.278 |        0.965 |        1.244
      12.000 |        0.173 |        1.610 |        1.783
       8.000 |        0.141 |        5.386 |        5.527
      11.000 |        0.167 |        2.762 |        2.929
       8.000 |        0.150 |        2.236 |        2.386
       8.000 |        0.170 |        1.918 |        2.087
      11.000 |        0.154 |        1.064 |        1.218
       7.000 |        0.174 |        1.148 |        1.322
      12.000 |        0.144 |        1.095 |        1.239
       6.000 |        0.150 |        0.783 |        0.933
      10.000 |        0.158 |        2.284 |        2.442
       9.000 |        0.155 |        1.306 |        1.460
       7.000 |        0.308 |        0.827 |        1.135
       4.000 |        0.146 |        2.797 |        2.943
       5.000 |        0.181 |        1.349 |        1.530
       8.000 |        0.137 |        1.260 |        1.397
       7.000 |        0.247 |        2.518 |        2.765
       8.000 |        0.139 |        1.132 |        1.271
       9.000 |        0.259 |        5.016 |        5.276
       8.000 |        0.135 |        2.646 |        2.781
       6.000 |        0.245 |        0.692 |        0.937
      10.000 |        0.226 |        4.365 |        4.591
       9.000 |        0.096 |        1.595 |        1.691
       7.000 |        0.176 |        0.977 |        1.153
       9.000 |        0.144 |        2.030 |        2.174
      10.000 |        0.177 |        0.811 |        0.989
      11.000 |        0.205 |        5.225 |        5.430
       8.000 |        0.169 |        2.797 |        2.967
       9.000 |        0.171 |        0.625 |        0.797
       8.000 |        0.166 |        1.209 |        1.375
       7.000 |        0.166 |        1.384 |        1.551
       8.000 |        0.150 |        1.038 |        1.188
