  QueueTimes | ServiceTimes | SojournTimes

       1.107 |        0.669 |        1.776
       0.175 |        0.407 |        0.582
       0.176 |        0.764 |        0.940
       0.169 |        1.207 |        1.376
       0.192 |        0.591 |        0.783
       0.384 |        0.395 |        0.779
       0.169 |        0.354 |        0.524
       0.170 |        0.512 |        0.682
       0.189 |        1.115 |        1.304
       0.883 |        1.046 |        1.930
       1.900 |        0.709 |        2.609
       0.161 |        0.878 |        1.039
       0.199 |        0.807 |        1.005
       0.177 |        0.731 |        0.908
       0.173 |        0.821 |        0.994
       0.184 |        0.756 |        0.940
       0.180 |        0.590 |        0.770
       0.180 |        1.070 |        1.251
       0.176 |        0.809 |        0.985
       0.122 |        0.456 |        0.578
       0.533 |        0.460 |        0.992
       0.199 |        1.693 |        1.892
       0.568 |        1.445 |        2.013
       1.604 |        1.427 |        3.031
       2.947 |        0.413 |        3.360
       2.910 |        1.090 |        4.001
       0.173 |        0.457 |        0.630
       0.183 |        0.568 |        0.751
       0.168 |        0.464 |        0.631
       0.184 |        0.532 |        0.716
       0.165 |        1.080 |        1.244
       1.130 |        0.877 |        2.007
       0.153 |        0.447 |        0.600
       0.162 |        0.936 |        1.097
       0.175 |        0.536 |        0.711
       0.185 |        1.010 |        1.194
       0.887 |        0.393 |        1.280
       0.175 |        2.013 |        2.188
       0.278 |        0.958 |        1.235
       0.146 |        1.199 |        1.346
       0.171 |        2.493 |        2.664
       0.182 |        0.528 |        0.710
       0.183 |        1.367 |        1.550
       0.172 |        0.446 |        0.618
       0.180 |        0.607 |        0.786
       0.386 |        0.703 |        1.089
       0.132 |        0.515 |        0.648
       0.177 |        1.117 |        1.295
       0.178 |        0.229 |        0.407
       0.163 |        0.659 |        0.822
       0.152 |        0.805 |        0.958
       0.178 |        2.668 |        2.846
       1.846 |        0.404 |        2.249
       0.171 |        0.433 |        0.604
       0.182 |        0.696 |        0.878
       0.182 |        2.273 |        2.455
       2.360 |        1.492 |        3.853
       3.477 |        1.405 |        4.882
       0.143 |        2.229 |        2.372
