  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       4.000 |        0.203 |        0.643 |        0.846
       8.000 |        0.051 |        0.329 |        0.380
       9.000 |        0.053 |        0.461 |        0.514
      10.000 |        0.219 |        0.834 |        1.053
       6.000 |        0.116 |        0.454 |        0.570
       9.000 |        0.112 |        0.636 |        0.748
      10.000 |        0.133 |        0.292 |        0.425
       7.000 |        0.077 |        0.438 |        0.516
       8.000 |        0.073 |        0.594 |        0.667
       8.000 |        0.073 |        0.860 |        0.933
       8.000 |        0.067 |        0.925 |        0.992
       6.000 |        0.044 |        0.552 |        0.596
      11.000 |        0.048 |        0.451 |        0.498
       7.000 |        0.064 |        0.522 |        0.585
       8.000 |        0.108 |        0.614 |        0.722
      10.000 |        0.114 |        0.582 |        0.696
       4.000 |        0.109 |        0.393 |        0.502
       5.000 |        0.128 |        0.746 |        0.874
      10.000 |        0.091 |        0.396 |        0.487
      10.000 |        0.113 |        0.464 |        0.577
       6.000 |        0.115 |        0.773 |        0.888
      10.000 |        0.067 |        0.400 |        0.467
      10.000 |        0.061 |        1.277 |        1.338
      12.000 |        0.093 |        0.989 |        1.082
      12.000 |        0.061 |        1.262 |        1.323
       6.000 |        0.078 |        1.270 |        1.349
       6.000 |        0.097 |        0.245 |        0.341
       6.000 |        0.112 |        0.271 |        0.382
      10.000 |        0.114 |        0.403 |        0.516
      13.000 |        0.119 |        0.570 |        0.689
       6.000 |        0.090 |        0.375 |        0.465
      12.000 |        0.107 |        0.938 |        1.045
       4.000 |        0.216 |        0.958 |        1.174
       9.000 |        0.060 |        0.758 |        0.819
       7.000 |        0.041 |        0.403 |        0.444
      11.000 |        0.051 |        0.306 |        0.356
       6.000 |        0.079 |        0.764 |        0.843
       9.000 |        0.112 |        0.782 |        0.894
       6.000 |        0.062 |        1.423 |        1.486
       4.000 |        0.115 |        0.973 |        1.089
       7.000 |        0.123 |        0.426 |        0.549
       8.000 |        0.151 |        1.826 |        1.977
      10.000 |        0.115 |        0.476 |        0.591
       8.000 |        0.091 |        1.094 |        1.185
       5.000 |        0.092 |        0.483 |        0.574
      10.000 |        0.046 |        0.428 |        0.473
      12.000 |        0.088 |        0.600 |        0.688
      14.000 |        0.030 |        0.125 |        0.155
       6.000 |        0.159 |        0.803 |        0.962
       7.000 |        0.143 |        0.573 |        0.716
       6.000 |        0.045 |        0.601 |        0.646
       7.000 |        0.055 |        0.387 |        0.442
      12.000 |        0.038 |        0.314 |        0.352
      14.000 |        0.098 |        0.476 |        0.574
       8.000 |        0.055 |        1.848 |        1.904
       8.000 |        0.149 |        1.114 |        1.263
       6.000 |        0.159 |        1.201 |        1.360
      10.000 |        0.070 |        0.429 |        0.499
       8.000 |        0.228 |        0.537 |        0.765
       7.000 |        0.115 |        1.701 |        1.815
       7.000 |        0.035 |        0.301 |        0.336
       9.000 |        0.075 |        1.470 |        1.545
       8.000 |        0.260 |        1.767 |        2.027
       7.000 |        0.194 |        0.510 |        0.703
      10.000 |        0.109 |        0.904 |        1.013
       9.000 |        0.058 |        0.491 |        0.549
