  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       4.000 |        0.117 |        1.359 |        1.477
       8.000 |        0.240 |        0.649 |        0.889
       9.000 |        0.215 |        1.011 |        1.225
      10.000 |        0.289 |        1.564 |        1.853
       6.000 |        0.288 |        0.739 |        1.027
       9.000 |        0.208 |        1.092 |        1.300
      10.000 |        0.157 |        0.480 |        0.637
       7.000 |        0.268 |        0.856 |        1.125
       8.000 |        0.236 |        1.097 |        1.333
       8.000 |        0.159 |        1.583 |        1.742
       8.000 |        0.156 |        1.718 |        1.874
       6.000 |        0.258 |        1.074 |        1.332
      11.000 |        0.214 |        0.925 |        1.139
       7.000 |        0.273 |        1.079 |        1.353
       8.000 |        0.342 |        1.231 |        1.573
      10.000 |        0.197 |        1.112 |        1.309
       4.000 |        0.282 |        0.824 |        1.107
       5.000 |        0.244 |        1.439 |        1.683
      10.000 |        0.131 |        0.786 |        0.917
      10.000 |        0.206 |        0.942 |        1.148
       6.000 |        0.226 |        1.561 |        1.786
      10.000 |        0.166 |        0.745 |        0.910
      10.000 |        0.254 |        2.310 |        2.564
      12.000 |        0.061 |        1.716 |        1.777
      12.000 |        0.111 |        2.304 |        2.416
       6.000 |        0.076 |        2.404 |        2.481
       6.000 |        0.300 |        0.568 |        0.869
       6.000 |        0.287 |        0.726 |        1.013
      10.000 |        0.163 |        0.759 |        0.922
      13.000 |        0.276 |        0.647 |        0.922
      12.000 |        0.186 |        1.360 |        1.546
       4.000 |        0.151 |        1.685 |        1.836
       6.000 |        0.194 |        0.767 |        0.960
       9.000 |        0.193 |        1.376 |        1.570
       7.000 |        0.260 |        0.843 |        1.103
      11.000 |        0.124 |        0.720 |        0.843
       6.000 |        0.205 |        1.496 |        1.701
       9.000 |        0.245 |        1.389 |        1.634
       6.000 |        0.159 |        2.966 |        3.125
       4.000 |        0.281 |        1.806 |        2.087
       7.000 |        0.244 |        0.764 |        1.008
       8.000 |        0.195 |        3.498 |        3.693
       8.000 |        0.211 |        1.807 |        2.018
      10.000 |        0.196 |        0.822 |        1.018
       5.000 |        0.100 |        0.737 |        0.837
      12.000 |        0.100 |        1.098 |        1.198
      10.000 |        0.075 |        0.926 |        1.002
      14.000 |        0.257 |        0.356 |        0.613
       6.000 |        0.230 |        1.559 |        1.788
       7.000 |        0.140 |        1.056 |        1.196
       6.000 |        0.104 |        1.231 |        1.335
       7.000 |        0.165 |        0.879 |        1.044
      12.000 |        0.225 |        0.682 |        0.907
      14.000 |        0.263 |        1.038 |        1.300
       8.000 |        0.199 |        3.729 |        3.928
       8.000 |        0.281 |        2.124 |        2.405
       6.000 |        0.297 |        2.300 |        2.597
      10.000 |        0.122 |        0.672 |        0.793
       7.000 |        0.157 |        3.300 |        3.457
       8.000 |        0.100 |        1.035 |        1.135
       7.000 |        0.196 |        0.584 |        0.780
       9.000 |        0.279 |        2.778 |        3.056
       8.000 |        0.193 |        3.167 |        3.360
       7.000 |        0.280 |        0.784 |        1.064
      10.000 |        0.337 |        1.786 |        2.124
      12.000 |        0.213 |        1.166 |        1.379
       9.000 |        0.140 |        1.099 |        1.239
      12.000 |        0.076 |        0.945 |        1.021
      10.000 |        0.243 |        0.676 |        0.920
      10.000 |        0.155 |        0.817 |        0.972
      10.000 |        0.073 |        0.744 |        0.817
       5.000 |        0.225 |        2.997 |        3.222
       6.000 |        0.084 |        1.525 |        1.609
       4.000 |        0.258 |        0.747 |        1.005
       7.000 |        0.304 |        2.091 |        2.395
      15.000 |        0.219 |        1.152 |        1.371
      10.000 |        0.253 |        0.862 |        1.115
      12.000 |        0.368 |        0.906 |        1.274
       7.000 |        0.284 |        0.825 |        1.108
      11.000 |        0.190 |        1.255 |        1.446
       9.000 |        0.092 |        0.863 |        0.955
       8.000 |        0.201 |        2.548 |        2.749
       4.000 |        0.172 |        1.525 |        1.697
       8.000 |        0.241 |        1.914 |        2.155
      10.000 |        0.187 |        0.882 |        1.069
       7.000 |        0.190 |        1.251 |        1.441
       7.000 |        0.187 |        1.590 |        1.777
       8.000 |        0.102 |        0.826 |        0.928
       9.000 |        0.082 |        0.714 |        0.796
      12.000 |        0.145 |        3.210 |        3.355
      11.000 |        0.144 |        3.617 |        3.761
       9.000 |        0.227 |        0.743 |        0.970
       5.000 |        0.248 |        0.634 |        0.881
       8.000 |        0.313 |        1.506 |        1.819
       9.000 |        0.291 |        0.693 |        0.984
       9.000 |        0.207 |        0.718 |        0.925
       7.000 |        0.154 |        1.006 |        1.161
       8.000 |        0.111 |        1.309 |        1.419
      12.000 |        0.124 |        0.820 |        0.944
      11.000 |        0.186 |        2.163 |        2.349
       9.000 |        0.302 |        1.426 |        1.728
       7.000 |        0.262 |        2.558 |        2.819
      10.000 |        0.203 |        0.744 |        0.947
      12.000 |        0.103 |        0.952 |        1.055
       9.000 |        0.199 |        1.571 |        1.770
       9.000 |        0.322 |        0.871 |        1.193
       6.000 |        0.217 |        0.920 |        1.137
       8.000 |        0.236 |        1.549 |        1.785
       5.000 |        0.218 |        0.672 |        0.889
       5.000 |        0.155 |        0.903 |        1.059
      12.000 |        0.151 |        1.463 |        1.615
       6.000 |        0.212 |        0.676 |        0.889
       9.000 |        0.209 |        0.879 |        1.089
       7.000 |        0.083 |        0.971 |        1.053
       7.000 |        0.140 |        0.886 |        1.026
      14.000 |        0.219 |        1.622 |        1.841
       8.000 |        0.083 |        1.226 |        1.309
      11.000 |        0.144 |        2.094 |        2.238
      12.000 |        0.217 |        1.132 |        1.349
      13.000 |        0.270 |        2.025 |        2.296
      16.000 |        0.188 |        0.641 |        0.829
      12.000 |        0.178 |        1.219 |        1.396
       6.000 |        0.097 |        0.851 |        0.948
      11.000 |        0.093 |        1.398 |        1.491
      10.000 |        0.146 |        2.271 |        2.417
      10.000 |        0.222 |        0.787 |        1.009
       5.000 |        0.178 |        3.161 |        3.339
       8.000 |        0.265 |        3.537 |        3.802
      12.000 |        0.270 |        0.722 |        0.992
       7.000 |        0.256 |        0.763 |        1.019
       8.000 |        0.218 |        2.112 |        2.329
      14.000 |        0.144 |        3.351 |        3.495
       7.000 |        0.199 |        0.815 |        1.014
       6.000 |        0.091 |        0.697 |        0.788
       7.000 |        0.194 |        0.797 |        0.990
       8.000 |        0.160 |        2.892 |        3.052
      11.000 |        0.299 |        1.315 |        1.614
       5.000 |        0.209 |        2.420 |        2.628
      10.000 |        0.207 |        1.929 |        2.136
       9.000 |        0.305 |        0.985 |        1.290
       6.000 |        0.137 |        2.627 |        2.764
       8.000 |        0.197 |        0.864 |        1.061
       6.000 |        0.116 |        0.866 |        0.982
       6.000 |        0.213 |        1.819 |        2.033
      10.000 |        0.090 |        1.968 |        2.059
       8.000 |        0.272 |        1.655 |        1.927
       8.000 |        0.283 |        1.004 |        1.287
       6.000 |        0.183 |        0.852 |        1.034
      11.000 |        0.236 |        2.491 |        2.728
       7.000 |        0.211 |        2.394 |        2.605
      10.000 |        0.250 |        1.510 |        1.760
       6.000 |        0.190 |        2.290 |        2.480
       8.000 |        0.250 |        0.612 |        0.862
       9.000 |        0.185 |        0.775 |        0.961
       7.000 |        0.169 |        0.622 |        0.791
      12.000 |        0.212 |        1.399 |        1.611
       6.000 |        0.071 |        0.872 |        0.943
       8.000 |        0.084 |        1.208 |        1.293
      13.000 |        0.319 |        3.803 |        4.121
       7.000 |        0.083 |        2.321 |        2.404
      13.000 |        0.224 |        0.865 |        1.090
       3.000 |        0.223 |        2.886 |        3.109
       5.000 |        0.198 |        1.697 |        1.895
       9.000 |        0.343 |        0.780 |        1.123
       8.000 |        0.103 |        0.917 |        1.020
       9.000 |        0.255 |        1.524 |        1.779
       5.000 |        0.090 |        1.339 |        1.429
       5.000 |        0.237 |        1.233 |        1.471
      10.000 |        0.269 |        1.646 |        1.915
       7.000 |        0.373 |        1.344 |        1.717
      10.000 |        0.231 |        0.640 |        0.871
       6.000 |        0.252 |        1.867 |        2.119
       4.000 |        0.226 |        0.901 |        1.127
       6.000 |        0.200 |        1.407 |        1.607
      12.000 |        0.118 |        0.930 |        1.048
       4.000 |        0.071 |        0.951 |        1.022
       8.000 |        0.150 |        1.600 |        1.749
       7.000 |        0.087 |        2.231 |        2.318
      10.000 |        0.117 |        1.511 |        1.628
      13.000 |        0.122 |        2.486 |        2.607
       4.000 |        0.070 |        1.807 |        1.877
      10.000 |        0.127 |        0.930 |        1.057
      12.000 |        0.254 |        1.372 |        1.626
       9.000 |        0.106 |        1.300 |        1.406
      12.000 |        0.230 |        0.776 |        1.006
       5.000 |        0.093 |        0.676 |        0.769
       7.000 |        0.182 |        1.216 |        1.398
      10.000 |        0.209 |        1.064 |        1.273
       9.000 |        0.227 |        2.104 |        2.331
       9.000 |        0.137 |        2.365 |        2.502
