  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       4.000 |        0.639 |        1.011 |        1.650
       8.000 |        0.181 |        0.564 |        0.745
       9.000 |        0.159 |        0.958 |        1.118
      10.000 |        0.217 |        1.665 |        1.882
       6.000 |        0.152 |        0.654 |        0.806
       9.000 |        0.181 |        0.954 |        1.135
      10.000 |        0.111 |        0.465 |        0.576
       7.000 |        0.208 |        0.982 |        1.190
       8.000 |        0.185 |        1.155 |        1.340
       8.000 |        0.099 |        1.676 |        1.776
       8.000 |        0.171 |        1.661 |        1.832
       6.000 |        0.171 |        1.061 |        1.232
      11.000 |        0.170 |        0.909 |        1.079
       7.000 |        0.218 |        1.054 |        1.272
       8.000 |        0.180 |        1.195 |        1.375
      10.000 |        0.212 |        1.267 |        1.479
       4.000 |        0.197 |        0.953 |        1.151
       5.000 |        0.119 |        1.470 |        1.590
       6.000 |        0.192 |        1.250 |        1.443
      10.000 |        0.221 |        0.887 |        1.107
      10.000 |        0.085 |        1.067 |        1.153
      10.000 |        0.153 |        0.806 |        0.958
      10.000 |        0.222 |        2.593 |        2.815
      12.000 |        0.113 |        2.279 |        2.393
       6.000 |        0.137 |        2.907 |        3.043
      12.000 |        0.729 |        2.136 |        2.865
       6.000 |        0.196 |        0.542 |        0.738
       6.000 |        0.290 |        0.598 |        0.888
      10.000 |        0.164 |        0.709 |        0.873
      13.000 |        0.265 |        0.582 |        0.847
      12.000 |        0.152 |        1.381 |        1.533
       4.000 |        0.103 |        1.672 |        1.776
       6.000 |        0.190 |        0.883 |        1.073
       9.000 |        0.201 |        1.568 |        1.769
       7.000 |        0.123 |        0.807 |        0.929
      11.000 |        0.170 |        0.590 |        0.760
       6.000 |        0.087 |        1.521 |        1.608
       9.000 |        0.176 |        1.504 |        1.680
       6.000 |        0.123 |        3.156 |        3.279
       4.000 |        0.163 |        2.064 |        2.226
       7.000 |        0.140 |        0.730 |        0.870
       8.000 |        0.192 |        3.773 |        3.965
       8.000 |        0.118 |        2.083 |        2.201
      10.000 |        0.253 |        0.934 |        1.187
       5.000 |        0.229 |        0.687 |        0.916
      12.000 |        0.081 |        1.089 |        1.170
      10.000 |        0.094 |        0.847 |        0.941
      14.000 |        0.198 |        0.268 |        0.466
       6.000 |        0.076 |        1.691 |        1.767
       7.000 |        0.135 |        1.010 |        1.144
       6.000 |        0.077 |        1.407 |        1.484
       7.000 |        0.166 |        0.669 |        0.836
      12.000 |        0.125 |        0.648 |        0.774
      14.000 |        0.120 |        1.011 |        1.130
       8.000 |        0.139 |        3.695 |        3.834
       8.000 |        0.394 |        2.383 |        2.777
       6.000 |        0.201 |        2.947 |        3.148
      10.000 |        0.940 |        0.873 |        1.813
       7.000 |        0.176 |        4.520 |        4.696
       7.000 |        0.586 |        0.615 |        1.201
       8.000 |        1.617 |        1.251 |        2.868
       9.000 |        0.501 |        2.942 |        3.443
       8.000 |        0.249 |        3.472 |        3.721
       7.000 |        0.244 |        0.912 |        1.156
      12.000 |        0.120 |        1.165 |        1.284
      10.000 |        0.159 |        2.248 |        2.406
       9.000 |        0.123 |        1.048 |        1.172
      12.000 |        0.060 |        1.002 |        1.062
      10.000 |        0.154 |        0.662 |        0.816
      10.000 |        0.131 |        0.697 |        0.828
      10.000 |        0.272 |        0.799 |        1.071
       5.000 |        0.210 |        3.225 |        3.435
       6.000 |        0.084 |        1.615 |        1.699
       4.000 |        0.145 |        0.667 |        0.812
       7.000 |        0.168 |        2.159 |        2.328
      15.000 |        0.192 |        1.014 |        1.206
