Run, Difference
1 , 63458761
2 , 1203327853
3 , 6266049633
4 , 6734730989
5 , 1145298399
6 , 3821718366
7 , 826071433
8 , 6031857239
9 , 523144169
1 , 1189315193
2 , 794133770
3 , 827015522
4 , 1141195931
5 , 6411114569
6 , 65051103
7 , 840728622
8 , 6065334570
9 , 856491826
10 , 769440596
11 , 1191570375
12 , 784985417
13 , 6210810578
14 , 1120328187
15 , 798947112
16 , 1133013884
17 , 1140154613
18 , 6488732351
19 , 812623896
20 , 2261405160
21 , 1197321702
22 , 781260451
23 , 8026712179
24 , 794107525
25 , 802723531
26 , 1147486564
27 , 2515162994
28 , 1138106034
29 , 809092716
30 , 2295203291
