  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       4.000 |    40679.787 |        0.825 |    40680.612
       8.000 |    40678.805 |        0.768 |    40679.574
       9.000 |    40678.219 |        1.120 |    40679.340
      10.000 |    40675.017 |        1.896 |    40676.914
       9.000 |    40674.936 |        1.136 |    40676.072
       6.000 |    40675.379 |        0.585 |    40675.965
      10.000 |    40674.694 |        0.699 |    40675.393
       7.000 |    40673.838 |        0.736 |    40674.574
       8.000 |    40672.143 |        2.005 |    40674.148
       8.000 |    40672.060 |        1.974 |    40674.034
       8.000 |    40672.909 |        1.126 |    40674.035
      15.000 |    40680.557 |        1.012 |    40681.569
       6.000 |    40674.407 |        1.240 |    40675.648
       7.000 |    40673.106 |        1.359 |    40674.465
      10.000 |    40672.100 |        0.988 |    40673.088
       4.000 |    40671.650 |        0.996 |    40672.646
      11.000 |    40674.031 |        1.137 |    40675.168
       5.000 |    40670.900 |        1.141 |    40672.042
       6.000 |    40669.597 |        1.531 |    40671.128
      10.000 |    40669.855 |        0.996 |    40670.851
      10.000 |    40670.153 |        0.683 |    40670.836
      10.000 |    40668.706 |        0.610 |    40669.315
       6.000 |    40666.341 |        0.752 |    40667.093
      10.000 |    40667.002 |        2.861 |    40669.864
      12.000 |    40667.006 |        2.491 |    40669.497
       6.000 |    40665.210 |        0.686 |    40665.896
      12.000 |    40667.207 |        2.034 |    40669.240
       6.000 |    40698.796 |        2.641 |    40701.438
       7.000 |    40714.497 |        2.161 |    40716.658
      10.000 |    40696.652 |        1.087 |    40697.739
      13.000 |    40695.946 |        0.517 |    40696.463
       8.000 |    40704.946 |        1.510 |    40706.456
      12.000 |    40705.423 |        1.051 |    40706.474
       9.000 |    40704.579 |        1.028 |    40705.607
       7.000 |    40703.824 |        0.964 |    40704.787
       6.000 |    40703.341 |        1.129 |    40704.471
      11.000 |    40703.490 |        0.906 |    40704.396
       7.000 |    40699.306 |        0.963 |    40700.269
      10.000 |    40697.903 |        0.594 |    40698.497
       9.000 |    40700.896 |        1.787 |    40702.683
       4.000 |    40699.595 |        2.168 |    40701.763
       6.000 |    40699.756 |        3.518 |    40703.274
       6.000 |    40704.955 |        0.945 |    40705.899
       5.000 |    40697.279 |        0.934 |    40698.213
       8.000 |    40698.544 |        2.685 |    40701.229
       8.000 |    40696.988 |        2.463 |    40699.451
      12.000 |    40697.193 |        0.910 |    40698.102
      10.000 |    40696.784 |        1.081 |    40697.865
      14.000 |    40696.232 |        0.356 |    40696.587
       6.000 |    40694.983 |        2.101 |    40697.084
       7.000 |    40695.205 |        1.265 |    40696.471
       6.000 |    40694.762 |        1.525 |    40696.286
       7.000 |    40694.569 |        0.894 |    40695.463
      14.000 |    40730.364 |        0.432 |    40730.797
      12.000 |    40694.915 |        0.737 |    40695.652
       7.000 |    40780.807 |        2.375 |    40783.182
       6.000 |    40781.461 |        1.595 |    40783.056
       8.000 |    40780.220 |        2.954 |    40783.174
      10.000 |    40780.541 |        0.904 |    40781.445
       8.000 |    40777.500 |        4.201 |    40781.702
       8.000 |    40779.965 |        1.424 |    40781.390
       7.000 |    40779.772 |        0.550 |    40780.322
       9.000 |    40778.096 |        3.630 |    40781.726
       4.000 |    40826.694 |        1.259 |    40827.953
      12.000 |    40807.722 |        1.401 |    40809.123
      10.000 |    40807.338 |        2.513 |    40809.851
       8.000 |    40812.865 |        4.254 |    40817.120
      12.000 |    40808.787 |        1.136 |    40809.924
       9.000 |    40811.148 |        0.805 |    40811.953
      10.000 |    40814.494 |        0.892 |    40815.386
       5.000 |    40812.659 |        3.810 |    40816.469
       6.000 |    40813.649 |        1.508 |    40815.157
      10.000 |    40814.214 |        0.887 |    40815.102
       7.000 |    40812.046 |        1.533 |    40813.579
       4.000 |    40811.896 |        1.012 |    40812.908
      15.000 |    40810.155 |        1.261 |    40811.416
      10.000 |    40810.438 |        0.649 |    40811.087
       7.000 |    40818.825 |        0.986 |    40819.811
      12.000 |    40827.556 |        1.132 |    40828.688
      11.000 |    40825.489 |        1.804 |    40827.292
       7.000 |    40827.297 |        0.688 |    40827.985
       8.000 |    40824.957 |        2.990 |    40827.946
       4.000 |    40825.457 |        1.574 |    40827.030
       9.000 |    40825.861 |        0.978 |    40826.839
      10.000 |    40824.632 |        1.196 |    40825.827
      14.000 |    40841.774 |        1.420 |    40843.194
       7.000 |    40824.748 |        0.918 |    40825.666
       7.000 |    40824.111 |        1.713 |    40825.824
       8.000 |    40824.324 |        2.467 |    40826.791
       8.000 |    40824.126 |        0.931 |    40825.057
