  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       7.000 |        0.131 |        2.791 |        2.922
       8.000 |        0.116 |        1.266 |        1.381
       9.000 |        0.165 |        1.271 |        1.437
       6.000 |        0.183 |        0.840 |        1.023
       9.000 |        0.169 |        1.233 |        1.402
      10.000 |        0.445 |        2.273 |        2.718
      10.000 |        0.180 |        1.090 |        1.270
       7.000 |        0.191 |        1.030 |        1.221
       8.000 |        0.355 |        1.109 |        1.463
       8.000 |        0.195 |        2.032 |        2.227
       8.000 |        0.119 |        2.232 |        2.351
       6.000 |        0.113 |        1.347 |        1.460
      11.000 |        0.155 |        1.098 |        1.252
       7.000 |        0.123 |        1.336 |        1.459
       8.000 |        0.121 |        1.486 |        1.607
      10.000 |        0.111 |        1.385 |        1.497
       4.000 |        0.135 |        1.202 |        1.337
       5.000 |        0.114 |        1.798 |        1.911
      10.000 |        0.116 |        0.866 |        0.982
      10.000 |        0.149 |        1.107 |        1.256
       6.000 |        0.647 |        1.765 |        2.412
      10.000 |        0.154 |        0.876 |        1.029
      12.000 |        0.309 |        2.076 |        2.385
      10.000 |        0.120 |        3.061 |        3.181
      12.000 |        0.118 |        2.976 |        3.094
       6.000 |        0.143 |        3.131 |        3.273
       6.000 |        0.380 |        1.151 |        1.531
       6.000 |        0.178 |        0.824 |        1.002
      10.000 |        0.125 |        0.889 |        1.014
      13.000 |        0.220 |        0.708 |        0.928
       6.000 |        0.339 |        0.934 |        1.272
      12.000 |        0.366 |        1.987 |        2.353
       4.000 |        0.260 |        2.370 |        2.630
       9.000 |        0.116 |        1.755 |        1.872
       7.000 |        0.116 |        1.201 |        1.317
      11.000 |        0.137 |        1.048 |        1.185
       6.000 |        0.143 |        1.584 |        1.727
       9.000 |        0.113 |        1.858 |        1.972
       6.000 |        0.165 |        3.432 |        3.597
       7.000 |        0.400 |        0.790 |        1.190
       4.000 |        0.134 |        2.576 |        2.710
       8.000 |        0.107 |        2.301 |        2.408
      10.000 |        0.139 |        0.941 |        1.079
      12.000 |        0.114 |        0.765 |        0.879
       5.000 |        0.151 |        1.143 |        1.293
       8.000 |        0.124 |        2.676 |        2.800
      10.000 |        0.243 |        1.343 |        1.586
      14.000 |        0.268 |        0.435 |        0.702
       7.000 |        0.117 |        1.266 |        1.383
       6.000 |        0.122 |        2.171 |        2.292
       6.000 |        0.259 |        1.622 |        1.881
