  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       7.000 |        0.298 |        1.992 |        2.290
       8.000 |        0.101 |        0.573 |        0.673
       9.000 |        0.096 |        0.928 |        1.024
      10.000 |        0.287 |        1.498 |        1.786
       9.000 |        0.106 |        0.975 |        1.081
       6.000 |        0.150 |        1.002 |        1.151
      10.000 |        0.122 |        0.639 |        0.761
       7.000 |        0.430 |        0.578 |        1.009
       8.000 |        0.336 |        1.039 |        1.375
       8.000 |        0.111 |        1.500 |        1.611
       8.000 |        0.096 |        1.618 |        1.714
       6.000 |        0.217 |        0.641 |        0.858
      11.000 |        0.108 |        0.848 |        0.956
       7.000 |        0.127 |        0.991 |        1.117
       8.000 |        0.099 |        1.118 |        1.218
      10.000 |        0.259 |        1.022 |        1.282
       4.000 |        0.125 |        0.800 |        0.926
       5.000 |        0.126 |        1.000 |        1.126
      10.000 |        0.116 |        0.706 |        0.822
      10.000 |        0.126 |        0.866 |        0.992
       6.000 |        0.129 |        1.398 |        1.527
      10.000 |        0.109 |        0.508 |        0.617
      12.000 |        0.192 |        1.430 |        1.622
      10.000 |        0.112 |        2.304 |        2.415
       6.000 |        0.158 |        1.971 |        2.129
      12.000 |        0.223 |        2.377 |        2.600
       6.000 |        0.161 |        0.527 |        0.689
       6.000 |        0.139 |        0.461 |        0.599
      10.000 |        0.155 |        0.690 |        0.845
      13.000 |        0.127 |        0.653 |        0.779
      12.000 |        0.167 |        1.078 |        1.245
       6.000 |        0.130 |        0.679 |        0.809
       4.000 |        0.115 |        1.666 |        1.781
       9.000 |        0.183 |        1.304 |        1.487
       7.000 |        0.115 |        0.750 |        0.866
      11.000 |        0.173 |        0.532 |        0.705
       6.000 |        0.144 |        1.353 |        1.497
       9.000 |        0.099 |        1.345 |        1.444
       6.000 |        0.140 |        2.610 |        2.750
       4.000 |        0.099 |        1.642 |        1.741
       7.000 |        0.109 |        0.696 |        0.805
      10.000 |        0.216 |        0.540 |        0.756
       8.000 |        0.247 |        3.406 |        3.653
       8.000 |        0.117 |        1.838 |        1.955
       5.000 |        0.096 |        0.820 |        0.917
      12.000 |        0.121 |        0.897 |        1.017
      10.000 |        0.192 |        0.868 |        1.060
      14.000 |        0.240 |        0.308 |        0.547
       6.000 |        0.098 |        1.486 |        1.584
       7.000 |        0.160 |        1.042 |        1.203
       6.000 |        0.103 |        1.165 |        1.269
       7.000 |        0.098 |        0.522 |        0.620
      12.000 |        0.246 |        0.601 |        0.847
       8.000 |        0.104 |        2.376 |        2.480
      14.000 |        0.118 |        0.920 |        1.038
       6.000 |        0.164 |        1.961 |        2.125
       8.000 |        0.195 |        2.261 |        2.455
      10.000 |        0.154 |        0.753 |        0.907
       8.000 |        0.164 |        0.868 |        1.032
       7.000 |        0.238 |        2.912 |        3.151
       7.000 |        0.104 |        0.528 |        0.632
       9.000 |        0.259 |        2.634 |        2.893
       8.000 |        0.152 |        3.034 |        3.185
       7.000 |        0.303 |        0.655 |        0.958
      10.000 |        0.185 |        1.703 |        1.888
      12.000 |        0.121 |        0.699 |        0.820
       9.000 |        0.104 |        1.185 |        1.289
      12.000 |        0.130 |        1.633 |        1.763
      10.000 |        0.134 |        0.623 |        0.756
      10.000 |        0.099 |        0.752 |        0.852
      10.000 |        0.119 |        0.662 |        0.780
       6.000 |        0.125 |        1.166 |        1.291
       5.000 |        0.293 |        2.857 |        3.150
       4.000 |        0.146 |        0.671 |        0.817
       7.000 |        0.147 |        1.511 |        1.657
      15.000 |        0.209 |        1.077 |        1.286
      10.000 |        0.214 |        0.900 |        1.114
      12.000 |        0.241 |        0.684 |        0.925
       7.000 |        0.181 |        0.715 |        0.896
       9.000 |        0.109 |        0.466 |        0.575
      11.000 |        0.121 |        1.181 |        1.302
       4.000 |        0.103 |        1.169 |        1.272
       8.000 |        0.422 |        2.271 |        2.693
      10.000 |        0.462 |        0.621 |        1.083
       8.000 |        0.232 |        1.763 |        1.995
       7.000 |        0.098 |        1.112 |        1.210
       7.000 |        0.185 |        1.379 |        1.564
       8.000 |        0.103 |        0.852 |        0.955
       9.000 |        0.081 |        0.800 |        0.881
      12.000 |        0.149 |        3.086 |        3.235
      11.000 |        0.101 |        3.176 |        3.278
       9.000 |        0.144 |        0.570 |        0.714
       5.000 |        0.140 |        0.377 |        0.516
       8.000 |        0.212 |        1.169 |        1.381
       9.000 |        0.120 |        0.613 |        0.733
       9.000 |        0.156 |        0.550 |        0.705
       7.000 |        0.182 |        0.592 |        0.774
      12.000 |        0.103 |        0.523 |        0.626
       8.000 |        0.101 |        1.214 |        1.315
      11.000 |        0.095 |        1.762 |        1.857
       9.000 |        0.234 |        1.213 |        1.447
      10.000 |        0.109 |        0.622 |        0.731
       7.000 |        0.120 |        2.462 |        2.582
      12.000 |        0.123 |        0.856 |        0.979
       9.000 |        0.188 |        1.321 |        1.509
       9.000 |        0.181 |        0.734 |        0.915
       6.000 |        0.104 |        0.738 |        0.841
       8.000 |        0.099 |        1.457 |        1.556
       5.000 |        0.239 |        0.751 |        0.990
      12.000 |        0.150 |        0.821 |        0.971
       5.000 |        0.106 |        0.737 |        0.844
       6.000 |        0.137 |        0.630 |        0.766
       9.000 |        0.236 |        0.756 |        0.992
       7.000 |        0.229 |        0.884 |        1.113
       7.000 |        0.098 |        0.883 |        0.982
      14.000 |        0.243 |        1.565 |        1.808
       8.000 |        0.120 |        1.197 |        1.317
      12.000 |        0.111 |        1.041 |        1.152
      11.000 |        0.101 |        2.017 |        2.118
      13.000 |        0.287 |        1.300 |        1.587
      16.000 |        0.203 |        0.643 |        0.846
      12.000 |        0.172 |        1.037 |        1.209
       6.000 |        0.107 |        0.775 |        0.882
      11.000 |        0.111 |        1.171 |        1.282
      10.000 |        0.161 |        0.744 |        0.905
      10.000 |        0.100 |        2.197 |        2.297
       5.000 |        0.142 |        3.084 |        3.226
      12.000 |        0.160 |        0.570 |        0.730
       8.000 |        0.214 |        3.540 |        3.755
       7.000 |        0.108 |        0.474 |        0.582
       8.000 |        0.204 |        2.008 |        2.212
       7.000 |        0.172 |        0.553 |        0.725
       6.000 |        0.135 |        0.431 |        0.567
      14.000 |        0.153 |        3.053 |        3.206
       7.000 |        0.146 |        0.722 |        0.868
       8.000 |        0.105 |        2.761 |        2.866
      11.000 |        0.220 |        1.054 |        1.275
       5.000 |        0.114 |        2.164 |        2.277
      10.000 |        0.108 |        1.761 |        1.870
       6.000 |        0.171 |        1.758 |        1.929
       9.000 |        0.130 |        1.002 |        1.132
       8.000 |        0.196 |        0.662 |        0.859
       6.000 |        0.082 |        0.854 |        0.936
       6.000 |        0.103 |        1.705 |        1.808
      10.000 |        0.149 |        1.708 |        1.856
       8.000 |        0.125 |        1.519 |        1.644
       8.000 |        0.127 |        0.751 |        0.878
       6.000 |        0.104 |        0.746 |        0.850
      11.000 |        0.127 |        2.240 |        2.367
       7.000 |        0.098 |        1.653 |        1.751
      10.000 |        0.169 |        1.306 |        1.474
       6.000 |        0.094 |        2.141 |        2.234
       8.000 |        0.151 |        0.648 |        0.799
       9.000 |        0.176 |        0.750 |        0.925
       7.000 |        0.132 |        0.544 |        0.675
       6.000 |        0.112 |        0.442 |        0.554
       8.000 |        0.100 |        0.770 |        0.870
      12.000 |        0.276 |        1.429 |        1.705
      13.000 |        0.112 |        3.592 |        3.704
       7.000 |        0.105 |        2.072 |        2.177
      13.000 |        0.093 |        0.770 |        0.863
       3.000 |        0.179 |        2.761 |        2.940
       5.000 |        0.099 |        1.722 |        1.821
       9.000 |        0.177 |        0.737 |        0.914
       8.000 |        0.128 |        0.631 |        0.760
       9.000 |        0.329 |        1.246 |        1.575
       5.000 |        0.187 |        1.253 |        1.440
      10.000 |        0.201 |        1.119 |        1.320
       5.000 |        0.148 |        1.288 |        1.436
       7.000 |        0.147 |        1.206 |        1.352
      10.000 |        0.176 |        0.572 |        0.748
       6.000 |        0.367 |        1.775 |        2.143
       6.000 |        0.183 |        1.082 |        1.265
       4.000 |        0.525 |        0.793 |        1.318
