  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       7.000 |        0.313 |        1.966 |        2.279
       8.000 |        0.103 |        0.554 |        0.658
       9.000 |        0.155 |        0.916 |        1.071
      10.000 |        0.211 |        1.554 |        1.765
       6.000 |        0.172 |        0.819 |        0.991
       9.000 |        0.159 |        1.133 |        1.293
      10.000 |        0.131 |        0.634 |        0.765
       7.000 |        0.215 |        0.759 |        0.974
       8.000 |        0.287 |        1.159 |        1.446
       8.000 |        0.135 |        1.603 |        1.738
       8.000 |        0.109 |        1.670 |        1.780
       6.000 |        0.116 |        0.973 |        1.089
      11.000 |        0.110 |        0.836 |        0.946
       7.000 |        0.245 |        0.987 |        1.232
       8.000 |        0.188 |        1.126 |        1.313
      10.000 |        0.309 |        0.981 |        1.290
       4.000 |        0.123 |        0.761 |        0.884
       5.000 |        0.236 |        1.333 |        1.569
      10.000 |        0.118 |        0.709 |        0.828
       6.000 |        0.136 |        1.198 |        1.334
      10.000 |        0.257 |        0.975 |        1.231
      10.000 |        0.172 |        0.650 |        0.821
      10.000 |        0.154 |        2.265 |        2.419
      12.000 |        0.118 |        1.759 |        1.877
      12.000 |        0.099 |        2.256 |        2.354
       6.000 |        0.130 |        2.323 |        2.453
       6.000 |        0.120 |        0.519 |        0.639
       6.000 |        0.228 |        0.682 |        0.910
      10.000 |        0.207 |        0.698 |        0.905
      13.000 |        0.275 |        0.490 |        0.766
      12.000 |        0.143 |        1.254 |        1.397
       4.000 |        0.121 |        1.525 |        1.646
       6.000 |        0.335 |        0.845 |        1.180
       9.000 |        0.276 |        1.367 |        1.642
       7.000 |        0.116 |        0.829 |        0.945
      11.000 |        0.168 |        0.620 |        0.788
       6.000 |        0.160 |        1.344 |        1.504
       9.000 |        0.108 |        1.333 |        1.441
       6.000 |        0.177 |        2.681 |        2.858
       4.000 |        0.220 |        1.756 |        1.976
       7.000 |        0.164 |        0.691 |        0.855
      10.000 |        0.302 |        0.673 |        0.975
       8.000 |        0.182 |        3.503 |        3.684
       8.000 |        0.111 |        1.957 |        2.068
       5.000 |        0.182 |        0.869 |        1.051
      12.000 |        0.254 |        1.056 |        1.310
      10.000 |        0.185 |        0.959 |        1.144
      14.000 |        0.260 |        0.321 |        0.581
       6.000 |        0.115 |        1.446 |        1.561
       7.000 |        0.281 |        1.011 |        1.292
       6.000 |        0.162 |        1.185 |        1.347
       7.000 |        0.153 |        0.627 |        0.780
      12.000 |        0.318 |        0.597 |        0.915
      14.000 |        0.151 |        0.923 |        1.074
       8.000 |        0.177 |        3.282 |        3.459
       6.000 |        0.169 |        1.981 |        2.150
       8.000 |        0.200 |        2.244 |        2.444
      10.000 |        0.104 |        0.775 |        0.880
       8.000 |        0.228 |        1.076 |        1.304
       7.000 |        0.153 |        3.112 |        3.265
       7.000 |        0.099 |        0.528 |        0.627
       9.000 |        0.299 |        2.598 |        2.898
       8.000 |        0.166 |        3.007 |        3.173
       7.000 |        0.216 |        0.933 |        1.149
