  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       7.000 |        0.253 |        2.042 |        2.295
       8.000 |        0.115 |        0.578 |        0.692
       9.000 |        0.147 |        0.931 |        1.078
      10.000 |        0.408 |        1.430 |        1.838
       6.000 |        0.244 |        0.638 |        0.883
       9.000 |        0.158 |        0.965 |        1.123
      10.000 |        0.130 |        0.488 |        0.618
       7.000 |        0.112 |        0.887 |        0.999
       8.000 |        0.393 |        1.098 |        1.491
       8.000 |        0.134 |        1.548 |        1.682
       8.000 |        0.099 |        1.603 |        1.703
       6.000 |        0.212 |        0.949 |        1.161
      11.000 |        0.113 |        0.848 |        0.961
       7.000 |        0.161 |        0.969 |        1.131
       8.000 |        0.140 |        1.105 |        1.245
      10.000 |        0.105 |        0.951 |        1.056
       4.000 |        0.115 |        0.744 |        0.859
       5.000 |        0.300 |        1.358 |        1.658
      10.000 |        0.099 |        0.693 |        0.791
      10.000 |        0.138 |        0.802 |        0.940
       6.000 |        0.202 |        1.321 |        1.523
      10.000 |        0.159 |        0.695 |        0.854
      12.000 |        0.113 |        1.179 |        1.292
      10.000 |        0.100 |        2.006 |        2.106
      12.000 |        0.097 |        1.799 |        1.896
       6.000 |        0.090 |        1.857 |        1.947
       6.000 |        0.166 |        0.673 |        0.839
       6.000 |        0.137 |        0.651 |        0.788
      10.000 |        0.101 |        0.662 |        0.763
      13.000 |        0.109 |        0.651 |        0.760
      12.000 |        0.179 |        1.277 |        1.456
       6.000 |        0.141 |        0.772 |        0.914
       4.000 |        0.259 |        1.725 |        1.984
       9.000 |        0.127 |        1.399 |        1.526
       7.000 |        0.137 |        0.753 |        0.891
      11.000 |        0.096 |        0.623 |        0.718
       6.000 |        0.199 |        1.329 |        1.528
       9.000 |        0.112 |        1.257 |        1.368
       6.000 |        0.099 |        2.313 |        2.412
       4.000 |        0.169 |        1.685 |        1.854
       7.000 |        0.199 |        0.697 |        0.896
       8.000 |        0.150 |        2.861 |        3.011
      10.000 |        0.096 |        0.667 |        0.763
       8.000 |        0.158 |        1.694 |        1.852
       5.000 |        0.127 |        0.791 |        0.918
      12.000 |        0.317 |        1.053 |        1.370
      10.000 |        0.169 |        0.961 |        1.130
      14.000 |        0.273 |        0.320 |        0.593
       6.000 |        0.117 |        1.466 |        1.583
       7.000 |        0.168 |        1.050 |        1.218
       6.000 |        0.127 |        1.135 |        1.263
       7.000 |        0.085 |        0.569 |        0.654
      12.000 |        0.244 |        0.592 |        0.836
       8.000 |        0.125 |        2.523 |        2.648
      14.000 |        0.132 |        0.966 |        1.098
       6.000 |        0.193 |        1.923 |        2.116
       8.000 |        0.213 |        2.131 |        2.344
      10.000 |        0.104 |        0.745 |        0.850
       8.000 |        0.156 |        0.894 |        1.050
       7.000 |        0.177 |        3.155 |        3.332
       7.000 |        0.150 |        0.542 |        0.692
       9.000 |        0.130 |        2.130 |        2.260
       8.000 |        0.103 |        2.369 |        2.472
       7.000 |        0.330 |        0.841 |        1.170
      10.000 |        0.229 |        1.353 |        1.582
      12.000 |        0.109 |        1.043 |        1.152
       9.000 |        0.102 |        0.941 |        1.043
      12.000 |        0.115 |        0.844 |        0.959
      10.000 |        0.166 |        0.604 |        0.770
      10.000 |        0.157 |        0.700 |        0.857
      10.000 |        0.102 |        0.646 |        0.748
       5.000 |        0.149 |        2.336 |        2.485
       6.000 |        0.114 |        1.231 |        1.346
       4.000 |        0.106 |        0.660 |        0.766
       7.000 |        0.179 |        2.036 |        2.215
      15.000 |        0.089 |        0.882 |        0.971
      10.000 |        0.135 |        0.757 |        0.892
      12.000 |        0.334 |        0.771 |        1.106
       7.000 |        0.198 |        0.701 |        0.900
       8.000 |        0.234 |        1.532 |        1.766
       9.000 |        0.136 |        0.654 |        0.790
      11.000 |        0.099 |        1.359 |        1.458
       4.000 |        0.297 |        1.299 |        1.596
       8.000 |        0.115 |        1.625 |        1.740
      10.000 |        0.195 |        0.854 |        1.049
       7.000 |        0.112 |        1.098 |        1.210
       7.000 |        0.136 |        1.420 |        1.556
       8.000 |        0.101 |        0.838 |        0.940
       9.000 |        0.092 |        0.760 |        0.851
      12.000 |        0.113 |        2.849 |        2.962
      11.000 |        0.174 |        3.456 |        3.630
       9.000 |        0.103 |        0.570 |        0.673
       5.000 |        0.107 |        0.564 |        0.671
       8.000 |        0.203 |        1.122 |        1.325
       9.000 |        0.365 |        0.610 |        0.975
       9.000 |        0.278 |        0.633 |        0.910
       8.000 |        0.102 |        0.862 |        0.963
      12.000 |        0.109 |        0.532 |        0.641
       7.000 |        0.113 |        1.163 |        1.275
      11.000 |        0.146 |        1.680 |        1.826
       9.000 |        0.222 |        1.282 |        1.504
       7.000 |        0.159 |        2.015 |        2.174
      10.000 |        0.180 |        0.616 |        0.796
      12.000 |        0.125 |        0.851 |        0.976
       9.000 |        0.319 |        1.448 |        1.767
       9.000 |        0.203 |        0.730 |        0.933
       6.000 |        0.209 |        0.927 |        1.136
       8.000 |        0.124 |        1.436 |        1.560
       5.000 |        0.152 |        0.616 |        0.768
       5.000 |        0.126 |        0.654 |        0.780
      12.000 |        0.215 |        1.134 |        1.349
       6.000 |        0.095 |        0.634 |        0.730
       9.000 |        0.273 |        0.738 |        1.011
       7.000 |        0.211 |        0.894 |        1.105
       7.000 |        0.127 |        0.920 |        1.047
       8.000 |        0.106 |        0.838 |        0.943
      14.000 |        0.232 |        1.565 |        1.797
      12.000 |        0.139 |        1.023 |        1.163
      11.000 |        0.110 |        1.991 |        2.101
      13.000 |        0.359 |        1.606 |        1.965
      16.000 |        0.320 |        0.611 |        0.931
      12.000 |        0.217 |        1.064 |        1.281
       6.000 |        0.119 |        0.861 |        0.980
      11.000 |        0.285 |        1.204 |        1.488
      10.000 |        0.175 |        0.741 |        0.917
      10.000 |        0.250 |        2.068 |        2.318
       5.000 |        0.156 |        2.598 |        2.754
       8.000 |        0.155 |        3.037 |        3.192
      12.000 |        0.247 |        0.669 |        0.916
       7.000 |        0.208 |        0.604 |        0.813
       8.000 |        0.179 |        1.790 |        1.970
      14.000 |        0.121 |        2.542 |        2.663
       7.000 |        0.147 |        0.830 |        0.977
       6.000 |        0.092 |        0.613 |        0.705
       7.000 |        0.151 |        0.724 |        0.875
       8.000 |        0.113 |        2.281 |        2.394
       5.000 |        0.231 |        1.777 |        2.008
      11.000 |        0.153 |        1.337 |        1.490
      10.000 |        0.120 |        1.741 |        1.861
       9.000 |        0.085 |        0.923 |        1.008
       8.000 |        0.148 |        0.699 |        0.846
       6.000 |        0.170 |        2.624 |        2.794
       6.000 |        0.107 |        0.849 |        0.956
       6.000 |        0.094 |        1.716 |        1.810
      10.000 |        0.104 |        1.730 |        1.834
       8.000 |        0.100 |        1.512 |        1.612
       8.000 |        0.163 |        0.901 |        1.064
       6.000 |        0.144 |        0.741 |        0.885
      11.000 |        0.324 |        2.057 |        2.381
       7.000 |        0.149 |        2.281 |        2.431
      10.000 |        0.136 |        1.408 |        1.544
