   KeyLength |   QueueTimes | ServiceTimes | SojournTimes

       9.000 |        0.139 |        1.399 |        1.538
      11.000 |        0.146 |        1.306 |        1.452
       8.000 |        0.140 |        4.403 |        4.543
       7.000 |        0.143 |        3.421 |        3.565
      11.000 |        0.149 |        1.266 |        1.414
       9.000 |        0.146 |        0.740 |        0.887
       6.000 |        0.145 |        0.655 |        0.800
      12.000 |        0.165 |        3.191 |        3.357
       9.000 |        0.275 |        1.063 |        1.337
       6.000 |        0.143 |        1.644 |        1.787
       8.000 |        0.143 |        2.413 |        2.556
      12.000 |        0.148 |        0.854 |        1.003
      10.000 |        0.148 |        3.405 |        3.553
       4.000 |        0.149 |        1.056 |        1.205
      10.000 |        0.145 |        3.279 |        3.424
      11.000 |        0.173 |        1.150 |        1.322
       7.000 |        0.147 |        1.005 |        1.152
       9.000 |        0.147 |        1.349 |        1.496
       6.000 |        0.193 |        1.102 |        1.295
      11.000 |        0.141 |        1.320 |        1.461
       8.000 |        0.141 |        2.256 |        2.397
       7.000 |        0.145 |        1.137 |        1.282
       7.000 |        0.145 |        2.190 |        2.335
       6.000 |        0.150 |        2.360 |        2.510
       5.000 |        0.151 |        1.074 |        1.225
      10.000 |        0.141 |        1.470 |        1.611
       7.000 |        0.145 |        1.160 |        1.305
       6.000 |        0.327 |        0.955 |        1.282
       8.000 |        0.145 |        1.510 |        1.655
      12.000 |        0.144 |        2.146 |        2.290
       9.000 |        0.154 |        3.363 |        3.517
      11.000 |        0.146 |        2.847 |        2.993
       8.000 |        0.146 |        1.311 |        1.457
      14.000 |        0.148 |        1.000 |        1.148
      11.000 |        0.237 |        1.063 |        1.300
       7.000 |        0.148 |        0.905 |        1.053
      10.000 |        0.153 |        1.217 |        1.370
      12.000 |        0.154 |        0.813 |        0.968
      12.000 |        0.143 |        2.305 |        2.448
       9.000 |        0.144 |        2.112 |        2.256
      12.000 |        0.162 |        1.622 |        1.784
       7.000 |        0.148 |        1.075 |        1.223
      14.000 |        0.146 |        3.849 |        3.995
      10.000 |        0.286 |        1.105 |        1.391
      10.000 |        0.229 |        1.761 |        1.991
      10.000 |        0.243 |        0.808 |        1.051
       9.000 |        0.147 |        1.729 |        1.876
       7.000 |        0.151 |        1.254 |        1.405
       5.000 |        0.230 |        1.429 |        1.659
      10.000 |        0.138 |        3.407 |        3.545
       4.000 |        0.138 |        1.482 |        1.621
       6.000 |        0.253 |        1.475 |        1.728
      15.000 |        0.144 |        2.627 |        2.770
      10.000 |        0.455 |        3.887 |        4.343
       9.000 |        0.141 |        1.363 |        1.504
      10.000 |        0.135 |        2.265 |        2.400
       6.000 |        0.150 |        2.096 |        2.246
       8.000 |        0.143 |        4.133 |        4.275
      12.000 |        0.135 |        1.006 |        1.141
       7.000 |        0.137 |        1.182 |        1.319
      14.000 |        0.140 |        1.679 |        1.819
       8.000 |        0.145 |        0.975 |        1.120
       7.000 |        0.148 |        4.018 |        4.166
      10.000 |        0.144 |        3.506 |        3.649
      11.000 |        0.143 |        1.075 |        1.218
       8.000 |        0.144 |        1.742 |        1.886
      10.000 |        0.144 |        1.502 |        1.645
      10.000 |        0.146 |        1.871 |        2.017
      11.000 |        0.153 |        5.929 |        6.082
       6.000 |        0.147 |        3.000 |        3.147
       8.000 |        0.148 |        1.252 |        1.400
       5.000 |        0.149 |        1.711 |        1.861
       7.000 |        0.174 |        2.171 |        2.345
      13.000 |        0.146 |        2.571 |        2.717
       6.000 |        0.145 |        2.358 |        2.503
       5.000 |        0.147 |        1.882 |        2.029
       6.000 |        0.145 |        2.363 |        2.508
      10.000 |        0.146 |        3.049 |        3.196
      10.000 |        0.147 |        1.357 |        1.504
      11.000 |        0.144 |        3.086 |        3.230
       9.000 |        0.153 |        1.842 |        1.995
       5.000 |        0.137 |        0.888 |        1.025
       5.000 |        0.144 |        1.490 |        1.635
      11.000 |        0.139 |        3.108 |        3.247
      11.000 |        0.253 |        3.484 |        3.737
       7.000 |        0.144 |        1.092 |        1.235
       7.000 |        0.146 |        1.695 |        1.841
       9.000 |        0.149 |        1.416 |        1.565
       7.000 |        0.152 |        1.219 |        1.372
       7.000 |        0.199 |        0.956 |        1.156
       9.000 |        0.166 |        1.140 |        1.306
       4.000 |        0.144 |        1.195 |        1.340
       6.000 |        0.152 |        0.837 |        0.989
       7.000 |        0.144 |        1.974 |        2.118
      12.000 |        0.152 |        2.680 |        2.832
       8.000 |        0.147 |        0.985 |        1.132
       9.000 |        0.147 |        0.963 |        1.110
      12.000 |        0.105 |        4.725 |        4.830
       9.000 |        0.292 |        1.008 |        1.300
      10.000 |        0.149 |        1.173 |        1.321
       6.000 |        0.145 |        1.480 |        1.625
       8.000 |        0.144 |        2.394 |        2.538
       7.000 |        0.176 |        3.239 |        3.415
       3.000 |        0.293 |        2.419 |        2.712
       9.000 |        0.260 |        1.761 |        2.021
       3.000 |        0.145 |        4.534 |        4.679
       8.000 |        0.154 |        4.987 |        5.142
       8.000 |        0.150 |        1.906 |        2.056
      11.000 |        0.111 |        1.136 |        1.247
       8.000 |        0.147 |        1.247 |        1.394
      11.000 |        0.140 |        2.790 |        2.930
      11.000 |        0.150 |        2.278 |        2.428
       5.000 |        0.144 |        0.835 |        0.979
       9.000 |        0.229 |        2.358 |        2.587
       9.000 |        0.142 |        2.858 |        3.000
       6.000 |        0.142 |        3.097 |        3.239
      12.000 |        0.138 |        1.281 |        1.420
      11.000 |        0.153 |        1.685 |        1.837
      14.000 |        0.210 |        2.702 |        2.912
       7.000 |        0.345 |        0.875 |        1.220
       7.000 |        0.138 |        1.177 |        1.315
      10.000 |        0.133 |        3.111 |        3.244
       5.000 |        0.137 |        1.131 |        1.268
       7.000 |        0.138 |        3.474 |        3.612
       9.000 |        0.228 |        1.086 |        1.313
       5.000 |        0.108 |        1.034 |        1.143
       5.000 |        0.133 |        1.808 |        1.942
       9.000 |        0.122 |        0.896 |        1.018
       8.000 |        0.095 |        1.492 |        1.587
       8.000 |        0.147 |        1.006 |        1.153
       8.000 |        0.145 |        1.986 |        2.131
       4.000 |        0.137 |        1.689 |        1.826
      11.000 |        0.141 |        1.158 |        1.298
       8.000 |        0.139 |        1.272 |        1.410
       6.000 |        0.142 |        3.044 |        3.186
       7.000 |        0.134 |        1.632 |        1.766
       5.000 |        0.332 |        2.829 |        3.162
       6.000 |        0.097 |        4.332 |        4.429
      11.000 |        0.138 |        3.356 |        3.495
       5.000 |        0.151 |        0.871 |        1.022
      12.000 |        0.149 |        3.406 |        3.555
       9.000 |        0.156 |        4.971 |        5.127
      14.000 |        0.154 |        1.062 |        1.216
       8.000 |        0.143 |        3.727 |        3.870
      13.000 |        0.258 |        2.788 |        3.047
       9.000 |        0.149 |        3.033 |        3.182
      10.000 |        0.169 |        1.320 |        1.489
      10.000 |        0.146 |        0.938 |        1.083
       7.000 |        0.151 |        1.181 |        1.332
      10.000 |        0.194 |        1.174 |        1.368
      12.000 |        0.303 |        1.673 |        1.975
       8.000 |        0.148 |        4.873 |        5.021
      11.000 |        0.143 |        3.478 |        3.622
       8.000 |        0.153 |        2.740 |        2.892
       8.000 |        0.258 |        1.760 |        2.018
      11.000 |        0.144 |        1.058 |        1.202
       7.000 |        0.145 |        1.367 |        1.512
      12.000 |        0.147 |        1.289 |        1.437
       6.000 |        0.141 |        1.059 |        1.200
       9.000 |        0.145 |        1.423 |        1.568
       5.000 |        0.084 |        0.752 |        0.836
       7.000 |        0.140 |        1.222 |        1.362
      10.000 |        0.145 |        3.267 |        3.412
       8.000 |        0.094 |        1.187 |        1.281
       4.000 |        0.142 |        3.358 |        3.500
      10.000 |        0.119 |        2.766 |        2.885
       7.000 |        0.149 |        3.148 |        3.297
       8.000 |        0.136 |        1.656 |        1.792
       9.000 |        0.144 |        4.915 |        5.058
