   KeyLength |   QueueTimes | ServiceTimes | SojournTimes

       9.000 |        0.148 |        1.460 |        1.608
      11.000 |        0.134 |        1.325 |        1.459
       8.000 |        0.306 |        4.064 |        4.370
      11.000 |        0.131 |        0.922 |        1.053
       7.000 |        0.158 |        4.314 |        4.472
       9.000 |        0.165 |        0.719 |        0.884
       6.000 |        0.133 |        0.706 |        0.840
      12.000 |        0.144 |        2.243 |        2.387
       8.000 |        0.146 |        1.852 |        1.998
       9.000 |        0.269 |        0.726 |        0.995
       6.000 |        0.375 |        1.229 |        1.603
      12.000 |        0.153 |        0.611 |        0.763
      10.000 |        0.136 |        2.267 |        2.403
      10.000 |        0.145 |        2.057 |        2.202
       4.000 |        0.144 |        0.771 |        0.914
      11.000 |        0.158 |        0.923 |        1.081
       7.000 |        0.150 |        0.876 |        1.026
       9.000 |        0.147 |        1.143 |        1.290
       6.000 |        0.181 |        0.821 |        1.002
      11.000 |        0.132 |        1.149 |        1.281
       8.000 |        0.136 |        2.354 |        2.490
       7.000 |        0.151 |        0.961 |        1.112
       7.000 |        0.134 |        1.496 |        1.630
       6.000 |        0.148 |        2.318 |        2.466
       5.000 |        0.136 |        0.852 |        0.988
      10.000 |        0.155 |        1.103 |        1.258
       7.000 |        0.145 |        0.876 |        1.022
       6.000 |        0.340 |        0.665 |        1.005
       8.000 |        0.160 |        1.286 |        1.446
      12.000 |        0.133 |        1.606 |        1.740
       9.000 |        0.137 |        2.923 |        3.060
      11.000 |        0.135 |        1.890 |        2.025
       8.000 |        0.147 |        1.029 |        1.176
      14.000 |        0.147 |        0.823 |        0.970
      11.000 |        0.245 |        0.845 |        1.090
       7.000 |        0.149 |        0.784 |        0.933
      10.000 |        0.151 |        1.012 |        1.163
      12.000 |        0.169 |        0.639 |        0.808
      12.000 |        0.146 |        1.866 |        2.012
       9.000 |        0.145 |        2.139 |        2.284
      12.000 |        0.184 |        1.423 |        1.608
       7.000 |        0.137 |        0.759 |        0.896
      10.000 |        0.145 |        0.821 |        0.966
      10.000 |        0.316 |        1.246 |        1.562
      14.000 |        0.154 |        4.183 |        4.337
      10.000 |        0.275 |        0.726 |        1.001
       9.000 |        0.149 |        1.315 |        1.464
       7.000 |        0.134 |        0.857 |        0.991
       5.000 |        0.241 |        0.971 |        1.212
      10.000 |        0.118 |        2.446 |        2.565
      15.000 |        0.135 |        1.818 |        1.954
       4.000 |        0.333 |        1.043 |        1.376
       6.000 |        0.472 |        1.020 |        1.492
      10.000 |        0.306 |        4.094 |        4.399
       9.000 |        0.147 |        1.432 |        1.580
      10.000 |        0.134 |        2.565 |        2.699
       6.000 |        0.143 |        2.301 |        2.444
       8.000 |        0.155 |        5.363 |        5.518
      12.000 |        0.143 |        0.743 |        0.886
       7.000 |        0.133 |        1.010 |        1.144
      14.000 |        0.130 |        1.646 |        1.776
       8.000 |        0.158 |        0.698 |        0.856
       7.000 |        0.186 |        3.697 |        3.883
      11.000 |        0.127 |        0.774 |        0.901
       8.000 |        0.277 |        1.210 |        1.486
      10.000 |        0.131 |        4.080 |        4.211
      10.000 |        0.132 |        1.185 |        1.317
      11.000 |        0.149 |        3.949 |        4.098
      10.000 |        0.135 |        1.290 |        1.425
       6.000 |        0.153 |        2.757 |        2.910
       8.000 |        0.147 |        1.267 |        1.415
       5.000 |        0.136 |        1.151 |        1.288
       7.000 |        0.135 |        2.459 |        2.594
       6.000 |        0.322 |        1.656 |        1.978
      13.000 |        0.328 |        2.862 |        3.190
       5.000 |        0.132 |        1.318 |        1.450
       6.000 |        0.133 |        2.098 |        2.231
      10.000 |        0.135 |        2.888 |        3.023
      10.000 |        0.146 |        0.964 |        1.110
      11.000 |        0.139 |        1.984 |        2.124
       9.000 |        0.144 |        1.457 |        1.601
       5.000 |        0.088 |        0.619 |        0.707
       5.000 |        0.155 |        1.192 |        1.347
      11.000 |        0.152 |        2.456 |        2.607
      11.000 |        0.153 |        3.690 |        3.843
       7.000 |        0.146 |        0.812 |        0.958
       7.000 |        0.150 |        1.249 |        1.399
       9.000 |        0.146 |        1.555 |        1.700
       7.000 |        0.147 |        0.989 |        1.136
       7.000 |        0.150 |        0.812 |        0.962
       9.000 |        0.172 |        1.163 |        1.335
       4.000 |        0.135 |        0.894 |        1.028
       6.000 |        0.140 |        0.578 |        0.718
       7.000 |        0.137 |        1.554 |        1.691
      12.000 |        0.166 |        1.914 |        2.080
       8.000 |        0.151 |        0.861 |        1.012
      12.000 |        0.146 |        3.263 |        3.409
       9.000 |        0.134 |        0.694 |        0.828
       9.000 |        0.134 |        0.959 |        1.093
      10.000 |        0.147 |        0.909 |        1.056
       6.000 |        0.144 |        1.166 |        1.310
       8.000 |        0.157 |        1.556 |        1.713
       3.000 |        0.136 |        1.646 |        1.782
       9.000 |        0.137 |        1.210 |        1.347
       7.000 |        0.179 |        3.701 |        3.880
       3.000 |        0.207 |        3.329 |        3.536
       8.000 |        0.146 |        3.178 |        3.324
       8.000 |        0.152 |        1.883 |        2.035
      11.000 |        0.148 |        0.867 |        1.015
       8.000 |        0.150 |        0.993 |        1.142
      11.000 |        0.151 |        3.208 |        3.360
