   KeyLength |   QueueTimes | ServiceTimes | SojournTimes

       9.000 |        0.145 |        1.664 |        1.809
      11.000 |        0.140 |        1.629 |        1.769
       8.000 |        0.130 |        4.944 |        5.074
      11.000 |        0.153 |        1.075 |        1.228
       9.000 |        0.139 |        0.761 |        0.900
       6.000 |        0.145 |        0.877 |        1.022
       7.000 |        0.242 |        5.533 |        5.775
      12.000 |        0.156 |        2.692 |        2.848
       9.000 |        0.139 |        0.907 |        1.046
       8.000 |        0.142 |        2.303 |        2.445
       6.000 |        0.320 |        1.548 |        1.869
      12.000 |        0.093 |        0.722 |        0.815
      10.000 |        0.097 |        2.907 |        3.004
       4.000 |        0.134 |        0.904 |        1.038
      10.000 |        0.140 |        2.832 |        2.971
      11.000 |        0.159 |        0.962 |        1.121
       7.000 |        0.152 |        0.891 |        1.043
       9.000 |        0.139 |        1.167 |        1.305
       6.000 |        0.142 |        0.972 |        1.114
      11.000 |        0.145 |        1.400 |        1.545
       7.000 |        0.155 |        0.965 |        1.120
       8.000 |        0.143 |        2.895 |        3.038
       7.000 |        0.144 |        1.904 |        2.048
       6.000 |        0.143 |        2.789 |        2.932
       5.000 |        0.148 |        1.048 |        1.196
      10.000 |        0.146 |        1.303 |        1.449
       6.000 |        0.152 |        0.753 |        0.905
       7.000 |        0.237 |        0.990 |        1.226
       8.000 |        0.141 |        1.272 |        1.413
      12.000 |        0.137 |        1.960 |        2.098
       9.000 |        0.147 |        3.643 |        3.791
      11.000 |        0.144 |        2.443 |        2.587
       8.000 |        0.143 |        1.124 |        1.267
      14.000 |        0.142 |        0.859 |        1.002
      11.000 |        0.215 |        0.918 |        1.133
       7.000 |        0.142 |        0.767 |        0.909
      10.000 |        0.151 |        1.185 |        1.336
      12.000 |        0.149 |        0.747 |        0.895
      12.000 |        0.152 |        2.212 |        2.365
       9.000 |        0.163 |        2.655 |        2.818
      12.000 |        0.167 |        1.414 |        1.581
       7.000 |        0.145 |        1.015 |        1.161
      10.000 |        0.102 |        0.941 |        1.043
      10.000 |        0.138 |        1.502 |        1.640
      10.000 |        0.142 |        0.695 |        0.836
       9.000 |        0.146 |        1.531 |        1.676
      14.000 |        0.142 |        5.425 |        5.567
       7.000 |        0.155 |        1.002 |        1.156
       5.000 |        0.148 |        1.266 |        1.414
      10.000 |        0.148 |        3.340 |        3.487
       4.000 |        0.276 |        1.235 |        1.510
       6.000 |        0.368 |        1.262 |        1.630
      15.000 |        0.337 |        2.339 |        2.676
      10.000 |        0.139 |        5.512 |        5.651
       9.000 |        0.140 |        1.685 |        1.825
      10.000 |        0.138 |        3.232 |        3.370
       6.000 |        0.149 |        3.014 |        3.163
       8.000 |        0.142 |        4.980 |        5.122
      12.000 |        0.151 |        0.864 |        1.015
       7.000 |        0.138 |        1.216 |        1.354
      14.000 |        0.137 |        2.140 |        2.277
       8.000 |        0.100 |        0.839 |        0.939
       7.000 |        0.138 |        4.726 |        4.864
      11.000 |        0.140 |        0.908 |        1.049
       8.000 |        0.148 |        1.570 |        1.718
      10.000 |        0.138 |        1.413 |        1.551
      10.000 |        0.137 |        5.577 |        5.714
      10.000 |        0.140 |        1.549 |        1.688
      11.000 |        0.291 |        5.057 |        5.348
       6.000 |        0.141 |        2.585 |        2.725
       8.000 |        0.140 |        1.505 |        1.645
       5.000 |        0.149 |        1.529 |        1.678
       6.000 |        0.139 |        1.997 |        2.136
       7.000 |        0.150 |        3.270 |        3.420
      13.000 |        0.156 |        3.724 |        3.880
       5.000 |        0.143 |        1.610 |        1.752
       6.000 |        0.154 |        2.586 |        2.741
      10.000 |        0.146 |        1.178 |        1.324
      10.000 |        0.139 |        3.670 |        3.808
      11.000 |        0.145 |        2.665 |        2.809
       9.000 |        0.139 |        1.619 |        1.758
       5.000 |        0.147 |        0.804 |        0.951
       5.000 |        0.141 |        1.277 |        1.418
      11.000 |        0.145 |        3.090 |        3.235
      11.000 |        0.305 |        3.441 |        3.746
       7.000 |        0.151 |        1.010 |        1.161
       7.000 |        0.152 |        1.373 |        1.525
       9.000 |        0.165 |        1.843 |        2.008
       7.000 |        0.156 |        1.040 |        1.196
       7.000 |        0.146 |        0.847 |        0.993
       9.000 |        0.178 |        1.484 |        1.663
       4.000 |        0.146 |        1.095 |        1.241
       6.000 |        0.148 |        0.756 |        0.904
       7.000 |        0.148 |        1.935 |        2.083
      12.000 |        0.150 |        2.358 |        2.508
       8.000 |        0.148 |        0.887 |        1.036
       9.000 |        0.148 |        0.853 |        1.000
      12.000 |        0.170 |        4.222 |        4.392
       9.000 |        0.152 |        1.107 |        1.259
      10.000 |        0.142 |        1.004 |        1.146
       6.000 |        0.142 |        1.264 |        1.406
       8.000 |        0.148 |        2.077 |        2.225
       3.000 |        0.147 |        2.068 |        2.215
       9.000 |        0.150 |        1.553 |        1.702
       3.000 |        0.147 |        4.166 |        4.313
       7.000 |        0.172 |        5.014 |        5.186
       8.000 |        0.138 |        4.195 |        4.332
       8.000 |        0.148 |        1.813 |        1.960
      11.000 |        0.156 |        0.998 |        1.154
       8.000 |        0.191 |        1.014 |        1.206
      11.000 |        0.149 |        1.974 |        2.124
      11.000 |        0.149 |        4.257 |        4.406
       9.000 |        0.146 |        2.388 |        2.534
