   KeyLength |   QueueTimes | ServiceTimes | SojournTimes

       8.000 |        0.144 |        2.945 |        3.090
       9.000 |        0.147 |        1.921 |        2.067
      11.000 |        0.069 |        1.906 |        1.975
      11.000 |        0.143 |        1.300 |        1.443
       7.000 |        0.200 |        4.563 |        4.763
       9.000 |        0.146 |        0.776 |        0.922
       6.000 |        0.144 |        0.963 |        1.107
      12.000 |        0.146 |        2.070 |        2.216
       9.000 |        0.145 |        1.010 |        1.155
       6.000 |        0.150 |        1.717 |        1.867
       8.000 |        0.298 |        2.521 |        2.819
      12.000 |        0.150 |        0.845 |        0.995
      10.000 |        0.147 |        3.049 |        3.195
      10.000 |        0.146 |        2.337 |        2.483
       4.000 |        0.149 |        1.049 |        1.198
      11.000 |        0.162 |        1.138 |        1.300
       7.000 |        0.147 |        1.036 |        1.183
       9.000 |        0.152 |        1.259 |        1.411
       6.000 |        0.148 |        1.070 |        1.218
      11.000 |        0.146 |        1.610 |        1.757
       7.000 |        0.144 |        1.070 |        1.215
       8.000 |        0.147 |        3.019 |        3.166
       7.000 |        0.145 |        2.206 |        2.351
       6.000 |        0.106 |        3.325 |        3.431
       5.000 |        0.275 |        1.160 |        1.435
      10.000 |        0.219 |        1.353 |        1.572
       7.000 |        0.148 |        1.153 |        1.301
       6.000 |        0.347 |        0.929 |        1.277
       8.000 |        0.153 |        1.406 |        1.559
      12.000 |        0.147 |        2.299 |        2.446
       9.000 |        0.145 |        4.322 |        4.467
      11.000 |        0.147 |        2.259 |        2.406
       8.000 |        0.147 |        1.293 |        1.440
      14.000 |        0.149 |        0.997 |        1.146
      11.000 |        0.227 |        1.073 |        1.300
       7.000 |        0.138 |        0.894 |        1.032
      10.000 |        0.146 |        1.293 |        1.439
      12.000 |        0.150 |        0.603 |        0.753
      12.000 |        0.146 |        2.670 |        2.816
       9.000 |        0.147 |        3.015 |        3.162
      12.000 |        0.152 |        1.527 |        1.679
       7.000 |        0.150 |        1.089 |        1.239
      10.000 |        0.143 |        1.266 |        1.409
      10.000 |        0.151 |        1.102 |        1.252
      10.000 |        0.148 |        0.796 |        0.945
      14.000 |        0.151 |        4.733 |        4.884
       9.000 |        0.146 |        1.735 |        1.881
       7.000 |        0.152 |        0.921 |        1.073
       5.000 |        0.243 |        1.034 |        1.277
      10.000 |        0.145 |        2.648 |        2.793
       4.000 |        0.139 |        1.490 |        1.629
      10.000 |        0.314 |        4.156 |        4.470
       6.000 |        0.473 |        1.471 |        1.944
      15.000 |        0.340 |        2.650 |        2.990
       9.000 |        0.142 |        1.988 |        2.131
      10.000 |        0.137 |        3.339 |        3.476
       6.000 |        0.186 |        2.876 |        3.062
       8.000 |        0.152 |        5.868 |        6.020
      12.000 |        0.145 |        1.012 |        1.156
       7.000 |        0.145 |        1.439 |        1.584
      14.000 |        0.141 |        2.413 |        2.553
       8.000 |        0.136 |        0.952 |        1.087
       7.000 |        0.145 |        4.674 |        4.819
      11.000 |        0.138 |        1.065 |        1.202
       8.000 |        0.148 |        1.739 |        1.887
      10.000 |        0.139 |        4.444 |        4.583
      10.000 |        0.144 |        1.665 |        1.809
      10.000 |        0.145 |        1.266 |        1.410
      11.000 |        0.144 |        5.022 |        5.166
       6.000 |        0.149 |        2.985 |        3.134
       8.000 |        0.148 |        1.776 |        1.924
       5.000 |        0.147 |        1.674 |        1.821
       6.000 |        0.142 |        1.715 |        1.857
       7.000 |        0.148 |        2.862 |        3.010
      13.000 |        0.152 |        3.278 |        3.429
       5.000 |        0.147 |        1.870 |        2.017
       6.000 |        0.144 |        3.077 |        3.221
      10.000 |        0.145 |        1.352 |        1.497
      10.000 |        0.148 |        4.095 |        4.243
      11.000 |        0.178 |        2.696 |        2.875
       9.000 |        0.145 |        1.306 |        1.452
       5.000 |        0.146 |        0.859 |        1.005
       5.000 |        0.137 |        1.504 |        1.641
      11.000 |        0.141 |        3.578 |        3.719
      11.000 |        0.260 |        3.987 |        4.247
       7.000 |        0.147 |        1.083 |        1.230
       7.000 |        0.148 |        1.727 |        1.875
       9.000 |        0.149 |        2.170 |        2.319
       7.000 |        0.147 |        0.905 |        1.051
       7.000 |        0.154 |        0.959 |        1.113
       9.000 |        0.163 |        1.702 |        1.865
       4.000 |        0.146 |        1.043 |        1.189
       6.000 |        0.148 |        0.805 |        0.954
       7.000 |        0.149 |        2.247 |        2.395
      12.000 |        0.146 |        2.724 |        2.870
       8.000 |        0.153 |        0.909 |        1.063
      12.000 |        0.143 |        3.458 |        3.600
       9.000 |        0.139 |        0.962 |        1.100
       9.000 |        0.151 |        1.354 |        1.505
      10.000 |        0.139 |        1.155 |        1.294
       6.000 |        0.137 |        1.323 |        1.460
       8.000 |        0.147 |        2.233 |        2.380
       3.000 |        0.095 |        1.883 |        1.978
       9.000 |        0.150 |        1.116 |        1.266
       3.000 |        0.145 |        3.235 |        3.380
       7.000 |        0.149 |        4.019 |        4.168
       8.000 |        0.144 |        3.450 |        3.594
       8.000 |        0.152 |        2.049 |        2.201
      11.000 |        0.149 |        1.150 |        1.299
       8.000 |        0.148 |        1.243 |        1.391
      11.000 |        0.150 |        3.593 |        3.743
      11.000 |        0.159 |        2.289 |        2.449
       5.000 |        0.142 |        1.181 |        1.324
       9.000 |        0.238 |        2.755 |        2.993
      12.000 |        0.143 |        1.336 |        1.479
      11.000 |        0.145 |        1.663 |        1.809
       7.000 |        0.204 |        0.792 |        0.996
       9.000 |        0.312 |        3.683 |        3.995
       6.000 |        0.182 |        3.945 |        4.127
      14.000 |        0.146 |        3.541 |        3.687
      10.000 |        0.097 |        1.976 |        2.073
       7.000 |        0.138 |        1.177 |        1.314
       5.000 |        0.140 |        1.137 |        1.278
       9.000 |        0.139 |        1.092 |        1.232
       5.000 |        0.095 |        0.993 |        1.088
       7.000 |        0.136 |        4.031 |        4.168
       8.000 |        0.265 |        0.783 |        1.048
       9.000 |        0.193 |        0.893 |        1.085
       5.000 |        0.136 |        2.428 |        2.565
       8.000 |        0.135 |        1.019 |        1.154
       8.000 |        0.139 |        2.084 |        2.223
      11.000 |        0.140 |        0.930 |        1.069
       8.000 |        0.153 |        0.878 |        1.031
       4.000 |        0.142 |        2.505 |        2.647
       5.000 |        0.138 |        1.715 |        1.853
       6.000 |        0.096 |        2.863 |        2.959
       6.000 |        0.148 |        3.904 |        4.052
       7.000 |        0.137 |        1.669 |        1.806
      11.000 |        0.144 |        4.125 |        4.270
       5.000 |        0.148 |        0.865 |        1.013
       9.000 |        0.149 |        4.969 |        5.118
      12.000 |        0.147 |        4.220 |        4.367
      14.000 |        0.146 |        1.067 |        1.213
      13.000 |        0.145 |        3.549 |        3.694
       8.000 |        0.149 |        4.777 |        4.925
       9.000 |        0.154 |        4.098 |        4.253
      10.000 |        0.149 |        1.295 |        1.444
      10.000 |        0.142 |        0.943 |        1.085
       7.000 |        0.145 |        1.084 |        1.230
      12.000 |        0.149 |        1.447 |        1.596
      10.000 |        0.372 |        1.002 |        1.374
       8.000 |        0.161 |        5.791 |        5.952
      11.000 |        0.151 |        3.421 |        3.572
       8.000 |        0.170 |        2.776 |        2.946
       8.000 |        0.148 |        2.053 |        2.201
      11.000 |        0.149 |        1.045 |        1.194
       7.000 |        0.145 |        1.385 |        1.530
      12.000 |        0.143 |        1.098 |        1.241
       6.000 |        0.148 |        1.081 |        1.229
      10.000 |        0.234 |        2.474 |        2.708
       9.000 |        0.148 |        1.431 |        1.579
       4.000 |        0.210 |        2.259 |        2.469
       7.000 |        0.117 |        1.274 |        1.391
       5.000 |        0.095 |        1.485 |        1.580
       9.000 |        0.151 |        3.551 |        3.703
       8.000 |        0.205 |        1.254 |        1.459
       8.000 |        0.120 |        1.451 |        1.570
       7.000 |        0.084 |        3.462 |        3.546
       8.000 |        0.238 |        0.926 |        1.164
       6.000 |        0.138 |        0.671 |        0.809
       9.000 |        0.136 |        1.326 |        1.462
      10.000 |        0.097 |        5.462 |        5.558
       7.000 |        0.150 |        0.927 |        1.077
       9.000 |        0.145 |        2.498 |        2.643
      10.000 |        0.147 |        1.003 |        1.151
      11.000 |        0.163 |        3.868 |        4.031
       8.000 |        0.168 |        2.568 |        2.737
       9.000 |        0.149 |        0.636 |        0.786
       8.000 |        0.145 |        1.332 |        1.477
       7.000 |        0.147 |        1.816 |        1.963
       8.000 |        0.247 |        1.256 |        1.503
       5.000 |        0.290 |        0.693 |        0.983
       6.000 |        0.145 |        1.435 |        1.579
      11.000 |        0.147 |        1.142 |        1.289
      10.000 |        0.152 |        2.285 |        2.437
      11.000 |        0.143 |        0.690 |        0.833
       4.000 |        0.146 |        0.989 |        1.135
       7.000 |        0.175 |        1.917 |        2.091
      11.000 |        0.150 |        0.974 |        1.123
       9.000 |        0.146 |        3.212 |        3.357
      11.000 |        0.229 |        1.093 |        1.322
      10.000 |        0.150 |        2.141 |        2.291
      11.000 |        0.148 |        2.955 |        3.103
       7.000 |        0.148 |        1.091 |        1.239
       8.000 |        0.145 |        1.630 |        1.776
      11.000 |        0.147 |        3.769 |        3.916
       9.000 |        0.258 |        2.175 |        2.434
       3.000 |        0.148 |        1.266 |        1.414
       4.000 |        0.143 |        2.804 |        2.947
       6.000 |        0.149 |        2.619 |        2.768
       7.000 |        0.221 |        1.129 |        1.350
       6.000 |        0.190 |        4.155 |        4.344
      11.000 |        0.148 |        1.966 |        2.114
       5.000 |        0.142 |        1.071 |        1.214
      10.000 |        0.182 |        0.682 |        0.864
       8.000 |        0.146 |        1.885 |        2.032
       4.000 |        0.144 |        1.938 |        2.082
       7.000 |        0.152 |        1.398 |        1.550
       7.000 |        0.148 |        1.000 |        1.148
      10.000 |        0.293 |        4.307 |        4.600
       9.000 |        0.145 |        0.849 |        0.994
      15.000 |        0.146 |        3.521 |        3.666
       5.000 |        0.145 |        1.099 |        1.244
      12.000 |        0.145 |        2.089 |        2.234
      13.000 |        0.196 |        0.940 |        1.136
      10.000 |        0.148 |        4.153 |        4.302
      11.000 |        0.258 |        2.459 |        2.716
       8.000 |        0.154 |        1.697 |        1.851
       5.000 |        0.146 |        0.829 |        0.975
      11.000 |        0.153 |        1.496 |        1.649
       7.000 |        0.149 |        0.827 |        0.976
      11.000 |        0.149 |        4.131 |        4.279
       7.000 |        0.145 |        1.103 |        1.248
       6.000 |        0.144 |        0.902 |        1.046
       9.000 |        0.148 |        1.450 |        1.598
       6.000 |        0.145 |        4.641 |        4.786
       3.000 |        0.145 |        4.409 |        4.554
       5.000 |        0.144 |        1.604 |        1.748
      13.000 |        0.145 |        1.042 |        1.187
       9.000 |        0.152 |        4.140 |        4.292
       9.000 |        0.149 |        0.909 |        1.058
       6.000 |        0.264 |        1.274 |        1.538
      14.000 |        0.145 |        1.865 |        2.011
      10.000 |        0.147 |        2.377 |        2.524
      10.000 |        0.144 |        3.400 |        3.544
      10.000 |        0.146 |        2.852 |        2.998
       8.000 |        0.284 |        0.926 |        1.210
      12.000 |        0.148 |        1.830 |        1.978
      10.000 |        0.146 |        3.529 |        3.675
      14.000 |        0.145 |        1.180 |        1.325
      10.000 |        0.147 |        0.996 |        1.143
       7.000 |        0.148 |        1.825 |        1.973
       8.000 |        0.147 |        2.308 |        2.455
      10.000 |        0.147 |        1.427 |        1.574
      12.000 |        0.146 |        1.842 |        1.988
       9.000 |        0.151 |        0.984 |        1.135
      11.000 |        0.148 |        3.391 |        3.539
      11.000 |        0.141 |        2.556 |        2.697
      13.000 |        0.146 |        1.011 |        1.157
      14.000 |        0.145 |        0.959 |        1.105
       9.000 |        0.242 |        2.600 |        2.842
       9.000 |        0.397 |        1.471 |        1.867
       8.000 |        0.149 |        0.838 |        0.987
      10.000 |        0.177 |        1.136 |        1.313
       6.000 |        0.148 |        2.133 |        2.281
       6.000 |        0.153 |        4.341 |        4.495
      11.000 |        0.147 |        4.133 |        4.279
       8.000 |        0.329 |        0.859 |        1.189
       8.000 |        0.366 |        1.223 |        1.589
      12.000 |        0.147 |        2.130 |        2.276
      10.000 |        0.149 |        0.751 |        0.901
       6.000 |        0.146 |        1.229 |        1.376
       7.000 |        0.179 |        4.221 |        4.401
       7.000 |        0.145 |        1.630 |        1.775
       9.000 |        0.146 |        3.995 |        4.142
       6.000 |        0.137 |        1.220 |        1.357
      10.000 |        0.149 |        3.998 |        4.146
       6.000 |        0.151 |        0.778 |        0.929
       5.000 |        0.157 |        0.880 |        1.037
       6.000 |        0.300 |        2.203 |        2.503
      10.000 |        0.144 |        3.571 |        3.716
       7.000 |        0.144 |        0.824 |        0.968
       9.000 |        0.149 |        2.535 |        2.684
      11.000 |        0.144 |        4.290 |        4.434
      10.000 |        0.149 |        0.951 |        1.100
      15.000 |        0.145 |        1.039 |        1.184
       7.000 |        0.106 |        1.266 |        1.372
       6.000 |        0.147 |        1.151 |        1.298
       9.000 |        0.251 |        1.083 |        1.334
       7.000 |        0.154 |        1.519 |        1.673
       9.000 |        0.142 |        0.803 |        0.945
      13.000 |        0.144 |        4.597 |        4.741
      12.000 |        0.145 |        0.898 |        1.043
       9.000 |        0.148 |        4.897 |        5.045
       9.000 |        0.162 |        1.154 |        1.316
       8.000 |        0.290 |        0.921 |        1.212
      10.000 |        0.174 |        0.952 |        1.127
       4.000 |        0.148 |        0.940 |        1.088
       9.000 |        0.152 |        1.172 |        1.324
       5.000 |        0.152 |        1.333 |        1.485
      10.000 |        0.267 |        2.903 |        3.170
      10.000 |        0.145 |        3.658 |        3.803
       5.000 |        0.145 |        1.134 |        1.279
      11.000 |        0.189 |        1.093 |        1.281
       8.000 |        0.267 |        1.256 |        1.523
       8.000 |        0.148 |        0.758 |        0.906
       9.000 |        0.097 |        1.488 |        1.584
       9.000 |        0.154 |        2.865 |        3.019
      13.000 |        0.140 |        1.017 |        1.157
      11.000 |        0.137 |        0.971 |        1.108
       7.000 |        0.138 |        0.643 |        0.781
      13.000 |        0.144 |        2.569 |        2.713
       8.000 |        0.148 |        1.004 |        1.152
       9.000 |        0.146 |        2.869 |        3.015
       8.000 |        0.143 |        0.944 |        1.087
       8.000 |        0.144 |        1.023 |        1.167
      12.000 |        0.141 |        3.256 |        3.397
      12.000 |        0.147 |        1.377 |        1.524
      13.000 |        0.145 |        1.458 |        1.602
       8.000 |        0.148 |        1.125 |        1.273
      10.000 |        0.146 |        3.204 |        3.350
       8.000 |        0.145 |        3.295 |        3.440
      10.000 |        0.150 |        0.931 |        1.080
      11.000 |        0.148 |        1.352 |        1.500
      18.000 |        0.143 |        0.831 |        0.975
       5.000 |        0.228 |        0.888 |        1.116
       8.000 |        0.145 |        1.315 |        1.461
       8.000 |        0.147 |        3.631 |        3.777
      16.000 |        0.146 |        2.841 |        2.987
       9.000 |        0.559 |        1.134 |        1.693
      13.000 |        0.146 |        2.753 |        2.899
      15.000 |        0.190 |        1.111 |        1.300
       6.000 |        0.146 |        1.027 |        1.173
