   KeyLength |   QueueTimes | ServiceTimes | SojournTimes

       9.000 |        0.139 |        1.842 |        1.981
      11.000 |        0.093 |        1.644 |        1.737
       8.000 |        0.143 |        4.994 |        5.136
      11.000 |        0.147 |        1.296 |        1.443
       7.000 |        0.094 |        4.821 |        4.915
       9.000 |        0.094 |        0.877 |        0.971
       6.000 |        0.147 |        0.981 |        1.128
      12.000 |        0.143 |        2.529 |        2.672
       8.000 |        0.155 |        2.083 |        2.238
       9.000 |        0.223 |        1.034 |        1.256
       6.000 |        0.185 |        1.679 |        1.864
      10.000 |        0.145 |        2.534 |        2.679
      12.000 |        0.289 |        1.788 |        2.078
      10.000 |        0.146 |        2.375 |        2.521
       4.000 |        0.182 |        0.849 |        1.031
      11.000 |        0.150 |        1.109 |        1.259
       7.000 |        0.137 |        1.027 |        1.164
       9.000 |        0.148 |        1.236 |        1.384
       6.000 |        0.192 |        0.967 |        1.159
      11.000 |        0.144 |        1.347 |        1.491
       7.000 |        0.147 |        0.946 |        1.094
       8.000 |        0.294 |        2.626 |        2.920
       7.000 |        0.143 |        1.957 |        2.101
       6.000 |        0.146 |        2.481 |        2.626
       5.000 |        0.145 |        1.120 |        1.265
      10.000 |        0.148 |        1.335 |        1.483
       7.000 |        0.144 |        0.881 |        1.025
       6.000 |        0.145 |        0.923 |        1.068
       8.000 |        0.147 |        1.139 |        1.286
      12.000 |        0.094 |        1.670 |        1.764
       9.000 |        0.144 |        3.128 |        3.272
      11.000 |        0.161 |        2.351 |        2.512
       8.000 |        0.145 |        1.102 |        1.247
      14.000 |        0.159 |        1.015 |        1.174
      11.000 |        0.256 |        1.073 |        1.328
       7.000 |        0.148 |        0.895 |        1.043
      10.000 |        0.140 |        1.230 |        1.370
      12.000 |        0.145 |        0.772 |        0.917
      12.000 |        0.148 |        2.219 |        2.367
       9.000 |        0.150 |        2.435 |        2.585
      12.000 |        0.165 |        1.302 |        1.467
       7.000 |        0.146 |        0.948 |        1.095
      10.000 |        0.144 |        1.047 |        1.192
      10.000 |        0.149 |        1.617 |        1.766
      10.000 |        0.148 |        0.817 |        0.966
      14.000 |        0.149 |        4.870 |        5.019
       9.000 |        0.158 |        1.579 |        1.737
       7.000 |        0.149 |        1.072 |        1.221
       5.000 |        0.147 |        1.383 |        1.530
      10.000 |        0.153 |        2.787 |        2.939
      15.000 |        0.145 |        2.022 |        2.167
       4.000 |        0.247 |        1.337 |        1.584
       6.000 |        0.414 |        1.277 |        1.691
      10.000 |        0.149 |        4.944 |        5.093
       9.000 |        0.139 |        1.689 |        1.828
      10.000 |        0.137 |        3.094 |        3.231
       8.000 |        0.259 |        4.312 |        4.571
       6.000 |        0.315 |        2.737 |        3.051
      12.000 |        0.147 |        0.868 |        1.015
       7.000 |        0.135 |        1.209 |        1.344
      14.000 |        0.138 |        1.866 |        2.004
       8.000 |        0.145 |        0.984 |        1.128
       7.000 |        0.223 |        3.963 |        4.186
      11.000 |        0.139 |        1.051 |        1.190
       8.000 |        0.136 |        1.653 |        1.789
      10.000 |        0.137 |        5.016 |        5.153
      10.000 |        0.148 |        1.502 |        1.650
      11.000 |        0.139 |        4.440 |        4.578
      10.000 |        0.135 |        1.839 |        1.974
       6.000 |        0.148 |        2.480 |        2.628
       8.000 |        0.145 |        1.661 |        1.806
       5.000 |        0.143 |        1.473 |        1.616
       6.000 |        0.145 |        2.127 |        2.272
       7.000 |        0.318 |        2.985 |        3.302
      13.000 |        0.147 |        3.781 |        3.928
       5.000 |        0.145 |        1.621 |        1.766
       6.000 |        0.144 |        2.332 |        2.476
      10.000 |        0.143 |        3.234 |        3.377
      10.000 |        0.146 |        1.334 |        1.480
      11.000 |        0.147 |        2.206 |        2.354
       9.000 |        0.147 |        1.783 |        1.930
       5.000 |        0.092 |        0.853 |        0.945
       5.000 |        0.094 |        1.343 |        1.437
      11.000 |        0.137 |        2.757 |        2.894
      11.000 |        0.219 |        3.176 |        3.395
       7.000 |        0.147 |        1.075 |        1.222
       7.000 |        0.150 |        1.399 |        1.549
       9.000 |        0.145 |        1.909 |        2.054
       7.000 |        0.154 |        1.242 |        1.396
       7.000 |        0.249 |        0.877 |        1.126
       9.000 |        0.147 |        1.560 |        1.707
       4.000 |        0.149 |        1.149 |        1.298
       6.000 |        0.152 |        0.787 |        0.939
       7.000 |        0.145 |        1.703 |        1.848
      12.000 |        0.148 |        2.091 |        2.239
       8.000 |        0.148 |        1.014 |        1.162
      12.000 |        0.145 |        3.883 |        4.028
       9.000 |        0.148 |        0.956 |        1.104
       9.000 |        0.153 |        1.122 |        1.275
      10.000 |        0.143 |        1.010 |        1.154
       6.000 |        0.148 |        1.406 |        1.554
       8.000 |        0.146 |        2.129 |        2.275
       3.000 |        0.144 |        1.904 |        2.048
       9.000 |        0.143 |        1.528 |        1.671
       3.000 |        0.148 |        3.659 |        3.807
       7.000 |        0.149 |        4.577 |        4.726
