   KeyLength |   QueueTimes | ServiceTimes | SojournTimes

       9.000 |        0.148 |        1.938 |        2.086
      11.000 |        0.139 |        1.922 |        2.061
       8.000 |        0.096 |        5.927 |        6.023
      11.000 |        0.150 |        1.292 |        1.442
       9.000 |        0.146 |        0.889 |        1.036
       6.000 |        0.147 |        0.994 |        1.141
       7.000 |        0.149 |        6.554 |        6.703
      12.000 |        0.155 |        3.133 |        3.288
       9.000 |        0.169 |        1.049 |        1.218
       6.000 |        0.146 |        1.742 |        1.888
       8.000 |        0.303 |        2.537 |        2.841
      12.000 |        0.149 |        0.845 |        0.994
      10.000 |        0.151 |        3.497 |        3.649
       4.000 |        0.151 |        1.027 |        1.178
      10.000 |        0.147 |        3.257 |        3.403
      11.000 |        0.172 |        1.139 |        1.311
       7.000 |        0.147 |        1.004 |        1.151
       9.000 |        0.149 |        1.340 |        1.489
       6.000 |        0.147 |        1.119 |        1.266
      11.000 |        0.145 |        1.621 |        1.766
       7.000 |        0.145 |        1.142 |        1.287
       8.000 |        0.155 |        3.385 |        3.540
       7.000 |        0.149 |        2.199 |        2.348
       5.000 |        0.148 |        1.166 |        1.314
       6.000 |        0.323 |        3.357 |        3.681
      10.000 |        0.210 |        1.478 |        1.687
       7.000 |        0.146 |        1.133 |        1.279
       6.000 |        0.327 |        0.954 |        1.281
       8.000 |        0.145 |        1.507 |        1.652
      12.000 |        0.144 |        2.325 |        2.470
       9.000 |        0.147 |        4.299 |        4.446
      11.000 |        0.146 |        2.860 |        3.005
       8.000 |        0.147 |        1.317 |        1.464
      14.000 |        0.155 |        0.940 |        1.094
      11.000 |        0.147 |        1.099 |        1.246
       7.000 |        0.151 |        0.899 |        1.050
      10.000 |        0.145 |        1.297 |        1.442
      12.000 |        0.150 |        0.777 |        0.927
      12.000 |        0.147 |        2.672 |        2.819
       9.000 |        0.151 |        3.143 |        3.293
      12.000 |        0.146 |        1.608 |        1.754
       7.000 |        0.148 |        1.086 |        1.234
      10.000 |        0.153 |        1.122 |        1.275
      10.000 |        0.149 |        1.791 |        1.940
      10.000 |        0.257 |        0.710 |        0.966
       9.000 |        0.146 |        1.718 |        1.865
      14.000 |        0.148 |        6.420 |        6.567
       7.000 |        0.145 |        1.261 |        1.406
       5.000 |        0.242 |        1.416 |        1.658
       4.000 |        0.145 |        1.462 |        1.607
       6.000 |        0.257 |        1.441 |        1.698
      10.000 |        0.206 |        3.917 |        4.124
      15.000 |        0.272 |        2.672 |        2.945
       9.000 |        0.153 |        1.920 |        2.072
      10.000 |        0.150 |        6.609 |        6.759
      10.000 |        0.143 |        3.828 |        3.971
       6.000 |        0.140 |        3.513 |        3.652
       8.000 |        0.146 |        5.878 |        6.024
      12.000 |        0.145 |        1.014 |        1.159
       7.000 |        0.143 |        1.416 |        1.559
      14.000 |        0.138 |        2.389 |        2.527
       8.000 |        0.145 |        0.977 |        1.122
      11.000 |        0.160 |        1.077 |        1.236
       7.000 |        0.147 |        5.550 |        5.697
       8.000 |        0.247 |        1.745 |        1.992
      10.000 |        0.145 |        1.681 |        1.826
      10.000 |        0.137 |        6.667 |        6.804
      10.000 |        0.146 |        1.859 |        2.005
      11.000 |        0.154 |        5.901 |        6.054
       6.000 |        0.148 |        3.050 |        3.198
       8.000 |        0.151 |        1.803 |        1.954
       5.000 |        0.145 |        1.731 |        1.876
       6.000 |        0.148 |        2.337 |        2.485
       7.000 |        0.148 |        3.870 |        4.018
      13.000 |        0.150 |        4.506 |        4.656
       5.000 |        0.222 |        1.881 |        2.104
       6.000 |        0.147 |        3.048 |        3.195
      10.000 |        0.148 |        1.348 |        1.496
      10.000 |        0.152 |        4.360 |        4.512
      11.000 |        0.147 |        3.141 |        3.288
       9.000 |        0.153 |        1.835 |        1.987
       5.000 |        0.158 |        0.880 |        1.038
       5.000 |        0.147 |        1.486 |        1.633
      11.000 |        0.141 |        3.593 |        3.734
      11.000 |        0.255 |        4.005 |        4.260
       7.000 |        0.149 |        1.077 |        1.226
       7.000 |        0.147 |        1.690 |        1.838
       9.000 |        0.151 |        2.155 |        2.306
       7.000 |        0.151 |        1.218 |        1.369
       7.000 |        0.210 |        0.925 |        1.136
       9.000 |        0.173 |        1.700 |        1.873
       4.000 |        0.148 |        1.204 |        1.352
       6.000 |        0.155 |        0.837 |        0.992
       7.000 |        0.147 |        2.283 |        2.430
      12.000 |        0.153 |        2.682 |        2.836
       8.000 |        0.148 |        0.983 |        1.131
       9.000 |        0.146 |        0.956 |        1.102
       9.000 |        0.148 |        1.361 |        1.509
      12.000 |        0.331 |        5.066 |        5.397
      10.000 |        0.323 |        1.169 |        1.492
       6.000 |        0.146 |        1.454 |        1.600
       8.000 |        0.152 |        2.399 |        2.552
       3.000 |        0.155 |        2.432 |        2.587
       9.000 |        0.147 |        1.776 |        1.923
       3.000 |        0.150 |        4.866 |        5.016
       7.000 |        0.186 |        5.942 |        6.128
       8.000 |        0.154 |        4.977 |        5.131
       8.000 |        0.156 |        2.110 |        2.266
      11.000 |        0.148 |        1.132 |        1.280
       8.000 |        0.148 |        1.241 |        1.389
      11.000 |        0.147 |        2.305 |        2.452
      11.000 |        0.150 |        5.021 |        5.171
       5.000 |        0.194 |        1.142 |        1.336
       9.000 |        0.247 |        2.748 |        2.995
      12.000 |        0.144 |        1.282 |        1.427
      11.000 |        0.151 |        1.672 |        1.822
       9.000 |        0.209 |        3.690 |        3.900
       7.000 |        0.355 |        0.894 |        1.249
       6.000 |        0.149 |        4.204 |        4.353
      14.000 |        0.147 |        4.406 |        4.553
       7.000 |        0.139 |        1.169 |        1.308
      10.000 |        0.151 |        3.160 |        3.311
       5.000 |        0.138 |        1.128 |        1.266
       9.000 |        0.142 |        1.092 |        1.234
       5.000 |        0.142 |        0.943 |        1.085
       7.000 |        0.096 |        4.030 |        4.127
       9.000 |        0.137 |        1.012 |        1.149
       8.000 |        0.138 |        1.503 |        1.641
       5.000 |        0.138 |        3.081 |        3.219
       8.000 |        0.149 |        1.002 |        1.152
       8.000 |        0.154 |        2.030 |        2.185
      11.000 |        0.147 |        1.151 |        1.298
       8.000 |        0.096 |        1.192 |        1.288
       4.000 |        0.148 |        3.037 |        3.185
       5.000 |        0.097 |        2.828 |        2.925
