   KeyLength |   QueueTimes | ServiceTimes | SojournTimes

       8.000 |        0.139 |        3.241 |        3.380
       9.000 |        0.147 |        1.901 |        2.048
      11.000 |        0.139 |        1.944 |        2.083
      11.000 |        0.145 |        1.284 |        1.429
       9.000 |        0.148 |        0.867 |        1.015
       7.000 |        0.144 |        5.403 |        5.547
       6.000 |        0.197 |        0.958 |        1.155
      12.000 |        0.153 |        3.155 |        3.309
       9.000 |        0.301 |        1.025 |        1.326
       6.000 |        0.151 |        1.628 |        1.778
       8.000 |        0.365 |        2.491 |        2.856
      12.000 |        0.145 |        0.877 |        1.022
      10.000 |        0.143 |        2.637 |        2.780
      10.000 |        0.146 |        1.898 |        2.044
       4.000 |        0.149 |        1.019 |        1.168
      11.000 |        0.184 |        1.136 |        1.321
       7.000 |        0.148 |        1.004 |        1.152
       9.000 |        0.144 |        1.200 |        1.344
       6.000 |        0.257 |        0.853 |        1.110
      11.000 |        0.158 |        1.561 |        1.719
       7.000 |        0.151 |        1.142 |        1.293
       8.000 |        0.145 |        3.495 |        3.640
       7.000 |        0.145 |        2.197 |        2.343
       5.000 |        0.139 |        0.775 |        0.913
       6.000 |        0.274 |        2.972 |        3.245
      10.000 |        0.288 |        0.920 |        1.208
       7.000 |        0.145 |        1.139 |        1.284
       6.000 |        0.151 |        0.928 |        1.079
       8.000 |        0.153 |        1.523 |        1.677
      12.000 |        0.142 |        2.322 |        2.464
       9.000 |        0.147 |        4.288 |        4.436
      11.000 |        0.151 |        2.786 |        2.937
       8.000 |        0.149 |        1.317 |        1.466
      11.000 |        0.145 |        0.850 |        0.995
      14.000 |        0.228 |        1.012 |        1.241
       7.000 |        0.102 |        0.892 |        0.994
      10.000 |        0.145 |        1.316 |        1.461
      12.000 |        0.145 |        0.779 |        0.924
      12.000 |        0.143 |        2.729 |        2.872
       9.000 |        0.151 |        2.404 |        2.555
      12.000 |        0.168 |        1.658 |        1.826
       7.000 |        0.149 |        1.062 |        1.210
      10.000 |        0.151 |        1.169 |        1.320
      10.000 |        0.201 |        1.719 |        1.920
      10.000 |        0.145 |        0.789 |        0.934
       9.000 |        0.144 |        1.203 |        1.347
      14.000 |        0.145 |        5.325 |        5.470
       7.000 |        0.159 |        1.236 |        1.395
       5.000 |        0.277 |        1.386 |        1.663
       4.000 |        0.148 |        1.466 |        1.614
       6.000 |        0.252 |        1.448 |        1.700
      10.000 |        0.183 |        3.956 |        4.138
      15.000 |        0.246 |        2.707 |        2.953
       9.000 |        0.143 |        1.109 |        1.253
       6.000 |        0.155 |        1.835 |        1.990
      10.000 |        0.298 |        6.062 |        6.361
       8.000 |        0.144 |        4.473 |        4.617
      10.000 |        0.150 |        3.807 |        3.957
      12.000 |        0.146 |        1.016 |        1.161
       7.000 |        0.148 |        1.414 |        1.562
      14.000 |        0.137 |        2.392 |        2.529
       8.000 |        0.142 |        1.025 |        1.168
      11.000 |        0.153 |        0.719 |        0.871
       7.000 |        0.144 |        5.157 |        5.301
       8.000 |        0.283 |        1.280 |        1.563
      10.000 |        0.137 |        4.942 |        5.079
      10.000 |        0.148 |        1.646 |        1.794
      11.000 |        0.271 |        2.933 |        3.205
      10.000 |        0.153 |        1.887 |        2.041
       6.000 |        0.149 |        2.988 |        3.137
       8.000 |        0.147 |        1.318 |        1.465
       5.000 |        0.156 |        1.063 |        1.219
       7.000 |        0.148 |        2.238 |        2.387
      13.000 |        0.144 |        2.657 |        2.800
       6.000 |        0.103 |        2.358 |        2.462
       5.000 |        0.141 |        1.853 |        1.994
       6.000 |        0.133 |        3.073 |        3.206
      10.000 |        0.147 |        1.390 |        1.537
      10.000 |        0.141 |        4.287 |        4.428
      11.000 |        0.160 |        2.890 |        3.050
       9.000 |        0.135 |        1.520 |        1.655
      11.000 |        0.139 |        2.050 |        2.189
       5.000 |        0.193 |        0.870 |        1.063
       5.000 |        0.100 |        1.491 |        1.591
      11.000 |        0.154 |        4.007 |        4.160
       7.000 |        0.146 |        1.100 |        1.247
       7.000 |        0.148 |        1.687 |        1.834
       9.000 |        0.145 |        1.555 |        1.700
       7.000 |        0.140 |        1.229 |        1.369
       7.000 |        0.201 |        0.933 |        1.134
       9.000 |        0.170 |        1.745 |        1.915
       4.000 |        0.146 |        1.205 |        1.351
       6.000 |        0.147 |        0.814 |        0.961
       7.000 |        0.149 |        2.274 |        2.423
      12.000 |        0.150 |        2.771 |        2.921
       8.000 |        0.149 |        0.895 |        1.044
       9.000 |        0.147 |        0.973 |        1.120
       9.000 |        0.147 |        0.895 |        1.042
      12.000 |        0.293 |        4.597 |        4.890
      10.000 |        0.147 |        1.165 |        1.313
       6.000 |        0.149 |        1.461 |        1.610
       8.000 |        0.147 |        2.336 |        2.483
       3.000 |        0.145 |        1.964 |        2.109
       9.000 |        0.176 |        1.210 |        1.387
       3.000 |        0.143 |        3.374 |        3.517
       7.000 |        0.173 |        4.154 |        4.327
       8.000 |        0.148 |        4.875 |        5.023
       8.000 |        0.148 |        2.039 |        2.186
      11.000 |        0.144 |        1.126 |        1.271
       8.000 |        0.145 |        1.241 |        1.386
      11.000 |        0.149 |        2.561 |        2.710
      11.000 |        0.146 |        2.310 |        2.456
       5.000 |        0.143 |        1.131 |        1.274
      12.000 |        0.327 |        0.667 |        0.995
       9.000 |        0.300 |        2.765 |        3.065
      11.000 |        0.146 |        1.656 |        1.802
       7.000 |        0.208 |        0.793 |        1.002
       9.000 |        0.317 |        3.692 |        4.009
       6.000 |        0.144 |        4.207 |        4.351
      14.000 |        0.146 |        3.797 |        3.943
      10.000 |        0.136 |        2.237 |        2.373
       7.000 |        0.094 |        1.187 |        1.281
       5.000 |        0.136 |        1.114 |        1.251
       9.000 |        0.138 |        1.063 |        1.201
       5.000 |        0.140 |        1.004 |        1.144
       7.000 |        0.145 |        4.047 |        4.192
       9.000 |        0.142 |        0.901 |        1.042
       8.000 |        0.138 |        1.507 |        1.644
       5.000 |        0.141 |        3.071 |        3.212
       8.000 |        0.128 |        0.551 |        0.678
       8.000 |        0.096 |        1.734 |        1.831
      11.000 |        0.145 |        1.168 |        1.313
       8.000 |        0.137 |        1.270 |        1.407
       4.000 |        0.104 |        3.079 |        3.183
       7.000 |        0.151 |        1.573 |        1.724
       5.000 |        0.184 |        2.850 |        3.034
       6.000 |        0.147 |        4.339 |        4.486
       6.000 |        0.101 |        5.887 |        5.989
      11.000 |        0.146 |        4.065 |        4.212
       5.000 |        0.145 |        0.867 |        1.012
       9.000 |        0.145 |        5.052 |        5.197
      12.000 |        0.146 |        5.098 |        5.243
      13.000 |        0.144 |        2.122 |        2.266
      14.000 |        0.148 |        1.098 |        1.246
       8.000 |        0.250 |        3.394 |        3.644
       9.000 |        0.154 |        2.690 |        2.844
      10.000 |        0.175 |        1.216 |        1.391
      10.000 |        0.155 |        0.867 |        1.022
       7.000 |        0.148 |        0.860 |        1.008
      12.000 |        0.165 |        1.216 |        1.381
      10.000 |        0.157 |        1.194 |        1.351
       8.000 |        0.146 |        6.660 |        6.806
      11.000 |        0.199 |        2.975 |        3.174
       8.000 |        0.226 |        2.126 |        2.352
