   KeyLength |   QueueTimes | ServiceTimes | SojournTimes

       9.000 |        0.147 |        1.939 |        2.086
      11.000 |        0.144 |        1.928 |        2.071
       8.000 |        0.095 |        5.927 |        6.022
      11.000 |        0.147 |        1.278 |        1.425
       9.000 |        0.148 |        0.802 |        0.950
       6.000 |        0.145 |        0.982 |        1.127
       7.000 |        0.145 |        6.564 |        6.710
      12.000 |        0.146 |        3.173 |        3.319
       9.000 |        0.287 |        1.038 |        1.325
       6.000 |        0.211 |        1.747 |        1.958
       8.000 |        0.390 |        2.519 |        2.910
      12.000 |        0.147 |        0.845 |        0.992
      10.000 |        0.146 |        3.438 |        3.584
       4.000 |        0.147 |        1.044 |        1.192
      10.000 |        0.147 |        3.258 |        3.404
      11.000 |        0.169 |        1.126 |        1.295
       7.000 |        0.152 |        0.912 |        1.064
       9.000 |        0.146 |        1.337 |        1.483
       6.000 |        0.147 |        1.105 |        1.252
      11.000 |        0.105 |        1.611 |        1.716
       7.000 |        0.148 |        1.135 |        1.283
       8.000 |        0.145 |        3.442 |        3.587
       7.000 |        0.145 |        2.191 |        2.336
       6.000 |        0.151 |        3.323 |        3.475
       5.000 |        0.150 |        1.158 |        1.308
      10.000 |        0.188 |        1.488 |        1.676
       7.000 |        0.145 |        1.172 |        1.317
       6.000 |        0.148 |        0.963 |        1.111
       8.000 |        0.144 |        1.516 |        1.660
      12.000 |        0.184 |        2.314 |        2.499
       9.000 |        0.152 |        4.242 |        4.394
      11.000 |        0.148 |        2.851 |        2.999
       8.000 |        0.148 |        1.331 |        1.479
      14.000 |        0.148 |        1.002 |        1.149
      11.000 |        0.217 |        1.079 |        1.297
       7.000 |        0.144 |        0.893 |        1.038
      10.000 |        0.143 |        1.305 |        1.449
      12.000 |        0.146 |        0.822 |        0.969
      12.000 |        0.146 |        2.667 |        2.814
       9.000 |        0.146 |        3.130 |        3.276
      12.000 |        0.144 |        1.601 |        1.745
       7.000 |        0.153 |        1.005 |        1.158
      10.000 |        0.148 |        1.102 |        1.250
      10.000 |        0.151 |        1.795 |        1.946
      10.000 |        0.171 |        0.802 |        0.973
       9.000 |        0.147 |        1.729 |        1.876
      14.000 |        0.148 |        6.446 |        6.594
       7.000 |        0.145 |        1.251 |        1.396
       5.000 |        0.221 |        1.420 |        1.641
       4.000 |        0.154 |        1.408 |        1.562
       6.000 |        0.136 |        1.492 |        1.628
      10.000 |        0.146 |        3.942 |        4.087
      15.000 |        0.174 |        2.694 |        2.868
       9.000 |        0.155 |        1.994 |        2.149
      10.000 |        0.148 |        6.587 |        6.735
      10.000 |        0.141 |        3.824 |        3.964
       6.000 |        0.143 |        3.536 |        3.679
       8.000 |        0.147 |        5.859 |        6.006
      12.000 |        0.143 |        1.006 |        1.149
       7.000 |        0.143 |        1.429 |        1.572
      14.000 |        0.145 |        2.329 |        2.475
       8.000 |        0.147 |        0.981 |        1.129
      11.000 |        0.148 |        1.064 |        1.212
       7.000 |        0.146 |        5.588 |        5.734
       8.000 |        0.294 |        1.738 |        2.032
      10.000 |        0.149 |        1.671 |        1.820
      10.000 |        0.139 |        6.640 |        6.779
      10.000 |        0.146 |        1.862 |        2.008
      11.000 |        0.145 |        5.971 |        6.116
       6.000 |        0.143 |        3.045 |        3.189
       8.000 |        0.145 |        1.810 |        1.955
       5.000 |        0.146 |        1.722 |        1.867
       6.000 |        0.147 |        2.342 |        2.489
       7.000 |        0.149 |        3.796 |        3.944
      13.000 |        0.146 |        4.513 |        4.659
       5.000 |        0.194 |        1.889 |        2.083
       6.000 |        0.147 |        3.063 |        3.210
      10.000 |        0.146 |        1.359 |        1.505
      10.000 |        0.147 |        4.340 |        4.488
      11.000 |        0.147 |        3.105 |        3.252
       9.000 |        0.145 |        1.917 |        2.061
       5.000 |        0.146 |        0.879 |        1.025
       5.000 |        0.147 |        1.496 |        1.643
      11.000 |        0.146 |        3.593 |        3.738
      11.000 |        0.265 |        3.995 |        4.260
       7.000 |        0.149 |        0.996 |        1.144
       7.000 |        0.148 |        1.696 |        1.845
       9.000 |        0.147 |        2.177 |        2.324
       7.000 |        0.149 |        1.214 |        1.363
       7.000 |        0.217 |        0.929 |        1.146
       9.000 |        0.172 |        1.699 |        1.871
       4.000 |        0.146 |        1.200 |        1.346
       6.000 |        0.151 |        0.840 |        0.991
       7.000 |        0.146 |        2.284 |        2.430
      12.000 |        0.148 |        2.753 |        2.902
       8.000 |        0.144 |        0.969 |        1.113
       9.000 |        0.149 |        0.883 |        1.033
      12.000 |        0.147 |        5.041 |        5.188
       9.000 |        0.150 |        1.354 |        1.504
      10.000 |        0.305 |        1.171 |        1.476
       6.000 |        0.149 |        1.447 |        1.596
       8.000 |        0.147 |        2.388 |        2.535
       3.000 |        0.147 |        2.408 |        2.555
       9.000 |        0.145 |        1.780 |        1.925
       3.000 |        0.147 |        4.896 |        5.043
       7.000 |        0.171 |        5.940 |        6.111
       8.000 |        0.147 |        5.019 |        5.166
       8.000 |        0.146 |        2.094 |        2.240
      11.000 |        0.145 |        1.126 |        1.270
       8.000 |        0.148 |        1.260 |        1.408
      11.000 |        0.148 |        2.297 |        2.446
      11.000 |        0.151 |        4.961 |        5.113
       5.000 |        0.147 |        1.158 |        1.304
       9.000 |        0.185 |        2.744 |        2.929
      12.000 |        0.138 |        1.326 |        1.464
      11.000 |        0.146 |        1.675 |        1.821
       7.000 |        0.141 |        0.867 |        1.007
       9.000 |        0.425 |        3.663 |        4.088
       6.000 |        0.145 |        4.192 |        4.337
      14.000 |        0.146 |        4.415 |        4.561
       7.000 |        0.139 |        1.186 |        1.325
      10.000 |        0.144 |        3.134 |        3.278
       5.000 |        0.141 |        1.049 |        1.189
       9.000 |        0.141 |        1.082 |        1.223
       5.000 |        0.139 |        1.015 |        1.155
       7.000 |        0.144 |        4.043 |        4.187
       9.000 |        0.092 |        0.959 |        1.051
       8.000 |        0.154 |        1.481 |        1.635
       5.000 |        0.139 |        3.083 |        3.222
       8.000 |        0.147 |        0.999 |        1.146
       8.000 |        0.150 |        2.069 |        2.218
      11.000 |        0.146 |        1.081 |        1.227
       8.000 |        0.137 |        1.255 |        1.393
       4.000 |        0.146 |        3.054 |        3.200
       7.000 |        0.144 |        1.603 |        1.747
       5.000 |        0.275 |        2.817 |        3.092
       6.000 |        0.148 |        4.335 |        4.483
       6.000 |        0.142 |        5.900 |        6.043
      11.000 |        0.146 |        4.109 |        4.255
       5.000 |        0.147 |        0.865 |        1.012
       9.000 |        0.148 |        5.027 |        5.175
      12.000 |        0.146 |        5.124 |        5.270
      14.000 |        0.146 |        1.086 |        1.232
      13.000 |        0.157 |        3.674 |        3.831
       8.000 |        0.150 |        5.238 |        5.388
       9.000 |        0.146 |        4.915 |        5.060
      10.000 |        0.144 |        1.311 |        1.455
      10.000 |        0.148 |        0.941 |        1.088
       7.000 |        0.147 |        1.191 |        1.338
      10.000 |        0.198 |        1.177 |        1.375
      12.000 |        0.264 |        1.683 |        1.947
       8.000 |        0.145 |        7.051 |        7.196
      11.000 |        0.146 |        3.524 |        3.669
       8.000 |        0.148 |        2.804 |        2.952
       8.000 |        0.147 |        2.052 |        2.199
      11.000 |        0.150 |        0.964 |        1.113
       7.000 |        0.146 |        1.369 |        1.516
      12.000 |        0.166 |        1.269 |        1.435
       6.000 |        0.144 |        1.050 |        1.194
       9.000 |        0.148 |        1.419 |        1.568
       7.000 |        0.136 |        1.269 |        1.404
      10.000 |        0.148 |        3.250 |        3.398
       5.000 |        0.096 |        1.492 |        1.588
       8.000 |        0.132 |        1.189 |        1.321
       4.000 |        0.148 |        3.507 |        3.655
       7.000 |        0.137 |        3.539 |        3.676
       8.000 |        0.137 |        1.560 |        1.697
       8.000 |        0.138 |        2.846 |        2.984
       9.000 |        0.304 |        5.820 |        6.125
       6.000 |        0.369 |        0.969 |        1.337
       9.000 |        0.138 |        2.018 |        2.156
      10.000 |        0.138 |        5.584 |        5.722
       7.000 |        0.181 |        1.358 |        1.538
       9.000 |        0.144 |        2.901 |        3.045
      10.000 |        0.150 |        0.919 |        1.069
      11.000 |        0.164 |        5.686 |        5.850
       8.000 |        0.149 |        3.502 |        3.651
       9.000 |        0.146 |        0.643 |        0.789
       8.000 |        0.147 |        1.339 |        1.485
       7.000 |        0.143 |        1.906 |        2.049
       8.000 |        0.151 |        1.450 |        1.600
       5.000 |        0.146 |        0.983 |        1.128
       6.000 |        0.148 |        1.446 |        1.595
      11.000 |        0.146 |        1.108 |        1.254
      10.000 |        0.148 |        2.387 |        2.535
      11.000 |        0.148 |        0.864 |        1.011
       4.000 |        0.153 |        0.973 |        1.125
       7.000 |        0.165 |        1.818 |        1.983
