  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       8.000 |        0.085 |        2.964 |        3.050
      11.000 |        0.087 |        1.168 |        1.254
       9.000 |        0.363 |        1.737 |        2.100
       7.000 |        0.125 |        3.477 |        3.602
      11.000 |        0.086 |        0.790 |        0.875
       9.000 |        0.086 |        0.573 |        0.660
       6.000 |        0.125 |        0.720 |        0.845
      12.000 |        0.147 |        2.882 |        3.029
       9.000 |        0.099 |        1.014 |        1.112
       8.000 |        0.221 |        2.283 |        2.504
       6.000 |        0.430 |        1.486 |        1.916
      12.000 |        0.085 |        0.509 |        0.593
      10.000 |        0.144 |        2.888 |        3.032
      10.000 |        0.097 |        2.293 |        2.390
       4.000 |        0.138 |        1.010 |        1.148
      11.000 |        0.095 |        0.810 |        0.905
       7.000 |        0.158 |        0.820 |        0.978
       9.000 |        0.148 |        1.344 |        1.492
       6.000 |        0.181 |        1.112 |        1.293
      11.000 |        0.158 |        1.595 |        1.753
       7.000 |        0.142 |        0.969 |        1.111
       8.000 |        0.147 |        3.160 |        3.307
       7.000 |        0.143 |        1.655 |        1.798
       6.000 |        0.085 |        1.576 |        1.662
       5.000 |        0.165 |        1.000 |        1.165
      10.000 |        0.164 |        1.480 |        1.644
       6.000 |        0.131 |        0.752 |        0.883
       7.000 |        0.140 |        1.133 |        1.273
       8.000 |        0.147 |        1.520 |        1.667
       9.000 |        0.091 |        2.536 |        2.626
      12.000 |        0.228 |        2.043 |        2.271
      11.000 |        0.151 |        2.334 |        2.485
       8.000 |        0.147 |        1.313 |        1.460
      14.000 |        0.145 |        0.881 |        1.026
      11.000 |        0.145 |        0.937 |        1.082
       7.000 |        0.130 |        0.700 |        0.831
      10.000 |        0.136 |        1.129 |        1.265
      12.000 |        0.148 |        0.777 |        0.924
      12.000 |        0.106 |        1.817 |        1.924
       9.000 |        0.176 |        2.433 |        2.609
      12.000 |        0.170 |        1.614 |        1.784
       7.000 |        0.147 |        0.987 |        1.134
      14.000 |        0.102 |        3.796 |        3.898
      10.000 |        0.159 |        1.136 |        1.295
      10.000 |        0.210 |        1.682 |        1.892
      10.000 |        0.212 |        0.690 |        0.902
       9.000 |        0.143 |        1.405 |        1.548
       5.000 |        0.144 |        1.100 |        1.244
       7.000 |        0.191 |        1.147 |        1.338
      10.000 |        0.138 |        3.141 |        3.279
       6.000 |        0.240 |        0.939 |        1.179
       4.000 |        0.224 |        1.153 |        1.377
      15.000 |        0.273 |        2.034 |        2.308
      10.000 |        0.236 |        4.102 |        4.338
       9.000 |        0.097 |        1.956 |        2.053
       8.000 |        0.095 |        3.817 |        3.912
      10.000 |        0.134 |        2.895 |        3.028
       6.000 |        0.155 |        3.182 |        3.337
      12.000 |        0.095 |        1.014 |        1.109
       7.000 |        0.092 |        1.404 |        1.497
      14.000 |        0.110 |        1.520 |        1.630
       7.000 |        0.095 |        3.709 |        3.804
       8.000 |        0.247 |        0.848 |        1.095
      10.000 |        0.084 |        2.986 |        3.069
      11.000 |        0.138 |        0.954 |        1.092
       8.000 |        0.152 |        1.508 |        1.660
      10.000 |        0.086 |        0.939 |        1.025
      11.000 |        0.086 |        2.935 |        3.021
      10.000 |        0.148 |        1.373 |        1.521
       6.000 |        0.146 |        2.753 |        2.899
       5.000 |        0.085 |        1.003 |        1.089
       8.000 |        0.095 |        1.737 |        1.832
       7.000 |        0.089 |        2.406 |        2.496
       6.000 |        0.160 |        1.705 |        1.865
      13.000 |        0.145 |        3.390 |        3.536
       5.000 |        0.088 |        1.110 |        1.197
       6.000 |        0.096 |        2.487 |        2.583
      10.000 |        0.088 |        0.915 |        1.003
      10.000 |        0.131 |        3.260 |        3.392
      11.000 |        0.092 |        2.346 |        2.438
       9.000 |        0.096 |        1.635 |        1.731
      11.000 |        0.119 |        1.767 |        1.886
       5.000 |        0.126 |        0.622 |        0.748
       5.000 |        0.096 |        1.507 |        1.603
      11.000 |        0.145 |        3.685 |        3.830
       7.000 |        0.140 |        0.879 |        1.019
       7.000 |        0.174 |        1.295 |        1.469
       9.000 |        0.093 |        1.871 |        1.964
       7.000 |        0.091 |        0.837 |        0.928
       7.000 |        0.088 |        0.665 |        0.753
       9.000 |        0.094 |        1.526 |        1.619
       4.000 |        0.148 |        1.201 |        1.349
       6.000 |        0.095 |        0.633 |        0.729
       7.000 |        0.149 |        1.918 |        2.067
      12.000 |        0.146 |        2.323 |        2.469
       8.000 |        0.146 |        0.857 |        1.003
      12.000 |        0.146 |        3.596 |        3.742
       9.000 |        0.147 |        0.899 |        1.046
       9.000 |        0.145 |        1.373 |        1.518
      10.000 |        0.125 |        1.175 |        1.300
       6.000 |        0.144 |        1.173 |        1.317
       8.000 |        0.145 |        2.059 |        2.204
       3.000 |        0.145 |        1.867 |        2.012
       9.000 |        0.151 |        1.652 |        1.803
       3.000 |        0.149 |        3.460 |        3.609
       7.000 |        0.149 |        4.389 |        4.538
       8.000 |        0.145 |        3.672 |        3.817
       8.000 |        0.147 |        1.897 |        2.045
      11.000 |        0.139 |        1.095 |        1.234
       8.000 |        0.135 |        1.105 |        1.241
      11.000 |        0.143 |        3.480 |        3.623
      11.000 |        0.339 |        1.816 |        2.156
       9.000 |        0.093 |        2.322 |        2.415
       5.000 |        0.103 |        1.060 |        1.163
       9.000 |        0.147 |        2.747 |        2.895
      11.000 |        0.240 |        0.916 |        1.156
      12.000 |        0.217 |        0.974 |        1.191
       6.000 |        0.320 |        3.035 |        3.354
