  QueueTimes | ServiceTimes | SojournTimes

       3.854 |        1.200 |        5.053
       1.404 |        0.654 |        2.058
       1.175 |        1.170 |        2.345
       0.190 |        1.903 |        2.093
       0.193 |        0.983 |        1.176
       0.804 |        0.721 |        1.526
       0.168 |        0.542 |        0.710
       0.184 |        0.922 |        1.105
       0.200 |        1.974 |        2.174
       1.789 |        1.900 |        3.690
       3.656 |        1.264 |        4.920
       0.865 |        1.186 |        2.051
       0.140 |        1.027 |        1.166
       0.187 |        1.243 |        1.430
       0.200 |        1.406 |        1.606
       0.185 |        1.296 |        1.481
       0.133 |        0.898 |        1.031
       0.183 |        1.763 |        1.946
       0.194 |        1.467 |        1.661
       0.650 |        0.850 |        1.500
       1.421 |        0.822 |        2.243
       0.188 |        2.989 |        3.176
       1.902 |        2.661 |        4.563
       4.132 |        2.619 |        6.751
       6.696 |        0.758 |        7.453
       7.015 |        1.986 |        9.001
       1.692 |        0.565 |        2.257
       0.181 |        0.678 |        0.860
       0.188 |        0.836 |        1.024
       0.194 |        0.559 |        0.753
       0.189 |        1.978 |        2.167
       2.042 |        1.601 |        3.644
       1.118 |        0.773 |        1.891
       1.304 |        1.660 |        2.964
       0.150 |        0.904 |        1.054
       0.132 |        1.728 |        1.860
       1.579 |        0.701 |        2.280
       0.183 |        3.519 |        3.703
       1.788 |        1.765 |        3.553
       0.279 |        2.148 |        2.427
       0.466 |        4.548 |        5.014
       1.984 |        0.820 |        2.804
       0.183 |        2.256 |        2.439
       0.192 |        0.827 |        1.020
       0.186 |        0.798 |        0.984
       0.502 |        1.281 |        1.783
       0.917 |        0.955 |        1.872
       0.185 |        1.933 |        2.118
       0.458 |        0.271 |        0.729
       0.270 |        1.182 |        1.453
       0.814 |        1.445 |        2.260
       0.408 |        4.474 |        4.882
       3.898 |        0.724 |        4.622
       1.819 |        0.712 |        2.532
       0.301 |        1.166 |        1.467
       0.184 |        4.031 |        4.216
       4.114 |        2.721 |        6.834
       6.505 |        2.603 |        9.108
