  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       7.000 |        0.056 |        1.216 |        1.271
       8.000 |        0.032 |        0.341 |        0.374
       9.000 |        0.061 |        0.581 |        0.642
      10.000 |        0.107 |        0.786 |        0.893
       6.000 |        0.110 |        0.384 |        0.494
       9.000 |        0.116 |        0.570 |        0.686
      10.000 |        0.101 |        0.303 |        0.404
       7.000 |        0.054 |        0.442 |        0.495
       8.000 |        0.158 |        0.609 |        0.767
       8.000 |        0.046 |        0.864 |        0.909
       8.000 |        0.032 |        0.921 |        0.953
       6.000 |        0.053 |        0.608 |        0.660
      11.000 |        0.032 |        0.437 |        0.468
       7.000 |        0.053 |        0.547 |        0.600
       8.000 |        0.126 |        0.658 |        0.783
      10.000 |        0.124 |        0.591 |        0.715
       4.000 |        0.102 |        0.428 |        0.530
       5.000 |        0.057 |        0.736 |        0.793
      10.000 |        0.071 |        0.426 |        0.497
       6.000 |        0.042 |        0.700 |        0.742
      10.000 |        0.093 |        0.605 |        0.698
      10.000 |        0.082 |        0.595 |        0.677
      12.000 |        0.042 |        1.118 |        1.161
      10.000 |        0.104 |        1.549 |        1.653
      12.000 |        0.071 |        1.445 |        1.516
       6.000 |        0.057 |        1.496 |        1.553
       6.000 |        0.092 |        0.330 |        0.422
       6.000 |        0.041 |        0.338 |        0.379
      10.000 |        0.051 |        0.394 |        0.445
      13.000 |        0.191 |        0.290 |        0.481
      12.000 |        0.050 |        0.778 |        0.828
       6.000 |        0.041 |        0.513 |        0.553
       4.000 |        0.138 |        0.974 |        1.112
       9.000 |        0.053 |        0.727 |        0.780
       7.000 |        0.035 |        0.486 |        0.521
      11.000 |        0.078 |        0.374 |        0.451
       6.000 |        0.132 |        0.803 |        0.935
       9.000 |        0.065 |        0.792 |        0.857
       6.000 |        0.136 |        1.460 |        1.596
       4.000 |        0.115 |        0.965 |        1.080
       7.000 |        0.155 |        0.421 |        0.576
       8.000 |        0.150 |        1.871 |        2.021
       8.000 |        0.085 |        0.938 |        1.024
      10.000 |        0.097 |        0.480 |        0.577
       5.000 |        0.045 |        0.468 |        0.513
      12.000 |        0.049 |        0.575 |        0.625
      10.000 |        0.039 |        0.558 |        0.597
      14.000 |        0.087 |        0.200 |        0.287
       6.000 |        0.054 |        0.870 |        0.923
       7.000 |        0.042 |        0.654 |        0.697
       6.000 |        0.040 |        0.700 |        0.740
       7.000 |        0.037 |        0.385 |        0.422
      12.000 |        0.037 |        0.320 |        0.357
      14.000 |        0.042 |        0.548 |        0.590
       8.000 |        0.149 |        1.848 |        1.996
       8.000 |        0.045 |        1.176 |        1.220
       6.000 |        0.114 |        1.176 |        1.290
      10.000 |        0.038 |        0.456 |        0.494
       8.000 |        0.043 |        0.531 |        0.574
       7.000 |        0.126 |        1.689 |        1.814
       7.000 |        0.026 |        0.279 |        0.306
       9.000 |        0.103 |        1.456 |        1.558
       8.000 |        0.036 |        1.700 |        1.736
       7.000 |        0.070 |        0.455 |        0.525
      10.000 |        0.115 |        0.968 |        1.084
      12.000 |        0.103 |        0.696 |        0.799
       9.000 |        0.037 |        0.686 |        0.723
      12.000 |        0.048 |        0.632 |        0.680
      10.000 |        0.115 |        0.365 |        0.480
      10.000 |        0.089 |        0.461 |        0.550
      10.000 |        0.064 |        0.392 |        0.456
       6.000 |        0.060 |        0.675 |        0.735
       5.000 |        0.211 |        1.565 |        1.775
       4.000 |        0.040 |        0.393 |        0.433
       7.000 |        0.075 |        1.068 |        1.143
      15.000 |        0.030 |        0.522 |        0.552
      10.000 |        0.122 |        0.391 |        0.514
      12.000 |        0.176 |        0.742 |        0.918
       7.000 |        0.125 |        0.481 |        0.607
       9.000 |        0.051 |        0.385 |        0.436
      11.000 |        0.089 |        0.741 |        0.829
       4.000 |        0.127 |        0.695 |        0.822
       8.000 |        0.147 |        1.274 |        1.422
      10.000 |        0.075 |        0.471 |        0.546
       8.000 |        0.132 |        1.102 |        1.234
       7.000 |        0.035 |        0.612 |        0.646
       7.000 |        0.046 |        0.803 |        0.849
       8.000 |        0.029 |        0.477 |        0.506
       9.000 |        0.028 |        0.431 |        0.459
      12.000 |        0.038 |        1.744 |        1.781
      11.000 |        0.105 |        1.910 |        2.015
       9.000 |        0.068 |        0.336 |        0.404
       5.000 |        0.100 |        0.302 |        0.402
       8.000 |        0.080 |        0.801 |        0.881
       9.000 |        0.132 |        0.368 |        0.500
       9.000 |        0.113 |        0.392 |        0.505
      12.000 |        0.066 |        0.340 |        0.406
       7.000 |        0.109 |        0.648 |        0.757
       8.000 |        0.056 |        0.840 |        0.897
      11.000 |        0.054 |        1.175 |        1.229
       9.000 |        0.154 |        0.678 |        0.832
      10.000 |        0.126 |        0.399 |        0.525
      12.000 |        0.077 |        0.522 |        0.599
       9.000 |        0.059 |        0.807 |        0.866
       7.000 |        0.204 |        1.710 |        1.914
       9.000 |        0.121 |        0.425 |        0.547
       6.000 |        0.073 |        0.540 |        0.613
       8.000 |        0.040 |        0.773 |        0.813
       5.000 |        0.136 |        0.409 |        0.545
       5.000 |        0.032 |        0.375 |        0.407
      12.000 |        0.093 |        0.663 |        0.756
       6.000 |        0.055 |        0.395 |        0.450
       9.000 |        0.094 |        0.466 |        0.561
       7.000 |        0.043 |        0.530 |        0.573
       7.000 |        0.037 |        0.584 |        0.621
      14.000 |        0.038 |        0.951 |        0.990
       8.000 |        0.064 |        0.760 |        0.824
      12.000 |        0.035 |        0.596 |        0.631
      11.000 |        0.071 |        1.108 |        1.179
      13.000 |        0.261 |        0.964 |        1.225
      12.000 |        0.120 |        0.522 |        0.642
      16.000 |        0.134 |        0.510 |        0.644
       6.000 |        0.062 |        0.482 |        0.544
      11.000 |        0.118 |        0.733 |        0.852
      10.000 |        0.066 |        0.409 |        0.475
      10.000 |        0.078 |        1.220 |        1.297
       5.000 |        0.034 |        1.798 |        1.833
       8.000 |        0.057 |        1.801 |        1.859
      12.000 |        0.174 |        0.261 |        0.435
       7.000 |        0.096 |        0.355 |        0.451
