  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       4.000 |      633.621 |        0.708 |      634.329
       9.000 |      633.201 |        0.551 |      633.752
       8.000 |      633.752 |        0.445 |      634.197
       9.000 |      631.769 |        0.446 |      632.215
      10.000 |      631.765 |        0.931 |      632.696
       6.000 |      631.902 |        0.398 |      632.300
      10.000 |      631.757 |        0.363 |      632.120
       7.000 |      631.504 |        0.445 |      631.950
       8.000 |      630.849 |        0.860 |      631.708
       6.000 |      630.214 |        0.768 |      630.983
       8.000 |      631.113 |        0.677 |      631.790
       8.000 |      630.998 |        0.950 |      631.947
      11.000 |      630.512 |        0.746 |      631.258
       7.000 |      630.214 |        0.705 |      630.919
       8.000 |      629.877 |        0.669 |      630.547
      10.000 |      629.780 |        0.629 |      630.409
       4.000 |      630.212 |        0.613 |      630.825
       6.000 |      630.126 |        0.800 |      630.927
      10.000 |      630.794 |        0.615 |      631.409
      10.000 |      631.135 |        0.374 |      631.509
       6.000 |      630.268 |        0.298 |      630.565
       6.000 |      630.392 |        0.303 |      630.695
      10.000 |      632.631 |        1.348 |      633.979
      12.000 |      633.259 |        1.332 |      634.590
       6.000 |      633.914 |        1.298 |      635.212
      12.000 |      636.644 |        1.232 |      637.876
      10.000 |      643.932 |        0.665 |      644.597
       6.000 |      645.933 |        0.380 |      646.312
      13.000 |      646.935 |        0.742 |      647.678
       4.000 |      658.586 |        0.842 |      659.428
      12.000 |      658.914 |        0.791 |      659.706
       9.000 |      660.885 |        0.717 |      661.602
       7.000 |      661.713 |        0.459 |      662.171
      11.000 |      662.084 |        0.375 |      662.460
       9.000 |      663.764 |        0.777 |      664.541
       7.000 |      662.798 |        0.413 |      663.211
       4.000 |      663.082 |        0.942 |      664.024
      10.000 |      661.781 |        0.436 |      662.218
       6.000 |      663.384 |        1.485 |      664.869
       5.000 |      661.506 |        0.524 |      662.030
       8.000 |      661.731 |        0.982 |      662.713
      12.000 |      661.302 |        0.650 |      661.953
      10.000 |      661.188 |        0.622 |      661.810
      14.000 |      660.677 |        0.383 |      661.061
       6.000 |      660.520 |        0.812 |      661.332
       5.000 |      670.592 |        0.821 |      671.412
       7.000 |      662.427 |        0.629 |      663.056
       6.000 |      667.554 |        0.770 |      668.325
       6.000 |      663.400 |        0.716 |      664.116
      12.000 |      665.857 |        0.479 |      666.336
       7.000 |      668.879 |        0.514 |      669.393
      14.000 |      668.060 |        0.528 |      668.587
      10.000 |      669.100 |        0.374 |      669.473
       8.000 |      673.382 |        1.850 |      675.233
       7.000 |      674.058 |        0.275 |      674.333
       8.000 |      676.344 |        1.292 |      677.636
       8.000 |      679.009 |        0.702 |      679.711
       6.000 |      679.424 |        1.250 |      680.674
       7.000 |      677.973 |        0.500 |      678.473
       7.000 |      678.920 |        1.841 |      680.762
       9.000 |      678.406 |        1.496 |      679.903
      12.000 |      677.363 |        0.724 |      678.087
       8.000 |      678.018 |        1.903 |      679.921
       9.000 |      677.166 |        0.783 |      677.948
      12.000 |      677.062 |        0.735 |      677.798
       8.000 |      683.506 |        2.103 |      685.609
      10.000 |      675.618 |        0.946 |      676.564
      10.000 |      675.618 |        0.752 |      676.370
       6.000 |      675.388 |        1.029 |      676.417
       4.000 |      674.424 |        0.706 |      675.131
       5.000 |      675.437 |        1.726 |      677.164
      15.000 |      673.521 |        0.773 |      674.294
      10.000 |      673.358 |        0.748 |      674.107
      12.000 |      672.751 |        0.707 |      673.457
       7.000 |      674.118 |        1.407 |      675.526
       7.000 |      672.282 |        0.762 |      673.044
       9.000 |      672.053 |        0.332 |      672.385
      11.000 |      671.915 |        0.749 |      672.663
       4.000 |      671.787 |        0.718 |      672.505
       8.000 |      671.837 |        1.220 |      673.057
      10.000 |      692.292 |        0.392 |      692.684
      10.000 |      671.287 |        0.571 |      671.858
      10.000 |      677.593 |        1.300 |      678.893
       8.000 |      672.111 |        1.002 |      673.113
       7.000 |      671.767 |        0.818 |      672.585
      10.000 |      676.613 |        0.984 |      677.597
