Run , Difference
<<<<<<< HEAD
1 , 1190983524
2 , 805809339
3 , 1133651578
4 , 819361977
5 , 800492457
8 , 808136542
9 , 1106574621
10 , 1140210460
11 , 780471696
12 , 1145521481
13 , 847024626
14 , 1148930530
15 , 785846133
16 , 812936823
18 , 1142939395
19 , 809594363
20 , 1149813218
21 , 1142509221
22 , 932138360
23 , 1056760783
24 , 829482313
25 , 1148501149
26 , 3527571353
29 , 1137112568
=======
1 , 847426420
2 , 787555723
3 , 771284402
4 , 777840538
5 , 776352687
6 , 775291411
7 , 776280362
8 , 775847013
9 , 777596459
10 , 764958552
11 , 777525475
12 , 772303565
13 , 784980168
14 , 772731604
15 , 774636139
16 , 776273282
17 , 778531881
18 , 848041591
19 , 776007230
20 , 776060940
21 , 775899442
22 , 775555388
23 , 791050221
24 , 776059964
25 , 776675624
26 , 781453688
27 , 790985768
28 , 784065742
29 , 777401331
30 , 776049099
>>>>>>> 19abdaf68cf2b8ebe9048823865311370d7cd7f9
