<<<<<<< HEAD
Run , Difference
1 , 841426679
2 , 652097147
3 , 689099554
4 , 843245155
5 , 639457104
6 , 644281615
7 , 637632340
8 , 842613504
9 , 782711925
10 , 638275649
12 , 832356695
13 , 645990900
14 , 695527211
15 , 844156591
16 , 648892137
17 , 849039940
18 , 640954231
19 , 848342799
21 , 856348088
22 , 641408270
23 , 846056855
24 , 638508009
25 , 848779627
26 , 641416266
27 , 838515005
28 , 786586731
29 , 644163573
=======
Run, Difference
1 , 841536481
2 , 784080696
3 , 785322819
4 , 796920933
5 , 790179740
6 , 791090505
7 , 787515806
8 , 791163136
9 , 789179620
10 , 789887504
11 , 792853073
12 , 793345015
13 , 795883644
14 , 790773428
15 , 794605205
16 , 792785202
17 , 807971687
18 , 809036931
19 , 794091106
20 , 800893580
21 , 796390539
22 , 791699633
23 , 797001317
24 , 798030062
25 , 797651766
26 , 795998756
27 , 804635757
28 , 795952796
29 , 793837873
30 , 796669713
>>>>>>> 19abdaf68cf2b8ebe9048823865311370d7cd7f9
