  Key Length |   QueueTimes | ServiceTimes | SojournTimes

<<<<<<< HEAD
       4.000 |        0.096 |        0.962 |        1.058
       8.000 |        0.034 |        0.462 |        0.496
       9.000 |        0.042 |        0.697 |        0.738
      10.000 |        0.100 |        1.180 |        1.280
       6.000 |        0.056 |        0.447 |        0.503
       9.000 |        0.174 |        0.672 |        0.846
      10.000 |        0.038 |        0.380 |        0.418
       7.000 |        0.155 |        0.685 |        0.840
       8.000 |        0.089 |        0.750 |        0.839
       8.000 |        0.043 |        1.104 |        1.147
       8.000 |        0.032 |        1.148 |        1.180
       6.000 |        0.073 |        0.725 |        0.798
      11.000 |        0.103 |        0.637 |        0.741
       7.000 |        0.044 |        0.718 |        0.762
       8.000 |        0.029 |        0.774 |        0.803
      10.000 |        0.033 |        0.739 |        0.772
       4.000 |        0.037 |        0.570 |        0.607
       5.000 |        0.097 |        0.960 |        1.057
      10.000 |        0.030 |        0.509 |        0.539
       6.000 |        0.044 |        0.958 |        1.002
      10.000 |        0.082 |        0.747 |        0.829
      10.000 |        0.065 |        0.473 |        0.538
      10.000 |        0.037 |        1.598 |        1.635
      12.000 |        0.030 |        1.102 |        1.132
      12.000 |        0.043 |        1.544 |        1.587
       6.000 |        0.025 |        1.599 |        1.624
       6.000 |        0.099 |        0.494 |        0.593
       6.000 |        0.097 |        0.474 |        0.572
      10.000 |        0.033 |        0.484 |        0.517
      13.000 |        0.156 |        0.405 |        0.561
      12.000 |        0.122 |        0.927 |        1.049
       4.000 |        0.046 |        1.199 |        1.245
       6.000 |        0.041 |        0.577 |        0.618
       9.000 |        0.034 |        0.954 |        0.988
       7.000 |        0.035 |        0.596 |        0.630
      11.000 |        0.041 |        0.462 |        0.503
       6.000 |        0.029 |        1.001 |        1.030
       9.000 |        0.085 |        0.978 |        1.064
       6.000 |        0.073 |        1.864 |        1.937
       4.000 |        0.035 |        1.202 |        1.236
       7.000 |        0.034 |        0.526 |        0.560
       8.000 |        0.029 |        2.331 |        2.360
       8.000 |        0.096 |        1.242 |        1.338
      10.000 |        0.076 |        0.539 |        0.615
       5.000 |        0.040 |        0.505 |        0.545
      12.000 |        0.032 |        0.756 |        0.788
      10.000 |        0.028 |        0.659 |        0.687
      14.000 |        0.040 |        0.252 |        0.291
       6.000 |        0.035 |        1.072 |        1.107
       7.000 |        0.150 |        0.699 |        0.850
       6.000 |        0.036 |        0.761 |        0.797
       7.000 |        0.035 |        0.489 |        0.524
      12.000 |        0.033 |        0.468 |        0.501
       8.000 |        0.030 |        2.318 |        2.348
      14.000 |        0.036 |        0.727 |        0.763
       6.000 |        0.061 |        1.265 |        1.326
       8.000 |        0.274 |        1.507 |        1.781
       7.000 |        0.100 |        2.174 |        2.274
      10.000 |        0.048 |        0.608 |        0.656
       8.000 |        0.039 |        0.704 |        0.742
       7.000 |        0.033 |        0.421 |        0.453
       9.000 |        0.109 |        1.905 |        2.014
       8.000 |        0.066 |        2.161 |        2.227
       7.000 |        0.030 |        0.540 |        0.570
      10.000 |        0.140 |        1.242 |        1.381
      12.000 |        0.045 |        0.786 |        0.831
       9.000 |        0.030 |        0.682 |        0.712
      12.000 |        0.033 |        0.638 |        0.671
      10.000 |        0.188 |        0.468 |        0.656
      10.000 |        0.094 |        0.519 |        0.613
      10.000 |        0.030 |        0.451 |        0.481
       5.000 |        0.094 |        1.954 |        2.048
       6.000 |        0.049 |        0.831 |        0.880
       4.000 |        0.044 |        0.510 |        0.554
       7.000 |        0.049 |        1.614 |        1.663
      15.000 |        0.099 |        0.786 |        0.885
      10.000 |        0.035 |        0.679 |        0.714
      12.000 |        0.269 |        0.745 |        1.013
       7.000 |        0.055 |        0.536 |        0.590
      11.000 |        0.033 |        0.873 |        0.906
       9.000 |        0.034 |        0.541 |        0.575
       8.000 |        0.066 |        1.805 |        1.872
       4.000 |        0.041 |        1.063 |        1.104
       8.000 |        0.040 |        1.256 |        1.297
      10.000 |        0.094 |        0.614 |        0.707
       7.000 |        0.089 |        0.873 |        0.962
       7.000 |        0.177 |        0.908 |        1.084
       8.000 |        0.039 |        0.515 |        0.554
       9.000 |        0.037 |        0.462 |        0.499
      12.000 |        0.046 |        2.210 |        2.256
      11.000 |        0.038 |        2.378 |        2.416
       9.000 |        0.104 |        0.642 |        0.746
       5.000 |        0.046 |        0.445 |        0.492
       8.000 |        0.117 |        1.150 |        1.267
       9.000 |        0.065 |        0.475 |        0.541
       9.000 |        0.038 |        0.493 |        0.531
       7.000 |        0.075 |        0.631 |        0.705
       8.000 |        0.036 |        0.852 |        0.889
      12.000 |        0.033 |        0.528 |        0.561
      11.000 |        0.054 |        1.516 |        1.570
       9.000 |        0.099 |        1.097 |        1.196
       7.000 |        0.138 |        1.624 |        1.762
      10.000 |        0.035 |        0.481 |        0.516
      12.000 |        0.038 |        0.642 |        0.680
       9.000 |        0.074 |        1.104 |        1.179
       9.000 |        0.144 |        0.557 |        0.701
       6.000 |        0.037 |        0.691 |        0.728
       8.000 |        0.041 |        1.036 |        1.077
       5.000 |        0.120 |        0.718 |        0.838
       5.000 |        0.037 |        0.506 |        0.543
      12.000 |        0.069 |        0.939 |        1.009
       6.000 |        0.035 |        0.490 |        0.525
       9.000 |        0.043 |        0.615 |        0.658
       7.000 |        0.060 |        0.662 |        0.722
       7.000 |        0.030 |        0.675 |        0.705
      14.000 |        0.043 |        1.143 |        1.186
       8.000 |        0.048 |        0.749 |        0.797
      11.000 |        0.034 |        1.425 |        1.460
      12.000 |        0.039 |        0.820 |        0.859
      13.000 |        0.143 |        1.247 |        1.390
      16.000 |        0.192 |        0.481 |        0.673
      12.000 |        0.136 |        0.824 |        0.960
      11.000 |        0.063 |        0.864 |        0.927
       6.000 |        0.086 |        0.811 |        0.897
      10.000 |        0.034 |        1.574 |        1.608
      10.000 |        0.036 |        0.558 |        0.595
       5.000 |        0.073 |        2.231 |        2.304
       8.000 |        0.035 |        2.372 |        2.408
      12.000 |        0.091 |        0.483 |        0.575
       7.000 |        0.040 |        0.467 |        0.507
       8.000 |        0.046 |        1.369 |        1.414
      14.000 |        0.037 |        2.153 |        2.191
       7.000 |        0.141 |        0.508 |        0.649
       6.000 |        0.055 |        0.473 |        0.527
       7.000 |        0.040 |        0.544 |        0.584
       8.000 |        0.037 |        2.022 |        2.059
      11.000 |        0.038 |        0.795 |        0.834
       5.000 |        0.038 |        1.621 |        1.659
      10.000 |        0.043 |        1.254 |        1.297
       6.000 |        0.048 |        1.648 |        1.695
       9.000 |        0.066 |        0.833 |        0.899
       8.000 |        0.134 |        0.515 |        0.649
       6.000 |        0.049 |        0.631 |        0.680
       6.000 |        0.043 |        1.239 |        1.283
      10.000 |        0.032 |        1.277 |        1.309
       8.000 |        0.035 |        1.098 |        1.133
       8.000 |        0.086 |        0.551 |        0.637
       6.000 |        0.037 |        0.559 |        0.596
      11.000 |        0.034 |        1.641 |        1.675
       7.000 |        0.032 |        1.650 |        1.682
      10.000 |        0.040 |        0.998 |        1.038
       6.000 |        0.098 |        1.534 |        1.633
       8.000 |        0.080 |        0.427 |        0.506
       9.000 |        0.051 |        0.546 |        0.597
       7.000 |        0.131 |        0.430 |        0.561
      12.000 |        0.079 |        0.920 |        0.999
