  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       4.000 |       15.181 |        1.205 |       16.385
       7.000 |       14.862 |        2.318 |       17.180
      10.000 |       10.615 |        0.469 |       11.083
       6.000 |       10.929 |        0.760 |       11.689
       9.000 |       10.723 |        1.095 |       11.819
      12.000 |       17.791 |        4.324 |       22.115
      10.000 |       11.083 |        1.604 |       12.688
       7.000 |        9.452 |        0.840 |       10.292
       8.000 |        8.714 |        1.023 |        9.737
       8.000 |        8.601 |        1.137 |        9.738
       8.000 |        8.264 |        1.618 |        9.882
      11.000 |        7.365 |        0.631 |        7.995
       6.000 |        7.460 |        1.137 |        8.597
       7.000 |        6.393 |        1.010 |        7.402
       8.000 |        5.301 |        1.179 |        6.481
      10.000 |        4.887 |        1.093 |        5.979
       4.000 |        4.737 |        0.792 |        5.529
       6.000 |        3.366 |        1.399 |        4.765
      10.000 |        2.295 |        0.619 |        2.913
      10.000 |        1.911 |        1.542 |        3.454
      10.000 |        3.577 |        0.919 |        4.495
      12.000 |        1.691 |        1.113 |        2.804
       5.000 |        4.473 |        1.442 |        5.915
       6.000 |        0.517 |        0.389 |        0.905
      12.000 |        0.974 |        2.333 |        3.307
       6.000 |        0.860 |        2.337 |        3.197
      10.000 |        4.088 |        0.640 |        4.728
       6.000 |        0.169 |        0.623 |        0.792
      10.000 |        0.119 |        0.556 |        0.676
      12.000 |        0.536 |        1.521 |        2.057
       6.000 |        1.731 |        0.482 |        2.213
       4.000 |        1.631 |        1.418 |        3.049
       7.000 |        0.753 |        0.866 |        1.620
      13.000 |        3.299 |        0.544 |        3.844
      11.000 |        0.750 |        0.679 |        1.429
       9.000 |        1.451 |        1.335 |        2.786
       6.000 |        0.605 |        1.514 |        2.119
       9.000 |        0.184 |        1.479 |        1.663
       6.000 |        0.313 |        2.888 |        3.201
       4.000 |        0.161 |        1.831 |        1.992
       7.000 |        0.137 |        0.728 |        0.865
       8.000 |        0.152 |        2.340 |        2.492
      10.000 |        0.164 |        0.867 |        1.031
       8.000 |        0.176 |        1.855 |        2.030
       5.000 |        0.187 |        0.818 |        1.005
      12.000 |        0.135 |        0.904 |        1.039
      10.000 |        0.223 |        0.762 |        0.985
      14.000 |        0.201 |        0.293 |        0.493
       7.000 |        0.125 |        0.580 |        0.705
       6.000 |        0.229 |        1.573 |        1.802
       6.000 |        0.150 |        1.232 |        1.382
       7.000 |        0.197 |        0.721 |        0.918
      12.000 |        0.209 |        0.658 |        0.867
       8.000 |        0.112 |        2.308 |        2.421
      14.000 |        0.180 |        1.043 |        1.223
       7.000 |        0.190 |        2.095 |        2.284
       8.000 |        0.194 |        2.187 |        2.382
       6.000 |        0.159 |        2.294 |        2.452
      10.000 |        0.182 |        0.810 |        0.992
       8.000 |        0.240 |        1.010 |        1.249
       7.000 |        0.116 |        0.565 |        0.681
       9.000 |        0.155 |        2.697 |        2.851
       7.000 |        0.202 |        0.462 |        0.664
       8.000 |        0.263 |        3.290 |        3.553
      12.000 |        0.108 |        0.780 |        0.889
       9.000 |        0.148 |        0.881 |        1.030
      10.000 |        0.238 |        1.953 |        2.191
      12.000 |        0.132 |        0.983 |        1.116
      10.000 |        0.145 |        0.697 |        0.843
      10.000 |        0.116 |        0.797 |        0.913
      10.000 |        0.153 |        0.571 |        0.724
       6.000 |        0.152 |        1.266 |        1.419
       5.000 |        0.252 |        3.350 |        3.602
       4.000 |        0.120 |        0.483 |        0.603
       7.000 |        0.154 |        2.244 |        2.397
      15.000 |        0.189 |        0.981 |        1.170
      10.000 |        0.129 |        0.860 |        0.989
      12.000 |        0.240 |        0.703 |        0.943
       7.000 |        0.168 |        0.781 |        0.949
      11.000 |        0.176 |        0.850 |        1.026
       9.000 |        0.123 |        0.604 |        0.728
       4.000 |        0.114 |        1.052 |        1.166
       8.000 |        0.397 |        2.439 |        2.835
       8.000 |        0.166 |        1.428 |        1.595
      10.000 |        0.141 |        0.891 |        1.032
       8.000 |        0.108 |        0.444 |        0.552
       7.000 |        0.157 |        1.361 |        1.519
       9.000 |        0.111 |        0.493 |        0.604
       7.000 |        0.115 |        1.589 |        1.704
      12.000 |        0.137 |        3.156 |        3.293
      11.000 |        0.108 |        3.808 |        3.916
       9.000 |        0.137 |        0.627 |        0.764
       5.000 |        0.191 |        0.602 |        0.793
       8.000 |        0.182 |        0.938 |        1.120
       9.000 |        0.357 |        0.632 |        0.989
       9.000 |        0.205 |        0.417 |        0.622
       8.000 |        0.124 |        0.966 |        1.091
      12.000 |        0.126 |        0.662 |        0.788
       7.000 |        0.186 |        1.237 |        1.424
      11.000 |        0.145 |        1.801 |        1.945
       9.000 |        0.201 |        1.257 |        1.458
      10.000 |        0.232 |        0.409 |        0.641
      12.000 |        0.216 |        0.688 |        0.904
       7.000 |        0.231 |        2.954 |        3.185
       9.000 |        0.240 |        1.618 |        1.859
       9.000 |        0.163 |        0.770 |        0.934
       6.000 |        0.214 |        0.968 |        1.182
       8.000 |        0.199 |        1.521 |        1.720
       5.000 |        0.214 |        0.661 |        0.875
      12.000 |        0.132 |        0.666 |        0.798
       5.000 |        0.239 |        0.831 |        1.070
       6.000 |        0.130 |        0.657 |        0.787
       9.000 |        0.171 |        0.919 |        1.089
       7.000 |        0.109 |        0.936 |        1.045
       7.000 |        0.119 |        1.012 |        1.130
       8.000 |        0.225 |        1.031 |        1.256
      14.000 |        0.110 |        1.762 |        1.871
      12.000 |        0.153 |        1.081 |        1.234
      11.000 |        0.143 |        2.174 |        2.317
      13.000 |        0.256 |        1.423 |        1.679
      16.000 |        0.275 |        0.357 |        0.632
      12.000 |        0.185 |        0.945 |        1.130
       6.000 |        0.130 |        0.516 |        0.647
      11.000 |        0.196 |        1.282 |        1.478
      10.000 |        0.207 |        1.488 |        1.695
      10.000 |        0.117 |        0.762 |        0.879
       5.000 |        0.210 |        3.466 |        3.676
      12.000 |        0.256 |        0.492 |        0.748
       8.000 |        0.120 |        3.761 |        3.881
       7.000 |        0.154 |        0.634 |        0.788
       8.000 |        0.142 |        1.328 |        1.471
       7.000 |        0.259 |        0.454 |        0.713
       6.000 |        0.214 |        0.408 |        0.622
      14.000 |        0.125 |        3.319 |        3.443
       7.000 |        0.110 |        0.741 |        0.851
       8.000 |        0.125 |        2.917 |        3.042
      11.000 |        0.270 |        1.050 |        1.320
       5.000 |        0.199 |        1.954 |        2.153
       9.000 |        0.317 |        0.671 |        0.988
      10.000 |        0.130 |        2.049 |        2.179
       6.000 |        0.198 |        2.420 |        2.618
       8.000 |        0.198 |        0.894 |        1.093
       6.000 |        0.136 |        1.211 |        1.347
       6.000 |        0.155 |        0.989 |        1.144
      10.000 |        0.144 |        1.665 |        1.809
       8.000 |        0.112 |        1.568 |        1.680
       8.000 |        0.175 |        0.906 |        1.081
       6.000 |        0.160 |        0.509 |        0.669
      11.000 |        0.236 |        2.522 |        2.758
       7.000 |        0.195 |        2.529 |        2.724
      10.000 |        0.169 |        1.558 |        1.727
       6.000 |        0.141 |        2.389 |        2.529
       8.000 |        0.204 |        0.682 |        0.886
       9.000 |        0.222 |        0.761 |        0.983
       7.000 |        0.137 |        0.559 |        0.695
       6.000 |        0.168 |        0.509 |        0.677
       8.000 |        0.212 |        0.766 |        0.978
      12.000 |        0.194 |        1.444 |        1.638
      13.000 |        0.197 |        2.881 |        3.078
       7.000 |        0.191 |        1.522 |        1.713
      13.000 |        0.130 |        0.790 |        0.920
       3.000 |        0.166 |        3.061 |        3.227
       5.000 |        0.149 |        1.960 |        2.109
       9.000 |        0.322 |        0.359 |        0.681
       8.000 |        0.118 |        0.590 |        0.708
       9.000 |        0.206 |        1.224 |        1.430
       5.000 |        0.131 |        1.338 |        1.469
       5.000 |        0.334 |        0.937 |        1.271
       7.000 |        0.130 |        0.877 |        1.007
      10.000 |        0.304 |        1.791 |        2.095
      10.000 |        0.201 |        0.596 |        0.797
       6.000 |        0.327 |        1.873 |        2.200
       4.000 |        0.391 |        0.766 |        1.157
      12.000 |        0.140 |        0.743 |        0.883
       6.000 |        0.338 |        1.426 |        1.764
       4.000 |        0.116 |        0.917 |        1.033
       8.000 |        0.123 |        1.053 |        1.176
      13.000 |        0.459 |        1.324 |        1.782
      10.000 |        0.232 |        1.074 |        1.306
       7.000 |        0.165 |        1.893 |        2.058
       4.000 |        0.108 |        1.224 |        1.332
      10.000 |        0.102 |        0.603 |        0.705
      12.000 |        0.307 |        0.916 |        1.223
       9.000 |        0.155 |        1.014 |        1.170
      12.000 |        0.102 |        0.699 |        0.801
       5.000 |        0.115 |        0.538 |        0.653
       7.000 |        0.105 |        1.327 |        1.432
      10.000 |        0.258 |        1.037 |        1.295
       9.000 |        0.259 |        2.210 |        2.469
       9.000 |        0.154 |        0.698 |        0.852
       9.000 |        0.197 |        2.601 |        2.798
      13.000 |        0.196 |        0.564 |        0.760
       9.000 |        0.136 |        2.788 |        2.924
      17.000 |        0.296 |        0.987 |        1.284
      11.000 |        0.107 |        0.804 |        0.911
      13.000 |        0.158 |        0.592 |        0.749
       5.000 |        0.120 |        0.692 |        0.813
       6.000 |        0.128 |        0.915 |        1.043
      10.000 |        0.116 |        0.391 |        0.508
       4.000 |        0.306 |        0.965 |        1.271
      12.000 |        0.264 |        1.901 |        2.165
      16.000 |        0.143 |        0.762 |        0.905
      11.000 |        0.167 |        0.680 |        0.848
      11.000 |        0.238 |        2.202 |        2.440
      10.000 |        0.237 |        0.886 |        1.123
      10.000 |        0.135 |        0.631 |        0.766
       8.000 |        0.127 |        4.042 |        4.169
       8.000 |        0.110 |        2.080 |        2.190
       8.000 |        0.229 |        0.946 |        1.175
       8.000 |        0.101 |        2.858 |        2.959
      13.000 |        0.338 |        1.112 |        1.451
       7.000 |        0.982 |        3.548 |        4.530
       6.000 |        0.636 |        0.619 |        1.255
       3.000 |        0.522 |        1.674 |        2.196
       7.000 |        0.214 |        0.791 |        1.005
      12.000 |        0.121 |        1.293 |        1.415
      11.000 |        0.182 |        2.579 |        2.761
       8.000 |        0.130 |        1.468 |        1.598
       7.000 |        0.164 |        1.168 |        1.332
      10.000 |        0.139 |        1.443 |        1.583
      12.000 |        0.194 |        1.902 |        2.096
      16.000 |        0.364 |        0.995 |        1.359
       9.000 |        0.135 |        0.487 |        0.622
      12.000 |        0.174 |        0.854 |        1.028
       6.000 |        0.325 |        1.805 |        2.130
       7.000 |        0.190 |        0.365 |        0.555
       9.000 |        0.165 |        0.604 |        0.768
      14.000 |        0.117 |        2.316 |        2.433
      12.000 |        0.202 |        0.361 |        0.564
      12.000 |        0.289 |        3.303 |        3.592
       9.000 |        0.137 |        1.645 |        1.782
       7.000 |        0.112 |        1.997 |        2.109
       7.000 |        0.127 |        3.471 |        3.599
       7.000 |        0.200 |        0.442 |        0.641
       5.000 |        0.135 |        0.829 |        0.964
       8.000 |        0.159 |        0.485 |        0.644
       5.000 |        0.261 |        2.102 |        2.363
      12.000 |        0.164 |        0.725 |        0.888
      10.000 |        0.109 |        1.171 |        1.280
       6.000 |        0.211 |        2.043 |        2.255
       7.000 |        0.144 |        1.754 |        1.897
       5.000 |        0.166 |        1.823 |        1.989
       7.000 |        0.115 |        1.030 |        1.145
      11.000 |        0.204 |        0.438 |        0.642
       9.000 |        0.265 |        1.074 |        1.339
      10.000 |        0.144 |        1.169 |        1.314
       4.000 |        0.296 |        3.660 |        3.956
      10.000 |        0.243 |        0.571 |        0.814
       7.000 |        0.230 |        0.939 |        1.170
       7.000 |        0.111 |        0.626 |        0.737
       8.000 |        0.124 |        0.402 |        0.525
       6.000 |        0.116 |        2.861 |        2.977
       6.000 |        0.206 |        1.686 |        1.893
      11.000 |        0.140 |        1.192 |        1.332
       9.000 |        0.280 |        0.869 |        1.149
      10.000 |        0.219 |        1.286 |        1.505
       9.000 |        0.196 |        0.582 |        0.778
      12.000 |        0.172 |        4.060 |        4.232
       7.000 |        0.210 |        0.816 |        1.027
      11.000 |        0.163 |        1.030 |        1.194
      10.000 |        0.209 |        1.110 |        1.319
       5.000 |        0.136 |        0.626 |        0.761
       9.000 |        0.214 |        2.600 |        2.814
      10.000 |        0.338 |        1.619 |        1.957
       9.000 |        0.140 |        3.841 |        3.980
       9.000 |        0.217 |        0.906 |        1.123
      10.000 |        0.183 |        2.437 |        2.620
       9.000 |        0.117 |        1.061 |        1.178
      13.000 |        0.127 |        2.308 |        2.435
       6.000 |        0.176 |        0.603 |        0.780
       5.000 |        0.127 |        0.540 |        0.667
      16.000 |        0.183 |        0.680 |        0.863
      11.000 |        0.130 |        3.547 |        3.677
       5.000 |        0.258 |        0.757 |        1.015
      11.000 |        0.254 |        0.711 |        0.965
       8.000 |        0.178 |        0.833 |        1.011
      10.000 |        0.213 |        0.745 |        0.958
       7.000 |        0.207 |        1.032 |        1.239
       8.000 |        0.278 |        1.166 |        1.444
       7.000 |        0.160 |        0.480 |        0.640
       7.000 |        0.170 |        1.667 |        1.837
       5.000 |        0.127 |        0.861 |        0.989
      10.000 |        0.199 |        3.455 |        3.654
       7.000 |        0.208 |        0.954 |        1.163
       6.000 |        0.169 |        2.571 |        2.740
       7.000 |        0.340 |        0.796 |        1.136
      13.000 |        0.326 |        1.477 |        1.802
      12.000 |        0.139 |        1.029 |        1.167
       5.000 |        0.332 |        0.555 |        0.887
      10.000 |        0.204 |        0.719 |        0.924
      13.000 |        0.131 |        1.165 |        1.296
      15.000 |        0.183 |        1.058 |        1.242
      11.000 |        0.162 |        2.950 |        3.112
       7.000 |        0.151 |        0.695 |        0.847
       4.000 |        0.225 |        1.604 |        1.829
      12.000 |        0.145 |        1.988 |        2.133
       6.000 |        0.199 |        0.693 |        0.892
      15.000 |        0.145 |        1.860 |        2.004
       7.000 |        0.111 |        0.554 |        0.664
       6.000 |        0.137 |        0.383 |        0.519
       7.000 |        0.256 |        0.780 |        1.036
      13.000 |        0.115 |        0.396 |        0.511
       8.000 |        0.239 |        1.214 |        1.453
       8.000 |        0.142 |        1.449 |        1.591
       6.000 |        0.189 |        0.402 |        0.590
