Run , Difference
1 , 5908044446
2 , 824537623
3 , 6499055078
4 , 362314258
5 , 487097447
6 , 817988262
7 , 181269372
8 , 2707919643
9 , 2729053378
10 , 2819923018
11 , 6992338789
12 , 2753470369
13 , 7050386675
14 , 2756263207
15 , 415923557
16 , 2704019323
17 , 173039535
18 , 6372028732
19 , 2924932331
20 , 6379921045
21 , 165288090
22 , 821888338
23 , 6477911883
24 , 2699819688
25 , 147676746
26 , 552261892
27 , 6194210034
28 , 2551433349
29 , 528709951
30 , 686954540
31 , 3602774285
32 , 830875925
33 , 671060111
34 , 2728158909
35 , 7360509904
36 , 2792217218
37 , 831595893
38 , 7089157999
39 , 4827281893
40 , 6133220321
