  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       7.000 |        0.114 |        1.980 |        2.094
       8.000 |        0.105 |        0.582 |        0.687
       9.000 |        0.103 |        0.953 |        1.056
      10.000 |        0.300 |        1.040 |        1.340
       6.000 |        0.212 |        0.617 |        0.829
       9.000 |        0.120 |        0.929 |        1.050
      10.000 |        0.098 |        0.503 |        0.601
       7.000 |        0.203 |        0.718 |        0.921
       8.000 |        0.115 |        1.099 |        1.215
       8.000 |        0.238 |        1.109 |        1.347
       8.000 |        0.109 |        1.473 |        1.581
       6.000 |        0.136 |        0.940 |        1.076
      11.000 |        0.191 |        0.840 |        1.030
       7.000 |        0.094 |        0.731 |        0.824
       8.000 |        0.106 |        1.100 |        1.206
      10.000 |        0.121 |        1.004 |        1.125
       4.000 |        0.097 |        0.762 |        0.859
       5.000 |        0.184 |        1.327 |        1.511
       6.000 |        0.108 |        0.844 |        0.952
      10.000 |        0.114 |        0.723 |        0.837
      10.000 |        0.200 |        0.808 |        1.009
      10.000 |        0.193 |        0.386 |        0.579
       6.000 |        0.092 |        1.437 |        1.529
      12.000 |        0.099 |        1.525 |        1.624
      10.000 |        0.086 |        2.385 |        2.470
      12.000 |        0.108 |        2.183 |        2.292
       6.000 |        0.079 |        0.504 |        0.584
       6.000 |        0.172 |        0.584 |        0.756
      10.000 |        0.108 |        0.531 |        0.639
      13.000 |        0.178 |        0.564 |        0.742
      12.000 |        0.131 |        0.993 |        1.124
       6.000 |        0.098 |        0.505 |        0.604
       4.000 |        0.095 |        1.481 |        1.575
       9.000 |        0.119 |        1.311 |        1.429
       7.000 |        0.087 |        0.749 |        0.836
      11.000 |        0.083 |        0.589 |        0.672
       6.000 |        0.131 |        1.331 |        1.462
       9.000 |        0.093 |        1.315 |        1.408
       6.000 |        0.142 |        2.604 |        2.746
       4.000 |        0.120 |        1.651 |        1.771
       7.000 |        0.102 |        0.510 |        0.611
      10.000 |        0.269 |        0.678 |        0.947
       8.000 |        0.128 |        3.511 |        3.639
       8.000 |        0.108 |        1.943 |        2.051
       5.000 |        0.100 |        0.903 |        1.003
      10.000 |        0.090 |        0.701 |        0.791
      12.000 |        0.130 |        1.153 |        1.283
      14.000 |        0.090 |        0.271 |        0.362
       6.000 |        0.099 |        1.454 |        1.554
       7.000 |        0.212 |        1.023 |        1.235
       6.000 |        0.113 |        0.994 |        1.107
       7.000 |        0.105 |        0.524 |        0.629
      12.000 |        0.254 |        0.614 |        0.867
      14.000 |        0.133 |        0.953 |        1.086
       8.000 |        0.130 |        3.286 |        3.416
       8.000 |        0.259 |        1.949 |        2.208
       6.000 |        0.098 |        2.107 |        2.205
       7.000 |        0.132 |        2.392 |        2.524
      10.000 |        0.079 |        0.842 |        0.921
       8.000 |        0.185 |        0.890 |        1.075
       7.000 |        0.116 |        0.528 |        0.644
       8.000 |        0.148 |        2.760 |        2.908
       9.000 |        0.504 |        2.403 |        2.907
       7.000 |        0.185 |        0.739 |        0.924
      10.000 |        0.098 |        1.672 |        1.770
       9.000 |        0.081 |        0.909 |        0.990
      12.000 |        0.100 |        1.336 |        1.435
      12.000 |        0.100 |        0.966 |        1.065
      10.000 |        0.124 |        0.582 |        0.707
      10.000 |        0.104 |        0.712 |        0.816
       5.000 |        0.091 |        2.038 |        2.129
      10.000 |        0.110 |        0.806 |        0.916
       6.000 |        0.112 |        1.157 |        1.270
       4.000 |        0.096 |        0.642 |        0.738
       7.000 |        0.199 |        1.994 |        2.193
      15.000 |        0.099 |        0.898 |        0.998
      10.000 |        0.111 |        0.737 |        0.848
      12.000 |        0.157 |        0.751 |        0.909
       7.000 |        0.204 |        0.673 |        0.877
      11.000 |        0.163 |        0.708 |        0.870
       9.000 |        0.115 |        0.627 |        0.742
       4.000 |        0.098 |        1.047 |        1.145
       8.000 |        0.316 |        2.206 |        2.522
      10.000 |        0.258 |        0.824 |        1.082
       8.000 |        0.085 |        1.938 |        2.022
       7.000 |        0.095 |        1.274 |        1.368
       8.000 |        0.127 |        0.609 |        0.736
       7.000 |        0.132 |        1.440 |        1.571
       9.000 |        0.093 |        0.746 |        0.839
      12.000 |        0.113 |        2.211 |        2.324
      11.000 |        0.168 |        3.460 |        3.628
       9.000 |        0.167 |        0.362 |        0.529
       5.000 |        0.163 |        0.703 |        0.866
       8.000 |        0.176 |        1.340 |        1.516
       9.000 |        0.123 |        0.610 |        0.734
       9.000 |        0.116 |        0.495 |        0.611
      12.000 |        0.095 |        0.425 |        0.521
       7.000 |        0.127 |        1.057 |        1.184
       8.000 |        0.102 |        1.280 |        1.382
      11.000 |        0.110 |        2.014 |        2.124
       9.000 |        0.233 |        1.164 |        1.397
      10.000 |        0.155 |        0.445 |        0.601
       7.000 |        0.206 |        2.464 |        2.671
      12.000 |        0.148 |        0.912 |        1.060
       9.000 |        0.160 |        1.431 |        1.590
       9.000 |        0.355 |        0.547 |        0.901
       6.000 |        0.098 |        0.659 |        0.757
       8.000 |        0.110 |        1.044 |        1.153
       5.000 |        0.249 |        0.623 |        0.872
