  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       4.000 |        0.171 |        1.162 |        1.332
       8.000 |        0.283 |        0.616 |        0.899
       9.000 |        0.215 |        0.939 |        1.154
      10.000 |        0.312 |        1.515 |        1.827
       6.000 |        0.204 |        0.755 |        0.960
       9.000 |        0.163 |        1.090 |        1.253
      10.000 |        0.176 |        0.549 |        0.725
       7.000 |        0.239 |        0.724 |        0.963
       8.000 |        0.418 |        1.025 |        1.443
       8.000 |        0.151 |        1.499 |        1.650
       8.000 |        0.144 |        1.565 |        1.710
       6.000 |        0.266 |        0.935 |        1.201
      11.000 |        0.147 |        0.875 |        1.022
       7.000 |        0.261 |        0.969 |        1.230
       8.000 |        0.215 |        1.116 |        1.331
      10.000 |        0.157 |        0.973 |        1.130
       4.000 |        0.142 |        0.745 |        0.887
       5.000 |        0.331 |        1.316 |        1.646
      10.000 |        0.274 |        0.700 |        0.974
      10.000 |        0.262 |        0.791 |        1.053
       6.000 |        0.205 |        1.356 |        1.561
      10.000 |        0.237 |        0.643 |        0.881
      12.000 |        0.197 |        1.601 |        1.798
      10.000 |        0.278 |        2.278 |        2.556
      12.000 |        0.184 |        2.187 |        2.371
       6.000 |        0.181 |        2.258 |        2.439
       6.000 |        0.250 |        0.660 |        0.910
       6.000 |        0.254 |        0.664 |        0.918
      10.000 |        0.240 |        0.713 |        0.953
      13.000 |        0.319 |        0.569 |        0.889
      12.000 |        0.255 |        1.259 |        1.513
       6.000 |        0.198 |        0.739 |        0.938
       4.000 |        0.297 |        1.714 |        2.011
       9.000 |        0.258 |        1.375 |        1.633
       7.000 |        0.148 |        0.830 |        0.977
      11.000 |        0.198 |        0.689 |        0.887
       6.000 |        0.235 |        1.366 |        1.601
       9.000 |        0.162 |        1.230 |        1.392
       6.000 |        0.383 |        2.798 |        3.181
       4.000 |        0.231 |        1.663 |        1.893
       7.000 |        0.401 |        0.704 |        1.105
      10.000 |        0.163 |        0.645 |        0.808
       8.000 |        0.205 |        1.711 |        1.916
       8.000 |        0.168 |        3.710 |        3.878
       5.000 |        0.150 |        0.892 |        1.042
      10.000 |        0.313 |        0.829 |        1.142
      12.000 |        0.222 |        1.248 |        1.470
      14.000 |        0.267 |        0.310 |        0.577
       7.000 |        0.276 |        0.951 |        1.227
       6.000 |        0.246 |        1.713 |        1.959
       6.000 |        0.207 |        1.197 |        1.404
       7.000 |        0.118 |        0.638 |        0.757
      12.000 |        0.269 |        0.596 |        0.866
      14.000 |        0.196 |        0.932 |        1.127
       8.000 |        0.280 |        3.235 |        3.515
       6.000 |        0.247 |        1.927 |        2.173
       8.000 |        0.285 |        2.198 |        2.484
      10.000 |        0.159 |        0.765 |        0.924
       8.000 |        0.204 |        1.084 |        1.287
       7.000 |        0.238 |        3.099 |        3.337
       7.000 |        0.159 |        0.731 |        0.890
       9.000 |        0.266 |        2.592 |        2.858
       8.000 |        0.214 |        3.076 |        3.290
       7.000 |        0.185 |        0.707 |        0.893
      12.000 |        0.178 |        1.042 |        1.220
      10.000 |        0.277 |        1.810 |        2.088
       9.000 |        0.123 |        1.165 |        1.288
      12.000 |        0.106 |        1.090 |        1.197
      10.000 |        0.240 |        0.608 |        0.848
      10.000 |        0.223 |        0.716 |        0.940
      10.000 |        0.186 |        0.634 |        0.820
       6.000 |        0.167 |        1.171 |        1.338
       5.000 |        0.190 |        2.857 |        3.047
       4.000 |        0.258 |        0.613 |        0.871
       7.000 |        0.219 |        1.825 |        2.044
      10.000 |        0.208 |        0.733 |        0.942
      15.000 |        0.249 |        1.223 |        1.472
      12.000 |        0.247 |        0.881 |        1.128
       7.000 |        0.244 |        0.704 |        0.947
      11.000 |        0.157 |        1.189 |        1.346
       9.000 |        0.211 |        0.834 |        1.045
       4.000 |        0.204 |        1.221 |        1.425
       8.000 |        0.264 |        2.305 |        2.569
       8.000 |        0.220 |        1.649 |        1.869
      10.000 |        0.145 |        0.948 |        1.093
       7.000 |        0.202 |        1.299 |        1.502
       7.000 |        0.174 |        1.379 |        1.552
       8.000 |        0.108 |        0.950 |        1.058
       9.000 |        0.102 |        0.873 |        0.975
      12.000 |        0.241 |        3.082 |        3.322
      11.000 |        0.156 |        3.590 |        3.746
       9.000 |        0.357 |        0.632 |        0.989
       5.000 |        0.226 |        0.559 |        0.786
       8.000 |        0.306 |        1.438 |        1.744
       9.000 |        0.204 |        0.616 |        0.819
       9.000 |        0.250 |        0.689 |        0.940
       8.000 |        0.171 |        1.033 |        1.204
       7.000 |        0.243 |        1.096 |        1.339
      12.000 |        0.139 |        0.927 |        1.066
      11.000 |        0.221 |        2.013 |        2.234
       9.000 |        0.332 |        1.139 |        1.471
      10.000 |        0.234 |        0.719 |        0.953
       7.000 |        0.274 |        2.473 |        2.747
      12.000 |        0.195 |        0.921 |        1.116
       9.000 |        0.167 |        1.472 |        1.639
       9.000 |        0.286 |        0.712 |        0.999
       6.000 |        0.209 |        0.923 |        1.132
       8.000 |        0.149 |        1.410 |        1.559
       5.000 |        0.265 |        0.608 |        0.873
       5.000 |        0.187 |        0.656 |        0.843
      12.000 |        0.395 |        1.066 |        1.461
       6.000 |        0.171 |        0.639 |        0.809
       9.000 |        0.229 |        0.765 |        0.994
       7.000 |        0.183 |        0.909 |        1.092
       7.000 |        0.109 |        0.921 |        1.030
      14.000 |        0.117 |        1.508 |        1.625
       8.000 |        0.189 |        1.074 |        1.262
      12.000 |        0.204 |        1.032 |        1.236
      11.000 |        0.196 |        1.953 |        2.149
      13.000 |        0.633 |        1.585 |        2.218
      16.000 |        0.213 |        0.739 |        0.951
      12.000 |        0.375 |        1.127 |        1.502
       6.000 |        0.125 |        0.836 |        0.962
      11.000 |        0.136 |        1.173 |        1.310
      10.000 |        0.186 |        0.739 |        0.925
      10.000 |        0.198 |        2.118 |        2.316
       5.000 |        0.233 |        3.067 |        3.300
       8.000 |        0.202 |        3.388 |        3.590
      12.000 |        0.358 |        0.716 |        1.074
       7.000 |        0.195 |        0.607 |        0.802
       8.000 |        0.158 |        1.903 |        2.061
       7.000 |        0.196 |        0.728 |        0.924
       6.000 |        0.101 |        0.611 |        0.712
      14.000 |        0.168 |        3.129 |        3.297
       7.000 |        0.198 |        0.722 |        0.920
       8.000 |        0.192 |        2.712 |        2.904
      11.000 |        0.162 |        1.209 |        1.370
       5.000 |        0.197 |        2.165 |        2.362
      10.000 |        0.310 |        1.762 |        2.072
       9.000 |        0.231 |        0.908 |        1.139
       6.000 |        0.261 |        2.399 |        2.660
       8.000 |        0.207 |        0.905 |        1.112
       6.000 |        0.155 |        0.843 |        0.998
       6.000 |        0.205 |        1.713 |        1.918
      10.000 |        0.184 |        1.738 |        1.922
       8.000 |        0.109 |        1.495 |        1.604
       8.000 |        0.327 |        0.851 |        1.178
       6.000 |        0.186 |        0.747 |        0.934
      11.000 |        0.388 |        2.295 |        2.684
       7.000 |        0.226 |        2.300 |        2.526
      10.000 |        0.161 |        1.402 |        1.564
       6.000 |        0.194 |        2.143 |        2.337
       8.000 |        0.253 |        0.753 |        1.006
       9.000 |        0.286 |        0.857 |        1.143
       7.000 |        0.227 |        0.535 |        0.762
