  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       4.000 |        0.246 |        1.065 |        1.310
       8.000 |        0.222 |        0.639 |        0.861
       9.000 |        0.131 |        0.899 |        1.030
      10.000 |        0.166 |        1.613 |        1.779
       6.000 |        0.219 |        0.741 |        0.961
       9.000 |        0.230 |        0.943 |        1.173
      10.000 |        0.139 |        0.614 |        0.753
       7.000 |        0.171 |        0.755 |        0.926
       8.000 |        0.167 |        1.022 |        1.189
       8.000 |        0.203 |        1.388 |        1.591
       8.000 |        0.281 |        1.389 |        1.670
       6.000 |        0.291 |        1.063 |        1.354
      11.000 |        0.211 |        0.745 |        0.956
       7.000 |        0.149 |        0.884 |        1.033
       8.000 |        0.259 |        1.288 |        1.547
      10.000 |        0.191 |        1.003 |        1.194
       4.000 |        0.203 |        0.801 |        1.003
       5.000 |        0.151 |        1.260 |        1.411
      10.000 |        0.162 |        0.525 |        0.687
      10.000 |        0.121 |        0.732 |        0.853
       6.000 |        0.226 |        1.092 |        1.318
      10.000 |        0.296 |        0.712 |        1.007
      10.000 |        0.172 |        1.652 |        1.824
      12.000 |        0.214 |        1.454 |        1.668
      12.000 |        0.196 |        1.910 |        2.106
       6.000 |        0.156 |        1.972 |        2.128
       6.000 |        0.311 |        0.465 |        0.776
       6.000 |        0.256 |        0.630 |        0.886
      10.000 |        0.213 |        0.626 |        0.840
      13.000 |        0.222 |        0.620 |        0.843
       4.000 |        0.210 |        1.395 |        1.605
      12.000 |        0.200 |        1.452 |        1.652
       6.000 |        0.198 |        0.851 |        1.049
       9.000 |        0.225 |        1.262 |        1.487
       7.000 |        0.229 |        0.801 |        1.030
      11.000 |        0.183 |        0.522 |        0.705
       6.000 |        0.145 |        1.333 |        1.478
       9.000 |        0.178 |        0.904 |        1.083
       6.000 |        0.166 |        2.631 |        2.798
       4.000 |        0.146 |        1.601 |        1.747
       7.000 |        0.254 |        0.876 |        1.130
       8.000 |        0.250 |        2.606 |        2.856
      10.000 |        0.204 |        0.600 |        0.804
       8.000 |        0.248 |        1.677 |        1.924
       5.000 |        0.209 |        0.659 |        0.869
      12.000 |        0.144 |        0.929 |        1.074
      10.000 |        0.162 |        0.825 |        0.987
      14.000 |        0.179 |        0.227 |        0.406
       6.000 |        0.264 |        1.271 |        1.535
       7.000 |        0.171 |        0.896 |        1.068
       6.000 |        0.193 |        1.068 |        1.261
       7.000 |        0.173 |        0.603 |        0.777
      12.000 |        0.355 |        0.526 |        0.881
      14.000 |        0.240 |        0.906 |        1.145
       8.000 |        0.226 |        2.890 |        3.116
       8.000 |        0.300 |        1.754 |        2.054
       6.000 |        0.226 |        1.996 |        2.222
       7.000 |        0.173 |        2.436 |        2.609
       8.000 |        0.113 |        0.764 |        0.877
      10.000 |        0.157 |        0.983 |        1.140
       7.000 |        0.243 |        0.484 |        0.728
       9.000 |        0.253 |        2.003 |        2.256
       8.000 |        0.193 |        2.322 |        2.515
       7.000 |        0.213 |        0.670 |        0.882
      10.000 |        0.234 |        1.372 |        1.606
      12.000 |        0.133 |        0.999 |        1.132
       9.000 |        0.154 |        0.827 |        0.981
      12.000 |        0.132 |        0.770 |        0.902
      10.000 |        0.232 |        0.563 |        0.794
      10.000 |        0.175 |        0.634 |        0.809
      10.000 |        0.191 |        0.688 |        0.878
       5.000 |        0.236 |        2.365 |        2.601
       6.000 |        0.150 |        1.269 |        1.419
