  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       9.000 |        0.445 |        0.788 |        1.233
       4.000 |        0.262 |        0.913 |        1.175
       6.000 |        0.278 |        0.978 |        1.256
      10.000 |        0.517 |        1.006 |        1.523
       7.000 |        0.197 |        0.454 |        0.651
       5.000 |        0.263 |        0.718 |        0.980
      10.000 |        0.286 |        2.639 |        2.925
       5.000 |        0.279 |        1.345 |        1.624
       7.000 |        0.487 |        1.374 |        1.861
       6.000 |        0.355 |        0.516 |        0.871
       8.000 |        0.192 |        0.823 |        1.015
       9.000 |        0.169 |        1.512 |        1.681
       8.000 |        0.371 |        3.025 |        3.396
      16.000 |        0.207 |        1.914 |        2.121
      14.000 |        0.162 |        2.522 |        2.685
      10.000 |        0.217 |        2.987 |        3.204
      11.000 |        0.405 |        1.405 |        1.811
      12.000 |        0.317 |        2.367 |        2.684
      13.000 |        0.350 |        0.771 |        1.120
       4.000 |        0.326 |        2.035 |        2.361
       8.000 |        0.200 |        0.681 |        0.881
       9.000 |        0.553 |        0.630 |        1.184
       6.000 |        0.413 |        1.418 |        1.831
       8.000 |        0.618 |        1.278 |        1.896
      11.000 |        0.247 |        0.307 |        0.554
       8.000 |        0.295 |        0.806 |        1.101
       6.000 |        0.318 |        0.546 |        0.864
       8.000 |        0.224 |        0.802 |        1.026
      15.000 |        0.280 |        0.614 |        0.894
       7.000 |        0.229 |        0.986 |        1.215
       7.000 |        0.488 |        0.575 |        1.063
      11.000 |        0.300 |        0.658 |        0.958
      14.000 |        0.185 |        0.735 |        0.920
       7.000 |        0.290 |        3.139 |        3.429
       5.000 |        0.176 |        0.949 |        1.126
       7.000 |        0.245 |        1.502 |        1.747
      10.000 |        0.290 |        0.810 |        1.100
       5.000 |        0.158 |        0.972 |        1.129
      10.000 |        0.283 |        1.335 |        1.618
       8.000 |        0.298 |        0.563 |        0.861
      10.000 |        0.181 |        0.885 |        1.066
       9.000 |        0.289 |        0.816 |        1.105
       8.000 |        0.316 |        1.054 |        1.370
       8.000 |        0.286 |        3.811 |        4.097
       8.000 |        0.246 |        1.249 |        1.495
       7.000 |        0.270 |        0.537 |        0.807
       8.000 |        0.396 |        0.894 |        1.290
       7.000 |        0.350 |        0.670 |        1.020
       9.000 |        0.306 |        1.365 |        1.671
       9.000 |        0.543 |        0.965 |        1.508
       9.000 |        0.458 |        0.944 |        1.402
      10.000 |        0.381 |        0.846 |        1.226
       7.000 |        0.389 |        0.835 |        1.224
       8.000 |        0.255 |        0.643 |        0.898
      10.000 |        0.222 |        2.544 |        2.765
       5.000 |        0.293 |        1.997 |        2.290
       6.000 |        0.297 |        0.851 |        1.147
       7.000 |        0.360 |        0.864 |        1.224
       8.000 |        0.173 |        1.053 |        1.226
       7.000 |        0.372 |        1.122 |        1.493
      15.000 |        0.260 |        0.759 |        1.019
       6.000 |        0.326 |        0.516 |        0.842
       9.000 |        0.429 |        1.453 |        1.882
       9.000 |        0.468 |        1.083 |        1.552
       9.000 |        0.338 |        0.560 |        0.898
       8.000 |        0.190 |        0.480 |        0.670
       5.000 |        0.295 |        1.578 |        1.873
      10.000 |        0.345 |        1.432 |        1.777
      12.000 |        0.440 |        3.106 |        3.546
       9.000 |        0.341 |        0.503 |        0.844
       8.000 |        0.224 |        2.099 |        2.323
       6.000 |        0.327 |        0.408 |        0.734
       8.000 |        0.316 |        0.516 |        0.832
       9.000 |        0.383 |        0.651 |        1.034
      11.000 |        0.292 |        2.450 |        2.742
       6.000 |        0.251 |        0.783 |        1.034
       8.000 |        0.235 |        3.171 |        3.406
       8.000 |        0.459 |        0.789 |        1.248
       7.000 |        0.330 |        0.588 |        0.918
       9.000 |        0.181 |        0.628 |        0.808
       4.000 |        0.241 |        2.510 |        2.750
      11.000 |        0.226 |        1.194 |        1.420
      12.000 |        0.358 |        2.459 |        2.817
      10.000 |        0.255 |        0.726 |        0.981
       8.000 |        0.254 |        1.175 |        1.428
       9.000 |        0.194 |        1.725 |        1.919
       4.000 |        0.369 |        0.729 |        1.098
      13.000 |        0.278 |        1.301 |        1.579
      10.000 |        0.529 |        2.299 |        2.828
