  Key Length |   QueueTimes | ServiceTimes | SojournTimes

       8.000 |        0.165 |        2.701 |        2.866
       9.000 |        0.131 |        0.824 |        0.954
      11.000 |        0.082 |        0.784 |        0.866
       7.000 |        0.082 |        2.657 |        2.739
      11.000 |        0.134 |        0.764 |        0.898
       9.000 |        0.142 |        0.444 |        0.586
       6.000 |        0.137 |        0.570 |        0.706
      12.000 |        0.162 |        1.281 |        1.443
       8.000 |        0.135 |        1.155 |        1.290
       6.000 |        0.097 |        0.689 |        0.787
       9.000 |        0.082 |        0.411 |        0.493
      12.000 |        0.114 |        0.335 |        0.449
      10.000 |        0.135 |        1.474 |        1.610
      10.000 |        0.143 |        1.328 |        1.471
       4.000 |        0.098 |        0.413 |        0.511
      11.000 |        0.158 |        0.605 |        0.763
       7.000 |        0.133 |        0.534 |        0.668
       9.000 |        0.098 |        0.528 |        0.625
       6.000 |        0.082 |        0.444 |        0.526
      11.000 |        0.134 |        0.779 |        0.913
       8.000 |        0.136 |        1.608 |        1.743
       7.000 |        0.139 |        0.554 |        0.693
       7.000 |        0.092 |        0.966 |        1.058
       6.000 |        0.115 |        1.347 |        1.462
       5.000 |        0.156 |        0.462 |        0.618
      10.000 |        0.147 |        0.891 |        1.037
       7.000 |        0.092 |        0.561 |        0.653
       6.000 |        0.133 |        0.369 |        0.502
       8.000 |        0.085 |        0.608 |        0.693
      12.000 |        0.077 |        0.917 |        0.995
       9.000 |        0.077 |        1.728 |        1.806
      11.000 |        0.135 |        1.253 |        1.388
       8.000 |        0.092 |        0.647 |        0.739
      14.000 |        0.142 |        0.560 |        0.702
      11.000 |        0.136 |        0.557 |        0.694
       7.000 |        0.133 |        0.534 |        0.667
      10.000 |        0.140 |        0.711 |        0.851
      12.000 |        0.092 |        0.587 |        0.679
      12.000 |        0.140 |        1.305 |        1.444
       9.000 |        0.114 |        1.259 |        1.374
      12.000 |        0.179 |        0.755 |        0.934
       7.000 |        0.146 |        0.488 |        0.634
      14.000 |        0.148 |        2.730 |        2.878
      10.000 |        0.114 |        0.708 |        0.823
      10.000 |        0.142 |        0.443 |        0.585
      10.000 |        0.144 |        0.317 |        0.461
       9.000 |        0.115 |        0.703 |        0.818
       5.000 |        0.117 |        0.567 |        0.684
       7.000 |        0.169 |        0.513 |        0.682
      10.000 |        0.083 |        1.609 |        1.692
      10.000 |        0.149 |        2.778 |        2.928
      15.000 |        0.069 |        1.055 |        1.124
       4.000 |        0.087 |        0.623 |        0.710
       6.000 |        0.272 |        0.565 |        0.837
       8.000 |        0.078 |        2.379 |        2.457
      10.000 |        0.078 |        1.541 |        1.619
       9.000 |        0.160 |        1.008 |        1.169
       6.000 |        0.078 |        1.401 |        1.479
      12.000 |        0.136 |        0.630 |        0.766
       7.000 |        0.139 |        0.745 |        0.883
      14.000 |        0.133 |        1.268 |        1.400
       7.000 |        0.150 |        2.551 |        2.701
       8.000 |        0.140 |        0.568 |        0.708
      10.000 |        0.022 |        2.679 |        2.701
      11.000 |        0.139 |        0.462 |        0.601
       8.000 |        0.136 |        0.940 |        1.076
      10.000 |        0.114 |        0.692 |        0.805
      11.000 |        0.116 |        2.434 |        2.550
      10.000 |        0.163 |        0.965 |        1.128
       6.000 |        0.139 |        1.457 |        1.597
       8.000 |        0.138 |        0.812 |        0.950
       5.000 |        0.135 |        0.832 |        0.967
       7.000 |        0.142 |        1.588 |        1.730
       6.000 |        0.051 |        0.940 |        0.991
      13.000 |        0.176 |        1.944 |        2.120
       5.000 |        0.154 |        0.936 |        1.090
       6.000 |        0.156 |        1.233 |        1.388
      10.000 |        0.142 |        1.903 |        2.045
      10.000 |        0.115 |        0.547 |        0.662
      11.000 |        0.136 |        1.419 |        1.555
       9.000 |        0.136 |        0.927 |        1.063
      11.000 |        0.079 |        1.452 |        1.531
      11.000 |        0.138 |        1.872 |        2.010
