  Key Length |   QueueTimes | ServiceTimes | SojournTimes

      11.000 |        0.203 |        6.745 |        6.948
       9.000 |        0.202 |        4.275 |        4.477
      13.000 |        0.200 |        0.949 |        1.149
       6.000 |        0.179 |        4.248 |        4.427
       4.000 |        0.205 |        2.399 |        2.604
       9.000 |        0.193 |        1.847 |        2.041
       7.000 |        0.198 |        1.069 |        1.267
      10.000 |        0.197 |        3.309 |        3.507
       5.000 |        0.204 |        0.891 |        1.095
       6.000 |        0.202 |        3.144 |        3.346
       9.000 |        0.202 |        4.711 |        4.913
      10.000 |        0.192 |        1.223 |        1.415
      10.000 |        0.195 |        1.435 |        1.630
      10.000 |        0.206 |        3.437 |        3.644
       7.000 |        0.203 |        1.284 |        1.487
       8.000 |        0.193 |        1.342 |        1.536
      12.000 |        0.203 |        3.839 |        4.042
       9.000 |        0.207 |        1.038 |        1.245
      11.000 |        0.170 |        1.815 |        1.985
      12.000 |        0.199 |        0.958 |        1.157
       7.000 |        0.202 |        2.486 |        2.688
       7.000 |        0.205 |        1.380 |        1.585
       9.000 |        0.200 |        1.119 |        1.319
      11.000 |        0.183 |        5.750 |        5.933
      11.000 |        0.202 |        2.917 |        3.119
       8.000 |        0.196 |        1.478 |        1.674
       5.000 |        0.212 |        1.502 |        1.714
      13.000 |        0.200 |        3.957 |        4.157
       9.000 |        0.198 |        0.864 |        1.062
       7.000 |        0.199 |        1.286 |        1.485
       8.000 |        0.190 |        0.822 |        1.012
      11.000 |        0.199 |        1.649 |        1.848
       9.000 |        0.196 |        1.894 |        2.090
       9.000 |        0.184 |        1.387 |        1.571
      10.000 |        0.206 |        1.194 |        1.400
       8.000 |        0.190 |        3.795 |        3.985
       7.000 |        0.194 |        6.654 |        6.848
      10.000 |        0.195 |        3.931 |        4.127
       5.000 |        0.184 |        1.406 |        1.590
      10.000 |        0.195 |        1.576 |        1.771
       5.000 |        0.201 |        2.156 |        2.357
       9.000 |        0.193 |        4.884 |        5.077
      17.000 |        0.177 |        3.666 |        3.843
      10.000 |        0.205 |        0.971 |        1.176
       5.000 |        0.202 |        5.247 |        5.448
      14.000 |        0.167 |        1.025 |        1.192
       5.000 |        0.205 |        4.250 |        4.455
       6.000 |        0.189 |        2.612 |        2.801
       9.000 |        0.192 |        1.603 |        1.795
       6.000 |        0.192 |        1.013 |        1.205
       6.000 |        0.201 |        2.500 |        2.701
       7.000 |        0.194 |        1.095 |        1.289
       5.000 |        0.194 |        0.922 |        1.115
      12.000 |        0.196 |        1.700 |        1.896
      11.000 |        0.197 |        2.799 |        2.996
       6.000 |        0.203 |        1.758 |        1.961
      11.000 |        0.205 |        3.808 |        4.014
      12.000 |        0.183 |        3.752 |        3.935
       8.000 |        0.195 |        0.830 |        1.025
       6.000 |        0.197 |        1.064 |        1.261
       8.000 |        0.191 |        2.128 |        2.319
      10.000 |        0.197 |        0.903 |        1.099
      10.000 |        0.206 |        1.752 |        1.958
      10.000 |        0.194 |        1.492 |        1.686
      11.000 |        0.199 |        1.456 |        1.656
       7.000 |        0.194 |        5.013 |        5.207
       6.000 |        0.199 |        3.175 |        3.374
      10.000 |        0.204 |        0.890 |        1.094
       8.000 |        0.195 |        2.847 |        3.042
      10.000 |        0.203 |        3.376 |        3.579
       5.000 |        0.199 |        1.336 |        1.535
      14.000 |        0.204 |        1.495 |        1.700
      10.000 |        0.190 |        0.938 |        1.127
       5.000 |        0.206 |        1.539 |        1.745
       4.000 |        0.198 |        3.973 |        4.171
       8.000 |        0.200 |        1.710 |        1.910
       8.000 |        0.207 |        0.624 |        0.831
      11.000 |        0.195 |        1.020 |        1.215
      12.000 |        0.204 |        1.360 |        1.564
       7.000 |        0.204 |        0.906 |        1.110
       7.000 |        0.195 |        2.753 |        2.948
      12.000 |        0.193 |        2.349 |        2.542
      13.000 |        0.191 |        0.960 |        1.150
       6.000 |        0.199 |        1.873 |        2.072
