  Key Length |   QueueTimes | ServiceTimes | SojournTimes

      11.000 |        0.187 |        5.259 |        5.447
       9.000 |        0.177 |        3.422 |        3.600
      13.000 |        0.184 |        0.885 |        1.069
       6.000 |        0.188 |        3.321 |        3.509
       4.000 |        0.187 |        1.898 |        2.084
       9.000 |        0.182 |        1.436 |        1.617
       7.000 |        0.187 |        0.893 |        1.080
      10.000 |        0.182 |        2.695 |        2.877
       5.000 |        0.178 |        0.822 |        0.999
       6.000 |        0.090 |        2.408 |        2.497
       9.000 |        0.144 |        3.789 |        3.933
      10.000 |        0.195 |        0.990 |        1.184
      10.000 |        0.188 |        1.163 |        1.351
      10.000 |        0.199 |        2.674 |        2.873
       7.000 |        0.189 |        1.148 |        1.338
       8.000 |        0.184 |        2.476 |        2.660
      12.000 |        0.184 |        3.029 |        3.213
       9.000 |        0.183 |        0.895 |        1.077
      11.000 |        0.184 |        1.514 |        1.699
      12.000 |        0.195 |        0.784 |        0.979
       7.000 |        0.196 |        1.903 |        2.099
       7.000 |        0.154 |        1.127 |        1.282
       9.000 |        0.199 |        0.994 |        1.193
      11.000 |        0.186 |        4.595 |        4.781
      11.000 |        0.183 |        2.365 |        2.548
       8.000 |        0.177 |        1.219 |        1.396
       5.000 |        0.177 |        1.335 |        1.512
      13.000 |        0.184 |        3.152 |        3.336
       9.000 |        0.186 |        0.813 |        0.999
       7.000 |        0.174 |        1.061 |        1.236
       8.000 |        0.187 |        0.744 |        0.931
      11.000 |        0.148 |        1.473 |        1.621
       9.000 |        0.179 |        1.586 |        1.765
       9.000 |        0.177 |        1.085 |        1.262
      10.000 |        0.182 |        1.050 |        1.232
       8.000 |        0.188 |        3.066 |        3.254
       7.000 |        0.179 |        5.207 |        5.386
      10.000 |        0.173 |        3.054 |        3.227
       5.000 |        0.184 |        1.209 |        1.392
      10.000 |        0.180 |        1.282 |        1.462
       5.000 |        0.191 |        1.790 |        1.981
       9.000 |        0.176 |        3.906 |        4.082
      17.000 |        0.182 |        2.887 |        3.069
      10.000 |        0.179 |        0.854 |        1.032
       5.000 |        0.182 |        4.110 |        4.292
      14.000 |        0.181 |        0.779 |        0.960
       5.000 |        0.182 |        3.356 |        3.538
       6.000 |        0.176 |        2.058 |        2.233
       9.000 |        0.190 |        1.272 |        1.462
       6.000 |        0.173 |        0.932 |        1.104
       6.000 |        0.187 |        2.009 |        2.195
       7.000 |        0.167 |        0.862 |        1.029
       5.000 |        0.195 |        0.786 |        0.980
      12.000 |        0.184 |        1.360 |        1.544
      11.000 |        0.179 |        2.239 |        2.418
       6.000 |        0.185 |        1.562 |        1.747
      11.000 |        0.183 |        3.003 |        3.186
      12.000 |        0.187 |        3.001 |        3.187
       8.000 |        0.183 |        0.748 |        0.931
       6.000 |        0.173 |        0.886 |        1.059
       8.000 |        0.183 |        1.750 |        1.932
      10.000 |        0.176 |        0.813 |        0.989
      10.000 |        0.182 |        1.463 |        1.645
      10.000 |        0.174 |        1.253 |        1.427
      11.000 |        0.184 |        1.158 |        1.343
       7.000 |        0.180 |        3.969 |        4.149
       6.000 |        0.176 |        2.555 |        2.731
      10.000 |        0.184 |        0.801 |        0.986
       8.000 |        0.155 |        2.229 |        2.384
      10.000 |        0.177 |        2.629 |        2.806
