Linux 5.0.0-31-generic (yong) 	11/21/19 	_x86_64_	(48 CPU)

17:01:47        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:01:49          0     27.72      0.00      8.91      0.00      0.00     63.37
17:01:51          0     29.38      0.00      6.70      0.00      0.00     63.92
17:01:53          0     27.32      0.00     10.24      0.00      0.00     62.44
17:01:55          0     27.32      0.00     11.22      0.00      0.00     61.46
17:01:57          0     28.50      0.00     10.63      0.00      0.00     60.87
17:01:59          0     29.06      0.00      9.36      0.00      0.00     61.58
17:02:01          0     27.32      0.00     11.22      0.00      0.00     61.46
17:02:03          0     28.86      0.00      8.96      0.00      0.00     62.19
17:02:05          0     25.85      0.00     12.68      0.00      0.00     61.46
17:02:07          0     26.47      0.00     11.76      0.00      0.00     61.76
17:02:09          0     29.33      0.00      9.62      0.00      0.00     61.06
17:02:11          0     30.73      0.00      9.27      0.00      0.00     60.00
17:02:13          0     27.09      0.00     10.84      0.00      0.00     62.07
17:02:15          0     27.32      0.00     10.73      0.00      0.00     61.95
17:02:17          0     27.59      0.00     10.34      0.00      0.00     62.07
17:02:19          0     29.76      0.00     10.24      0.00      0.00     60.00
17:02:21          0     31.10      0.00      8.61      0.00      0.00     60.29
17:02:23          0     28.50      0.00      8.50      0.00      0.00     63.00
17:02:25          0     30.24      0.00      7.80      0.00      0.00     61.95
17:02:27          0     30.24      0.00      8.78      0.00      0.00     60.98
17:02:29          0     29.61      0.00      7.28      0.00      0.00     63.11
17:02:31          0     26.44      0.00     12.02      0.00      0.00     61.54
17:02:33          0     25.60      0.00     13.53      0.00      0.00     60.87
17:02:35          0     25.25      0.00     10.10      0.00      0.00     64.65
17:02:37          0     29.85      0.00      7.46      0.00      0.00     62.69
17:02:39          0     28.99      0.00      9.66      0.00      0.00     61.35
17:02:41          0     29.06      0.00      9.85      0.00      0.00     61.08
17:02:43          0     27.50      0.00     10.00      0.00      0.00     62.50
17:02:45          0     27.59      0.00     10.34      0.00      0.00     62.07
17:02:47          0     28.43      0.00     10.78      0.00      0.00     60.78
Average:          0     28.27      0.00      9.92      0.00      0.00     61.81
